context: Do you think I'll let you score any more points? response:	Here I come!
context: Do you think I'll let you score any more points?\Here I come! response:	This is for Moka-san! Drive Shoot!
context: Do you think I'll let you score any more points?\Here I come!\This is for Moka-san! Drive Shoot! response:	It's over! Victory by one point!
context: Do you think I'll let you score any more points?\Here I come!\This is for Moka-san! Drive Shoot!\It's over! Victory by one point! response:	Tsukune...
context: Do you think I'll let you score any more points?\Here I come!\This is for Moka-san! Drive Shoot!\It's over! Victory by one point!\Tsukune... response:	Moka-san.
context: Do you think I'll let you score any more points?\Here I come!\This is for Moka-san! Drive Shoot!\It's over! Victory by one point!\Tsukune...\Moka-san. response:	Is this really fine, Tsukune?
context: Do you think I'll let you score any more points?\Here I come!\This is for Moka-san! Drive Shoot!\It's over! Victory by one point!\Tsukune...\Moka-san.\Is this really fine, Tsukune? response:	I'm so happy, Tsukune.
context: Do you think I'll let you score any more points?\Here I come!\This is for Moka-san! Drive Shoot!\It's over! Victory by one point!\Tsukune...\Moka-san.\Is this really fine, Tsukune?\I'm so happy, Tsukune. response:	Moka-san...
context: Here I come!\This is for Moka-san! Drive Shoot!\It's over! Victory by one point!\Tsukune...\Moka-san.\Is this really fine, Tsukune?\I'm so happy, Tsukune.\Moka-san... response:	This is the first time you've given permission for me to suck your blood.
context: This is for Moka-san! Drive Shoot!\It's over! Victory by one point!\Tsukune...\Moka-san.\Is this really fine, Tsukune?\I'm so happy, Tsukune.\Moka-san...\This is the first time you've given permission for me to suck your blood. response:	Kappuchu!
context: It's over! Victory by one point!\Tsukune...\Moka-san.\Is this really fine, Tsukune?\I'm so happy, Tsukune.\Moka-san...\This is the first time you've given permission for me to suck your blood.\Kappuchu! response:	Thanks for the meal. Thank you, Tsukune.
context: Tsukune...\Moka-san.\Is this really fine, Tsukune?\I'm so happy, Tsukune.\Moka-san...\This is the first time you've given permission for me to suck your blood.\Kappuchu!\Thanks for the meal. Thank you, Tsukune. response:	Does she really understand my feelings?
context: Moka-san.\Is this really fine, Tsukune?\I'm so happy, Tsukune.\Moka-san...\This is the first time you've given permission for me to suck your blood.\Kappuchu!\Thanks for the meal. Thank you, Tsukune.\Does she really understand my feelings? response:	You're going to be late if you don't hurry.
context: Is this really fine, Tsukune?\I'm so happy, Tsukune.\Moka-san...\This is the first time you've given permission for me to suck your blood.\Kappuchu!\Thanks for the meal. Thank you, Tsukune.\Does she really understand my feelings?\You're going to be late if you don't hurry. response:	I don't think so.
context: I'm so happy, Tsukune.\Moka-san...\This is the first time you've given permission for me to suck your blood.\Kappuchu!\Thanks for the meal. Thank you, Tsukune.\Does she really understand my feelings?\You're going to be late if you don't hurry.\I don't think so. response:	Tsukune's blood... Delicious.
context: Moka-san...\This is the first time you've given permission for me to suck your blood.\Kappuchu!\Thanks for the meal. Thank you, Tsukune.\Does she really understand my feelings?\You're going to be late if you don't hurry.\I don't think so.\Tsukune's blood... Delicious. response:	Everyone, let's join a club!
context: This is the first time you've given permission for me to suck your blood.\Kappuchu!\Thanks for the meal. Thank you, Tsukune.\Does she really understand my feelings?\You're going to be late if you don't hurry.\I don't think so.\Tsukune's blood... Delicious.\Everyone, let's join a club! response:	Club?
context: Kappuchu!\Thanks for the meal. Thank you, Tsukune.\Does she really understand my feelings?\You're going to be late if you don't hurry.\I don't think so.\Tsukune's blood... Delicious.\Everyone, let's join a club!\Club? response:	It's over! Victory by one point!
context: Thanks for the meal. Thank you, Tsukune.\Does she really understand my feelings?\You're going to be late if you don't hurry.\I don't think so.\Tsukune's blood... Delicious.\Everyone, let's join a club!\Club?\It's over! Victory by one point! response:	Tsukune...
context: Does she really understand my feelings?\You're going to be late if you don't hurry.\I don't think so.\Tsukune's blood... Delicious.\Everyone, let's join a club!\Club?\It's over! Victory by one point!\Tsukune... response:	Moka-san...
context: You're going to be late if you don't hurry.\I don't think so.\Tsukune's blood... Delicious.\Everyone, let's join a club!\Club?\It's over! Victory by one point!\Tsukune...\Moka-san... response:	The purpose of this school is to let demons adapt to human society.
context: I don't think so.\Tsukune's blood... Delicious.\Everyone, let's join a club!\Club?\It's over! Victory by one point!\Tsukune...\Moka-san...\The purpose of this school is to let demons adapt to human society. response:	We must be same as humans.
context: Tsukune's blood... Delicious.\Everyone, let's join a club!\Club?\It's over! Victory by one point!\Tsukune...\Moka-san...\The purpose of this school is to let demons adapt to human society.\We must be same as humans. response:	Let us gain a deeper understanding of humans by
context: Everyone, let's join a club!\Club?\It's over! Victory by one point!\Tsukune...\Moka-san...\The purpose of this school is to let demons adapt to human society.\We must be same as humans.\Let us gain a deeper understanding of humans by response:	working in their society and coming in contact with their art.
context: Club?\It's over! Victory by one point!\Tsukune...\Moka-san...\The purpose of this school is to let demons adapt to human society.\We must be same as humans.\Let us gain a deeper understanding of humans by\working in their society and coming in contact with their art. response:	To perfectly transform into a human, you must first have a clear understanding of them.
context: It's over! Victory by one point!\Tsukune...\Moka-san...\The purpose of this school is to let demons adapt to human society.\We must be same as humans.\Let us gain a deeper understanding of humans by\working in their society and coming in contact with their art.\To perfectly transform into a human, you must first have a clear understanding of them. response:	You guys must constantly be vigilant and not let others know your true form.
context: Tsukune...\Moka-san...\The purpose of this school is to let demons adapt to human society.\We must be same as humans.\Let us gain a deeper understanding of humans by\working in their society and coming in contact with their art.\To perfectly transform into a human, you must first have a clear understanding of them.\You guys must constantly be vigilant and not let others know your true form. response:	About that, Teacher...
context: Moka-san...\The purpose of this school is to let demons adapt to human society.\We must be same as humans.\Let us gain a deeper understanding of humans by\working in their society and coming in contact with their art.\To perfectly transform into a human, you must first have a clear understanding of them.\You guys must constantly be vigilant and not let others know your true form.\About that, Teacher... response:	Yes?
context: The purpose of this school is to let demons adapt to human society.\We must be same as humans.\Let us gain a deeper understanding of humans by\working in their society and coming in contact with their art.\To perfectly transform into a human, you must first have a clear understanding of them.\You guys must constantly be vigilant and not let others know your true form.\About that, Teacher...\Yes? response:	Your tail.
context: We must be same as humans.\Let us gain a deeper understanding of humans by\working in their society and coming in contact with their art.\To perfectly transform into a human, you must first have a clear understanding of them.\You guys must constantly be vigilant and not let others know your true form.\About that, Teacher...\Yes?\Your tail. response:	There's a lot of clubs here...
context: Let us gain a deeper understanding of humans by\working in their society and coming in contact with their art.\To perfectly transform into a human, you must first have a clear understanding of them.\You guys must constantly be vigilant and not let others know your true form.\About that, Teacher...\Yes?\Your tail.\There's a lot of clubs here... response:	Let's go Tsukune, let's join the same club.
context: working in their society and coming in contact with their art.\To perfectly transform into a human, you must first have a clear understanding of them.\You guys must constantly be vigilant and not let others know your true form.\About that, Teacher...\Yes?\Your tail.\There's a lot of clubs here...\Let's go Tsukune, let's join the same club. response:	Let's take some paranormal pictures together...
context: To perfectly transform into a human, you must first have a clear understanding of them.\You guys must constantly be vigilant and not let others know your true form.\About that, Teacher...\Yes?\Your tail.\There's a lot of clubs here...\Let's go Tsukune, let's join the same club.\Let's take some paranormal pictures together... response:	No!
context: You guys must constantly be vigilant and not let others know your true form.\About that, Teacher...\Yes?\Your tail.\There's a lot of clubs here...\Let's go Tsukune, let's join the same club.\Let's take some paranormal pictures together...\No! response:	Acupuncture.
context: About that, Teacher...\Yes?\Your tail.\There's a lot of clubs here...\Let's go Tsukune, let's join the same club.\Let's take some paranormal pictures together...\No!\Acupuncture. response:	No!
context: Yes?\Your tail.\There's a lot of clubs here...\Let's go Tsukune, let's join the same club.\Let's take some paranormal pictures together...\No!\Acupuncture.\No! response:	We are the Mummies club.
context: Your tail.\There's a lot of clubs here...\Let's go Tsukune, let's join the same club.\Let's take some paranormal pictures together...\No!\Acupuncture.\No!\We are the Mummies club. response:	Ah!
context: There's a lot of clubs here...\Let's go Tsukune, let's join the same club.\Let's take some paranormal pictures together...\No!\Acupuncture.\No!\We are the Mummies club.\Ah! response:	If you want to create love potions, you must join our Chemistry club.
context: Let's go Tsukune, let's join the same club.\Let's take some paranormal pictures together...\No!\Acupuncture.\No!\We are the Mummies club.\Ah!\If you want to create love potions, you must join our Chemistry club. response:	Come, Moka-san.
context: Let's take some paranormal pictures together...\No!\Acupuncture.\No!\We are the Mummies club.\Ah!\If you want to create love potions, you must join our Chemistry club.\Come, Moka-san. response:	Please drink this.
context: No!\Acupuncture.\No!\We are the Mummies club.\Ah!\If you want to create love potions, you must join our Chemistry club.\Come, Moka-san.\Please drink this. response:	Please hug me.
context: Acupuncture.\No!\We are the Mummies club.\Ah!\If you want to create love potions, you must join our Chemistry club.\Come, Moka-san.\Please drink this.\Please hug me. response:	Does this school not have a decent club at all?
context: No!\We are the Mummies club.\Ah!\If you want to create love potions, you must join our Chemistry club.\Come, Moka-san.\Please drink this.\Please hug me.\Does this school not have a decent club at all? response:	There's no way it would!
context: We are the Mummies club.\Ah!\If you want to create love potions, you must join our Chemistry club.\Come, Moka-san.\Please drink this.\Please hug me.\Does this school not have a decent club at all?\There's no way it would! response:	My name is Ichinose Tamao.
context: Ah!\If you want to create love potions, you must join our Chemistry club.\Come, Moka-san.\Please drink this.\Please hug me.\Does this school not have a decent club at all?\There's no way it would!\My name is Ichinose Tamao. response:	Let's swim together.
context: If you want to create love potions, you must join our Chemistry club.\Come, Moka-san.\Please drink this.\Please hug me.\Does this school not have a decent club at all?\There's no way it would!\My name is Ichinose Tamao.\Let's swim together. response:	It's a swimsuit.
context: Come, Moka-san.\Please drink this.\Please hug me.\Does this school not have a decent club at all?\There's no way it would!\My name is Ichinose Tamao.\Let's swim together.\It's a swimsuit. response:	And all of them are cute.
context: Please drink this.\Please hug me.\Does this school not have a decent club at all?\There's no way it would!\My name is Ichinose Tamao.\Let's swim together.\It's a swimsuit.\And all of them are cute. response:	The Swimming club seems to be normal.
context: Please hug me.\Does this school not have a decent club at all?\There's no way it would!\My name is Ichinose Tamao.\Let's swim together.\It's a swimsuit.\And all of them are cute.\The Swimming club seems to be normal. response:	So far, the Swimming club only has female members.
context: Does this school not have a decent club at all?\There's no way it would!\My name is Ichinose Tamao.\Let's swim together.\It's a swimsuit.\And all of them are cute.\The Swimming club seems to be normal.\So far, the Swimming club only has female members. response:	Any guys who join now will receive special services from the seniors.
context: There's no way it would!\My name is Ichinose Tamao.\Let's swim together.\It's a swimsuit.\And all of them are cute.\The Swimming club seems to be normal.\So far, the Swimming club only has female members.\Any guys who join now will receive special services from the seniors. response:	How about you, do you want to join the Swimming club?
context: My name is Ichinose Tamao.\Let's swim together.\It's a swimsuit.\And all of them are cute.\The Swimming club seems to be normal.\So far, the Swimming club only has female members.\Any guys who join now will receive special services from the seniors.\How about you, do you want to join the Swimming club? response:	Let's take a look, Moka-san.
context: Let's swim together.\It's a swimsuit.\And all of them are cute.\The Swimming club seems to be normal.\So far, the Swimming club only has female members.\Any guys who join now will receive special services from the seniors.\How about you, do you want to join the Swimming club?\Let's take a look, Moka-san. response:	I had experience with soccer... no, I have gone to swimming school before.
context: It's a swimsuit.\And all of them are cute.\The Swimming club seems to be normal.\So far, the Swimming club only has female members.\Any guys who join now will receive special services from the seniors.\How about you, do you want to join the Swimming club?\Let's take a look, Moka-san.\I had experience with soccer... no, I have gone to swimming school before. response:	If it's swimming, perhaps I can show Moka-san my good side.
context: And all of them are cute.\The Swimming club seems to be normal.\So far, the Swimming club only has female members.\Any guys who join now will receive special services from the seniors.\How about you, do you want to join the Swimming club?\Let's take a look, Moka-san.\I had experience with soccer... no, I have gone to swimming school before.\If it's swimming, perhaps I can show Moka-san my good side. response:	Tsukune, you're so cool!
context: The Swimming club seems to be normal.\So far, the Swimming club only has female members.\Any guys who join now will receive special services from the seniors.\How about you, do you want to join the Swimming club?\Let's take a look, Moka-san.\I had experience with soccer... no, I have gone to swimming school before.\If it's swimming, perhaps I can show Moka-san my good side.\Tsukune, you're so cool! response:	And...
context: So far, the Swimming club only has female members.\Any guys who join now will receive special services from the seniors.\How about you, do you want to join the Swimming club?\Let's take a look, Moka-san.\I had experience with soccer... no, I have gone to swimming school before.\If it's swimming, perhaps I can show Moka-san my good side.\Tsukune, you're so cool!\And... response:	Does it look good on me?
