context: My fake out worked! response:	I ain't done yet!
context: My fake out worked!\I ain't done yet! response:	It wouldn't be interesting if you were!
context: My fake out worked!\I ain't done yet!\It wouldn't be interesting if you were! response:	Is this really it?
context: My fake out worked!\I ain't done yet!\It wouldn't be interesting if you were!\Is this really it? response:	I think so.
context: My fake out worked!\I ain't done yet!\It wouldn't be interesting if you were!\Is this really it?\I think so. response:	The key rests peacefully, surrounded by voices in prayer.
context: My fake out worked!\I ain't done yet!\It wouldn't be interesting if you were!\Is this really it?\I think so.\The key rests peacefully, surrounded by voices in prayer. response:	Prayer? Then it must mean the chapel, right?
context: My fake out worked!\I ain't done yet!\It wouldn't be interesting if you were!\Is this really it?\I think so.\The key rests peacefully, surrounded by voices in prayer.\Prayer? Then it must mean the chapel, right? response:	But is there a place in here where it could be kept hidden?
context: My fake out worked!\I ain't done yet!\It wouldn't be interesting if you were!\Is this really it?\I think so.\The key rests peacefully, surrounded by voices in prayer.\Prayer? Then it must mean the chapel, right?\But is there a place in here where it could be kept hidden? response:	I'll get a bird's-eye view!
context: I ain't done yet!\It wouldn't be interesting if you were!\Is this really it?\I think so.\The key rests peacefully, surrounded by voices in prayer.\Prayer? Then it must mean the chapel, right?\But is there a place in here where it could be kept hidden?\I'll get a bird's-eye view! response:	And while Natsu was battling it out in the crypt,
context: It wouldn't be interesting if you were!\Is this really it?\I think so.\The key rests peacefully, surrounded by voices in prayer.\Prayer? Then it must mean the chapel, right?\But is there a place in here where it could be kept hidden?\I'll get a bird's-eye view!\And while Natsu was battling it out in the crypt, response:	Erza and her team
context: Is this really it?\I think so.\The key rests peacefully, surrounded by voices in prayer.\Prayer? Then it must mean the chapel, right?\But is there a place in here where it could be kept hidden?\I'll get a bird's-eye view!\And while Natsu was battling it out in the crypt,\Erza and her team response:	were face-to-face with something bizarre in the Magic Library.
context: I think so.\The key rests peacefully, surrounded by voices in prayer.\Prayer? Then it must mean the chapel, right?\But is there a place in here where it could be kept hidden?\I'll get a bird's-eye view!\And while Natsu was battling it out in the crypt,\Erza and her team\were face-to-face with something bizarre in the Magic Library. response:	What is this?
context: The key rests peacefully, surrounded by voices in prayer.\Prayer? Then it must mean the chapel, right?\But is there a place in here where it could be kept hidden?\I'll get a bird's-eye view!\And while Natsu was battling it out in the crypt,\Erza and her team\were face-to-face with something bizarre in the Magic Library.\What is this? response:	I don't know...
context: Prayer? Then it must mean the chapel, right?\But is there a place in here where it could be kept hidden?\I'll get a bird's-eye view!\And while Natsu was battling it out in the crypt,\Erza and her team\were face-to-face with something bizarre in the Magic Library.\What is this?\I don't know... response:	Ow!!
context: But is there a place in here where it could be kept hidden?\I'll get a bird's-eye view!\And while Natsu was battling it out in the crypt,\Erza and her team\were face-to-face with something bizarre in the Magic Library.\What is this?\I don't know...\Ow!! response:	Run!
context: I'll get a bird's-eye view!\And while Natsu was battling it out in the crypt,\Erza and her team\were face-to-face with something bizarre in the Magic Library.\What is this?\I don't know...\Ow!!\Run! response:	Who's gonna clean this up?
context: And while Natsu was battling it out in the crypt,\Erza and her team\were face-to-face with something bizarre in the Magic Library.\What is this?\I don't know...\Ow!!\Run!\Who's gonna clean this up? response:	True Evil Revisited!
context: Erza and her team\were face-to-face with something bizarre in the Magic Library.\What is this?\I don't know...\Ow!!\Run!\Who's gonna clean this up?\True Evil Revisited! response:	The Jiggle Butt Gang!
context: were face-to-face with something bizarre in the Magic Library.\What is this?\I don't know...\Ow!!\Run!\Who's gonna clean this up?\True Evil Revisited!\The Jiggle Butt Gang! response:	Goddess!
context: What is this?\I don't know...\Ow!!\Run!\Who's gonna clean this up?\True Evil Revisited!\The Jiggle Butt Gang!\Goddess! response:	I missed you!
context: I don't know...\Ow!!\Run!\Who's gonna clean this up?\True Evil Revisited!\The Jiggle Butt Gang!\Goddess!\I missed you! response:	Was it you bastards?
context: Ow!!\Run!\Who's gonna clean this up?\True Evil Revisited!\The Jiggle Butt Gang!\Goddess!\I missed you!\Was it you bastards? response:	The ones that did something unspeakably terrible to Wendy that last time?!
context: Run!\Who's gonna clean this up?\True Evil Revisited!\The Jiggle Butt Gang!\Goddess!\I missed you!\Was it you bastards?\The ones that did something unspeakably terrible to Wendy that last time?! response:	Terrible?!
context: Who's gonna clean this up?\True Evil Revisited!\The Jiggle Butt Gang!\Goddess!\I missed you!\Was it you bastards?\The ones that did something unspeakably terrible to Wendy that last time?!\Terrible?! response:	Did you not put Wendy in a horrendous outfit?!
context: True Evil Revisited!\The Jiggle Butt Gang!\Goddess!\I missed you!\Was it you bastards?\The ones that did something unspeakably terrible to Wendy that last time?!\Terrible?!\Did you not put Wendy in a horrendous outfit?! response:	Outfit...?
context: The Jiggle Butt Gang!\Goddess!\I missed you!\Was it you bastards?\The ones that did something unspeakably terrible to Wendy that last time?!\Terrible?!\Did you not put Wendy in a horrendous outfit?!\Outfit...? response:	You mean this?!
context: Goddess!\I missed you!\Was it you bastards?\The ones that did something unspeakably terrible to Wendy that last time?!\Terrible?!\Did you not put Wendy in a horrendous outfit?!\Outfit...?\You mean this?! response:	That's...
context: I missed you!\Was it you bastards?\The ones that did something unspeakably terrible to Wendy that last time?!\Terrible?!\Did you not put Wendy in a horrendous outfit?!\Outfit...?\You mean this?!\That's... response:	She was happy to wear it!
context: Was it you bastards?\The ones that did something unspeakably terrible to Wendy that last time?!\Terrible?!\Did you not put Wendy in a horrendous outfit?!\Outfit...?\You mean this?!\That's...\She was happy to wear it! response:	It looked good on her!
context: The ones that did something unspeakably terrible to Wendy that last time?!\Terrible?!\Did you not put Wendy in a horrendous outfit?!\Outfit...?\You mean this?!\That's...\She was happy to wear it!\It looked good on her! response:	It's ripped to shreds!
context: Terrible?!\Did you not put Wendy in a horrendous outfit?!\Outfit...?\You mean this?!\That's...\She was happy to wear it!\It looked good on her!\It's ripped to shreds! response:	To make Wendy wear that hideous costume...
context: Did you not put Wendy in a horrendous outfit?!\Outfit...?\You mean this?!\That's...\She was happy to wear it!\It looked good on her!\It's ripped to shreds!\To make Wendy wear that hideous costume... response:	You people are fiends!
context: Outfit...?\You mean this?!\That's...\She was happy to wear it!\It looked good on her!\It's ripped to shreds!\To make Wendy wear that hideous costume...\You people are fiends! response:	That's right! Poor thing!
context: You mean this?!\That's...\She was happy to wear it!\It looked good on her!\It's ripped to shreds!\To make Wendy wear that hideous costume...\You people are fiends!\That's right! Poor thing! response:	Ever since that train robbery,
context: That's...\She was happy to wear it!\It looked good on her!\It's ripped to shreds!\To make Wendy wear that hideous costume...\You people are fiends!\That's right! Poor thing!\Ever since that train robbery, response:	Carla has been having nightmares about it!
context: She was happy to wear it!\It looked good on her!\It's ripped to shreds!\To make Wendy wear that hideous costume...\You people are fiends!\That's right! Poor thing!\Ever since that train robbery,\Carla has been having nightmares about it! response:	That's right... Every night, an army of Wendys in black full body tights
context: It looked good on her!\It's ripped to shreds!\To make Wendy wear that hideous costume...\You people are fiends!\That's right! Poor thing!\Ever since that train robbery,\Carla has been having nightmares about it!\That's right... Every night, an army of Wendys in black full body tights response:	chases me around!
context: It's ripped to shreds!\To make Wendy wear that hideous costume...\You people are fiends!\That's right! Poor thing!\Ever since that train robbery,\Carla has been having nightmares about it!\That's right... Every night, an army of Wendys in black full body tights\chases me around! response:	That nightmare has come back to haunt me...
context: To make Wendy wear that hideous costume...\You people are fiends!\That's right! Poor thing!\Ever since that train robbery,\Carla has been having nightmares about it!\That's right... Every night, an army of Wendys in black full body tights\chases me around!\That nightmare has come back to haunt me... response:	Carla! Stay with me!
