context: Intro response:	So you're not confident, huh?
context: Intro\So you're not confident, huh? response:	There's no way I'd be able to recover if I lost here.
context: Intro\So you're not confident, huh?\There's no way I'd be able to recover if I lost here. response:	Oh, come on...
context: Intro\So you're not confident, huh?\There's no way I'd be able to recover if I lost here.\Oh, come on... response:	Sure, the contents were totally out of place for this time of year,
context: Intro\So you're not confident, huh?\There's no way I'd be able to recover if I lost here.\Oh, come on...\Sure, the contents were totally out of place for this time of year, response:	but that lunch box had a lot of care put into it!
context: Intro\So you're not confident, huh?\There's no way I'd be able to recover if I lost here.\Oh, come on...\Sure, the contents were totally out of place for this time of year,\but that lunch box had a lot of care put into it! response:	Not to mention...
context: Intro\So you're not confident, huh?\There's no way I'd be able to recover if I lost here.\Oh, come on...\Sure, the contents were totally out of place for this time of year,\but that lunch box had a lot of care put into it!\Not to mention... response:	Maou and the others might be in big trouble if it was poisoned.
context: Intro\So you're not confident, huh?\There's no way I'd be able to recover if I lost here.\Oh, come on...\Sure, the contents were totally out of place for this time of year,\but that lunch box had a lot of care put into it!\Not to mention...\Maou and the others might be in big trouble if it was poisoned. response:	If she's an assassin from Ente Isla,
context: So you're not confident, huh?\There's no way I'd be able to recover if I lost here.\Oh, come on...\Sure, the contents were totally out of place for this time of year,\but that lunch box had a lot of care put into it!\Not to mention...\Maou and the others might be in big trouble if it was poisoned.\If she's an assassin from Ente Isla, response:	it's probably too late for them anyway.
context: There's no way I'd be able to recover if I lost here.\Oh, come on...\Sure, the contents were totally out of place for this time of year,\but that lunch box had a lot of care put into it!\Not to mention...\Maou and the others might be in big trouble if it was poisoned.\If she's an assassin from Ente Isla,\it's probably too late for them anyway. response:	I guess.
context: Oh, come on...\Sure, the contents were totally out of place for this time of year,\but that lunch box had a lot of care put into it!\Not to mention...\Maou and the others might be in big trouble if it was poisoned.\If she's an assassin from Ente Isla,\it's probably too late for them anyway.\I guess. response:	Chiho...
context: Sure, the contents were totally out of place for this time of year,\but that lunch box had a lot of care put into it!\Not to mention...\Maou and the others might be in big trouble if it was poisoned.\If she's an assassin from Ente Isla,\it's probably too late for them anyway.\I guess.\Chiho... response:	Why don't you stop using us as an excuse
context: but that lunch box had a lot of care put into it!\Not to mention...\Maou and the others might be in big trouble if it was poisoned.\If she's an assassin from Ente Isla,\it's probably too late for them anyway.\I guess.\Chiho...\Why don't you stop using us as an excuse response:	and go straight for him instead?
context: Not to mention...\Maou and the others might be in big trouble if it was poisoned.\If she's an assassin from Ente Isla,\it's probably too late for them anyway.\I guess.\Chiho...\Why don't you stop using us as an excuse\and go straight for him instead? response:	O-Okay...
context: Maou and the others might be in big trouble if it was poisoned.\If she's an assassin from Ente Isla,\it's probably too late for them anyway.\I guess.\Chiho...\Why don't you stop using us as an excuse\and go straight for him instead?\O-Okay... response:	Coming!
context: If she's an assassin from Ente Isla,\it's probably too late for them anyway.\I guess.\Chiho...\Why don't you stop using us as an excuse\and go straight for him instead?\O-Okay...\Coming! response:	Oh?
context: it's probably too late for them anyway.\I guess.\Chiho...\Why don't you stop using us as an excuse\and go straight for him instead?\O-Okay...\Coming!\Oh? response:	Sadao, you have visitors.
context: I guess.\Chiho...\Why don't you stop using us as an excuse\and go straight for him instead?\O-Okay...\Coming!\Oh?\Sadao, you have visitors. response:	Oh, hold on a second.
context: Chiho...\Why don't you stop using us as an excuse\and go straight for him instead?\O-Okay...\Coming!\Oh?\Sadao, you have visitors.\Oh, hold on a second. response:	S- S-S-S-S-S-S-S-S-S
context: Why don't you stop using us as an excuse\and go straight for him instead?\O-Okay...\Coming!\Oh?\Sadao, you have visitors.\Oh, hold on a second.\S- S-S-S-S-S-S-S-S-S response:	S-S- S-S-S-S-S-S-S-S
context: and go straight for him instead?\O-Okay...\Coming!\Oh?\Sadao, you have visitors.\Oh, hold on a second.\S- S-S-S-S-S-S-S-S-S\S-S- S-S-S-S-S-S-S-S response:	S-S-S- S-S-S-S-S-S-S
context: O-Okay...\Coming!\Oh?\Sadao, you have visitors.\Oh, hold on a second.\S- S-S-S-S-S-S-S-S-S\S-S- S-S-S-S-S-S-S-S\S-S-S- S-S-S-S-S-S-S response:	Who is it?
context: Coming!\Oh?\Sadao, you have visitors.\Oh, hold on a second.\S- S-S-S-S-S-S-S-S-S\S-S- S-S-S-S-S-S-S-S\S-S-S- S-S-S-S-S-S-S\Who is it? response:	S-S-S-S-S- S-S-S-S-S
context: Oh?\Sadao, you have visitors.\Oh, hold on a second.\S- S-S-S-S-S-S-S-S-S\S-S- S-S-S-S-S-S-S-S\S-S-S- S-S-S-S-S-S-S\Who is it?\S-S-S-S-S- S-S-S-S-S response:	S-S-S-S-S-S-S- S-S-S
context: Sadao, you have visitors.\Oh, hold on a second.\S- S-S-S-S-S-S-S-S-S\S-S- S-S-S-S-S-S-S-S\S-S-S- S-S-S-S-S-S-S\Who is it?\S-S-S-S-S- S-S-S-S-S\S-S-S-S-S-S-S- S-S-S response:	S-S-S-S-S-S-S-S- S-S
context: Oh, hold on a second.\S- S-S-S-S-S-S-S-S-S\S-S- S-S-S-S-S-S-S-S\S-S-S- S-S-S-S-S-S-S\Who is it?\S-S-S-S-S- S-S-S-S-S\S-S-S-S-S-S-S- S-S-S\S-S-S-S-S-S-S-S- S-S response:	The MHK?
context: S- S-S-S-S-S-S-S-S-S\S-S- S-S-S-S-S-S-S-S\S-S-S- S-S-S-S-S-S-S\Who is it?\S-S-S-S-S- S-S-S-S-S\S-S-S-S-S-S-S- S-S-S\S-S-S-S-S-S-S-S- S-S\The MHK? response:	S-S-S-S-S-S-S-S-S- S
context: S-S- S-S-S-S-S-S-S-S\S-S-S- S-S-S-S-S-S-S\Who is it?\S-S-S-S-S- S-S-S-S-S\S-S-S-S-S-S-S- S-S-S\S-S-S-S-S-S-S-S- S-S\The MHK?\S-S-S-S-S-S-S-S-S- S response:	S-S-S-S-S-S-S-S-S-S
context: S-S-S- S-S-S-S-S-S-S\Who is it?\S-S-S-S-S- S-S-S-S-S\S-S-S-S-S-S-S- S-S-S\S-S-S-S-S-S-S-S- S-S\The MHK?\S-S-S-S-S-S-S-S-S- S\S-S-S-S-S-S-S-S-S-S response:	S- S-S-S-S-S-S-S-S-S
context: Who is it?\S-S-S-S-S- S-S-S-S-S\S-S-S-S-S-S-S- S-S-S\S-S-S-S-S-S-S-S- S-S\The MHK?\S-S-S-S-S-S-S-S-S- S\S-S-S-S-S-S-S-S-S-S\S- S-S-S-S-S-S-S-S-S response:	'Tis Emi and another lass.
context: S-S-S-S-S- S-S-S-S-S\S-S-S-S-S-S-S- S-S-S\S-S-S-S-S-S-S-S- S-S\The MHK?\S-S-S-S-S-S-S-S-S- S\S-S-S-S-S-S-S-S-S-S\S- S-S-S-S-S-S-S-S-S\'Tis Emi and another lass. response:	Chiho?!
context: S-S-S-S-S-S-S- S-S-S\S-S-S-S-S-S-S-S- S-S\The MHK?\S-S-S-S-S-S-S-S-S- S\S-S-S-S-S-S-S-S-S-S\S- S-S-S-S-S-S-S-S-S\'Tis Emi and another lass.\Chiho?! response:	S-S- S-S-S-S-S-S-S-S
context: S-S-S-S-S-S-S-S- S-S\The MHK?\S-S-S-S-S-S-S-S-S- S\S-S-S-S-S-S-S-S-S-S\S- S-S-S-S-S-S-S-S-S\'Tis Emi and another lass.\Chiho?!\S-S- S-S-S-S-S-S-S-S response:	S-S-S- S-S-S-S-S-S-S
context: The MHK?\S-S-S-S-S-S-S-S-S- S\S-S-S-S-S-S-S-S-S-S\S- S-S-S-S-S-S-S-S-S\'Tis Emi and another lass.\Chiho?!\S-S- S-S-S-S-S-S-S-S\S-S-S- S-S-S-S-S-S-S response:	S-S-S-S-S- S-S-S-S-S
context: S-S-S-S-S-S-S-S-S- S\S-S-S-S-S-S-S-S-S-S\S- S-S-S-S-S-S-S-S-S\'Tis Emi and another lass.\Chiho?!\S-S- S-S-S-S-S-S-S-S\S-S-S- S-S-S-S-S-S-S\S-S-S-S-S- S-S-S-S-S response:	S-S-S-S-S-S-S- S-S-S
context: S-S-S-S-S-S-S-S-S-S\S- S-S-S-S-S-S-S-S-S\'Tis Emi and another lass.\Chiho?!\S-S- S-S-S-S-S-S-S-S\S-S-S- S-S-S-S-S-S-S\S-S-S-S-S- S-S-S-S-S\S-S-S-S-S-S-S- S-S-S response:	S-S-S-S-S-S-S-S- S-S
context: S- S-S-S-S-S-S-S-S-S\'Tis Emi and another lass.\Chiho?!\S-S- S-S-S-S-S-S-S-S\S-S-S- S-S-S-S-S-S-S\S-S-S-S-S- S-S-S-S-S\S-S-S-S-S-S-S- S-S-S\S-S-S-S-S-S-S-S- S-S response:	Seriously?!
context: 'Tis Emi and another lass.\Chiho?!\S-S- S-S-S-S-S-S-S-S\S-S-S- S-S-S-S-S-S-S\S-S-S-S-S- S-S-S-S-S\S-S-S-S-S-S-S- S-S-S\S-S-S-S-S-S-S-S- S-S\Seriously?! response:	S-S-S-S-S-S-S-S-S- S
context: Chiho?!\S-S- S-S-S-S-S-S-S-S\S-S-S- S-S-S-S-S-S-S\S-S-S-S-S- S-S-S-S-S\S-S-S-S-S-S-S- S-S-S\S-S-S-S-S-S-S-S- S-S\Seriously?!\S-S-S-S-S-S-S-S-S- S response:	S-S-S-S-S-S-S-S-S-S
context: S-S- S-S-S-S-S-S-S-S\S-S-S- S-S-S-S-S-S-S\S-S-S-S-S- S-S-S-S-S\S-S-S-S-S-S-S- S-S-S\S-S-S-S-S-S-S-S- S-S\Seriously?!\S-S-S-S-S-S-S-S-S- S\S-S-S-S-S-S-S-S-S-S response:	S-Sadao?!
context: S-S-S- S-S-S-S-S-S-S\S-S-S-S-S- S-S-S-S-S\S-S-S-S-S-S-S- S-S-S\S-S-S-S-S-S-S-S- S-S\Seriously?!\S-S-S-S-S-S-S-S-S- S\S-S-S-S-S-S-S-S-S-S\S-Sadao?! response:	OP
context: S-S-S-S-S- S-S-S-S-S\S-S-S-S-S-S-S- S-S-S\S-S-S-S-S-S-S-S- S-S\Seriously?!\S-S-S-S-S-S-S-S-S- S\S-S-S-S-S-S-S-S-S-S\S-Sadao?!\OP response:	Get out of your cage
context: S-S-S-S-S-S-S- S-S-S\S-S-S-S-S-S-S-S- S-S\Seriously?!\S-S-S-S-S-S-S-S-S- S\S-S-S-S-S-S-S-S-S-S\S-Sadao?!\OP\Get out of your cage response:	Fly toward the sky
context: S-S-S-S-S-S-S-S- S-S\Seriously?!\S-S-S-S-S-S-S-S-S- S\S-S-S-S-S-S-S-S-S-S\S-Sadao?!\OP\Get out of your cage\Fly toward the sky response:	Fly toward the sky
context: Seriously?!\S-S-S-S-S-S-S-S-S- S\S-S-S-S-S-S-S-S-S-S\S-Sadao?!\OP\Get out of your cage\Fly toward the sky\Fly toward the sky response:	It all starts right here, right now
context: S-S-S-S-S-S-S-S-S- S\S-S-S-S-S-S-S-S-S-S\S-Sadao?!\OP\Get out of your cage\Fly toward the sky\Fly toward the sky\It all starts right here, right now response:	Let's picture what we can do
context: S-S-S-S-S-S-S-S-S-S\S-Sadao?!\OP\Get out of your cage\Fly toward the sky\Fly toward the sky\It all starts right here, right now\Let's picture what we can do response:	Let's picture what we can do
context: S-Sadao?!\OP\Get out of your cage\Fly toward the sky\Fly toward the sky\It all starts right here, right now\Let's picture what we can do\Let's picture what we can do response:	Let's picture what we can do
context: OP\Get out of your cage\Fly toward the sky\Fly toward the sky\It all starts right here, right now\Let's picture what we can do\Let's picture what we can do\Let's picture what we can do response:	Unbelievable things might happen
context: Get out of your cage\Fly toward the sky\Fly toward the sky\It all starts right here, right now\Let's picture what we can do\Let's picture what we can do\Let's picture what we can do\Unbelievable things might happen response:	But we can overcome them all
context: Fly toward the sky\Fly toward the sky\It all starts right here, right now\Let's picture what we can do\Let's picture what we can do\Let's picture what we can do\Unbelievable things might happen\But we can overcome them all response:	But we can overcome them all
context: Fly toward the sky\It all starts right here, right now\Let's picture what we can do\Let's picture what we can do\Let's picture what we can do\Unbelievable things might happen\But we can overcome them all\But we can overcome them all response:	But we can overcome them all
context: It all starts right here, right now\Let's picture what we can do\Let's picture what we can do\Let's picture what we can do\Unbelievable things might happen\But we can overcome them all\But we can overcome them all\But we can overcome them all response:	Power of dreams
context: Let's picture what we can do\Let's picture what we can do\Let's picture what we can do\Unbelievable things might happen\But we can overcome them all\But we can overcome them all\But we can overcome them all\Power of dreams response:	Power of dreams
context: Let's picture what we can do\Let's picture what we can do\Unbelievable things might happen\But we can overcome them all\But we can overcome them all\But we can overcome them all\Power of dreams\Power of dreams response:	Our dreams are born from nothing
context: Let's picture what we can do\Unbelievable things might happen\But we can overcome them all\But we can overcome them all\But we can overcome them all\Power of dreams\Power of dreams\Our dreams are born from nothing response:	Power of dreams
context: Unbelievable things might happen\But we can overcome them all\But we can overcome them all\But we can overcome them all\Power of dreams\Power of dreams\Our dreams are born from nothing\Power of dreams response:	And take us to that shining sky
context: But we can overcome them all\But we can overcome them all\But we can overcome them all\Power of dreams\Power of dreams\Our dreams are born from nothing\Power of dreams\And take us to that shining sky response:	fly
context: But we can overcome them all\But we can overcome them all\Power of dreams\Power of dreams\Our dreams are born from nothing\Power of dreams\And take us to that shining sky\fly response:	And take us to that shining sky
context: But we can overcome them all\Power of dreams\Power of dreams\Our dreams are born from nothing\Power of dreams\And take us to that shining sky\fly\And take us to that shining sky response:	And take us to that shining sky
context: Power of dreams\Power of dreams\Our dreams are born from nothing\Power of dreams\And take us to that shining sky\fly\And take us to that shining sky\And take us to that shining sky response:	And take us to that shining sky
context: Power of dreams\Our dreams are born from nothing\Power of dreams\And take us to that shining sky\fly\And take us to that shining sky\And take us to that shining sky\And take us to that shining sky response:	Light blue wind
context: Our dreams are born from nothing\Power of dreams\And take us to that shining sky\fly\And take us to that shining sky\And take us to that shining sky\And take us to that shining sky\Light blue wind response:	I want to spread my wings
