context: Oh, we're finally back! response:	Hey! Don't touch me in weird places!
context: Oh, we're finally back!\Hey! Don't touch me in weird places! response:	Don't worry about it. It's flat, anyway.
context: Oh, we're finally back!\Hey! Don't touch me in weird places!\Don't worry about it. It's flat, anyway. response:	In any case, it's really quiet.
context: Oh, we're finally back!\Hey! Don't touch me in weird places!\Don't worry about it. It's flat, anyway.\In any case, it's really quiet. response:	We're in the summer holiday right now!
context: Oh, we're finally back!\Hey! Don't touch me in weird places!\Don't worry about it. It's flat, anyway.\In any case, it's really quiet.\We're in the summer holiday right now! response:	Lots of people went home for the holidays, or traveled abroad.
context: Oh, we're finally back!\Hey! Don't touch me in weird places!\Don't worry about it. It's flat, anyway.\In any case, it's really quiet.\We're in the summer holiday right now!\Lots of people went home for the holidays, or traveled abroad. response:	I see, summer vacation.
context: Oh, we're finally back!\Hey! Don't touch me in weird places!\Don't worry about it. It's flat, anyway.\In any case, it's really quiet.\We're in the summer holiday right now!\Lots of people went home for the holidays, or traveled abroad.\I see, summer vacation. response:	Oh, Louise.
context: Oh, we're finally back!\Hey! Don't touch me in weird places!\Don't worry about it. It's flat, anyway.\In any case, it's really quiet.\We're in the summer holiday right now!\Lots of people went home for the holidays, or traveled abroad.\I see, summer vacation.\Oh, Louise. response:	I haven't seen you around, so I thought you'd already gone home.
context: Hey! Don't touch me in weird places!\Don't worry about it. It's flat, anyway.\In any case, it's really quiet.\We're in the summer holiday right now!\Lots of people went home for the holidays, or traveled abroad.\I see, summer vacation.\Oh, Louise.\I haven't seen you around, so I thought you'd already gone home. response:	I was just running errands for a bit.
context: Don't worry about it. It's flat, anyway.\In any case, it's really quiet.\We're in the summer holiday right now!\Lots of people went home for the holidays, or traveled abroad.\I see, summer vacation.\Oh, Louise.\I haven't seen you around, so I thought you'd already gone home.\I was just running errands for a bit. response:	You guys are going home?
context: In any case, it's really quiet.\We're in the summer holiday right now!\Lots of people went home for the holidays, or traveled abroad.\I see, summer vacation.\Oh, Louise.\I haven't seen you around, so I thought you'd already gone home.\I was just running errands for a bit.\You guys are going home? response:	Oh! Darling!
context: We're in the summer holiday right now!\Lots of people went home for the holidays, or traveled abroad.\I see, summer vacation.\Oh, Louise.\I haven't seen you around, so I thought you'd already gone home.\I was just running errands for a bit.\You guys are going home?\Oh! Darling! response:	I finally got the chance to see you again,
context: Lots of people went home for the holidays, or traveled abroad.\I see, summer vacation.\Oh, Louise.\I haven't seen you around, so I thought you'd already gone home.\I was just running errands for a bit.\You guys are going home?\Oh! Darling!\I finally got the chance to see you again, response:	only to be torn apart yet again for a while!
context: I see, summer vacation.\Oh, Louise.\I haven't seen you around, so I thought you'd already gone home.\I was just running errands for a bit.\You guys are going home?\Oh! Darling!\I finally got the chance to see you again,\only to be torn apart yet again for a while! response:	Please forgive me for all of this!
context: Oh, Louise.\I haven't seen you around, so I thought you'd already gone home.\I was just running errands for a bit.\You guys are going home?\Oh! Darling!\I finally got the chance to see you again,\only to be torn apart yet again for a while!\Please forgive me for all of this! response:	I'm going to go visit Tabitha's home now.
context: I haven't seen you around, so I thought you'd already gone home.\I was just running errands for a bit.\You guys are going home?\Oh! Darling!\I finally got the chance to see you again,\only to be torn apart yet again for a while!\Please forgive me for all of this!\I'm going to go visit Tabitha's home now. response:	Tabitha's?
context: I was just running errands for a bit.\You guys are going home?\Oh! Darling!\I finally got the chance to see you again,\only to be torn apart yet again for a while!\Please forgive me for all of this!\I'm going to go visit Tabitha's home now.\Tabitha's? response:	See you, darling! Have a wonderful vacation!
context: You guys are going home?\Oh! Darling!\I finally got the chance to see you again,\only to be torn apart yet again for a while!\Please forgive me for all of this!\I'm going to go visit Tabitha's home now.\Tabitha's?\See you, darling! Have a wonderful vacation! response:	A wonderful vacation...
context: Oh! Darling!\I finally got the chance to see you again,\only to be torn apart yet again for a while!\Please forgive me for all of this!\I'm going to go visit Tabitha's home now.\Tabitha's?\See you, darling! Have a wonderful vacation!\A wonderful vacation... response:	What wonderful vacation?!
context: I finally got the chance to see you again,\only to be torn apart yet again for a while!\Please forgive me for all of this!\I'm going to go visit Tabitha's home now.\Tabitha's?\See you, darling! Have a wonderful vacation!\A wonderful vacation...\What wonderful vacation?! response:	A history of the couple's romance that starts from the first kiss
context: only to be torn apart yet again for a while!\Please forgive me for all of this!\I'm going to go visit Tabitha's home now.\Tabitha's?\See you, darling! Have a wonderful vacation!\A wonderful vacation...\What wonderful vacation?!\A history of the couple's romance that starts from the first kiss response:	You, the one who cast magic on this destiny, suddenly appeared
context: Please forgive me for all of this!\I'm going to go visit Tabitha's home now.\Tabitha's?\See you, darling! Have a wonderful vacation!\A wonderful vacation...\What wonderful vacation?!\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared response:	The sky where two moons never fade away
context: I'm going to go visit Tabitha's home now.\Tabitha's?\See you, darling! Have a wonderful vacation!\A wonderful vacation...\What wonderful vacation?!\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away response:	That's an impossibility, right?
context: Tabitha's?\See you, darling! Have a wonderful vacation!\A wonderful vacation...\What wonderful vacation?!\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right? response:	This is the first time I've felt anything like this
context: See you, darling! Have a wonderful vacation!\A wonderful vacation...\What wonderful vacation?!\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this response:	I'm feeling more and more at ease with this place
