context: Abe no Seimei? response:	Yes. A powerful onmyoji from the Heian period.
context: Abe no Seimei?\Yes. A powerful onmyoji from the Heian period. response:	Our family, the Miyako clan, bear his bloodline.
context: Abe no Seimei?\Yes. A powerful onmyoji from the Heian period.\Our family, the Miyako clan, bear his bloodline. response:	I'll tell you all about how amazing he was
context: Abe no Seimei?\Yes. A powerful onmyoji from the Heian period.\Our family, the Miyako clan, bear his bloodline.\I'll tell you all about how amazing he was response:	Nah, I'm gonna play over there.
context: Abe no Seimei?\Yes. A powerful onmyoji from the Heian period.\Our family, the Miyako clan, bear his bloodline.\I'll tell you all about how amazing he was\Nah, I'm gonna play over there. response:	Hey, Arata! Arata!
context: Abe no Seimei?\Yes. A powerful onmyoji from the Heian period.\Our family, the Miyako clan, bear his bloodline.\I'll tell you all about how amazing he was\Nah, I'm gonna play over there.\Hey, Arata! Arata! response:	No, Seimei!
context: Abe no Seimei?\Yes. A powerful onmyoji from the Heian period.\Our family, the Miyako clan, bear his bloodline.\I'll tell you all about how amazing he was\Nah, I'm gonna play over there.\Hey, Arata! Arata!\No, Seimei! response:	Seimei!
context: Abe no Seimei?\Yes. A powerful onmyoji from the Heian period.\Our family, the Miyako clan, bear his bloodline.\I'll tell you all about how amazing he was\Nah, I'm gonna play over there.\Hey, Arata! Arata!\No, Seimei!\Seimei! response:	You are Seimei!
context: Yes. A powerful onmyoji from the Heian period.\Our family, the Miyako clan, bear his bloodline.\I'll tell you all about how amazing he was\Nah, I'm gonna play over there.\Hey, Arata! Arata!\No, Seimei!\Seimei!\You are Seimei! response:	I know it! Your blood smells the same as him!
context: Our family, the Miyako clan, bear his bloodline.\I'll tell you all about how amazing he was\Nah, I'm gonna play over there.\Hey, Arata! Arata!\No, Seimei!\Seimei!\You are Seimei!\I know it! Your blood smells the same as him! response:	No, I
context: I'll tell you all about how amazing he was\Nah, I'm gonna play over there.\Hey, Arata! Arata!\No, Seimei!\Seimei!\You are Seimei!\I know it! Your blood smells the same as him!\No, I response:	Oh, he's up.
context: Nah, I'm gonna play over there.\Hey, Arata! Arata!\No, Seimei!\Seimei!\You are Seimei!\I know it! Your blood smells the same as him!\No, I\Oh, he's up. response:	Good morning.
