context: Yum! response:	Delicious! So juicy...
context: Yum!\Delicious! So juicy... response:	No sign of the goblins...
context: Yum!\Delicious! So juicy...\No sign of the goblins... response:	Maybe they aren't coming?
context: Yum!\Delicious! So juicy...\No sign of the goblins...\Maybe they aren't coming? response:	We can't lower our guard, Marie.
context: Yum!\Delicious! So juicy...\No sign of the goblins...\Maybe they aren't coming?\We can't lower our guard, Marie. response:	Crusty's forward strike force has reached Narashino, right?
context: Yum!\Delicious! So juicy...\No sign of the goblins...\Maybe they aren't coming?\We can't lower our guard, Marie.\Crusty's forward strike force has reached Narashino, right? response:	They're heading toward the main goblin battalion.
context: Yum!\Delicious! So juicy...\No sign of the goblins...\Maybe they aren't coming?\We can't lower our guard, Marie.\Crusty's forward strike force has reached Narashino, right?\They're heading toward the main goblin battalion. response:	Their fight might decide our fate here.
context: Yum!\Delicious! So juicy...\No sign of the goblins...\Maybe they aren't coming?\We can't lower our guard, Marie.\Crusty's forward strike force has reached Narashino, right?\They're heading toward the main goblin battalion.\Their fight might decide our fate here. response:	Serara...
context: Delicious! So juicy...\No sign of the goblins...\Maybe they aren't coming?\We can't lower our guard, Marie.\Crusty's forward strike force has reached Narashino, right?\They're heading toward the main goblin battalion.\Their fight might decide our fate here.\Serara... response:	I have a favor to ask.
context: No sign of the goblins...\Maybe they aren't coming?\We can't lower our guard, Marie.\Crusty's forward strike force has reached Narashino, right?\They're heading toward the main goblin battalion.\Their fight might decide our fate here.\Serara...\I have a favor to ask. response:	Kasumi Lake, West Japan Server Zantleaf Peninsula/ Kasumi Lake Field/ Monsters Present Entry Restrictions/ None Events/ The Goblin King's Return
context: Maybe they aren't coming?\We can't lower our guard, Marie.\Crusty's forward strike force has reached Narashino, right?\They're heading toward the main goblin battalion.\Their fight might decide our fate here.\Serara...\I have a favor to ask.\Kasumi Lake, West Japan Server Zantleaf Peninsula/ Kasumi Lake Field/ Monsters Present Entry Restrictions/ None Events/ The Goblin King's Return response:	Go ahead, open your eyes.
context: We can't lower our guard, Marie.\Crusty's forward strike force has reached Narashino, right?\They're heading toward the main goblin battalion.\Their fight might decide our fate here.\Serara...\I have a favor to ask.\Kasumi Lake, West Japan Server Zantleaf Peninsula/ Kasumi Lake Field/ Monsters Present Entry Restrictions/ None Events/ The Goblin King's Return\Go ahead, open your eyes. response:	It's starting.
context: Crusty's forward strike force has reached Narashino, right?\They're heading toward the main goblin battalion.\Their fight might decide our fate here.\Serara...\I have a favor to ask.\Kasumi Lake, West Japan Server Zantleaf Peninsula/ Kasumi Lake Field/ Monsters Present Entry Restrictions/ None Events/ The Goblin King's Return\Go ahead, open your eyes.\It's starting. response:	Direct strike to the enemy vanguard's center.
context: They're heading toward the main goblin battalion.\Their fight might decide our fate here.\Serara...\I have a favor to ask.\Kasumi Lake, West Japan Server Zantleaf Peninsula/ Kasumi Lake Field/ Monsters Present Entry Restrictions/ None Events/ The Goblin King's Return\Go ahead, open your eyes.\It's starting.\Direct strike to the enemy vanguard's center. response:	My lord, the main attack force can now advance.
context: Their fight might decide our fate here.\Serara...\I have a favor to ask.\Kasumi Lake, West Japan Server Zantleaf Peninsula/ Kasumi Lake Field/ Monsters Present Entry Restrictions/ None Events/ The Goblin King's Return\Go ahead, open your eyes.\It's starting.\Direct strike to the enemy vanguard's center.\My lord, the main attack force can now advance. response:	Hill Giant, Lv. 72 Hill Giant, Lv. 80 Rank/ Raid 1 Rank/ Raid 1
context: Serara...\I have a favor to ask.\Kasumi Lake, West Japan Server Zantleaf Peninsula/ Kasumi Lake Field/ Monsters Present Entry Restrictions/ None Events/ The Goblin King's Return\Go ahead, open your eyes.\It's starting.\Direct strike to the enemy vanguard's center.\My lord, the main attack force can now advance.\Hill Giant, Lv. 72 Hill Giant, Lv. 80 Rank/ Raid 1 Rank/ Raid 1 response:	Reinforcements. Two hill giants.
context: I have a favor to ask.\Kasumi Lake, West Japan Server Zantleaf Peninsula/ Kasumi Lake Field/ Monsters Present Entry Restrictions/ None Events/ The Goblin King's Return\Go ahead, open your eyes.\It's starting.\Direct strike to the enemy vanguard's center.\My lord, the main attack force can now advance.\Hill Giant, Lv. 72 Hill Giant, Lv. 80 Rank/ Raid 1 Rank/ Raid 1\Reinforcements. Two hill giants. response:	Healers should flank both sides.
context: Kasumi Lake, West Japan Server Zantleaf Peninsula/ Kasumi Lake Field/ Monsters Present Entry Restrictions/ None Events/ The Goblin King's Return\Go ahead, open your eyes.\It's starting.\Direct strike to the enemy vanguard's center.\My lord, the main attack force can now advance.\Hill Giant, Lv. 72 Hill Giant, Lv. 80 Rank/ Raid 1 Rank/ Raid 1\Reinforcements. Two hill giants.\Healers should flank both sides. response:	Start by annihilating the smaller side groups.
context: Go ahead, open your eyes.\It's starting.\Direct strike to the enemy vanguard's center.\My lord, the main attack force can now advance.\Hill Giant, Lv. 72 Hill Giant, Lv. 80 Rank/ Raid 1 Rank/ Raid 1\Reinforcements. Two hill giants.\Healers should flank both sides.\Start by annihilating the smaller side groups. response:	Main force, continue to advance.
context: It's starting.\Direct strike to the enemy vanguard's center.\My lord, the main attack force can now advance.\Hill Giant, Lv. 72 Hill Giant, Lv. 80 Rank/ Raid 1 Rank/ Raid 1\Reinforcements. Two hill giants.\Healers should flank both sides.\Start by annihilating the smaller side groups.\Main force, continue to advance. response:	He is...
