context: Is that all you have? response:	As I thought, you were a fake.
context: Is that all you have?\As I thought, you were a fake. response:	You are incapable of saving anything.
context: Is that all you have?\As I thought, you were a fake.\You are incapable of saving anything. response:	That shabby Archer said as much, did he not?
context: Is that all you have?\As I thought, you were a fake.\You are incapable of saving anything.\That shabby Archer said as much, did he not? response:	That your ideals were not your own.
context: Is that all you have?\As I thought, you were a fake.\You are incapable of saving anything.\That shabby Archer said as much, did he not?\That your ideals were not your own. response:	A man who has created nothing of his own is trying to accomplish something?
context: Is that all you have?\As I thought, you were a fake.\You are incapable of saving anything.\That shabby Archer said as much, did he not?\That your ideals were not your own.\A man who has created nothing of his own is trying to accomplish something? response:	Your arrogance is astonishing.
context: Is that all you have?\As I thought, you were a fake.\You are incapable of saving anything.\That shabby Archer said as much, did he not?\That your ideals were not your own.\A man who has created nothing of his own is trying to accomplish something?\Your arrogance is astonishing. response:	Hero of justice?
context: Is that all you have?\As I thought, you were a fake.\You are incapable of saving anything.\That shabby Archer said as much, did he not?\That your ideals were not your own.\A man who has created nothing of his own is trying to accomplish something?\Your arrogance is astonishing.\Hero of justice? response:	A world where no one is hurt?
context: As I thought, you were a fake.\You are incapable of saving anything.\That shabby Archer said as much, did he not?\That your ideals were not your own.\A man who has created nothing of his own is trying to accomplish something?\Your arrogance is astonishing.\Hero of justice?\A world where no one is hurt? response:	Don't be absurd.
context: You are incapable of saving anything.\That shabby Archer said as much, did he not?\That your ideals were not your own.\A man who has created nothing of his own is trying to accomplish something?\Your arrogance is astonishing.\Hero of justice?\A world where no one is hurt?\Don't be absurd. response:	Humanity is the name for an animal that cannot find joy in life without sacrifice.
context: That shabby Archer said as much, did he not?\That your ideals were not your own.\A man who has created nothing of his own is trying to accomplish something?\Your arrogance is astonishing.\Hero of justice?\A world where no one is hurt?\Don't be absurd.\Humanity is the name for an animal that cannot find joy in life without sacrifice. response:	The pretty lie that is equality
context: That your ideals were not your own.\A man who has created nothing of his own is trying to accomplish something?\Your arrogance is astonishing.\Hero of justice?\A world where no one is hurt?\Don't be absurd.\Humanity is the name for an animal that cannot find joy in life without sacrifice.\The pretty lie that is equality response:	is nonsense spouted by weaklings who cannot look upon the darkness.
context: A man who has created nothing of his own is trying to accomplish something?\Your arrogance is astonishing.\Hero of justice?\A world where no one is hurt?\Don't be absurd.\Humanity is the name for an animal that cannot find joy in life without sacrifice.\The pretty lie that is equality\is nonsense spouted by weaklings who cannot look upon the darkness. response:	Nothing but an excuse to cover up life's ugliness.
context: Your arrogance is astonishing.\Hero of justice?\A world where no one is hurt?\Don't be absurd.\Humanity is the name for an animal that cannot find joy in life without sacrifice.\The pretty lie that is equality\is nonsense spouted by weaklings who cannot look upon the darkness.\Nothing but an excuse to cover up life's ugliness. response:	Yeah, he's exactly right.
context: Hero of justice?\A world where no one is hurt?\Don't be absurd.\Humanity is the name for an animal that cannot find joy in life without sacrifice.\The pretty lie that is equality\is nonsense spouted by weaklings who cannot look upon the darkness.\Nothing but an excuse to cover up life's ugliness.\Yeah, he's exactly right. response:	My feelings are borrowed.
context: A world where no one is hurt?\Don't be absurd.\Humanity is the name for an animal that cannot find joy in life without sacrifice.\The pretty lie that is equality\is nonsense spouted by weaklings who cannot look upon the darkness.\Nothing but an excuse to cover up life's ugliness.\Yeah, he's exactly right.\My feelings are borrowed. response:	A pretense I put on, copied from someone I once saw saving another.
context: Don't be absurd.\Humanity is the name for an animal that cannot find joy in life without sacrifice.\The pretty lie that is equality\is nonsense spouted by weaklings who cannot look upon the darkness.\Nothing but an excuse to cover up life's ugliness.\Yeah, he's exactly right.\My feelings are borrowed.\A pretense I put on, copied from someone I once saw saving another. response:	When it happened, I was empty inside.
context: Humanity is the name for an animal that cannot find joy in life without sacrifice.\The pretty lie that is equality\is nonsense spouted by weaklings who cannot look upon the darkness.\Nothing but an excuse to cover up life's ugliness.\Yeah, he's exactly right.\My feelings are borrowed.\A pretense I put on, copied from someone I once saw saving another.\When it happened, I was empty inside. response:	Everyone was dying indiscriminately,
context: The pretty lie that is equality\is nonsense spouted by weaklings who cannot look upon the darkness.\Nothing but an excuse to cover up life's ugliness.\Yeah, he's exactly right.\My feelings are borrowed.\A pretense I put on, copied from someone I once saw saving another.\When it happened, I was empty inside.\Everyone was dying indiscriminately, response:	and I couldn't save a single one.
context: is nonsense spouted by weaklings who cannot look upon the darkness.\Nothing but an excuse to cover up life's ugliness.\Yeah, he's exactly right.\My feelings are borrowed.\A pretense I put on, copied from someone I once saw saving another.\When it happened, I was empty inside.\Everyone was dying indiscriminately,\and I couldn't save a single one. response:	If I hadn't resigned myself to the idea that that's how people are,
context: Nothing but an excuse to cover up life's ugliness.\Yeah, he's exactly right.\My feelings are borrowed.\A pretense I put on, copied from someone I once saw saving another.\When it happened, I was empty inside.\Everyone was dying indiscriminately,\and I couldn't save a single one.\If I hadn't resigned myself to the idea that that's how people are, response:	I never would have survived.
context: Yeah, he's exactly right.\My feelings are borrowed.\A pretense I put on, copied from someone I once saw saving another.\When it happened, I was empty inside.\Everyone was dying indiscriminately,\and I couldn't save a single one.\If I hadn't resigned myself to the idea that that's how people are,\I never would have survived. response:	That's why...
context: My feelings are borrowed.\A pretense I put on, copied from someone I once saw saving another.\When it happened, I was empty inside.\Everyone was dying indiscriminately,\and I couldn't save a single one.\If I hadn't resigned myself to the idea that that's how people are,\I never would have survived.\That's why... response:	That's precisely why I admired his ideal.
context: A pretense I put on, copied from someone I once saw saving another.\When it happened, I was empty inside.\Everyone was dying indiscriminately,\and I couldn't save a single one.\If I hadn't resigned myself to the idea that that's how people are,\I never would have survived.\That's why...\That's precisely why I admired his ideal. response:	Was that so wrong?
context: When it happened, I was empty inside.\Everyone was dying indiscriminately,\and I couldn't save a single one.\If I hadn't resigned myself to the idea that that's how people are,\I never would have survived.\That's why...\That's precisely why I admired his ideal.\Was that so wrong? response:	Are these feelings fake just because they aren't my own?
context: Everyone was dying indiscriminately,\and I couldn't save a single one.\If I hadn't resigned myself to the idea that that's how people are,\I never would have survived.\That's why...\That's precisely why I admired his ideal.\Was that so wrong?\Are these feelings fake just because they aren't my own? response:	I mustn't achieve that ideal, just because it's fake?
context: and I couldn't save a single one.\If I hadn't resigned myself to the idea that that's how people are,\I never would have survived.\That's why...\That's precisely why I admired his ideal.\Was that so wrong?\Are these feelings fake just because they aren't my own?\I mustn't achieve that ideal, just because it's fake? response:	That's not true.
context: If I hadn't resigned myself to the idea that that's how people are,\I never would have survived.\That's why...\That's precisely why I admired his ideal.\Was that so wrong?\Are these feelings fake just because they aren't my own?\I mustn't achieve that ideal, just because it's fake?\That's not true. response:	I know that's not true.
context: I never would have survived.\That's why...\That's precisely why I admired his ideal.\Was that so wrong?\Are these feelings fake just because they aren't my own?\I mustn't achieve that ideal, just because it's fake?\That's not true.\I know that's not true. response:	It doesn't matter if it's fake. Or an unattainable wish.
context: That's why...\That's precisely why I admired his ideal.\Was that so wrong?\Are these feelings fake just because they aren't my own?\I mustn't achieve that ideal, just because it's fake?\That's not true.\I know that's not true.\It doesn't matter if it's fake. Or an unattainable wish. response:	I know that I can't save everyone.
context: That's precisely why I admired his ideal.\Was that so wrong?\Are these feelings fake just because they aren't my own?\I mustn't achieve that ideal, just because it's fake?\That's not true.\I know that's not true.\It doesn't matter if it's fake. Or an unattainable wish.\I know that I can't save everyone. response:	I know that no one can be saved without sacrifice!
context: Was that so wrong?\Are these feelings fake just because they aren't my own?\I mustn't achieve that ideal, just because it's fake?\That's not true.\I know that's not true.\It doesn't matter if it's fake. Or an unattainable wish.\I know that I can't save everyone.\I know that no one can be saved without sacrifice! response:	Even knowing that it was nothing but an ideal,
context: Are these feelings fake just because they aren't my own?\I mustn't achieve that ideal, just because it's fake?\That's not true.\I know that's not true.\It doesn't matter if it's fake. Or an unattainable wish.\I know that I can't save everyone.\I know that no one can be saved without sacrifice!\Even knowing that it was nothing but an ideal, response:	I only kept chasing after it even harder.
context: I mustn't achieve that ideal, just because it's fake?\That's not true.\I know that's not true.\It doesn't matter if it's fake. Or an unattainable wish.\I know that I can't save everyone.\I know that no one can be saved without sacrifice!\Even knowing that it was nothing but an ideal,\I only kept chasing after it even harder. response:	Even if I hurt one to save the many,
context: That's not true.\I know that's not true.\It doesn't matter if it's fake. Or an unattainable wish.\I know that I can't save everyone.\I know that no one can be saved without sacrifice!\Even knowing that it was nothing but an ideal,\I only kept chasing after it even harder.\Even if I hurt one to save the many, response:	I'll keep pursuing a happy future, where no one will be hurt.
context: I know that's not true.\It doesn't matter if it's fake. Or an unattainable wish.\I know that I can't save everyone.\I know that no one can be saved without sacrifice!\Even knowing that it was nothing but an ideal,\I only kept chasing after it even harder.\Even if I hurt one to save the many,\I'll keep pursuing a happy future, where no one will be hurt. response:	And at the end of everything, this is where he ended up.
context: It doesn't matter if it's fake. Or an unattainable wish.\I know that I can't save everyone.\I know that no one can be saved without sacrifice!\Even knowing that it was nothing but an ideal,\I only kept chasing after it even harder.\Even if I hurt one to save the many,\I'll keep pursuing a happy future, where no one will be hurt.\And at the end of everything, this is where he ended up. response:	A man once told me,
context: I know that I can't save everyone.\I know that no one can be saved without sacrifice!\Even knowing that it was nothing but an ideal,\I only kept chasing after it even harder.\Even if I hurt one to save the many,\I'll keep pursuing a happy future, where no one will be hurt.\And at the end of everything, this is where he ended up.\A man once told me, response:	What you believe in, what you believed in... It's all hypocrisy.
context: I know that no one can be saved without sacrifice!\Even knowing that it was nothing but an ideal,\I only kept chasing after it even harder.\Even if I hurt one to save the many,\I'll keep pursuing a happy future, where no one will be hurt.\And at the end of everything, this is where he ended up.\A man once told me,\What you believe in, what you believed in... It's all hypocrisy. response:	But in spite of that,
context: Even knowing that it was nothing but an ideal,\I only kept chasing after it even harder.\Even if I hurt one to save the many,\I'll keep pursuing a happy future, where no one will be hurt.\And at the end of everything, this is where he ended up.\A man once told me,\What you believe in, what you believed in... It's all hypocrisy.\But in spite of that, response:	the man who said those words stayed true to that same hypocrisy to the end.
context: I only kept chasing after it even harder.\Even if I hurt one to save the many,\I'll keep pursuing a happy future, where no one will be hurt.\And at the end of everything, this is where he ended up.\A man once told me,\What you believe in, what you believed in... It's all hypocrisy.\But in spite of that,\the man who said those words stayed true to that same hypocrisy to the end. response:	Which means that I can do it.
context: Even if I hurt one to save the many,\I'll keep pursuing a happy future, where no one will be hurt.\And at the end of everything, this is where he ended up.\A man once told me,\What you believe in, what you believed in... It's all hypocrisy.\But in spite of that,\the man who said those words stayed true to that same hypocrisy to the end.\Which means that I can do it. response:	Even if it's borrowed, even if it's fake, I don't care.
