context: /** TS by scol **/ last update: 10/10/02 11:25PM PST response:	Let's become manga artists!!
context: /** TS by scol **/ last update: 10/10/02 11:25PM PST\Let's become manga artists!! response:	Original WorkhhhhhhhKawaguchi Tarou
context: /** TS by scol **/ last update: 10/10/02 11:25PM PST\Let's become manga artists!!\Original WorkhhhhhhhKawaguchi Tarou response:	Super
context: /** TS by scol **/ last update: 10/10/02 11:25PM PST\Let's become manga artists!!\Original WorkhhhhhhhKawaguchi Tarou\Super response:	Super
context: /** TS by scol **/ last update: 10/10/02 11:25PM PST\Let's become manga artists!!\Original WorkhhhhhhhKawaguchi Tarou\Super\Super response:	Super
context: /** TS by scol **/ last update: 10/10/02 11:25PM PST\Let's become manga artists!!\Original WorkhhhhhhhKawaguchi Tarou\Super\Super\Super response:	Super
context: /** TS by scol **/ last update: 10/10/02 11:25PM PST\Let's become manga artists!!\Original WorkhhhhhhhKawaguchi Tarou\Super\Super\Super\Super response:	Super
context: /** TS by scol **/ last update: 10/10/02 11:25PM PST\Let's become manga artists!!\Original WorkhhhhhhhKawaguchi Tarou\Super\Super\Super\Super\Super response:	Super
context: Let's become manga artists!!\Original WorkhhhhhhhKawaguchi Tarou\Super\Super\Super\Super\Super\Super response:	Hero - a legend
context: Original WorkhhhhhhhKawaguchi Tarou\Super\Super\Super\Super\Super\Super\Hero - a legend response:	Hero Legend
context: Super\Super\Super\Super\Super\Super\Hero - a legend\Hero Legend response:	Chou Hero Densetsu
context: Super\Super\Super\Super\Super\Hero - a legend\Hero Legend\Chou Hero Densetsu response:	Hero - is cool
context: Super\Super\Super\Super\Hero - a legend\Hero Legend\Chou Hero Densetsu\Hero - is cool response:	SUPER
context: Super\Super\Super\Hero - a legend\Hero Legend\Chou Hero Densetsu\Hero - is cool\SUPER response:	Hero - lives within you
context: Super\Super\Hero - a legend\Hero Legend\Chou Hero Densetsu\Hero - is cool\SUPER\Hero - lives within you response:	Series OrganizerhhhhhhhhhhYoshida Oureiko
context: Super\Hero - a legend\Hero Legend\Chou Hero Densetsu\Hero - is cool\SUPER\Hero - lives within you\Series OrganizerhhhhhhhhhhYoshida Oureiko response:	Hot energy
context: Hero - a legend\Hero Legend\Chou Hero Densetsu\Hero - is cool\SUPER\Hero - lives within you\Series OrganizerhhhhhhhhhhYoshida Oureiko\Hot energy response:	If you're in trouble for some reason
context: Hero Legend\Chou Hero Densetsu\Hero - is cool\SUPER\Hero - lives within you\Series OrganizerhhhhhhhhhhYoshida Oureiko\Hot energy\If you're in trouble for some reason response:	Character DesignhhhhhhhhKamiaya Toshiyuki
context: Chou Hero Densetsu\Hero - is cool\SUPER\Hero - lives within you\Series OrganizerhhhhhhhhhhYoshida Oureiko\Hot energy\If you're in trouble for some reason\Character DesignhhhhhhhhKamiaya Toshiyuki response:	In times like that
context: Hero - is cool\SUPER\Hero - lives within you\Series OrganizerhhhhhhhhhhYoshida Oureiko\Hot energy\If you're in trouble for some reason\Character DesignhhhhhhhhKamiaya Toshiyuki\In times like that response:	Keep smiling!
context: SUPER\Hero - lives within you\Series OrganizerhhhhhhhhhhYoshida Oureiko\Hot energy\If you're in trouble for some reason\Character DesignhhhhhhhhKamiaya Toshiyuki\In times like that\Keep smiling! response:	Stand firm and face your enormous enemy
context: Hero - lives within you\Series OrganizerhhhhhhhhhhYoshida Oureiko\Hot energy\If you're in trouble for some reason\Character DesignhhhhhhhhKamiaya Toshiyuki\In times like that\Keep smiling!\Stand firm and face your enormous enemy response:	Art DirectorhhhhhhhhhhhShibata Chikako
context: Series OrganizerhhhhhhhhhhYoshida Oureiko\Hot energy\If you're in trouble for some reason\Character DesignhhhhhhhhKamiaya Toshiyuki\In times like that\Keep smiling!\Stand firm and face your enormous enemy\Art DirectorhhhhhhhhhhhShibata Chikako response:	Color DesignhhhhhhhhhhhTanahashi Mayumi
context: Hot energy\If you're in trouble for some reason\Character DesignhhhhhhhhKamiaya Toshiyuki\In times like that\Keep smiling!\Stand firm and face your enormous enemy\Art DirectorhhhhhhhhhhhShibata Chikako\Color DesignhhhhhhhhhhhTanahashi Mayumi response:	Photographing SupervisorhhhhhhhhhhhYamaishii Kazuya
context: If you're in trouble for some reason\Character DesignhhhhhhhhKamiaya Toshiyuki\In times like that\Keep smiling!\Stand firm and face your enormous enemy\Art DirectorhhhhhhhhhhhShibata Chikako\Color DesignhhhhhhhhhhhTanahashi Mayumi\Photographing SupervisorhhhhhhhhhhhYamaishii Kazuya response:	Yes, now is the time to rush forth
context: Character DesignhhhhhhhhKamiaya Toshiyuki\In times like that\Keep smiling!\Stand firm and face your enormous enemy\Art DirectorhhhhhhhhhhhShibata Chikako\Color DesignhhhhhhhhhhhTanahashi Mayumi\Photographing SupervisorhhhhhhhhhhhYamaishii Kazuya\Yes, now is the time to rush forth response:	(Music)
context: In times like that\Keep smiling!\Stand firm and face your enormous enemy\Art DirectorhhhhhhhhhhhShibata Chikako\Color DesignhhhhhhhhhhhTanahashi Mayumi\Photographing SupervisorhhhhhhhhhhhYamaishii Kazuya\Yes, now is the time to rush forth\(Music) response:	Sound SupervisionhhhhhhhhWa Tanabejyun
context: Keep smiling!\Stand firm and face your enormous enemy\Art DirectorhhhhhhhhhhhShibata Chikako\Color DesignhhhhhhhhhhhTanahashi Mayumi\Photographing SupervisorhhhhhhhhhhhYamaishii Kazuya\Yes, now is the time to rush forth\(Music)\Sound SupervisionhhhhhhhhWa Tanabejyun response:	Everyone's smile
context: Stand firm and face your enormous enemy\Art DirectorhhhhhhhhhhhShibata Chikako\Color DesignhhhhhhhhhhhTanahashi Mayumi\Photographing SupervisorhhhhhhhhhhhYamaishii Kazuya\Yes, now is the time to rush forth\(Music)\Sound SupervisionhhhhhhhhWa Tanabejyun\Everyone's smile response:	Her smile
context: Art DirectorhhhhhhhhhhhShibata Chikako\Color DesignhhhhhhhhhhhTanahashi Mayumi\Photographing SupervisorhhhhhhhhhhhYamaishii Kazuya\Yes, now is the time to rush forth\(Music)\Sound SupervisionhhhhhhhhWa Tanabejyun\Everyone's smile\Her smile response:	Infinite power builds up when you think of them
context: Color DesignhhhhhhhhhhhTanahashi Mayumi\Photographing SupervisorhhhhhhhhhhhYamaishii Kazuya\Yes, now is the time to rush forth\(Music)\Sound SupervisionhhhhhhhhWa Tanabejyun\Everyone's smile\Her smile\Infinite power builds up when you think of them response:	Hero - a legend
context: Photographing SupervisorhhhhhhhhhhhYamaishii Kazuya\Yes, now is the time to rush forth\(Music)\Sound SupervisionhhhhhhhhWa Tanabejyun\Everyone's smile\Her smile\Infinite power builds up when you think of them\Hero - a legend response:	Opening Theme Chou Hero Densetsu
context: Yes, now is the time to rush forth\(Music)\Sound SupervisionhhhhhhhhWa Tanabejyun\Everyone's smile\Her smile\Infinite power builds up when you think of them\Hero - a legend\Opening Theme Chou Hero Densetsu response:	SongwritinghhhhhKaasui Keniiche
context: (Music)\Sound SupervisionhhhhhhhhWa Tanabejyun\Everyone's smile\Her smile\Infinite power builds up when you think of them\Hero - a legend\Opening Theme Chou Hero Densetsu\SongwritinghhhhhKaasui Keniiche response:	ArrangementhhhhhSuzuki Masaki
context: Sound SupervisionhhhhhhhhWa Tanabejyun\Everyone's smile\Her smile\Infinite power builds up when you think of them\Hero - a legend\Opening Theme Chou Hero Densetsu\SongwritinghhhhhKaasui Keniiche\ArrangementhhhhhSuzuki Masaki response:	SonghhhhhKageyama Hironobu
context: Everyone's smile\Her smile\Infinite power builds up when you think of them\Hero - a legend\Opening Theme Chou Hero Densetsu\SongwritinghhhhhKaasui Keniiche\ArrangementhhhhhSuzuki Masaki\SonghhhhhKageyama Hironobu response:	Hero - really cool
context: Her smile\Infinite power builds up when you think of them\Hero - a legend\Opening Theme Chou Hero Densetsu\SongwritinghhhhhKaasui Keniiche\ArrangementhhhhhSuzuki Masaki\SonghhhhhKageyama Hironobu\Hero - really cool response:	Hero - lives within you
context: Infinite power builds up when you think of them\Hero - a legend\Opening Theme Chou Hero Densetsu\SongwritinghhhhhKaasui Keniiche\ArrangementhhhhhSuzuki Masaki\SonghhhhhKageyama Hironobu\Hero - really cool\Hero - lives within you response:	Animation
context: Hero - a legend\Opening Theme Chou Hero Densetsu\SongwritinghhhhhKaasui Keniiche\ArrangementhhhhhSuzuki Masaki\SonghhhhhKageyama Hironobu\Hero - really cool\Hero - lives within you\Animation response:	Producer
