context: All right! response:	We're done for... This is the end...
context: All right!\We're done for... This is the end... response:	Amnesia Effect!
context: All right!\We're done for... This is the end...\Amnesia Effect! response:	Play The Game...
context: All right!\We're done for... This is the end...\Amnesia Effect!\Play The Game... response:	It's no use.
context: All right!\We're done for... This is the end...\Amnesia Effect!\Play The Game...\It's no use. response:	The wind's too strong.
context: All right!\We're done for... This is the end...\Amnesia Effect!\Play The Game...\It's no use.\The wind's too strong. response:	Let me go!
context: All right!\We're done for... This is the end...\Amnesia Effect!\Play The Game...\It's no use.\The wind's too strong.\Let me go! response:	Hakone City, Ashigarashimo District, Kanagawa Prefecture Strong winds in this area that began after 5:00 PM have peaked and are projected to subside within ten minutes.
context: All right!\We're done for... This is the end...\Amnesia Effect!\Play The Game...\It's no use.\The wind's too strong.\Let me go!\Hakone City, Ashigarashimo District, Kanagawa Prefecture Strong winds in this area that began after 5:00 PM have peaked and are projected to subside within ten minutes. response:	The strong winds around Hakone are
context: We're done for... This is the end...\Amnesia Effect!\Play The Game...\It's no use.\The wind's too strong.\Let me go!\Hakone City, Ashigarashimo District, Kanagawa Prefecture Strong winds in this area that began after 5:00 PM have peaked and are projected to subside within ten minutes.\The strong winds around Hakone are response:	thought to subside within approximately ten minutes.
context: Amnesia Effect!\Play The Game...\It's no use.\The wind's too strong.\Let me go!\Hakone City, Ashigarashimo District, Kanagawa Prefecture Strong winds in this area that began after 5:00 PM have peaked and are projected to subside within ten minutes.\The strong winds around Hakone are\thought to subside within approximately ten minutes. response:	The wind will die down within ten minutes.
context: Play The Game...\It's no use.\The wind's too strong.\Let me go!\Hakone City, Ashigarashimo District, Kanagawa Prefecture Strong winds in this area that began after 5:00 PM have peaked and are projected to subside within ten minutes.\The strong winds around Hakone are\thought to subside within approximately ten minutes.\The wind will die down within ten minutes. response:	Let's stay calm and wait.
context: It's no use.\The wind's too strong.\Let me go!\Hakone City, Ashigarashimo District, Kanagawa Prefecture Strong winds in this area that began after 5:00 PM have peaked and are projected to subside within ten minutes.\The strong winds around Hakone are\thought to subside within approximately ten minutes.\The wind will die down within ten minutes.\Let's stay calm and wait. response:	Don't!
context: The wind's too strong.\Let me go!\Hakone City, Ashigarashimo District, Kanagawa Prefecture Strong winds in this area that began after 5:00 PM have peaked and are projected to subside within ten minutes.\The strong winds around Hakone are\thought to subside within approximately ten minutes.\The wind will die down within ten minutes.\Let's stay calm and wait.\Don't! response:	You'll get flung off!
context: Let me go!\Hakone City, Ashigarashimo District, Kanagawa Prefecture Strong winds in this area that began after 5:00 PM have peaked and are projected to subside within ten minutes.\The strong winds around Hakone are\thought to subside within approximately ten minutes.\The wind will die down within ten minutes.\Let's stay calm and wait.\Don't!\You'll get flung off! response:	Hang in there! It'll be okay!
context: Hakone City, Ashigarashimo District, Kanagawa Prefecture Strong winds in this area that began after 5:00 PM have peaked and are projected to subside within ten minutes.\The strong winds around Hakone are\thought to subside within approximately ten minutes.\The wind will die down within ten minutes.\Let's stay calm and wait.\Don't!\You'll get flung off!\Hang in there! It'll be okay! response:	Just a little longer...
context: The strong winds around Hakone are\thought to subside within approximately ten minutes.\The wind will die down within ten minutes.\Let's stay calm and wait.\Don't!\You'll get flung off!\Hang in there! It'll be okay!\Just a little longer... response:	In two minutes, rescuers will arrive.
context: thought to subside within approximately ten minutes.\The wind will die down within ten minutes.\Let's stay calm and wait.\Don't!\You'll get flung off!\Hang in there! It'll be okay!\Just a little longer...\In two minutes, rescuers will arrive. response:	We will save everyone!
context: The wind will die down within ten minutes.\Let's stay calm and wait.\Don't!\You'll get flung off!\Hang in there! It'll be okay!\Just a little longer...\In two minutes, rescuers will arrive.\We will save everyone! response:	I'm scared and afraid. Please come save us soon!
context: Let's stay calm and wait.\Don't!\You'll get flung off!\Hang in there! It'll be okay!\Just a little longer...\In two minutes, rescuers will arrive.\We will save everyone!\I'm scared and afraid. Please come save us soon! response:	I'm scared and afraid. Please come save us soon! Help will be here in two minutes.
context: Don't!\You'll get flung off!\Hang in there! It'll be okay!\Just a little longer...\In two minutes, rescuers will arrive.\We will save everyone!\I'm scared and afraid. Please come save us soon!\I'm scared and afraid. Please come save us soon! Help will be here in two minutes. response:	Help will be here in two minutes.
context: You'll get flung off!\Hang in there! It'll be okay!\Just a little longer...\In two minutes, rescuers will arrive.\We will save everyone!\I'm scared and afraid. Please come save us soon!\I'm scared and afraid. Please come save us soon! Help will be here in two minutes.\Help will be here in two minutes. response:	Help will be here in two minutes. Please stay calm and follow the rescuers' instructions.
context: Hang in there! It'll be okay!\Just a little longer...\In two minutes, rescuers will arrive.\We will save everyone!\I'm scared and afraid. Please come save us soon!\I'm scared and afraid. Please come save us soon! Help will be here in two minutes.\Help will be here in two minutes.\Help will be here in two minutes. Please stay calm and follow the rescuers' instructions. response:	We'll all be saved!
context: Just a little longer...\In two minutes, rescuers will arrive.\We will save everyone!\I'm scared and afraid. Please come save us soon!\I'm scared and afraid. Please come save us soon! Help will be here in two minutes.\Help will be here in two minutes.\Help will be here in two minutes. Please stay calm and follow the rescuers' instructions.\We'll all be saved! response:	We're done for!
context: In two minutes, rescuers will arrive.\We will save everyone!\I'm scared and afraid. Please come save us soon!\I'm scared and afraid. Please come save us soon! Help will be here in two minutes.\Help will be here in two minutes.\Help will be here in two minutes. Please stay calm and follow the rescuers' instructions.\We'll all be saved!\We're done for! response:	There's no way we'll be saved!
context: We will save everyone!\I'm scared and afraid. Please come save us soon!\I'm scared and afraid. Please come save us soon! Help will be here in two minutes.\Help will be here in two minutes.\Help will be here in two minutes. Please stay calm and follow the rescuers' instructions.\We'll all be saved!\We're done for!\There's no way we'll be saved! response:	I don't believe you!
context: I'm scared and afraid. Please come save us soon!\I'm scared and afraid. Please come save us soon! Help will be here in two minutes.\Help will be here in two minutes.\Help will be here in two minutes. Please stay calm and follow the rescuers' instructions.\We'll all be saved!\We're done for!\There's no way we'll be saved!\I don't believe you! response:	Calm down!
context: I'm scared and afraid. Please come save us soon! Help will be here in two minutes.\Help will be here in two minutes.\Help will be here in two minutes. Please stay calm and follow the rescuers' instructions.\We'll all be saved!\We're done for!\There's no way we'll be saved!\I don't believe you!\Calm down! response:	I didn't believe in GALAXters before, either,
context: Help will be here in two minutes.\Help will be here in two minutes. Please stay calm and follow the rescuers' instructions.\We'll all be saved!\We're done for!\There's no way we'll be saved!\I don't believe you!\Calm down!\I didn't believe in GALAXters before, either, response:	but this saved my life when I got into an accident.
context: Help will be here in two minutes. Please stay calm and follow the rescuers' instructions.\We'll all be saved!\We're done for!\There's no way we'll be saved!\I don't believe you!\Calm down!\I didn't believe in GALAXters before, either,\but this saved my life when I got into an accident. response:	Have faith and wait.
context: We'll all be saved!\We're done for!\There's no way we'll be saved!\I don't believe you!\Calm down!\I didn't believe in GALAXters before, either,\but this saved my life when I got into an accident.\Have faith and wait. response:	GALAX won't abandon us!
context: We're done for!\There's no way we'll be saved!\I don't believe you!\Calm down!\I didn't believe in GALAXters before, either,\but this saved my life when I got into an accident.\Have faith and wait.\GALAX won't abandon us! response:	Help will arrive in 20 seconds. Hang in there!
context: There's no way we'll be saved!\I don't believe you!\Calm down!\I didn't believe in GALAXters before, either,\but this saved my life when I got into an accident.\Have faith and wait.\GALAX won't abandon us!\Help will arrive in 20 seconds. Hang in there! response:	Help will be here in twenty seconds.
context: I don't believe you!\Calm down!\I didn't believe in GALAXters before, either,\but this saved my life when I got into an accident.\Have faith and wait.\GALAX won't abandon us!\Help will arrive in 20 seconds. Hang in there!\Help will be here in twenty seconds. response:	I have faith.
context: Calm down!\I didn't believe in GALAXters before, either,\but this saved my life when I got into an accident.\Have faith and wait.\GALAX won't abandon us!\Help will arrive in 20 seconds. Hang in there!\Help will be here in twenty seconds.\I have faith. response:	Here they are!
context: I didn't believe in GALAXters before, either,\but this saved my life when I got into an accident.\Have faith and wait.\GALAX won't abandon us!\Help will arrive in 20 seconds. Hang in there!\Help will be here in twenty seconds.\I have faith.\Here they are! response:	Help has arrived.
context: but this saved my life when I got into an accident.\Have faith and wait.\GALAX won't abandon us!\Help will arrive in 20 seconds. Hang in there!\Help will be here in twenty seconds.\I have faith.\Here they are!\Help has arrived. response:	It's just like GALAX said.
context: Have faith and wait.\GALAX won't abandon us!\Help will arrive in 20 seconds. Hang in there!\Help will be here in twenty seconds.\I have faith.\Here they are!\Help has arrived.\It's just like GALAX said. response:	Yay!
context: GALAX won't abandon us!\Help will arrive in 20 seconds. Hang in there!\Help will be here in twenty seconds.\I have faith.\Here they are!\Help has arrived.\It's just like GALAX said.\Yay! response:	Thank goodness!
context: Help will arrive in 20 seconds. Hang in there!\Help will be here in twenty seconds.\I have faith.\Here they are!\Help has arrived.\It's just like GALAX said.\Yay!\Thank goodness! response:	We'll now begin rescue operations!
context: Help will be here in twenty seconds.\I have faith.\Here they are!\Help has arrived.\It's just like GALAX said.\Yay!\Thank goodness!\We'll now begin rescue operations! response:	Please let the children and the elderly evacuate first!
context: I have faith.\Here they are!\Help has arrived.\It's just like GALAX said.\Yay!\Thank goodness!\We'll now begin rescue operations!\Please let the children and the elderly evacuate first! response:	I'm sorry to ask, but can children evacuate first?
context: Here they are!\Help has arrived.\It's just like GALAX said.\Yay!\Thank goodness!\We'll now begin rescue operations!\Please let the children and the elderly evacuate first!\I'm sorry to ask, but can children evacuate first? response:	Sure, that's fine.
context: Help has arrived.\It's just like GALAX said.\Yay!\Thank goodness!\We'll now begin rescue operations!\Please let the children and the elderly evacuate first!\I'm sorry to ask, but can children evacuate first?\Sure, that's fine. response:	Of course.
context: It's just like GALAX said.\Yay!\Thank goodness!\We'll now begin rescue operations!\Please let the children and the elderly evacuate first!\I'm sorry to ask, but can children evacuate first?\Sure, that's fine.\Of course. response:	It's okay.
context: Yay!\Thank goodness!\We'll now begin rescue operations!\Please let the children and the elderly evacuate first!\I'm sorry to ask, but can children evacuate first?\Sure, that's fine.\Of course.\It's okay. response:	Don't be scared.
context: Thank goodness!\We'll now begin rescue operations!\Please let the children and the elderly evacuate first!\I'm sorry to ask, but can children evacuate first?\Sure, that's fine.\Of course.\It's okay.\Don't be scared. response:	Okay.
context: We'll now begin rescue operations!\Please let the children and the elderly evacuate first!\I'm sorry to ask, but can children evacuate first?\Sure, that's fine.\Of course.\It's okay.\Don't be scared.\Okay. response:	You're not human, are you?
context: Please let the children and the elderly evacuate first!\I'm sorry to ask, but can children evacuate first?\Sure, that's fine.\Of course.\It's okay.\Don't be scared.\Okay.\You're not human, are you? response:	Okay, this planet is finished.
context: I'm sorry to ask, but can children evacuate first?\Sure, that's fine.\Of course.\It's okay.\Don't be scared.\Okay.\You're not human, are you?\Okay, this planet is finished. response:	No one... No one will be spared.
context: Sure, that's fine.\Of course.\It's okay.\Don't be scared.\Okay.\You're not human, are you?\Okay, this planet is finished.\No one... No one will be spared. response:	Amnesia Effect!
context: Of course.\It's okay.\Don't be scared.\Okay.\You're not human, are you?\Okay, this planet is finished.\No one... No one will be spared.\Amnesia Effect! response:	Go, Bird!
context: It's okay.\Don't be scared.\Okay.\You're not human, are you?\Okay, this planet is finished.\No one... No one will be spared.\Amnesia Effect!\Go, Bird! response:	Everyone will go up in a big, red blaze!
context: Don't be scared.\Okay.\You're not human, are you?\Okay, this planet is finished.\No one... No one will be spared.\Amnesia Effect!\Go, Bird!\Everyone will go up in a big, red blaze! response:	Burning Rain!
context: Okay.\You're not human, are you?\Okay, this planet is finished.\No one... No one will be spared.\Amnesia Effect!\Go, Bird!\Everyone will go up in a big, red blaze!\Burning Rain! response:	Everyone believed they'd be saved.
context: You're not human, are you?\Okay, this planet is finished.\No one... No one will be spared.\Amnesia Effect!\Go, Bird!\Everyone will go up in a big, red blaze!\Burning Rain!\Everyone believed they'd be saved. response:	There were lots of people who use GALAX,
context: Okay, this planet is finished.\No one... No one will be spared.\Amnesia Effect!\Go, Bird!\Everyone will go up in a big, red blaze!\Burning Rain!\Everyone believed they'd be saved.\There were lots of people who use GALAX, response:	and they explained what was going on to us.
context: No one... No one will be spared.\Amnesia Effect!\Go, Bird!\Everyone will go up in a big, red blaze!\Burning Rain!\Everyone believed they'd be saved.\There were lots of people who use GALAX,\and they explained what was going on to us. response:	GALAX's information was accurate.
context: Amnesia Effect!\Go, Bird!\Everyone will go up in a big, red blaze!\Burning Rain!\Everyone believed they'd be saved.\There were lots of people who use GALAX,\and they explained what was going on to us.\GALAX's information was accurate. response:	It seems some of the rescuers were GALAXters, too.
context: Go, Bird!\Everyone will go up in a big, red blaze!\Burning Rain!\Everyone believed they'd be saved.\There were lots of people who use GALAX,\and they explained what was going on to us.\GALAX's information was accurate.\It seems some of the rescuers were GALAXters, too. response:	It was everywhere.
context: Everyone will go up in a big, red blaze!\Burning Rain!\Everyone believed they'd be saved.\There were lots of people who use GALAX,\and they explained what was going on to us.\GALAX's information was accurate.\It seems some of the rescuers were GALAXters, too.\It was everywhere. response:	Good work, everyone.
context: Burning Rain!\Everyone believed they'd be saved.\There were lots of people who use GALAX,\and they explained what was going on to us.\GALAX's information was accurate.\It seems some of the rescuers were GALAXters, too.\It was everywhere.\Good work, everyone. response:	The world has been updated.
context: Everyone believed they'd be saved.\There were lots of people who use GALAX,\and they explained what was going on to us.\GALAX's information was accurate.\It seems some of the rescuers were GALAXters, too.\It was everywhere.\Good work, everyone.\The world has been updated. response:	There were no victims.
context: There were lots of people who use GALAX,\and they explained what was going on to us.\GALAX's information was accurate.\It seems some of the rescuers were GALAXters, too.\It was everywhere.\Good work, everyone.\The world has been updated.\There were no victims. response:	Rui, it was thanks to your timely decision-making.
context: and they explained what was going on to us.\GALAX's information was accurate.\It seems some of the rescuers were GALAXters, too.\It was everywhere.\Good work, everyone.\The world has been updated.\There were no victims.\Rui, it was thanks to your timely decision-making. response:	Is something the matter, Rui?
context: GALAX's information was accurate.\It seems some of the rescuers were GALAXters, too.\It was everywhere.\Good work, everyone.\The world has been updated.\There were no victims.\Rui, it was thanks to your timely decision-making.\Is something the matter, Rui? response:	I wasn't the one who saved them.
context: It seems some of the rescuers were GALAXters, too.\It was everywhere.\Good work, everyone.\The world has been updated.\There were no victims.\Rui, it was thanks to your timely decision-making.\Is something the matter, Rui?\I wasn't the one who saved them. response:	It was CROWDS.
context: It was everywhere.\Good work, everyone.\The world has been updated.\There were no victims.\Rui, it was thanks to your timely decision-making.\Is something the matter, Rui?\I wasn't the one who saved them.\It was CROWDS. response:	It's all your guys' fault. Do you even get that?
context: Good work, everyone.\The world has been updated.\There were no victims.\Rui, it was thanks to your timely decision-making.\Is something the matter, Rui?\I wasn't the one who saved them.\It was CROWDS.\It's all your guys' fault. Do you even get that? response:	What do you mean?
context: The world has been updated.\There were no victims.\Rui, it was thanks to your timely decision-making.\Is something the matter, Rui?\I wasn't the one who saved them.\It was CROWDS.\It's all your guys' fault. Do you even get that?\What do you mean? response:	You guys are primitive.
context: There were no victims.\Rui, it was thanks to your timely decision-making.\Is something the matter, Rui?\I wasn't the one who saved them.\It was CROWDS.\It's all your guys' fault. Do you even get that?\What do you mean?\You guys are primitive. response:	Burning...
context: Rui, it was thanks to your timely decision-making.\Is something the matter, Rui?\I wasn't the one who saved them.\It was CROWDS.\It's all your guys' fault. Do you even get that?\What do you mean?\You guys are primitive.\Burning... response:	Go, B-B-B-B-B-Bird!
context: Is something the matter, Rui?\I wasn't the one who saved them.\It was CROWDS.\It's all your guys' fault. Do you even get that?\What do you mean?\You guys are primitive.\Burning...\Go, B-B-B-B-B-Bird! response:	What?!
context: I wasn't the one who saved them.\It was CROWDS.\It's all your guys' fault. Do you even get that?\What do you mean?\You guys are primitive.\Burning...\Go, B-B-B-B-B-Bird!\What?! response:	Oh, my! MESSY's way too sensitive!
context: It was CROWDS.\It's all your guys' fault. Do you even get that?\What do you mean?\You guys are primitive.\Burning...\Go, B-B-B-B-B-Bird!\What?!\Oh, my! MESSY's way too sensitive! response:	Yeah, isn't it awesome?
