context: I was wrong. response:	These pieces of shit in this castle are a blight!
context: I was wrong.\These pieces of shit in this castle are a blight! response:	I will carve them up...
context: I was wrong.\These pieces of shit in this castle are a blight!\I will carve them up... response:	Go through everything, including documents and maps.
context: I was wrong.\These pieces of shit in this castle are a blight!\I will carve them up...\Go through everything, including documents and maps. response:	Act 6 Men of Destiny
context: I was wrong.\These pieces of shit in this castle are a blight!\I will carve them up...\Go through everything, including documents and maps.\Act 6 Men of Destiny response:	Don't miss anything, not even scribbles. We're taking everything.
context: I was wrong.\These pieces of shit in this castle are a blight!\I will carve them up...\Go through everything, including documents and maps.\Act 6 Men of Destiny\Don't miss anything, not even scribbles. We're taking everything. response:	You... You really did... take over the castle.
context: I was wrong.\These pieces of shit in this castle are a blight!\I will carve them up...\Go through everything, including documents and maps.\Act 6 Men of Destiny\Don't miss anything, not even scribbles. We're taking everything.\You... You really did... take over the castle. response:	Oh, here you are, Olmi-Boobs.
context: I was wrong.\These pieces of shit in this castle are a blight!\I will carve them up...\Go through everything, including documents and maps.\Act 6 Men of Destiny\Don't miss anything, not even scribbles. We're taking everything.\You... You really did... take over the castle.\Oh, here you are, Olmi-Boobs. response:	I don't even have the energy to argue anymore.
context: These pieces of shit in this castle are a blight!\I will carve them up...\Go through everything, including documents and maps.\Act 6 Men of Destiny\Don't miss anything, not even scribbles. We're taking everything.\You... You really did... take over the castle.\Oh, here you are, Olmi-Boobs.\I don't even have the energy to argue anymore. response:	If you give in, it will be the end of the battle.
context: I will carve them up...\Go through everything, including documents and maps.\Act 6 Men of Destiny\Don't miss anything, not even scribbles. We're taking everything.\You... You really did... take over the castle.\Oh, here you are, Olmi-Boobs.\I don't even have the energy to argue anymore.\If you give in, it will be the end of the battle. response:	Moving on...
context: Go through everything, including documents and maps.\Act 6 Men of Destiny\Don't miss anything, not even scribbles. We're taking everything.\You... You really did... take over the castle.\Oh, here you are, Olmi-Boobs.\I don't even have the energy to argue anymore.\If you give in, it will be the end of the battle.\Moving on... response:	Hey. Who is this?
context: Act 6 Men of Destiny\Don't miss anything, not even scribbles. We're taking everything.\You... You really did... take over the castle.\Oh, here you are, Olmi-Boobs.\I don't even have the energy to argue anymore.\If you give in, it will be the end of the battle.\Moving on...\Hey. Who is this? response:	It's a huge portrait.
context: Don't miss anything, not even scribbles. We're taking everything.\You... You really did... take over the castle.\Oh, here you are, Olmi-Boobs.\I don't even have the energy to argue anymore.\If you give in, it will be the end of the battle.\Moving on...\Hey. Who is this?\It's a huge portrait. response:	He is the Father of Orte,
