context: 5 Days Until the Prefectural Tournament!! response:	Amazing, Haruka-senpai!
context: 5 Days Until the Prefectural Tournament!!\Amazing, Haruka-senpai! response:	That's another personal best!
context: 5 Days Until the Prefectural Tournament!!\Amazing, Haruka-senpai!\That's another personal best! response:	The training camp from hell paid off!
context: 5 Days Until the Prefectural Tournament!!\Amazing, Haruka-senpai!\That's another personal best!\The training camp from hell paid off! response:	What about me?
context: 5 Days Until the Prefectural Tournament!!\Amazing, Haruka-senpai!\That's another personal best!\The training camp from hell paid off!\What about me? response:	You need to work a little harder, Nagisa-kun.
context: 5 Days Until the Prefectural Tournament!!\Amazing, Haruka-senpai!\That's another personal best!\The training camp from hell paid off!\What about me?\You need to work a little harder, Nagisa-kun. response:	Still, I think we've all come a long way in such a short time.
context: 5 Days Until the Prefectural Tournament!!\Amazing, Haruka-senpai!\That's another personal best!\The training camp from hell paid off!\What about me?\You need to work a little harder, Nagisa-kun.\Still, I think we've all come a long way in such a short time. response:	And Rei's been improving his butterfly time.
context: 5 Days Until the Prefectural Tournament!!\Amazing, Haruka-senpai!\That's another personal best!\The training camp from hell paid off!\What about me?\You need to work a little harder, Nagisa-kun.\Still, I think we've all come a long way in such a short time.\And Rei's been improving his butterfly time. response:	It helps that Rei-kun is pretty built from the pole vaulting he's done.
context: Amazing, Haruka-senpai!\That's another personal best!\The training camp from hell paid off!\What about me?\You need to work a little harder, Nagisa-kun.\Still, I think we've all come a long way in such a short time.\And Rei's been improving his butterfly time.\It helps that Rei-kun is pretty built from the pole vaulting he's done. response:	But!
context: That's another personal best!\The training camp from hell paid off!\What about me?\You need to work a little harder, Nagisa-kun.\Still, I think we've all come a long way in such a short time.\And Rei's been improving his butterfly time.\It helps that Rei-kun is pretty built from the pole vaulting he's done.\But! response:	That's not good enough!
context: The training camp from hell paid off!\What about me?\You need to work a little harder, Nagisa-kun.\Still, I think we've all come a long way in such a short time.\And Rei's been improving his butterfly time.\It helps that Rei-kun is pretty built from the pole vaulting he's done.\But!\That's not good enough! response:	We must aim higher!
context: What about me?\You need to work a little harder, Nagisa-kun.\Still, I think we've all come a long way in such a short time.\And Rei's been improving his butterfly time.\It helps that Rei-kun is pretty built from the pole vaulting he's done.\But!\That's not good enough!\We must aim higher! response:	Find a proper coach!
context: You need to work a little harder, Nagisa-kun.\Still, I think we've all come a long way in such a short time.\And Rei's been improving his butterfly time.\It helps that Rei-kun is pretty built from the pole vaulting he's done.\But!\That's not good enough!\We must aim higher!\Find a proper coach! response:	What? Find a coach now?
context: Still, I think we've all come a long way in such a short time.\And Rei's been improving his butterfly time.\It helps that Rei-kun is pretty built from the pole vaulting he's done.\But!\That's not good enough!\We must aim higher!\Find a proper coach!\What? Find a coach now? response:	It's never too late to start.
context: And Rei's been improving his butterfly time.\It helps that Rei-kun is pretty built from the pole vaulting he's done.\But!\That's not good enough!\We must aim higher!\Find a proper coach!\What? Find a coach now?\It's never too late to start. response:	Even if someone can just help provide some last-minute conditioning,
context: It helps that Rei-kun is pretty built from the pole vaulting he's done.\But!\That's not good enough!\We must aim higher!\Find a proper coach!\What? Find a coach now?\It's never too late to start.\Even if someone can just help provide some last-minute conditioning, response:	we'll be in better condition for the tournament!
context: But!\That's not good enough!\We must aim higher!\Find a proper coach!\What? Find a coach now?\It's never too late to start.\Even if someone can just help provide some last-minute conditioning,\we'll be in better condition for the tournament! response:	A coach would certainly help, but there's nobody available
context: That's not good enough!\We must aim higher!\Find a proper coach!\What? Find a coach now?\It's never too late to start.\Even if someone can just help provide some last-minute conditioning,\we'll be in better condition for the tournament!\A coach would certainly help, but there's nobody available response:	That's why we have to look harder!
context: We must aim higher!\Find a proper coach!\What? Find a coach now?\It's never too late to start.\Even if someone can just help provide some last-minute conditioning,\we'll be in better condition for the tournament!\A coach would certainly help, but there's nobody available\That's why we have to look harder! response:	Not necessary.
context: Find a proper coach!\What? Find a coach now?\It's never too late to start.\Even if someone can just help provide some last-minute conditioning,\we'll be in better condition for the tournament!\A coach would certainly help, but there's nobody available\That's why we have to look harder!\Not necessary. response:	Yeah, Haru probably doesn't need a coach.
context: What? Find a coach now?\It's never too late to start.\Even if someone can just help provide some last-minute conditioning,\we'll be in better condition for the tournament!\A coach would certainly help, but there's nobody available\That's why we have to look harder!\Not necessary.\Yeah, Haru probably doesn't need a coach. response:	Nanase
context: It's never too late to start.\Even if someone can just help provide some last-minute conditioning,\we'll be in better condition for the tournament!\A coach would certainly help, but there's nobody available\That's why we have to look harder!\Not necessary.\Yeah, Haru probably doesn't need a coach.\Nanase response:	One Style Final!
context: Even if someone can just help provide some last-minute conditioning,\we'll be in better condition for the tournament!\A coach would certainly help, but there's nobody available\That's why we have to look harder!\Not necessary.\Yeah, Haru probably doesn't need a coach.\Nanase\One Style Final! response:	He's not home?
context: we'll be in better condition for the tournament!\A coach would certainly help, but there's nobody available\That's why we have to look harder!\Not necessary.\Yeah, Haru probably doesn't need a coach.\Nanase\One Style Final!\He's not home? response:	Oh.
context: A coach would certainly help, but there's nobody available\That's why we have to look harder!\Not necessary.\Yeah, Haru probably doesn't need a coach.\Nanase\One Style Final!\He's not home?\Oh. response:	The door's unlocked.
context: That's why we have to look harder!\Not necessary.\Yeah, Haru probably doesn't need a coach.\Nanase\One Style Final!\He's not home?\Oh.\The door's unlocked. response:	I'm coming in.
context: Not necessary.\Yeah, Haru probably doesn't need a coach.\Nanase\One Style Final!\He's not home?\Oh.\The door's unlocked.\I'm coming in. response:	Why are you here?
context: Yeah, Haru probably doesn't need a coach.\Nanase\One Style Final!\He's not home?\Oh.\The door's unlocked.\I'm coming in.\Why are you here? response:	Oh, you're home.
context: Nanase\One Style Final!\He's not home?\Oh.\The door's unlocked.\I'm coming in.\Why are you here?\Oh, you're home. response:	I'm here to challenge you to a race, obviously.
context: One Style Final!\He's not home?\Oh.\The door's unlocked.\I'm coming in.\Why are you here?\Oh, you're home.\I'm here to challenge you to a race, obviously. response:	I only swim free.
context: He's not home?\Oh.\The door's unlocked.\I'm coming in.\Why are you here?\Oh, you're home.\I'm here to challenge you to a race, obviously.\I only swim free. response:	Wait!
context: Oh.\The door's unlocked.\I'm coming in.\Why are you here?\Oh, you're home.\I'm here to challenge you to a race, obviously.\I only swim free.\Wait! response:	Come on.
context: The door's unlocked.\I'm coming in.\Why are you here?\Oh, you're home.\I'm here to challenge you to a race, obviously.\I only swim free.\Wait!\Come on. response:	I'll show you how different we are now.
context: I'm coming in.\Why are you here?\Oh, you're home.\I'm here to challenge you to a race, obviously.\I only swim free.\Wait!\Come on.\I'll show you how different we are now. response:	Dad?
context: Why are you here?\Oh, you're home.\I'm here to challenge you to a race, obviously.\I only swim free.\Wait!\Come on.\I'll show you how different we are now.\Dad? response:	Why?
context: Oh, you're home.\I'm here to challenge you to a race, obviously.\I only swim free.\Wait!\Come on.\I'll show you how different we are now.\Dad?\Why? response:	Dad!
context: I'm here to challenge you to a race, obviously.\I only swim free.\Wait!\Come on.\I'll show you how different we are now.\Dad?\Why?\Dad! response:	Senpai...
context: I only swim free.\Wait!\Come on.\I'll show you how different we are now.\Dad?\Why?\Dad!\Senpai... response:	Are you okay?
context: Wait!\Come on.\I'll show you how different we are now.\Dad?\Why?\Dad!\Senpai...\Are you okay? response:	Were you having a nightmare?
context: Come on.\I'll show you how different we are now.\Dad?\Why?\Dad!\Senpai...\Are you okay?\Were you having a nightmare? response:	Everyone, I printed out the pictures from our training camp.
context: I'll show you how different we are now.\Dad?\Why?\Dad!\Senpai...\Are you okay?\Were you having a nightmare?\Everyone, I printed out the pictures from our training camp. response:	Lemme see!
context: Dad?\Why?\Dad!\Senpai...\Are you okay?\Were you having a nightmare?\Everyone, I printed out the pictures from our training camp.\Lemme see! response:	Yes, yes.
context: Why?\Dad!\Senpai...\Are you okay?\Were you having a nightmare?\Everyone, I printed out the pictures from our training camp.\Lemme see!\Yes, yes. response:	You took a whole bunch.
context: Dad!\Senpai...\Are you okay?\Were you having a nightmare?\Everyone, I printed out the pictures from our training camp.\Lemme see!\Yes, yes.\You took a whole bunch. response:	Everybody's having fun.
context: Senpai...\Are you okay?\Were you having a nightmare?\Everyone, I printed out the pictures from our training camp.\Lemme see!\Yes, yes.\You took a whole bunch.\Everybody's having fun. response:	Look at this!
