context: Kochi kite hayaku! Kochi kite suguni! response:	Hurry over here! Come over here now!
context: Kochi kite hayaku! Kochi kite suguni!\Hurry over here! Come over here now! response:	San-nin mou jishitsuwase
context: Kochi kite hayaku! Kochi kite suguni!\Hurry over here! Come over here now!\San-nin mou jishitsuwase response:	We need all three of us!
context: Kochi kite hayaku! Kochi kite suguni!\Hurry over here! Come over here now!\San-nin mou jishitsuwase\We need all three of us! response:	Jugyou no ato de Sensei ni Bye Bye!
context: Kochi kite hayaku! Kochi kite suguni!\Hurry over here! Come over here now!\San-nin mou jishitsuwase\We need all three of us!\Jugyou no ato de Sensei ni Bye Bye! response:	O!
context: Kochi kite hayaku! Kochi kite suguni!\Hurry over here! Come over here now!\San-nin mou jishitsuwase\We need all three of us!\Jugyou no ato de Sensei ni Bye Bye!\O! response:	Say Bye Bye to the teacher after school!
context: Kochi kite hayaku! Kochi kite suguni!\Hurry over here! Come over here now!\San-nin mou jishitsuwase\We need all three of us!\Jugyou no ato de Sensei ni Bye Bye!\O!\Say Bye Bye to the teacher after school! response:	Taisou fuku wa motte kaeru
context: Kochi kite hayaku! Kochi kite suguni!\Hurry over here! Come over here now!\San-nin mou jishitsuwase\We need all three of us!\Jugyou no ato de Sensei ni Bye Bye!\O!\Say Bye Bye to the teacher after school!\Taisou fuku wa motte kaeru response:	Get my P.E uniform and go home!
context: Hurry over here! Come over here now!\San-nin mou jishitsuwase\We need all three of us!\Jugyou no ato de Sensei ni Bye Bye!\O!\Say Bye Bye to the teacher after school!\Taisou fuku wa motte kaeru\Get my P.E uniform and go home! response:	Koutei shuugou asobimasuka
context: San-nin mou jishitsuwase\We need all three of us!\Jugyou no ato de Sensei ni Bye Bye!\O!\Say Bye Bye to the teacher after school!\Taisou fuku wa motte kaeru\Get my P.E uniform and go home!\Koutei shuugou asobimasuka response:	Wanna play in the school yard?
context: We need all three of us!\Jugyou no ato de Sensei ni Bye Bye!\O!\Say Bye Bye to the teacher after school!\Taisou fuku wa motte kaeru\Get my P.E uniform and go home!\Koutei shuugou asobimasuka\Wanna play in the school yard? response:	Demo demo datte iiwake shinai no
context: Jugyou no ato de Sensei ni Bye Bye!\O!\Say Bye Bye to the teacher after school!\Taisou fuku wa motte kaeru\Get my P.E uniform and go home!\Koutei shuugou asobimasuka\Wanna play in the school yard?\Demo demo datte iiwake shinai no response:	But but I wont make any excuses
context: O!\Say Bye Bye to the teacher after school!\Taisou fuku wa motte kaeru\Get my P.E uniform and go home!\Koutei shuugou asobimasuka\Wanna play in the school yard?\Demo demo datte iiwake shinai no\But but I wont make any excuses response:	Shukudai nante hottoko yo
context: Say Bye Bye to the teacher after school!\Taisou fuku wa motte kaeru\Get my P.E uniform and go home!\Koutei shuugou asobimasuka\Wanna play in the school yard?\Demo demo datte iiwake shinai no\But but I wont make any excuses\Shukudai nante hottoko yo response:	Who cares about homework!
context: Taisou fuku wa motte kaeru\Get my P.E uniform and go home!\Koutei shuugou asobimasuka\Wanna play in the school yard?\Demo demo datte iiwake shinai no\But but I wont make any excuses\Shukudai nante hottoko yo\Who cares about homework! response:	Tetsubou shuugou mawarimasu yo
context: Get my P.E uniform and go home!\Koutei shuugou asobimasuka\Wanna play in the school yard?\Demo demo datte iiwake shinai no\But but I wont make any excuses\Shukudai nante hottoko yo\Who cares about homework!\Tetsubou shuugou mawarimasu yo response:	Just swing around the metal bar in the yard.
context: Koutei shuugou asobimasuka\Wanna play in the school yard?\Demo demo datte iiwake shinai no\But but I wont make any excuses\Shukudai nante hottoko yo\Who cares about homework!\Tetsubou shuugou mawarimasu yo\Just swing around the metal bar in the yard. response:	randoseru wa sou akai tsuyoi
context: Wanna play in the school yard?\Demo demo datte iiwake shinai no\But but I wont make any excuses\Shukudai nante hottoko yo\Who cares about homework!\Tetsubou shuugou mawarimasu yo\Just swing around the metal bar in the yard.\randoseru wa sou akai tsuyoi response:	Our bag is all red and mighty!
context: Demo demo datte iiwake shinai no\But but I wont make any excuses\Shukudai nante hottoko yo\Who cares about homework!\Tetsubou shuugou mawarimasu yo\Just swing around the metal bar in the yard.\randoseru wa sou akai tsuyoi\Our bag is all red and mighty! response:	hitotsu futatsu
context: But but I wont make any excuses\Shukudai nante hottoko yo\Who cares about homework!\Tetsubou shuugou mawarimasu yo\Just swing around the metal bar in the yard.\randoseru wa sou akai tsuyoi\Our bag is all red and mighty!\hitotsu futatsu response:	One, Two..
context: Shukudai nante hottoko yo\Who cares about homework!\Tetsubou shuugou mawarimasu yo\Just swing around the metal bar in the yard.\randoseru wa sou akai tsuyoi\Our bag is all red and mighty!\hitotsu futatsu\One, Two.. response:	mitsu narabete mujubaku naru
context: Who cares about homework!\Tetsubou shuugou mawarimasu yo\Just swing around the metal bar in the yard.\randoseru wa sou akai tsuyoi\Our bag is all red and mighty!\hitotsu futatsu\One, Two..\mitsu narabete mujubaku naru response:	The three of us make no sense!
context: Tetsubou shuugou mawarimasu yo\Just swing around the metal bar in the yard.\randoseru wa sou akai tsuyoi\Our bag is all red and mighty!\hitotsu futatsu\One, Two..\mitsu narabete mujubaku naru\The three of us make no sense! response:	houkago wa dashu!
context: Just swing around the metal bar in the yard.\randoseru wa sou akai tsuyoi\Our bag is all red and mighty!\hitotsu futatsu\One, Two..\mitsu narabete mujubaku naru\The three of us make no sense!\houkago wa dashu! response:	After school, you dash!
context: randoseru wa sou akai tsuyoi\Our bag is all red and mighty!\hitotsu futatsu\One, Two..\mitsu narabete mujubaku naru\The three of us make no sense!\houkago wa dashu!\After school, you dash! response:	abarete wasurede genki dashite
context: Our bag is all red and mighty!\hitotsu futatsu\One, Two..\mitsu narabete mujubaku naru\The three of us make no sense!\houkago wa dashu!\After school, you dash!\abarete wasurede genki dashite response:	Just forget all about it!
context: hitotsu futatsu\One, Two..\mitsu narabete mujubaku naru\The three of us make no sense!\houkago wa dashu!\After school, you dash!\abarete wasurede genki dashite\Just forget all about it! response:	Ignored.
context: One, Two..\mitsu narabete mujubaku naru\The three of us make no sense!\houkago wa dashu!\After school, you dash!\abarete wasurede genki dashite\Just forget all about it!\Ignored. response:	Sen Nou!
context: mitsu narabete mujubaku naru\The three of us make no sense!\houkago wa dashu!\After school, you dash!\abarete wasurede genki dashite\Just forget all about it!\Ignored.\Sen Nou! response:	One, Two!
context: The three of us make no sense!\houkago wa dashu!\After school, you dash!\abarete wasurede genki dashite\Just forget all about it!\Ignored.\Sen Nou!\One, Two! response:	Oni-san, achira! sono kado magaru
context: houkago wa dashu!\After school, you dash!\abarete wasurede genki dashite\Just forget all about it!\Ignored.\Sen Nou!\One, Two!\Oni-san, achira! sono kado magaru response:	HSO
context: After school, you dash!\abarete wasurede genki dashite\Just forget all about it!\Ignored.\Sen Nou!\One, Two!\Oni-san, achira! sono kado magaru\HSO response:	Hey, its over there! Round the corner!
