context: I want to go back to that time again. response:	I want to become small again.
context: I want to go back to that time again.\I want to become small again. response:	Minami-kun...
context: I want to go back to that time again.\I want to become small again.\Minami-kun... response:	Where are you, Chiyomi?
context: I want to go back to that time again.\I want to become small again.\Minami-kun...\Where are you, Chiyomi? response:	Here! I'm over here! Minami-kun!
context: I want to go back to that time again.\I want to become small again.\Minami-kun...\Where are you, Chiyomi?\Here! I'm over here! Minami-kun! response:	You're in Tokyo?
context: I want to go back to that time again.\I want to become small again.\Minami-kun...\Where are you, Chiyomi?\Here! I'm over here! Minami-kun!\You're in Tokyo? response:	Hey, what are you thinking?
context: I want to go back to that time again.\I want to become small again.\Minami-kun...\Where are you, Chiyomi?\Here! I'm over here! Minami-kun!\You're in Tokyo?\Hey, what are you thinking? response:	So, I told you yesterday.
context: I want to go back to that time again.\I want to become small again.\Minami-kun...\Where are you, Chiyomi?\Here! I'm over here! Minami-kun!\You're in Tokyo?\Hey, what are you thinking?\So, I told you yesterday. response:	About the dance workshop.
context: I want to become small again.\Minami-kun...\Where are you, Chiyomi?\Here! I'm over here! Minami-kun!\You're in Tokyo?\Hey, what are you thinking?\So, I told you yesterday.\About the dance workshop. response:	Please let me stay with you.
context: Minami-kun...\Where are you, Chiyomi?\Here! I'm over here! Minami-kun!\You're in Tokyo?\Hey, what are you thinking?\So, I told you yesterday.\About the dance workshop.\Please let me stay with you. response:	Your dad disappeared, right?
context: Where are you, Chiyomi?\Here! I'm over here! Minami-kun!\You're in Tokyo?\Hey, what are you thinking?\So, I told you yesterday.\About the dance workshop.\Please let me stay with you.\Your dad disappeared, right? response:	He made a lover and left us. I don't consider him as my dad.
context: Here! I'm over here! Minami-kun!\You're in Tokyo?\Hey, what are you thinking?\So, I told you yesterday.\About the dance workshop.\Please let me stay with you.\Your dad disappeared, right?\He made a lover and left us. I don't consider him as my dad. response:	Damn you!
context: You're in Tokyo?\Hey, what are you thinking?\So, I told you yesterday.\About the dance workshop.\Please let me stay with you.\Your dad disappeared, right?\He made a lover and left us. I don't consider him as my dad.\Damn you! response:	Could she be... a burglar?
context: Hey, what are you thinking?\So, I told you yesterday.\About the dance workshop.\Please let me stay with you.\Your dad disappeared, right?\He made a lover and left us. I don't consider him as my dad.\Damn you!\Could she be... a burglar? response:	You really sent her the divorce paper, didn't you?
context: So, I told you yesterday.\About the dance workshop.\Please let me stay with you.\Your dad disappeared, right?\He made a lover and left us. I don't consider him as my dad.\Damn you!\Could she be... a burglar?\You really sent her the divorce paper, didn't you? response:	I sure did. She said she signed it when I called her the other day.
context: About the dance workshop.\Please let me stay with you.\Your dad disappeared, right?\He made a lover and left us. I don't consider him as my dad.\Damn you!\Could she be... a burglar?\You really sent her the divorce paper, didn't you?\I sure did. She said she signed it when I called her the other day. response:	Then, why didn't she turn it in already?
context: Please let me stay with you.\Your dad disappeared, right?\He made a lover and left us. I don't consider him as my dad.\Damn you!\Could she be... a burglar?\You really sent her the divorce paper, didn't you?\I sure did. She said she signed it when I called her the other day.\Then, why didn't she turn it in already? response:	What?
context: Your dad disappeared, right?\He made a lover and left us. I don't consider him as my dad.\Damn you!\Could she be... a burglar?\You really sent her the divorce paper, didn't you?\I sure did. She said she signed it when I called her the other day.\Then, why didn't she turn it in already?\What? response:	Timing and Subtitles brought to you by The Little Lover Team @Viki
context: He made a lover and left us. I don't consider him as my dad.\Damn you!\Could she be... a burglar?\You really sent her the divorce paper, didn't you?\I sure did. She said she signed it when I called her the other day.\Then, why didn't she turn it in already?\What?\Timing and Subtitles brought to you by The Little Lover Team @Viki response:	Here you go.
context: Damn you!\Could she be... a burglar?\You really sent her the divorce paper, didn't you?\I sure did. She said she signed it when I called her the other day.\Then, why didn't she turn it in already?\What?\Timing and Subtitles brought to you by The Little Lover Team @Viki\Here you go. response:	The sea breeze feels so nice.
context: Could she be... a burglar?\You really sent her the divorce paper, didn't you?\I sure did. She said she signed it when I called her the other day.\Then, why didn't she turn it in already?\What?\Timing and Subtitles brought to you by The Little Lover Team @Viki\Here you go.\The sea breeze feels so nice. response:	It's been already three weeks since I started living with Minami-kun.
context: You really sent her the divorce paper, didn't you?\I sure did. She said she signed it when I called her the other day.\Then, why didn't she turn it in already?\What?\Timing and Subtitles brought to you by The Little Lover Team @Viki\Here you go.\The sea breeze feels so nice.\It's been already three weeks since I started living with Minami-kun. response:	My feelings for Minami-kun has been growing rapidly.
context: I sure did. She said she signed it when I called her the other day.\Then, why didn't she turn it in already?\What?\Timing and Subtitles brought to you by The Little Lover Team @Viki\Here you go.\The sea breeze feels so nice.\It's been already three weeks since I started living with Minami-kun.\My feelings for Minami-kun has been growing rapidly. response:	Don't worry. If we are busted,
context: Then, why didn't she turn it in already?\What?\Timing and Subtitles brought to you by The Little Lover Team @Viki\Here you go.\The sea breeze feels so nice.\It's been already three weeks since I started living with Minami-kun.\My feelings for Minami-kun has been growing rapidly.\Don't worry. If we are busted, response:	I will take responsibility and protect you.
context: What?\Timing and Subtitles brought to you by The Little Lover Team @Viki\Here you go.\The sea breeze feels so nice.\It's been already three weeks since I started living with Minami-kun.\My feelings for Minami-kun has been growing rapidly.\Don't worry. If we are busted,\I will take responsibility and protect you. response:	Protect me? What do you mean by that?
context: Timing and Subtitles brought to you by The Little Lover Team @Viki\Here you go.\The sea breeze feels so nice.\It's been already three weeks since I started living with Minami-kun.\My feelings for Minami-kun has been growing rapidly.\Don't worry. If we are busted,\I will take responsibility and protect you.\Protect me? What do you mean by that? response:	What the word means.
