context: The world has become a superhuman society, response:	and about 80 of the world's population now has some kind of special trait.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait. response:	In this world swirling with chaos,
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos, response:	the profession that everyone once dreamed about and admired
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired response:	came into the limelight.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight. response:	Heroes of justice fighting villains and saving people from distress.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress. response:	Yes, this is the story of how I became the greatest hero.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero. response:	Everybody, sorry for the long wait!
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\Everybody, sorry for the long wait! response:	The stage that was frozen in the second match
context: and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\Everybody, sorry for the long wait!\The stage that was frozen in the second match response:	is finally dry, so on to the next match!
context: In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\Everybody, sorry for the long wait!\The stage that was frozen in the second match\is finally dry, so on to the next match! response:	The assassin from Class B!
context: the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\Everybody, sorry for the long wait!\The stage that was frozen in the second match\is finally dry, so on to the next match!\The assassin from Class B! response:	Pretty things have thorns, you know!
context: came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\Everybody, sorry for the long wait!\The stage that was frozen in the second match\is finally dry, so on to the next match!\The assassin from Class B!\Pretty things have thorns, you know! response:	From the hero course, it's Ibara Shiozaki!
context: Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\Everybody, sorry for the long wait!\The stage that was frozen in the second match\is finally dry, so on to the next match!\The assassin from Class B!\Pretty things have thorns, you know!\From the hero course, it's Ibara Shiozaki! response:	Versus-
context: Yes, this is the story of how I became the greatest hero.\Everybody, sorry for the long wait!\The stage that was frozen in the second match\is finally dry, so on to the next match!\The assassin from Class B!\Pretty things have thorns, you know!\From the hero course, it's Ibara Shiozaki!\Versus- response:	Sparking Killing Boy!
context: Everybody, sorry for the long wait!\The stage that was frozen in the second match\is finally dry, so on to the next match!\The assassin from Class B!\Pretty things have thorns, you know!\From the hero course, it's Ibara Shiozaki!\Versus-\Sparking Killing Boy! response:	From the hero course, it's Denki Kaminari!
context: The stage that was frozen in the second match\is finally dry, so on to the next match!\The assassin from Class B!\Pretty things have thorns, you know!\From the hero course, it's Ibara Shiozaki!\Versus-\Sparking Killing Boy!\From the hero course, it's Denki Kaminari! response:	Battle on, Challengers!
context: is finally dry, so on to the next match!\The assassin from Class B!\Pretty things have thorns, you know!\From the hero course, it's Ibara Shiozaki!\Versus-\Sparking Killing Boy!\From the hero course, it's Denki Kaminari!\Battle on, Challengers! response:	Now, we'll have a super flashy battle this time too-
context: The assassin from Class B!\Pretty things have thorns, you know!\From the hero course, it's Ibara Shiozaki!\Versus-\Sparking Killing Boy!\From the hero course, it's Denki Kaminari!\Battle on, Challengers!\Now, we'll have a super flashy battle this time too- response:	Um...
context: Pretty things have thorns, you know!\From the hero course, it's Ibara Shiozaki!\Versus-\Sparking Killing Boy!\From the hero course, it's Denki Kaminari!\Battle on, Challengers!\Now, we'll have a super flashy battle this time too-\Um... response:	Please excuse the interruption.
context: From the hero course, it's Ibara Shiozaki!\Versus-\Sparking Killing Boy!\From the hero course, it's Denki Kaminari!\Battle on, Challengers!\Now, we'll have a super flashy battle this time too-\Um...\Please excuse the interruption. response:	What do you mean by assassin?
context: Versus-\Sparking Killing Boy!\From the hero course, it's Denki Kaminari!\Battle on, Challengers!\Now, we'll have a super flashy battle this time too-\Um...\Please excuse the interruption.\What do you mean by assassin? response:	I have only come to find victory, not to take my opponent's life.
context: Sparking Killing Boy!\From the hero course, it's Denki Kaminari!\Battle on, Challengers!\Now, we'll have a super flashy battle this time too-\Um...\Please excuse the interruption.\What do you mean by assassin?\I have only come to find victory, not to take my opponent's life. response:	I-I'm sorry!
context: From the hero course, it's Denki Kaminari!\Battle on, Challengers!\Now, we'll have a super flashy battle this time too-\Um...\Please excuse the interruption.\What do you mean by assassin?\I have only come to find victory, not to take my opponent's life.\I-I'm sorry! response:	In the first place, I wished to enter U.A. High School not for wicked reasons,
context: Battle on, Challengers!\Now, we'll have a super flashy battle this time too-\Um...\Please excuse the interruption.\What do you mean by assassin?\I have only come to find victory, not to take my opponent's life.\I-I'm sorry!\In the first place, I wished to enter U.A. High School not for wicked reasons, response:	but for the salvation of others...
context: Now, we'll have a super flashy battle this time too-\Um...\Please excuse the interruption.\What do you mean by assassin?\I have only come to find victory, not to take my opponent's life.\I-I'm sorry!\In the first place, I wished to enter U.A. High School not for wicked reasons,\but for the salvation of others... response:	I said, I'm sorry!
context: Um...\Please excuse the interruption.\What do you mean by assassin?\I have only come to find victory, not to take my opponent's life.\I-I'm sorry!\In the first place, I wished to enter U.A. High School not for wicked reasons,\but for the salvation of others...\I said, I'm sorry! response:	My bad, okay?!
context: Please excuse the interruption.\What do you mean by assassin?\I have only come to find victory, not to take my opponent's life.\I-I'm sorry!\In the first place, I wished to enter U.A. High School not for wicked reasons,\but for the salvation of others...\I said, I'm sorry!\My bad, okay?! response:	I thank you for your understanding.
