context: I'm thinking of quitting the rental girlfriend job. response:	Ruka-chan
context: I'm thinking of quitting the rental girlfriend job.\Ruka-chan response:	LIVE Audio...
context: I'm thinking of quitting the rental girlfriend job.\Ruka-chan\LIVE Audio... response:	Hello?
context: I'm thinking of quitting the rental girlfriend job.\Ruka-chan\LIVE Audio...\Hello? response:	Kazuya-kun! What do you say we go on a date before work?
context: I'm thinking of quitting the rental girlfriend job.\Ruka-chan\LIVE Audio...\Hello?\Kazuya-kun! What do you say we go on a date before work? response:	A date? Oh, uh...
context: I'm thinking of quitting the rental girlfriend job.\Ruka-chan\LIVE Audio...\Hello?\Kazuya-kun! What do you say we go on a date before work?\A date? Oh, uh... response:	So I figure it's about time to move on.
context: I'm thinking of quitting the rental girlfriend job.\Ruka-chan\LIVE Audio...\Hello?\Kazuya-kun! What do you say we go on a date before work?\A date? Oh, uh...\So I figure it's about time to move on. response:	I can't keep using her as a crutch forever.
context: I'm thinking of quitting the rental girlfriend job.\Ruka-chan\LIVE Audio...\Hello?\Kazuya-kun! What do you say we go on a date before work?\A date? Oh, uh...\So I figure it's about time to move on.\I can't keep using her as a crutch forever. response:	Sure. Let's do it.
context: Ruka-chan\LIVE Audio...\Hello?\Kazuya-kun! What do you say we go on a date before work?\A date? Oh, uh...\So I figure it's about time to move on.\I can't keep using her as a crutch forever.\Sure. Let's do it. response:	Kazuya-kun!
context: LIVE Audio...\Hello?\Kazuya-kun! What do you say we go on a date before work?\A date? Oh, uh...\So I figure it's about time to move on.\I can't keep using her as a crutch forever.\Sure. Let's do it.\Kazuya-kun! response:	Yo...
context: Hello?\Kazuya-kun! What do you say we go on a date before work?\A date? Oh, uh...\So I figure it's about time to move on.\I can't keep using her as a crutch forever.\Sure. Let's do it.\Kazuya-kun!\Yo... response:	That girl's hella cute.
context: Kazuya-kun! What do you say we go on a date before work?\A date? Oh, uh...\So I figure it's about time to move on.\I can't keep using her as a crutch forever.\Sure. Let's do it.\Kazuya-kun!\Yo...\That girl's hella cute. response:	That's her boyfriend?
context: A date? Oh, uh...\So I figure it's about time to move on.\I can't keep using her as a crutch forever.\Sure. Let's do it.\Kazuya-kun!\Yo...\That girl's hella cute.\That's her boyfriend? response:	More like chimpanzee.
context: So I figure it's about time to move on.\I can't keep using her as a crutch forever.\Sure. Let's do it.\Kazuya-kun!\Yo...\That girl's hella cute.\That's her boyfriend?\More like chimpanzee. response:	I'm so glad I got to see you!
context: I can't keep using her as a crutch forever.\Sure. Let's do it.\Kazuya-kun!\Yo...\That girl's hella cute.\That's her boyfriend?\More like chimpanzee.\I'm so glad I got to see you! response:	We saw each other, like, two days ago.
context: Sure. Let's do it.\Kazuya-kun!\Yo...\That girl's hella cute.\That's her boyfriend?\More like chimpanzee.\I'm so glad I got to see you!\We saw each other, like, two days ago. response:	That's true.
context: Kazuya-kun!\Yo...\That girl's hella cute.\That's her boyfriend?\More like chimpanzee.\I'm so glad I got to see you!\We saw each other, like, two days ago.\That's true. response:	It's only been two days, and yet, why does this make me so happy?
context: Yo...\That girl's hella cute.\That's her boyfriend?\More like chimpanzee.\I'm so glad I got to see you!\We saw each other, like, two days ago.\That's true.\It's only been two days, and yet, why does this make me so happy? response:	Ta-da! What do you think?
