context: GDF Base on the Front Lines Undina Air Space response:	<The primitive beings! Hunt them down to the last one!>
context: GDF Base on the Front Lines Undina Air Space\<The primitive beings! Hunt them down to the last one!> response:	The UOA and EEU armies have evacuated!
context: GDF Base on the Front Lines Undina Air Space\<The primitive beings! Hunt them down to the last one!>\The UOA and EEU armies have evacuated! response:	We've lost contact with the Third Asteroid Unit.
context: GDF Base on the Front Lines Undina Air Space\<The primitive beings! Hunt them down to the last one!>\The UOA and EEU armies have evacuated!\We've lost contact with the Third Asteroid Unit. response:	Firewalls for Bases 1 through 3 have collapsed!
context: GDF Base on the Front Lines Undina Air Space\<The primitive beings! Hunt them down to the last one!>\The UOA and EEU armies have evacuated!\We've lost contact with the Third Asteroid Unit.\Firewalls for Bases 1 through 3 have collapsed! response:	A Wulgaru ship is approaching the transmission satellite!
context: GDF Base on the Front Lines Undina Air Space\<The primitive beings! Hunt them down to the last one!>\The UOA and EEU armies have evacuated!\We've lost contact with the Third Asteroid Unit.\Firewalls for Bases 1 through 3 have collapsed!\A Wulgaru ship is approaching the transmission satellite! response:	Transmission satellite destroyed!
context: GDF Base on the Front Lines Undina Air Space\<The primitive beings! Hunt them down to the last one!>\The UOA and EEU armies have evacuated!\We've lost contact with the Third Asteroid Unit.\Firewalls for Bases 1 through 3 have collapsed!\A Wulgaru ship is approaching the transmission satellite!\Transmission satellite destroyed! response:	I can see that!
context: GDF Base on the Front Lines Undina Air Space\<The primitive beings! Hunt them down to the last one!>\The UOA and EEU armies have evacuated!\We've lost contact with the Third Asteroid Unit.\Firewalls for Bases 1 through 3 have collapsed!\A Wulgaru ship is approaching the transmission satellite!\Transmission satellite destroyed!\I can see that! response:	Lt. Smith, please head to the Command Room immediately.
context: <The primitive beings! Hunt them down to the last one!>\The UOA and EEU armies have evacuated!\We've lost contact with the Third Asteroid Unit.\Firewalls for Bases 1 through 3 have collapsed!\A Wulgaru ship is approaching the transmission satellite!\Transmission satellite destroyed!\I can see that!\Lt. Smith, please head to the Command Room immediately. response:	At this rate, Undina Base is doomed.
context: The UOA and EEU armies have evacuated!\We've lost contact with the Third Asteroid Unit.\Firewalls for Bases 1 through 3 have collapsed!\A Wulgaru ship is approaching the transmission satellite!\Transmission satellite destroyed!\I can see that!\Lt. Smith, please head to the Command Room immediately.\At this rate, Undina Base is doomed. response:	The UPI Army should fall back like the others.
context: We've lost contact with the Third Asteroid Unit.\Firewalls for Bases 1 through 3 have collapsed!\A Wulgaru ship is approaching the transmission satellite!\Transmission satellite destroyed!\I can see that!\Lt. Smith, please head to the Command Room immediately.\At this rate, Undina Base is doomed.\The UPI Army should fall back like the others. response:	But if they break through...
context: Firewalls for Bases 1 through 3 have collapsed!\A Wulgaru ship is approaching the transmission satellite!\Transmission satellite destroyed!\I can see that!\Lt. Smith, please head to the Command Room immediately.\At this rate, Undina Base is doomed.\The UPI Army should fall back like the others.\But if they break through... response:	We should protect Undina with our lives.
context: A Wulgaru ship is approaching the transmission satellite!\Transmission satellite destroyed!\I can see that!\Lt. Smith, please head to the Command Room immediately.\At this rate, Undina Base is doomed.\The UPI Army should fall back like the others.\But if they break through...\We should protect Undina with our lives. response:	As things currently stand, we cannot defend the base!
context: Transmission satellite destroyed!\I can see that!\Lt. Smith, please head to the Command Room immediately.\At this rate, Undina Base is doomed.\The UPI Army should fall back like the others.\But if they break through...\We should protect Undina with our lives.\As things currently stand, we cannot defend the base! response:	Do you want everyone to die in vain?!
context: I can see that!\Lt. Smith, please head to the Command Room immediately.\At this rate, Undina Base is doomed.\The UPI Army should fall back like the others.\But if they break through...\We should protect Undina with our lives.\As things currently stand, we cannot defend the base!\Do you want everyone to die in vain?! response:	Calm down.
context: Lt. Smith, please head to the Command Room immediately.\At this rate, Undina Base is doomed.\The UPI Army should fall back like the others.\But if they break through...\We should protect Undina with our lives.\As things currently stand, we cannot defend the base!\Do you want everyone to die in vain?!\Calm down. response:	Your decision please, Commander!
context: At this rate, Undina Base is doomed.\The UPI Army should fall back like the others.\But if they break through...\We should protect Undina with our lives.\As things currently stand, we cannot defend the base!\Do you want everyone to die in vain?!\Calm down.\Your decision please, Commander! response:	We will retreat. The UPI Army will abandon Undina Base.
context: The UPI Army should fall back like the others.\But if they break through...\We should protect Undina with our lives.\As things currently stand, we cannot defend the base!\Do you want everyone to die in vain?!\Calm down.\Your decision please, Commander!\We will retreat. The UPI Army will abandon Undina Base. response:	Commence the evacuation plan immediately.
context: But if they break through...\We should protect Undina with our lives.\As things currently stand, we cannot defend the base!\Do you want everyone to die in vain?!\Calm down.\Your decision please, Commander!\We will retreat. The UPI Army will abandon Undina Base.\Commence the evacuation plan immediately. response:	Please provide fresh soldiers!
context: We should protect Undina with our lives.\As things currently stand, we cannot defend the base!\Do you want everyone to die in vain?!\Calm down.\Your decision please, Commander!\We will retreat. The UPI Army will abandon Undina Base.\Commence the evacuation plan immediately.\Please provide fresh soldiers! response:	I know. Simon!
context: As things currently stand, we cannot defend the base!\Do you want everyone to die in vain?!\Calm down.\Your decision please, Commander!\We will retreat. The UPI Army will abandon Undina Base.\Commence the evacuation plan immediately.\Please provide fresh soldiers!\I know. Simon! response:	Allow me to introduce you.
context: Do you want everyone to die in vain?!\Calm down.\Your decision please, Commander!\We will retreat. The UPI Army will abandon Undina Base.\Commence the evacuation plan immediately.\Please provide fresh soldiers!\I know. Simon!\Allow me to introduce you. response:	This is Commander Simon from the secret service, MJP.
context: Calm down.\Your decision please, Commander!\We will retreat. The UPI Army will abandon Undina Base.\Commence the evacuation plan immediately.\Please provide fresh soldiers!\I know. Simon!\Allow me to introduce you.\This is Commander Simon from the secret service, MJP. response:	MJP...?
context: Your decision please, Commander!\We will retreat. The UPI Army will abandon Undina Base.\Commence the evacuation plan immediately.\Please provide fresh soldiers!\I know. Simon!\Allow me to introduce you.\This is Commander Simon from the secret service, MJP.\MJP...? response:	Majestic Prince
context: We will retreat. The UPI Army will abandon Undina Base.\Commence the evacuation plan immediately.\Please provide fresh soldiers!\I know. Simon!\Allow me to introduce you.\This is Commander Simon from the secret service, MJP.\MJP...?\Majestic Prince response:	Sortie
context: Commence the evacuation plan immediately.\Please provide fresh soldiers!\I know. Simon!\Allow me to introduce you.\This is Commander Simon from the secret service, MJP.\MJP...?\Majestic Prince\Sortie response:	Commence mock battle!
context: Please provide fresh soldiers!\I know. Simon!\Allow me to introduce you.\This is Commander Simon from the secret service, MJP.\MJP...?\Majestic Prince\Sortie\Commence mock battle! response:	I can handle this on my own.
context: I know. Simon!\Allow me to introduce you.\This is Commander Simon from the secret service, MJP.\MJP...?\Majestic Prince\Sortie\Commence mock battle!\I can handle this on my own. response:	Huh? Asagi?
context: Allow me to introduce you.\This is Commander Simon from the secret service, MJP.\MJP...?\Majestic Prince\Sortie\Commence mock battle!\I can handle this on my own.\Huh? Asagi? response:	I'm going, too!
context: This is Commander Simon from the secret service, MJP.\MJP...?\Majestic Prince\Sortie\Commence mock battle!\I can handle this on my own.\Huh? Asagi?\I'm going, too! response:	Huh? Tamaki, wait!
context: MJP...?\Majestic Prince\Sortie\Commence mock battle!\I can handle this on my own.\Huh? Asagi?\I'm going, too!\Huh? Tamaki, wait! response:	Let's draw in closer before we commence the operation!
context: Majestic Prince\Sortie\Commence mock battle!\I can handle this on my own.\Huh? Asagi?\I'm going, too!\Huh? Tamaki, wait!\Let's draw in closer before we commence the operation! response:	You're too fast!
context: Sortie\Commence mock battle!\I can handle this on my own.\Huh? Asagi?\I'm going, too!\Huh? Tamaki, wait!\Let's draw in closer before we commence the operation!\You're too fast! response:	Tamaki!
context: Commence mock battle!\I can handle this on my own.\Huh? Asagi?\I'm going, too!\Huh? Tamaki, wait!\Let's draw in closer before we commence the operation!\You're too fast!\Tamaki! response:	Unit 1 has been shot down.
context: I can handle this on my own.\Huh? Asagi?\I'm going, too!\Huh? Tamaki, wait!\Let's draw in closer before we commence the operation!\You're too fast!\Tamaki!\Unit 1 has been shot down. response:	Ditto for Unit 2.
context: Huh? Asagi?\I'm going, too!\Huh? Tamaki, wait!\Let's draw in closer before we commence the operation!\You're too fast!\Tamaki!\Unit 1 has been shot down.\Ditto for Unit 2. response:	And Unit 3...
context: I'm going, too!\Huh? Tamaki, wait!\Let's draw in closer before we commence the operation!\You're too fast!\Tamaki!\Unit 1 has been shot down.\Ditto for Unit 2.\And Unit 3... response:	Morons.
context: Huh? Tamaki, wait!\Let's draw in closer before we commence the operation!\You're too fast!\Tamaki!\Unit 1 has been shot down.\Ditto for Unit 2.\And Unit 3...\Morons. response:	I'm dyin' to shoot those punks down!
context: Let's draw in closer before we commence the operation!\You're too fast!\Tamaki!\Unit 1 has been shot down.\Ditto for Unit 2.\And Unit 3...\Morons.\I'm dyin' to shoot those punks down! response:	You have received the worst scores yet again, Team Rabbits!
context: You're too fast!\Tamaki!\Unit 1 has been shot down.\Ditto for Unit 2.\And Unit 3...\Morons.\I'm dyin' to shoot those punks down!\You have received the worst scores yet again, Team Rabbits! response:	Just what I'd expect from the Fail Five!
context: Tamaki!\Unit 1 has been shot down.\Ditto for Unit 2.\And Unit 3...\Morons.\I'm dyin' to shoot those punks down!\You have received the worst scores yet again, Team Rabbits!\Just what I'd expect from the Fail Five! response:	Don't get started!
context: Unit 1 has been shot down.\Ditto for Unit 2.\And Unit 3...\Morons.\I'm dyin' to shoot those punks down!\You have received the worst scores yet again, Team Rabbits!\Just what I'd expect from the Fail Five!\Don't get started! response:	It's true that we got the worst score.
context: Ditto for Unit 2.\And Unit 3...\Morons.\I'm dyin' to shoot those punks down!\You have received the worst scores yet again, Team Rabbits!\Just what I'd expect from the Fail Five!\Don't get started!\It's true that we got the worst score. response:	And you shouldn't have tried to be a big shot and charged ahead.
context: And Unit 3...\Morons.\I'm dyin' to shoot those punks down!\You have received the worst scores yet again, Team Rabbits!\Just what I'd expect from the Fail Five!\Don't get started!\It's true that we got the worst score.\And you shouldn't have tried to be a big shot and charged ahead. response:	The thought of attacking as a team had totally flown out of your head.
context: Morons.\I'm dyin' to shoot those punks down!\You have received the worst scores yet again, Team Rabbits!\Just what I'd expect from the Fail Five!\Don't get started!\It's true that we got the worst score.\And you shouldn't have tried to be a big shot and charged ahead.\The thought of attacking as a team had totally flown out of your head. response:	You're not one to talk, you wannabe sniper!
context: I'm dyin' to shoot those punks down!\You have received the worst scores yet again, Team Rabbits!\Just what I'd expect from the Fail Five!\Don't get started!\It's true that we got the worst score.\And you shouldn't have tried to be a big shot and charged ahead.\The thought of attacking as a team had totally flown out of your head.\You're not one to talk, you wannabe sniper! response:	How dare you load live ammo onto a practice unit!
context: You have received the worst scores yet again, Team Rabbits!\Just what I'd expect from the Fail Five!\Don't get started!\It's true that we got the worst score.\And you shouldn't have tried to be a big shot and charged ahead.\The thought of attacking as a team had totally flown out of your head.\You're not one to talk, you wannabe sniper!\How dare you load live ammo onto a practice unit! response:	That's against the rules!
context: Just what I'd expect from the Fail Five!\Don't get started!\It's true that we got the worst score.\And you shouldn't have tried to be a big shot and charged ahead.\The thought of attacking as a team had totally flown out of your head.\You're not one to talk, you wannabe sniper!\How dare you load live ammo onto a practice unit!\That's against the rules! response:	Live ammo?
context: Don't get started!\It's true that we got the worst score.\And you shouldn't have tried to be a big shot and charged ahead.\The thought of attacking as a team had totally flown out of your head.\You're not one to talk, you wannabe sniper!\How dare you load live ammo onto a practice unit!\That's against the rules!\Live ammo? response:	Even a newb could see that
context: It's true that we got the worst score.\And you shouldn't have tried to be a big shot and charged ahead.\The thought of attacking as a team had totally flown out of your head.\You're not one to talk, you wannabe sniper!\How dare you load live ammo onto a practice unit!\That's against the rules!\Live ammo?\Even a newb could see that response:	they're practice shells based on their blue coat job.
context: And you shouldn't have tried to be a big shot and charged ahead.\The thought of attacking as a team had totally flown out of your head.\You're not one to talk, you wannabe sniper!\How dare you load live ammo onto a practice unit!\That's against the rules!\Live ammo?\Even a newb could see that\they're practice shells based on their blue coat job. response:	How could you be a student here and not know that?
context: The thought of attacking as a team had totally flown out of your head.\You're not one to talk, you wannabe sniper!\How dare you load live ammo onto a practice unit!\That's against the rules!\Live ammo?\Even a newb could see that\they're practice shells based on their blue coat job.\How could you be a student here and not know that? response:	Kn-knock it off!
context: You're not one to talk, you wannabe sniper!\How dare you load live ammo onto a practice unit!\That's against the rules!\Live ammo?\Even a newb could see that\they're practice shells based on their blue coat job.\How could you be a student here and not know that?\Kn-knock it off! response:	Just ignore them.
context: How dare you load live ammo onto a practice unit!\That's against the rules!\Live ammo?\Even a newb could see that\they're practice shells based on their blue coat job.\How could you be a student here and not know that?\Kn-knock it off!\Just ignore them. response:	But-!
context: That's against the rules!\Live ammo?\Even a newb could see that\they're practice shells based on their blue coat job.\How could you be a student here and not know that?\Kn-knock it off!\Just ignore them.\But-! response:	Are you all right?
context: Live ammo?\Even a newb could see that\they're practice shells based on their blue coat job.\How could you be a student here and not know that?\Kn-knock it off!\Just ignore them.\But-!\Are you all right? response:	I'm sure you are aware,
context: Even a newb could see that\they're practice shells based on their blue coat job.\How could you be a student here and not know that?\Kn-knock it off!\Just ignore them.\But-!\Are you all right?\I'm sure you are aware, response:	but you have the lowest grades yet again this semester.
context: they're practice shells based on their blue coat job.\How could you be a student here and not know that?\Kn-knock it off!\Just ignore them.\But-!\Are you all right?\I'm sure you are aware,\but you have the lowest grades yet again this semester. response:	None of you are by any means incompetent,
context: How could you be a student here and not know that?\Kn-knock it off!\Just ignore them.\But-!\Are you all right?\I'm sure you are aware,\but you have the lowest grades yet again this semester.\None of you are by any means incompetent, response:	but you fall apart in team battles.
context: Kn-knock it off!\Just ignore them.\But-!\Are you all right?\I'm sure you are aware,\but you have the lowest grades yet again this semester.\None of you are by any means incompetent,\but you fall apart in team battles. response:	You are fumbling over each other.
context: Just ignore them.\But-!\Are you all right?\I'm sure you are aware,\but you have the lowest grades yet again this semester.\None of you are by any means incompetent,\but you fall apart in team battles.\You are fumbling over each other. response:	Instructor!
context: But-!\Are you all right?\I'm sure you are aware,\but you have the lowest grades yet again this semester.\None of you are by any means incompetent,\but you fall apart in team battles.\You are fumbling over each other.\Instructor! response:	What is it, Asagi?
context: Are you all right?\I'm sure you are aware,\but you have the lowest grades yet again this semester.\None of you are by any means incompetent,\but you fall apart in team battles.\You are fumbling over each other.\Instructor!\What is it, Asagi? response:	Please change my team. I cannot fight with these guys.
context: I'm sure you are aware,\but you have the lowest grades yet again this semester.\None of you are by any means incompetent,\but you fall apart in team battles.\You are fumbling over each other.\Instructor!\What is it, Asagi?\Please change my team. I cannot fight with these guys. response:	Submit a report analyzing the reasoning and basis
context: but you have the lowest grades yet again this semester.\None of you are by any means incompetent,\but you fall apart in team battles.\You are fumbling over each other.\Instructor!\What is it, Asagi?\Please change my team. I cannot fight with these guys.\Submit a report analyzing the reasoning and basis response:	for why you cannot fight.
context: None of you are by any means incompetent,\but you fall apart in team battles.\You are fumbling over each other.\Instructor!\What is it, Asagi?\Please change my team. I cannot fight with these guys.\Submit a report analyzing the reasoning and basis\for why you cannot fight. response:	You have 30 minutes.
context: but you fall apart in team battles.\You are fumbling over each other.\Instructor!\What is it, Asagi?\Please change my team. I cannot fight with these guys.\Submit a report analyzing the reasoning and basis\for why you cannot fight.\You have 30 minutes. response:	That goes for everyone!
context: You are fumbling over each other.\Instructor!\What is it, Asagi?\Please change my team. I cannot fight with these guys.\Submit a report analyzing the reasoning and basis\for why you cannot fight.\You have 30 minutes.\That goes for everyone! response:	You just had to say that!
context: Instructor!\What is it, Asagi?\Please change my team. I cannot fight with these guys.\Submit a report analyzing the reasoning and basis\for why you cannot fight.\You have 30 minutes.\That goes for everyone!\You just had to say that! response:	You're dragging us down with you.
context: What is it, Asagi?\Please change my team. I cannot fight with these guys.\Submit a report analyzing the reasoning and basis\for why you cannot fight.\You have 30 minutes.\That goes for everyone!\You just had to say that!\You're dragging us down with you. response:	Don't take it out on me.
context: Please change my team. I cannot fight with these guys.\Submit a report analyzing the reasoning and basis\for why you cannot fight.\You have 30 minutes.\That goes for everyone!\You just had to say that!\You're dragging us down with you.\Don't take it out on me. response:	We are the Fail Five...
context: Submit a report analyzing the reasoning and basis\for why you cannot fight.\You have 30 minutes.\That goes for everyone!\You just had to say that!\You're dragging us down with you.\Don't take it out on me.\We are the Fail Five... response:	Don't call us that.
context: for why you cannot fight.\You have 30 minutes.\That goes for everyone!\You just had to say that!\You're dragging us down with you.\Don't take it out on me.\We are the Fail Five...\Don't call us that. response:	I've gotta run!
context: You have 30 minutes.\That goes for everyone!\You just had to say that!\You're dragging us down with you.\Don't take it out on me.\We are the Fail Five...\Don't call us that.\I've gotta run! response:	I'm sorry, but I have a girlfriend.
context: That goes for everyone!\You just had to say that!\You're dragging us down with you.\Don't take it out on me.\We are the Fail Five...\Don't call us that.\I've gotta run!\I'm sorry, but I have a girlfriend. response:	SALTED SQUID GUTS
context: You just had to say that!\You're dragging us down with you.\Don't take it out on me.\We are the Fail Five...\Don't call us that.\I've gotta run!\I'm sorry, but I have a girlfriend.\SALTED SQUID GUTS response:	I got turned down again.
context: You're dragging us down with you.\Don't take it out on me.\We are the Fail Five...\Don't call us that.\I've gotta run!\I'm sorry, but I have a girlfriend.\SALTED SQUID GUTS\I got turned down again. response:	No kidding!
context: Don't take it out on me.\We are the Fail Five...\Don't call us that.\I've gotta run!\I'm sorry, but I have a girlfriend.\SALTED SQUID GUTS\I got turned down again.\No kidding! response:	All he did was treat you kindly once.
context: We are the Fail Five...\Don't call us that.\I've gotta run!\I'm sorry, but I have a girlfriend.\SALTED SQUID GUTS\I got turned down again.\No kidding!\All he did was treat you kindly once. response:	I felt fate!
context: Don't call us that.\I've gotta run!\I'm sorry, but I have a girlfriend.\SALTED SQUID GUTS\I got turned down again.\No kidding!\All he did was treat you kindly once.\I felt fate! response:	It's still way popular amongst gun enthusiasts.
context: I've gotta run!\I'm sorry, but I have a girlfriend.\SALTED SQUID GUTS\I got turned down again.\No kidding!\All he did was treat you kindly once.\I felt fate!\It's still way popular amongst gun enthusiasts. response:	Its velvety texture is just like your skin!
context: I'm sorry, but I have a girlfriend.\SALTED SQUID GUTS\I got turned down again.\No kidding!\All he did was treat you kindly once.\I felt fate!\It's still way popular amongst gun enthusiasts.\Its velvety texture is just like your skin! response:	And this slide-
context: SALTED SQUID GUTS\I got turned down again.\No kidding!\All he did was treat you kindly once.\I felt fate!\It's still way popular amongst gun enthusiasts.\Its velvety texture is just like your skin!\And this slide- response:	Be sure to put your tray up when you finish eating.
context: I got turned down again.\No kidding!\All he did was treat you kindly once.\I felt fate!\It's still way popular amongst gun enthusiasts.\Its velvety texture is just like your skin!\And this slide-\Be sure to put your tray up when you finish eating. response:	Huh?
context: No kidding!\All he did was treat you kindly once.\I felt fate!\It's still way popular amongst gun enthusiasts.\Its velvety texture is just like your skin!\And this slide-\Be sure to put your tray up when you finish eating.\Huh? response:	Hey, Suruga!
context: All he did was treat you kindly once.\I felt fate!\It's still way popular amongst gun enthusiasts.\Its velvety texture is just like your skin!\And this slide-\Be sure to put your tray up when you finish eating.\Huh?\Hey, Suruga! response:	Hurry up on your report.
context: I felt fate!\It's still way popular amongst gun enthusiasts.\Its velvety texture is just like your skin!\And this slide-\Be sure to put your tray up when you finish eating.\Huh?\Hey, Suruga!\Hurry up on your report. response:	And what are you drawing?
context: It's still way popular amongst gun enthusiasts.\Its velvety texture is just like your skin!\And this slide-\Be sure to put your tray up when you finish eating.\Huh?\Hey, Suruga!\Hurry up on your report.\And what are you drawing? response:	The theme is Love and Justice.
context: Its velvety texture is just like your skin!\And this slide-\Be sure to put your tray up when you finish eating.\Huh?\Hey, Suruga!\Hurry up on your report.\And what are you drawing?\The theme is Love and Justice. response:	I didn't ask.
context: And this slide-\Be sure to put your tray up when you finish eating.\Huh?\Hey, Suruga!\Hurry up on your report.\And what are you drawing?\The theme is Love and Justice.\I didn't ask. response:	What'll happen? I mean, if Undina falls?
context: Be sure to put your tray up when you finish eating.\Huh?\Hey, Suruga!\Hurry up on your report.\And what are you drawing?\The theme is Love and Justice.\I didn't ask.\What'll happen? I mean, if Undina falls? response:	Wouldn't that be pretty bad?
context: Huh?\Hey, Suruga!\Hurry up on your report.\And what are you drawing?\The theme is Love and Justice.\I didn't ask.\What'll happen? I mean, if Undina falls?\Wouldn't that be pretty bad? response:	Do you think the enemy really looks like aliens?
context: Hey, Suruga!\Hurry up on your report.\And what are you drawing?\The theme is Love and Justice.\I didn't ask.\What'll happen? I mean, if Undina falls?\Wouldn't that be pretty bad?\Do you think the enemy really looks like aliens? response:	Dunno. They haven't been able to confirm even that much.
