context: Master! Master! response:	Something's approaching.
context: Master! Master!\Something's approaching. response:	It's two people.
context: Master! Master!\Something's approaching.\It's two people. response:	One's a Red Whistle... and the other one...
context: Master! Master!\Something's approaching.\It's two people.\One's a Red Whistle... and the other one... response:	doesn't even seem to be a cave raider...
context: Master! Master!\Something's approaching.\It's two people.\One's a Red Whistle... and the other one...\doesn't even seem to be a cave raider... response:	Shall I ready the gondola?
context: Master! Master!\Something's approaching.\It's two people.\One's a Red Whistle... and the other one...\doesn't even seem to be a cave raider...\Shall I ready the gondola? response:	Master...?
context: Master! Master!\Something's approaching.\It's two people.\One's a Red Whistle... and the other one...\doesn't even seem to be a cave raider...\Shall I ready the gondola?\Master...? response:	So this is the Seeker Camp, huh?
context: Master! Master!\Something's approaching.\It's two people.\One's a Red Whistle... and the other one...\doesn't even seem to be a cave raider...\Shall I ready the gondola?\Master...?\So this is the Seeker Camp, huh? response:	It's really quite high up there...
context: Something's approaching.\It's two people.\One's a Red Whistle... and the other one...\doesn't even seem to be a cave raider...\Shall I ready the gondola?\Master...?\So this is the Seeker Camp, huh?\It's really quite high up there... response:	Huh? Speaking of that...
context: It's two people.\One's a Red Whistle... and the other one...\doesn't even seem to be a cave raider...\Shall I ready the gondola?\Master...?\So this is the Seeker Camp, huh?\It's really quite high up there...\Huh? Speaking of that... response:	What's wrong?
context: One's a Red Whistle... and the other one...\doesn't even seem to be a cave raider...\Shall I ready the gondola?\Master...?\So this is the Seeker Camp, huh?\It's really quite high up there...\Huh? Speaking of that...\What's wrong? response:	Um, well...
context: doesn't even seem to be a cave raider...\Shall I ready the gondola?\Master...?\So this is the Seeker Camp, huh?\It's really quite high up there...\Huh? Speaking of that...\What's wrong?\Um, well... response:	I heard the Seeker Camp always has a lookout on duty.
context: Shall I ready the gondola?\Master...?\So this is the Seeker Camp, huh?\It's really quite high up there...\Huh? Speaking of that...\What's wrong?\Um, well...\I heard the Seeker Camp always has a lookout on duty. response:	So when someone starts approaching, I was told they lower the gondola for them...
context: Master...?\So this is the Seeker Camp, huh?\It's really quite high up there...\Huh? Speaking of that...\What's wrong?\Um, well...\I heard the Seeker Camp always has a lookout on duty.\So when someone starts approaching, I was told they lower the gondola for them... response:	A Red Whistle... A robot...
context: So this is the Seeker Camp, huh?\It's really quite high up there...\Huh? Speaking of that...\What's wrong?\Um, well...\I heard the Seeker Camp always has a lookout on duty.\So when someone starts approaching, I was told they lower the gondola for them...\A Red Whistle... A robot... response:	They might be feeling wary...
