context: Qian Qian, I haven't seen you in days. I missed you terribly. response:	Have you missed me?
context: Qian Qian, I haven't seen you in days. I missed you terribly.\Have you missed me? response:	I came to tell you some important news.
context: Qian Qian, I haven't seen you in days. I missed you terribly.\Have you missed me?\I came to tell you some important news. response:	Do you know who reincarnated into Yuan Zhen's father in this lifetime?
context: Qian Qian, I haven't seen you in days. I missed you terribly.\Have you missed me?\I came to tell you some important news.\Do you know who reincarnated into Yuan Zhen's father in this lifetime? response:	Could it be your grandfather?
context: Qian Qian, I haven't seen you in days. I missed you terribly.\Have you missed me?\I came to tell you some important news.\Do you know who reincarnated into Yuan Zhen's father in this lifetime?\Could it be your grandfather? response:	It isn't my grandfather, but that is close.
context: Qian Qian, I haven't seen you in days. I missed you terribly.\Have you missed me?\I came to tell you some important news.\Do you know who reincarnated into Yuan Zhen's father in this lifetime?\Could it be your grandfather?\It isn't my grandfather, but that is close. response:	Then...
context: Qian Qian, I haven't seen you in days. I missed you terribly.\Have you missed me?\I came to tell you some important news.\Do you know who reincarnated into Yuan Zhen's father in this lifetime?\Could it be your grandfather?\It isn't my grandfather, but that is close.\Then... response:	Lord Shaoyang of Dong Hua Zi Manor.
context: Qian Qian, I haven't seen you in days. I missed you terribly.\Have you missed me?\I came to tell you some important news.\Do you know who reincarnated into Yuan Zhen's father in this lifetime?\Could it be your grandfather?\It isn't my grandfather, but that is close.\Then...\Lord Shaoyang of Dong Hua Zi Manor. response:	Dong Hua Dijun?
context: Have you missed me?\I came to tell you some important news.\Do you know who reincarnated into Yuan Zhen's father in this lifetime?\Could it be your grandfather?\It isn't my grandfather, but that is close.\Then...\Lord Shaoyang of Dong Hua Zi Manor.\Dong Hua Dijun? response:	Could Xiao Jiu have-
context: I came to tell you some important news.\Do you know who reincarnated into Yuan Zhen's father in this lifetime?\Could it be your grandfather?\It isn't my grandfather, but that is close.\Then...\Lord Shaoyang of Dong Hua Zi Manor.\Dong Hua Dijun?\Could Xiao Jiu have- response:	I'm going to close the window.
context: Do you know who reincarnated into Yuan Zhen's father in this lifetime?\Could it be your grandfather?\It isn't my grandfather, but that is close.\Then...\Lord Shaoyang of Dong Hua Zi Manor.\Dong Hua Dijun?\Could Xiao Jiu have-\I'm going to close the window. response:	Are you sleeping on the inside or the outside of the bed?
context: Could it be your grandfather?\It isn't my grandfather, but that is close.\Then...\Lord Shaoyang of Dong Hua Zi Manor.\Dong Hua Dijun?\Could Xiao Jiu have-\I'm going to close the window.\Are you sleeping on the inside or the outside of the bed? response:	I'll... sleep on the floor.
context: It isn't my grandfather, but that is close.\Then...\Lord Shaoyang of Dong Hua Zi Manor.\Dong Hua Dijun?\Could Xiao Jiu have-\I'm going to close the window.\Are you sleeping on the inside or the outside of the bed?\I'll... sleep on the floor. response:	Qian Qian, if you sleep on the floor or the bed tonight
context: Then...\Lord Shaoyang of Dong Hua Zi Manor.\Dong Hua Dijun?\Could Xiao Jiu have-\I'm going to close the window.\Are you sleeping on the inside or the outside of the bed?\I'll... sleep on the floor.\Qian Qian, if you sleep on the floor or the bed tonight response:	the end result will be the same.
context: Lord Shaoyang of Dong Hua Zi Manor.\Dong Hua Dijun?\Could Xiao Jiu have-\I'm going to close the window.\Are you sleeping on the inside or the outside of the bed?\I'll... sleep on the floor.\Qian Qian, if you sleep on the floor or the bed tonight\the end result will be the same. response:	If you had any magic power
context: Dong Hua Dijun?\Could Xiao Jiu have-\I'm going to close the window.\Are you sleeping on the inside or the outside of the bed?\I'll... sleep on the floor.\Qian Qian, if you sleep on the floor or the bed tonight\the end result will be the same.\If you had any magic power response:	you could fight me then we'd both end up wounded.
context: Could Xiao Jiu have-\I'm going to close the window.\Are you sleeping on the inside or the outside of the bed?\I'll... sleep on the floor.\Qian Qian, if you sleep on the floor or the bed tonight\the end result will be the same.\If you had any magic power\you could fight me then we'd both end up wounded. response:	But haven't I already sealed away your powers?
context: I'm going to close the window.\Are you sleeping on the inside or the outside of the bed?\I'll... sleep on the floor.\Qian Qian, if you sleep on the floor or the bed tonight\the end result will be the same.\If you had any magic power\you could fight me then we'd both end up wounded.\But haven't I already sealed away your powers? response:	Or perhaps, are you only putting on a show of reluctance?
context: Are you sleeping on the inside or the outside of the bed?\I'll... sleep on the floor.\Qian Qian, if you sleep on the floor or the bed tonight\the end result will be the same.\If you had any magic power\you could fight me then we'd both end up wounded.\But haven't I already sealed away your powers?\Or perhaps, are you only putting on a show of reluctance? response:	Lord Ye Hua, you must be joking.
context: I'll... sleep on the floor.\Qian Qian, if you sleep on the floor or the bed tonight\the end result will be the same.\If you had any magic power\you could fight me then we'd both end up wounded.\But haven't I already sealed away your powers?\Or perhaps, are you only putting on a show of reluctance?\Lord Ye Hua, you must be joking. response:	I'm just afraid the bed is too small. I don't want to be a bad host.
context: Qian Qian, if you sleep on the floor or the bed tonight\the end result will be the same.\If you had any magic power\you could fight me then we'd both end up wounded.\But haven't I already sealed away your powers?\Or perhaps, are you only putting on a show of reluctance?\Lord Ye Hua, you must be joking.\I'm just afraid the bed is too small. I don't want to be a bad host. response:	I'm used to sleeping on the outside.
context: the end result will be the same.\If you had any magic power\you could fight me then we'd both end up wounded.\But haven't I already sealed away your powers?\Or perhaps, are you only putting on a show of reluctance?\Lord Ye Hua, you must be joking.\I'm just afraid the bed is too small. I don't want to be a bad host.\I'm used to sleeping on the outside. response:	Are there really roc birds in the mortal realm?
