context: Okay! response:	My lord, do you want some jam?
context: Okay!\My lord, do you want some jam? response:	No, this is a hot dog.
context: Okay!\My lord, do you want some jam?\No, this is a hot dog. response:	I see.
context: Okay!\My lord, do you want some jam?\No, this is a hot dog.\I see. response:	Naotsugu, how about some mustard?
context: Okay!\My lord, do you want some jam?\No, this is a hot dog.\I see.\Naotsugu, how about some mustard? response:	I'm eating pancakes.
context: Okay!\My lord, do you want some jam?\No, this is a hot dog.\I see.\Naotsugu, how about some mustard?\I'm eating pancakes. response:	I did that on purpose.
context: Okay!\My lord, do you want some jam?\No, this is a hot dog.\I see.\Naotsugu, how about some mustard?\I'm eating pancakes.\I did that on purpose. response:	So, it's the second day of the Scale Festival.
context: Okay!\My lord, do you want some jam?\No, this is a hot dog.\I see.\Naotsugu, how about some mustard?\I'm eating pancakes.\I did that on purpose.\So, it's the second day of the Scale Festival. response:	What will you be doing, Minori?
context: My lord, do you want some jam?\No, this is a hot dog.\I see.\Naotsugu, how about some mustard?\I'm eating pancakes.\I did that on purpose.\So, it's the second day of the Scale Festival.\What will you be doing, Minori? response:	I do have some plans.
context: No, this is a hot dog.\I see.\Naotsugu, how about some mustard?\I'm eating pancakes.\I did that on purpose.\So, it's the second day of the Scale Festival.\What will you be doing, Minori?\I do have some plans. response:	It's a festival, so you've gotta make the most of it. Right, Minori?
context: I see.\Naotsugu, how about some mustard?\I'm eating pancakes.\I did that on purpose.\So, it's the second day of the Scale Festival.\What will you be doing, Minori?\I do have some plans.\It's a festival, so you've gotta make the most of it. Right, Minori? response:	Yeah.
context: Naotsugu, how about some mustard?\I'm eating pancakes.\I did that on purpose.\So, it's the second day of the Scale Festival.\What will you be doing, Minori?\I do have some plans.\It's a festival, so you've gotta make the most of it. Right, Minori?\Yeah. response:	I'll be taking the dog for a walk.
context: I'm eating pancakes.\I did that on purpose.\So, it's the second day of the Scale Festival.\What will you be doing, Minori?\I do have some plans.\It's a festival, so you've gotta make the most of it. Right, Minori?\Yeah.\I'll be taking the dog for a walk. response:	Who are you talking about, Miss Isuzu?
context: I did that on purpose.\So, it's the second day of the Scale Festival.\What will you be doing, Minori?\I do have some plans.\It's a festival, so you've gotta make the most of it. Right, Minori?\Yeah.\I'll be taking the dog for a walk.\Who are you talking about, Miss Isuzu? response:	Will you be spending the day fighting hordes of paperwork again, Shiroe?
context: So, it's the second day of the Scale Festival.\What will you be doing, Minori?\I do have some plans.\It's a festival, so you've gotta make the most of it. Right, Minori?\Yeah.\I'll be taking the dog for a walk.\Who are you talking about, Miss Isuzu?\Will you be spending the day fighting hordes of paperwork again, Shiroe? response:	Yes, I think so.
context: What will you be doing, Minori?\I do have some plans.\It's a festival, so you've gotta make the most of it. Right, Minori?\Yeah.\I'll be taking the dog for a walk.\Who are you talking about, Miss Isuzu?\Will you be spending the day fighting hordes of paperwork again, Shiroe?\Yes, I think so. response:	I'd love to help you...
context: I do have some plans.\It's a festival, so you've gotta make the most of it. Right, Minori?\Yeah.\I'll be taking the dog for a walk.\Who are you talking about, Miss Isuzu?\Will you be spending the day fighting hordes of paperwork again, Shiroe?\Yes, I think so.\I'd love to help you... response:	But I have a mission.
context: It's a festival, so you've gotta make the most of it. Right, Minori?\Yeah.\I'll be taking the dog for a walk.\Who are you talking about, Miss Isuzu?\Will you be spending the day fighting hordes of paperwork again, Shiroe?\Yes, I think so.\I'd love to help you...\But I have a mission. response:	A mission?
context: Yeah.\I'll be taking the dog for a walk.\Who are you talking about, Miss Isuzu?\Will you be spending the day fighting hordes of paperwork again, Shiroe?\Yes, I think so.\I'd love to help you...\But I have a mission.\A mission? response:	Food safety inspections.
context: I'll be taking the dog for a walk.\Who are you talking about, Miss Isuzu?\Will you be spending the day fighting hordes of paperwork again, Shiroe?\Yes, I think so.\I'd love to help you...\But I have a mission.\A mission?\Food safety inspections. response:	Food safety inspections?
context: Who are you talking about, Miss Isuzu?\Will you be spending the day fighting hordes of paperwork again, Shiroe?\Yes, I think so.\I'd love to help you...\But I have a mission.\A mission?\Food safety inspections.\Food safety inspections? response:	Student of the Mage
context: Will you be spending the day fighting hordes of paperwork again, Shiroe?\Yes, I think so.\I'd love to help you...\But I have a mission.\A mission?\Food safety inspections.\Food safety inspections?\Student of the Mage response:	Student of the Mage.
context: Yes, I think so.\I'd love to help you...\But I have a mission.\A mission?\Food safety inspections.\Food safety inspections?\Student of the Mage\Student of the Mage. response:	Scale Festival
context: I'd love to help you...\But I have a mission.\A mission?\Food safety inspections.\Food safety inspections?\Student of the Mage\Student of the Mage.\Scale Festival response:	This spicy sauce is delicious!
context: But I have a mission.\A mission?\Food safety inspections.\Food safety inspections?\Student of the Mage\Student of the Mage.\Scale Festival\This spicy sauce is delicious! response:	Now, what do I eat next?
