context: At the end of the 1990's. response:	Japan has reached the most dangerous depths of economic crisis and depression since World War II.
context: At the end of the 1990's.\Japan has reached the most dangerous depths of economic crisis and depression since World War II. response:	There is a series of personal and company bankruptcies...
context: At the end of the 1990's.\Japan has reached the most dangerous depths of economic crisis and depression since World War II.\There is a series of personal and company bankruptcies... response:	Indeed, though it is the end of the century, it is most appropriate to call it a time of chaos.
context: At the end of the 1990's.\Japan has reached the most dangerous depths of economic crisis and depression since World War II.\There is a series of personal and company bankruptcies...\Indeed, though it is the end of the century, it is most appropriate to call it a time of chaos. response:	This is the same.
context: At the end of the 1990's.\Japan has reached the most dangerous depths of economic crisis and depression since World War II.\There is a series of personal and company bankruptcies...\Indeed, though it is the end of the century, it is most appropriate to call it a time of chaos.\This is the same. response:	First year room A as the top student of Hokuei Public High School...
context: At the end of the 1990's.\Japan has reached the most dangerous depths of economic crisis and depression since World War II.\There is a series of personal and company bankruptcies...\Indeed, though it is the end of the century, it is most appropriate to call it a time of chaos.\This is the same.\First year room A as the top student of Hokuei Public High School... response:	Arima, who has changed her, was carrying...
context: At the end of the 1990's.\Japan has reached the most dangerous depths of economic crisis and depression since World War II.\There is a series of personal and company bankruptcies...\Indeed, though it is the end of the century, it is most appropriate to call it a time of chaos.\This is the same.\First year room A as the top student of Hokuei Public High School...\Arima, who has changed her, was carrying... response:	These secretive two have become intimate with each other, even insofar as they are top students.
context: At the end of the 1990's.\Japan has reached the most dangerous depths of economic crisis and depression since World War II.\There is a series of personal and company bankruptcies...\Indeed, though it is the end of the century, it is most appropriate to call it a time of chaos.\This is the same.\First year room A as the top student of Hokuei Public High School...\Arima, who has changed her, was carrying...\These secretive two have become intimate with each other, even insofar as they are top students. response:	They eventually cross the stages of being classroom buddies, friends, more than friends to lovers.
context: Japan has reached the most dangerous depths of economic crisis and depression since World War II.\There is a series of personal and company bankruptcies...\Indeed, though it is the end of the century, it is most appropriate to call it a time of chaos.\This is the same.\First year room A as the top student of Hokuei Public High School...\Arima, who has changed her, was carrying...\These secretive two have become intimate with each other, even insofar as they are top students.\They eventually cross the stages of being classroom buddies, friends, more than friends to lovers. response:	And thus they arrive at a relationship in which we speak...
context: There is a series of personal and company bankruptcies...\Indeed, though it is the end of the century, it is most appropriate to call it a time of chaos.\This is the same.\First year room A as the top student of Hokuei Public High School...\Arima, who has changed her, was carrying...\These secretive two have become intimate with each other, even insofar as they are top students.\They eventually cross the stages of being classroom buddies, friends, more than friends to lovers.\And thus they arrive at a relationship in which we speak... response:	And then, feeling pressure in their relationship...
context: Indeed, though it is the end of the century, it is most appropriate to call it a time of chaos.\This is the same.\First year room A as the top student of Hokuei Public High School...\Arima, who has changed her, was carrying...\These secretive two have become intimate with each other, even insofar as they are top students.\They eventually cross the stages of being classroom buddies, friends, more than friends to lovers.\And thus they arrive at a relationship in which we speak...\And then, feeling pressure in their relationship... response:	Toward these two who have made these decisions...
context: This is the same.\First year room A as the top student of Hokuei Public High School...\Arima, who has changed her, was carrying...\These secretive two have become intimate with each other, even insofar as they are top students.\They eventually cross the stages of being classroom buddies, friends, more than friends to lovers.\And thus they arrive at a relationship in which we speak...\And then, feeling pressure in their relationship...\Toward these two who have made these decisions... response:	But sweeping away destructive demonic influences, and enduring...
context: First year room A as the top student of Hokuei Public High School...\Arima, who has changed her, was carrying...\These secretive two have become intimate with each other, even insofar as they are top students.\They eventually cross the stages of being classroom buddies, friends, more than friends to lovers.\And thus they arrive at a relationship in which we speak...\And then, feeling pressure in their relationship...\Toward these two who have made these decisions...\But sweeping away destructive demonic influences, and enduring... response:	However!
context: Arima, who has changed her, was carrying...\These secretive two have become intimate with each other, even insofar as they are top students.\They eventually cross the stages of being classroom buddies, friends, more than friends to lovers.\And thus they arrive at a relationship in which we speak...\And then, feeling pressure in their relationship...\Toward these two who have made these decisions...\But sweeping away destructive demonic influences, and enduring...\However! response:	However! Stage 1
context: These secretive two have become intimate with each other, even insofar as they are top students.\They eventually cross the stages of being classroom buddies, friends, more than friends to lovers.\And thus they arrive at a relationship in which we speak...\And then, feeling pressure in their relationship...\Toward these two who have made these decisions...\But sweeping away destructive demonic influences, and enduring...\However!\However! Stage 1 response:	Stage 1
context: They eventually cross the stages of being classroom buddies, friends, more than friends to lovers.\And thus they arrive at a relationship in which we speak...\And then, feeling pressure in their relationship...\Toward these two who have made these decisions...\But sweeping away destructive demonic influences, and enduring...\However!\However! Stage 1\Stage 1 response:	Broadcast Information Meetings
context: And thus they arrive at a relationship in which we speak...\And then, feeling pressure in their relationship...\Toward these two who have made these decisions...\But sweeping away destructive demonic influences, and enduring...\However!\However! Stage 1\Stage 1\Broadcast Information Meetings response:	Broadcast Information Meetings Ah
context: And then, feeling pressure in their relationship...\Toward these two who have made these decisions...\But sweeping away destructive demonic influences, and enduring...\However!\However! Stage 1\Stage 1\Broadcast Information Meetings\Broadcast Information Meetings Ah response:	Ah
context: Toward these two who have made these decisions...\But sweeping away destructive demonic influences, and enduring...\However!\However! Stage 1\Stage 1\Broadcast Information Meetings\Broadcast Information Meetings Ah\Ah response:	Oh It's Asapin
context: But sweeping away destructive demonic influences, and enduring...\However!\However! Stage 1\Stage 1\Broadcast Information Meetings\Broadcast Information Meetings Ah\Ah\Oh It's Asapin response:	Oh It's Asapin He presented himself, and flowed in.
context: However!\However! Stage 1\Stage 1\Broadcast Information Meetings\Broadcast Information Meetings Ah\Ah\Oh It's Asapin\Oh It's Asapin He presented himself, and flowed in. response:	He presented himself, and flowed in.
context: However! Stage 1\Stage 1\Broadcast Information Meetings\Broadcast Information Meetings Ah\Ah\Oh It's Asapin\Oh It's Asapin He presented himself, and flowed in.\He presented himself, and flowed in. response:	He presented himself, and flowed in. Oh, Miyazawa, you're also doing broadcast and information
context: Stage 1\Broadcast Information Meetings\Broadcast Information Meetings Ah\Ah\Oh It's Asapin\Oh It's Asapin He presented himself, and flowed in.\He presented himself, and flowed in.\He presented himself, and flowed in. Oh, Miyazawa, you're also doing broadcast and information response:	He presented himself, and flowed in. Oh, Miyazawa, you're also doing broadcast and information Oh! Asabakun
context: Broadcast Information Meetings\Broadcast Information Meetings Ah\Ah\Oh It's Asapin\Oh It's Asapin He presented himself, and flowed in.\He presented himself, and flowed in.\He presented himself, and flowed in. Oh, Miyazawa, you're also doing broadcast and information\He presented himself, and flowed in. Oh, Miyazawa, you're also doing broadcast and information Oh! Asabakun response:	Oh, Miyazawa, you're also doing broadcast and information Oh! Asabakun
context: Broadcast Information Meetings Ah\Ah\Oh It's Asapin\Oh It's Asapin He presented himself, and flowed in.\He presented himself, and flowed in.\He presented himself, and flowed in. Oh, Miyazawa, you're also doing broadcast and information\He presented himself, and flowed in. Oh, Miyazawa, you're also doing broadcast and information Oh! Asabakun\Oh, Miyazawa, you're also doing broadcast and information Oh! Asabakun response:	Oh! Asabakun And conversation.
context: Ah\Oh It's Asapin\Oh It's Asapin He presented himself, and flowed in.\He presented himself, and flowed in.\He presented himself, and flowed in. Oh, Miyazawa, you're also doing broadcast and information\He presented himself, and flowed in. Oh, Miyazawa, you're also doing broadcast and information Oh! Asabakun\Oh, Miyazawa, you're also doing broadcast and information Oh! Asabakun\Oh! Asabakun And conversation. response:	And conversation. Oh yeah, let's do it.
context: Oh It's Asapin\Oh It's Asapin He presented himself, and flowed in.\He presented himself, and flowed in.\He presented himself, and flowed in. Oh, Miyazawa, you're also doing broadcast and information\He presented himself, and flowed in. Oh, Miyazawa, you're also doing broadcast and information Oh! Asabakun\Oh, Miyazawa, you're also doing broadcast and information Oh! Asabakun\Oh! Asabakun And conversation.\And conversation. Oh yeah, let's do it. response:	Oh yeah, let's do it.
context: Oh It's Asapin He presented himself, and flowed in.\He presented himself, and flowed in.\He presented himself, and flowed in. Oh, Miyazawa, you're also doing broadcast and information\He presented himself, and flowed in. Oh, Miyazawa, you're also doing broadcast and information Oh! Asabakun\Oh, Miyazawa, you're also doing broadcast and information Oh! Asabakun\Oh! Asabakun And conversation.\And conversation. Oh yeah, let's do it.\Oh yeah, let's do it. response:	Well, those two are here too.
context: He presented himself, and flowed in.\He presented himself, and flowed in. Oh, Miyazawa, you're also doing broadcast and information\He presented himself, and flowed in. Oh, Miyazawa, you're also doing broadcast and information Oh! Asabakun\Oh, Miyazawa, you're also doing broadcast and information Oh! Asabakun\Oh! Asabakun And conversation.\And conversation. Oh yeah, let's do it.\Oh yeah, let's do it.\Well, those two are here too. response:	Well, those two are here too. And then he appeared, and flowed in again.
context: He presented himself, and flowed in. Oh, Miyazawa, you're also doing broadcast and information\He presented himself, and flowed in. Oh, Miyazawa, you're also doing broadcast and information Oh! Asabakun\Oh, Miyazawa, you're also doing broadcast and information Oh! Asabakun\Oh! Asabakun And conversation.\And conversation. Oh yeah, let's do it.\Oh yeah, let's do it.\Well, those two are here too.\Well, those two are here too. And then he appeared, and flowed in again. response:	And then he appeared, and flowed in again. Tonamikun
context: He presented himself, and flowed in. Oh, Miyazawa, you're also doing broadcast and information Oh! Asabakun\Oh, Miyazawa, you're also doing broadcast and information Oh! Asabakun\Oh! Asabakun And conversation.\And conversation. Oh yeah, let's do it.\Oh yeah, let's do it.\Well, those two are here too.\Well, those two are here too. And then he appeared, and flowed in again.\And then he appeared, and flowed in again. Tonamikun response:	Tonamikun
context: Oh, Miyazawa, you're also doing broadcast and information Oh! Asabakun\Oh! Asabakun And conversation.\And conversation. Oh yeah, let's do it.\Oh yeah, let's do it.\Well, those two are here too.\Well, those two are here too. And then he appeared, and flowed in again.\And then he appeared, and flowed in again. Tonamikun\Tonamikun response:	I'm so glad. I just came into this school. I've got no one I know and I don't know this school.
context: Oh! Asabakun And conversation.\And conversation. Oh yeah, let's do it.\Oh yeah, let's do it.\Well, those two are here too.\Well, those two are here too. And then he appeared, and flowed in again.\And then he appeared, and flowed in again. Tonamikun\Tonamikun\I'm so glad. I just came into this school. I've got no one I know and I don't know this school. response:	Then stay with me, I'll teach you lots of stuff.
context: And conversation. Oh yeah, let's do it.\Oh yeah, let's do it.\Well, those two are here too.\Well, those two are here too. And then he appeared, and flowed in again.\And then he appeared, and flowed in again. Tonamikun\Tonamikun\I'm so glad. I just came into this school. I've got no one I know and I don't know this school.\Then stay with me, I'll teach you lots of stuff. response:	Then stay with me, I'll teach you lots of stuff. And conversation.
context: Oh yeah, let's do it.\Well, those two are here too.\Well, those two are here too. And then he appeared, and flowed in again.\And then he appeared, and flowed in again. Tonamikun\Tonamikun\I'm so glad. I just came into this school. I've got no one I know and I don't know this school.\Then stay with me, I'll teach you lots of stuff.\Then stay with me, I'll teach you lots of stuff. And conversation. response:	Then stay with me, I'll teach you lots of stuff.
context: Well, those two are here too.\Well, those two are here too. And then he appeared, and flowed in again.\And then he appeared, and flowed in again. Tonamikun\Tonamikun\I'm so glad. I just came into this school. I've got no one I know and I don't know this school.\Then stay with me, I'll teach you lots of stuff.\Then stay with me, I'll teach you lots of stuff. And conversation.\Then stay with me, I'll teach you lots of stuff. response:	Kinda feels like I'll get used.
context: Well, those two are here too. And then he appeared, and flowed in again.\And then he appeared, and flowed in again. Tonamikun\Tonamikun\I'm so glad. I just came into this school. I've got no one I know and I don't know this school.\Then stay with me, I'll teach you lots of stuff.\Then stay with me, I'll teach you lots of stuff. And conversation.\Then stay with me, I'll teach you lots of stuff.\Kinda feels like I'll get used. response:	Kinda feels like I'll get used. Continuing conversation.
context: And then he appeared, and flowed in again. Tonamikun\Tonamikun\I'm so glad. I just came into this school. I've got no one I know and I don't know this school.\Then stay with me, I'll teach you lots of stuff.\Then stay with me, I'll teach you lots of stuff. And conversation.\Then stay with me, I'll teach you lots of stuff.\Kinda feels like I'll get used.\Kinda feels like I'll get used. Continuing conversation. response:	Continuing conversation.
context: Tonamikun\I'm so glad. I just came into this school. I've got no one I know and I don't know this school.\Then stay with me, I'll teach you lots of stuff.\Then stay with me, I'll teach you lots of stuff. And conversation.\Then stay with me, I'll teach you lots of stuff.\Kinda feels like I'll get used.\Kinda feels like I'll get used. Continuing conversation.\Continuing conversation. response:	Continuing conversation. Of course
context: I'm so glad. I just came into this school. I've got no one I know and I don't know this school.\Then stay with me, I'll teach you lots of stuff.\Then stay with me, I'll teach you lots of stuff. And conversation.\Then stay with me, I'll teach you lots of stuff.\Kinda feels like I'll get used.\Kinda feels like I'll get used. Continuing conversation.\Continuing conversation.\Continuing conversation. Of course response:	Of course
context: Then stay with me, I'll teach you lots of stuff.\Then stay with me, I'll teach you lots of stuff. And conversation.\Then stay with me, I'll teach you lots of stuff.\Kinda feels like I'll get used.\Kinda feels like I'll get used. Continuing conversation.\Continuing conversation.\Continuing conversation. Of course\Of course response:	Of course Continuing conversation.
context: Then stay with me, I'll teach you lots of stuff. And conversation.\Then stay with me, I'll teach you lots of stuff.\Kinda feels like I'll get used.\Kinda feels like I'll get used. Continuing conversation.\Continuing conversation.\Continuing conversation. Of course\Of course\Of course Continuing conversation. response:	Continuing conversation.
context: Then stay with me, I'll teach you lots of stuff.\Kinda feels like I'll get used.\Kinda feels like I'll get used. Continuing conversation.\Continuing conversation.\Continuing conversation. Of course\Of course\Of course Continuing conversation.\Continuing conversation. response:	He is silent.
context: Kinda feels like I'll get used.\Kinda feels like I'll get used. Continuing conversation.\Continuing conversation.\Continuing conversation. Of course\Of course\Of course Continuing conversation.\Continuing conversation.\He is silent. response:	And scornful
context: Kinda feels like I'll get used. Continuing conversation.\Continuing conversation.\Continuing conversation. Of course\Of course\Of course Continuing conversation.\Continuing conversation.\He is silent.\And scornful response:	Stage 2
context: Continuing conversation.\Continuing conversation. Of course\Of course\Of course Continuing conversation.\Continuing conversation.\He is silent.\And scornful\Stage 2 response:	This is the tallest tree in this school...
context: Continuing conversation. Of course\Of course\Of course Continuing conversation.\Continuing conversation.\He is silent.\And scornful\Stage 2\This is the tallest tree in this school... response:	Ouch
context: Of course\Of course Continuing conversation.\Continuing conversation.\He is silent.\And scornful\Stage 2\This is the tallest tree in this school...\Ouch response:	Hey, didn't mean to do that.
context: Of course Continuing conversation.\Continuing conversation.\He is silent.\And scornful\Stage 2\This is the tallest tree in this school...\Ouch\Hey, didn't mean to do that. response:	Hey, didn't mean to do that. Opps, sorry.
context: Continuing conversation.\He is silent.\And scornful\Stage 2\This is the tallest tree in this school...\Ouch\Hey, didn't mean to do that.\Hey, didn't mean to do that. Opps, sorry. response:	Opps, sorry.
context: He is silent.\And scornful\Stage 2\This is the tallest tree in this school...\Ouch\Hey, didn't mean to do that.\Hey, didn't mean to do that. Opps, sorry.\Opps, sorry. response:	Opps, sorry. Dropped it.
context: And scornful\Stage 2\This is the tallest tree in this school...\Ouch\Hey, didn't mean to do that.\Hey, didn't mean to do that. Opps, sorry.\Opps, sorry.\Opps, sorry. Dropped it. response:	Dropped it.
context: Stage 2\This is the tallest tree in this school...\Ouch\Hey, didn't mean to do that.\Hey, didn't mean to do that. Opps, sorry.\Opps, sorry.\Opps, sorry. Dropped it.\Dropped it. response:	Dropped it. Thus she apologizes.
context: This is the tallest tree in this school...\Ouch\Hey, didn't mean to do that.\Hey, didn't mean to do that. Opps, sorry.\Opps, sorry.\Opps, sorry. Dropped it.\Dropped it.\Dropped it. Thus she apologizes. response:	Thus she apologizes.
context: Ouch\Hey, didn't mean to do that.\Hey, didn't mean to do that. Opps, sorry.\Opps, sorry.\Opps, sorry. Dropped it.\Dropped it.\Dropped it. Thus she apologizes.\Thus she apologizes. response:	And then smiles.
context: Hey, didn't mean to do that.\Hey, didn't mean to do that. Opps, sorry.\Opps, sorry.\Opps, sorry. Dropped it.\Dropped it.\Dropped it. Thus she apologizes.\Thus she apologizes.\And then smiles. response:	Unexpected encounter.
context: Hey, didn't mean to do that. Opps, sorry.\Opps, sorry.\Opps, sorry. Dropped it.\Dropped it.\Dropped it. Thus she apologizes.\Thus she apologizes.\And then smiles.\Unexpected encounter. response:	Small irritation.
context: Opps, sorry.\Opps, sorry. Dropped it.\Dropped it.\Dropped it. Thus she apologizes.\Thus she apologizes.\And then smiles.\Unexpected encounter.\Small irritation. response:	What are you doing up here?
context: Opps, sorry. Dropped it.\Dropped it.\Dropped it. Thus she apologizes.\Thus she apologizes.\And then smiles.\Unexpected encounter.\Small irritation.\What are you doing up here? response:	What are you doing up here? He approaches.
context: Dropped it.\Dropped it. Thus she apologizes.\Thus she apologizes.\And then smiles.\Unexpected encounter.\Small irritation.\What are you doing up here?\What are you doing up here? He approaches. response:	What are you doing up here?
context: Dropped it. Thus she apologizes.\Thus she apologizes.\And then smiles.\Unexpected encounter.\Small irritation.\What are you doing up here?\What are you doing up here? He approaches.\What are you doing up here? response:	It's the best eating lunch at places like this.
context: Thus she apologizes.\And then smiles.\Unexpected encounter.\Small irritation.\What are you doing up here?\What are you doing up here? He approaches.\What are you doing up here?\It's the best eating lunch at places like this. response:	It's the best eating lunch at places like this. Conversation.
context: And then smiles.\Unexpected encounter.\Small irritation.\What are you doing up here?\What are you doing up here? He approaches.\What are you doing up here?\It's the best eating lunch at places like this.\It's the best eating lunch at places like this. Conversation. response:	It's the best eating lunch at places like this.
context: Unexpected encounter.\Small irritation.\What are you doing up here?\What are you doing up here? He approaches.\What are you doing up here?\It's the best eating lunch at places like this.\It's the best eating lunch at places like this. Conversation.\It's the best eating lunch at places like this. response:	Gorilla! Ha ha ha you're a gorillia!
context: Small irritation.\What are you doing up here?\What are you doing up here? He approaches.\What are you doing up here?\It's the best eating lunch at places like this.\It's the best eating lunch at places like this. Conversation.\It's the best eating lunch at places like this.\Gorilla! Ha ha ha you're a gorillia! response:	Gorilla! Ha ha ha you're a gorillia! Guffawing.
context: What are you doing up here?\What are you doing up here? He approaches.\What are you doing up here?\It's the best eating lunch at places like this.\It's the best eating lunch at places like this. Conversation.\It's the best eating lunch at places like this.\Gorilla! Ha ha ha you're a gorillia!\Gorilla! Ha ha ha you're a gorillia! Guffawing. response:	Gorilla! Ha ha ha you're a gorillia!
context: What are you doing up here? He approaches.\What are you doing up here?\It's the best eating lunch at places like this.\It's the best eating lunch at places like this. Conversation.\It's the best eating lunch at places like this.\Gorilla! Ha ha ha you're a gorillia!\Gorilla! Ha ha ha you're a gorillia! Guffawing.\Gorilla! Ha ha ha you're a gorillia! response:	You say so, but you look like a gorilla yourself.
