context: So... you found yourself another arm! response:	This replacement arm...
context: So... you found yourself another arm!\This replacement arm... response:	can act as a shield against Tetsusaiga's barrier.
context: So... you found yourself another arm!\This replacement arm...\can act as a shield against Tetsusaiga's barrier. response:	That's a dragon's claw!
context: So... you found yourself another arm!\This replacement arm...\can act as a shield against Tetsusaiga's barrier.\That's a dragon's claw! response:	It'll be far stronger than some demon's arm.
context: So... you found yourself another arm!\This replacement arm...\can act as a shield against Tetsusaiga's barrier.\That's a dragon's claw!\It'll be far stronger than some demon's arm. response:	But what does he intend to do with it?
context: So... you found yourself another arm!\This replacement arm...\can act as a shield against Tetsusaiga's barrier.\That's a dragon's claw!\It'll be far stronger than some demon's arm.\But what does he intend to do with it? response:	But just one thrust seems to have damaged it considerably!
context: So... you found yourself another arm!\This replacement arm...\can act as a shield against Tetsusaiga's barrier.\That's a dragon's claw!\It'll be far stronger than some demon's arm.\But what does he intend to do with it?\But just one thrust seems to have damaged it considerably! response:	The Tetsusaiga is quite amazing.
context: So... you found yourself another arm!\This replacement arm...\can act as a shield against Tetsusaiga's barrier.\That's a dragon's claw!\It'll be far stronger than some demon's arm.\But what does he intend to do with it?\But just one thrust seems to have damaged it considerably!\The Tetsusaiga is quite amazing. response:	Even without its true bearer...
context: This replacement arm...\can act as a shield against Tetsusaiga's barrier.\That's a dragon's claw!\It'll be far stronger than some demon's arm.\But what does he intend to do with it?\But just one thrust seems to have damaged it considerably!\The Tetsusaiga is quite amazing.\Even without its true bearer... response:	a dragon's claw is no match against it.
context: can act as a shield against Tetsusaiga's barrier.\That's a dragon's claw!\It'll be far stronger than some demon's arm.\But what does he intend to do with it?\But just one thrust seems to have damaged it considerably!\The Tetsusaiga is quite amazing.\Even without its true bearer...\a dragon's claw is no match against it. response:	However...
context: That's a dragon's claw!\It'll be far stronger than some demon's arm.\But what does he intend to do with it?\But just one thrust seems to have damaged it considerably!\The Tetsusaiga is quite amazing.\Even without its true bearer...\a dragon's claw is no match against it.\However... response:	why doesn't it reveal its Wind Scar...
context: It'll be far stronger than some demon's arm.\But what does he intend to do with it?\But just one thrust seems to have damaged it considerably!\The Tetsusaiga is quite amazing.\Even without its true bearer...\a dragon's claw is no match against it.\However...\why doesn't it reveal its Wind Scar... response:	to the one it has allowed into its barrier?
context: But what does he intend to do with it?\But just one thrust seems to have damaged it considerably!\The Tetsusaiga is quite amazing.\Even without its true bearer...\a dragon's claw is no match against it.\However...\why doesn't it reveal its Wind Scar...\to the one it has allowed into its barrier? response:	Tetsusaiga...
context: But just one thrust seems to have damaged it considerably!\The Tetsusaiga is quite amazing.\Even without its true bearer...\a dragon's claw is no match against it.\However...\why doesn't it reveal its Wind Scar...\to the one it has allowed into its barrier?\Tetsusaiga... response:	cut through the empty space!
context: The Tetsusaiga is quite amazing.\Even without its true bearer...\a dragon's claw is no match against it.\However...\why doesn't it reveal its Wind Scar...\to the one it has allowed into its barrier?\Tetsusaiga...\cut through the empty space! response:	Reveal your true power!
context: Even without its true bearer...\a dragon's claw is no match against it.\However...\why doesn't it reveal its Wind Scar...\to the one it has allowed into its barrier?\Tetsusaiga...\cut through the empty space!\Reveal your true power! response:	Sesshomaru is able to see the Wind Scar!
context: a dragon's claw is no match against it.\However...\why doesn't it reveal its Wind Scar...\to the one it has allowed into its barrier?\Tetsusaiga...\cut through the empty space!\Reveal your true power!\Sesshomaru is able to see the Wind Scar! response:	Old man... just what is the Wind Scar?
context: However...\why doesn't it reveal its Wind Scar...\to the one it has allowed into its barrier?\Tetsusaiga...\cut through the empty space!\Reveal your true power!\Sesshomaru is able to see the Wind Scar!\Old man... just what is the Wind Scar? response:	Simply put, the secret to mastering the Tetsusaiga.
context: why doesn't it reveal its Wind Scar...\to the one it has allowed into its barrier?\Tetsusaiga...\cut through the empty space!\Reveal your true power!\Sesshomaru is able to see the Wind Scar!\Old man... just what is the Wind Scar?\Simply put, the secret to mastering the Tetsusaiga. response:	Slaying a hundred demons is impossible...
context: to the one it has allowed into its barrier?\Tetsusaiga...\cut through the empty space!\Reveal your true power!\Sesshomaru is able to see the Wind Scar!\Old man... just what is the Wind Scar?\Simply put, the secret to mastering the Tetsusaiga.\Slaying a hundred demons is impossible... response:	unless you can read the Wind Scar.
