context: At the time, three years after their debut, response:	Trapnest had reached a million in sales, both in the singles and album charts.
context: At the time, three years after their debut,\Trapnest had reached a million in sales, both in the singles and album charts. response:	Their vocalist, Reira, was in a class of her own
context: At the time, three years after their debut,\Trapnest had reached a million in sales, both in the singles and album charts.\Their vocalist, Reira, was in a class of her own response:	with a voice quality and range exceptional for a Japanese singer.
context: At the time, three years after their debut,\Trapnest had reached a million in sales, both in the singles and album charts.\Their vocalist, Reira, was in a class of her own\with a voice quality and range exceptional for a Japanese singer. response:	Ren wrote almost all of their songs.
context: At the time, three years after their debut,\Trapnest had reached a million in sales, both in the singles and album charts.\Their vocalist, Reira, was in a class of her own\with a voice quality and range exceptional for a Japanese singer.\Ren wrote almost all of their songs. response:	That day, for all two hours of the show,
context: At the time, three years after their debut,\Trapnest had reached a million in sales, both in the singles and album charts.\Their vocalist, Reira, was in a class of her own\with a voice quality and range exceptional for a Japanese singer.\Ren wrote almost all of their songs.\That day, for all two hours of the show, response:	my eyes were on Ren the whole time as if he was performing on his own.
context: At the time, three years after their debut,\Trapnest had reached a million in sales, both in the singles and album charts.\Their vocalist, Reira, was in a class of her own\with a voice quality and range exceptional for a Japanese singer.\Ren wrote almost all of their songs.\That day, for all two hours of the show,\my eyes were on Ren the whole time as if he was performing on his own. response:	I kept sending him telepathic waves
context: At the time, three years after their debut,\Trapnest had reached a million in sales, both in the singles and album charts.\Their vocalist, Reira, was in a class of her own\with a voice quality and range exceptional for a Japanese singer.\Ren wrote almost all of their songs.\That day, for all two hours of the show,\my eyes were on Ren the whole time as if he was performing on his own.\I kept sending him telepathic waves response:	hoping that he would sense Nana's presence.
context: Trapnest had reached a million in sales, both in the singles and album charts.\Their vocalist, Reira, was in a class of her own\with a voice quality and range exceptional for a Japanese singer.\Ren wrote almost all of their songs.\That day, for all two hours of the show,\my eyes were on Ren the whole time as if he was performing on his own.\I kept sending him telepathic waves\hoping that he would sense Nana's presence. response:	At times I felt Ren was looking this way,
context: Their vocalist, Reira, was in a class of her own\with a voice quality and range exceptional for a Japanese singer.\Ren wrote almost all of their songs.\That day, for all two hours of the show,\my eyes were on Ren the whole time as if he was performing on his own.\I kept sending him telepathic waves\hoping that he would sense Nana's presence.\At times I felt Ren was looking this way, response:	but in an instant his eyes would wander off elsewhere.
context: with a voice quality and range exceptional for a Japanese singer.\Ren wrote almost all of their songs.\That day, for all two hours of the show,\my eyes were on Ren the whole time as if he was performing on his own.\I kept sending him telepathic waves\hoping that he would sense Nana's presence.\At times I felt Ren was looking this way,\but in an instant his eyes would wander off elsewhere. response:	When I was darkness at that time
context: Ren wrote almost all of their songs.\That day, for all two hours of the show,\my eyes were on Ren the whole time as if he was performing on his own.\I kept sending him telepathic waves\hoping that he would sense Nana's presence.\At times I felt Ren was looking this way,\but in an instant his eyes would wander off elsewhere.\When I was darkness at that time response:	With trembling lips
context: That day, for all two hours of the show,\my eyes were on Ren the whole time as if he was performing on his own.\I kept sending him telepathic waves\hoping that he would sense Nana's presence.\At times I felt Ren was looking this way,\but in an instant his eyes would wander off elsewhere.\When I was darkness at that time\With trembling lips response:	The more I struggle
context: my eyes were on Ren the whole time as if he was performing on his own.\I kept sending him telepathic waves\hoping that he would sense Nana's presence.\At times I felt Ren was looking this way,\but in an instant his eyes would wander off elsewhere.\When I was darkness at that time\With trembling lips\The more I struggle response:	The more this wound deepens
context: I kept sending him telepathic waves\hoping that he would sense Nana's presence.\At times I felt Ren was looking this way,\but in an instant his eyes would wander off elsewhere.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens response:	The broken promise hurt me
context: hoping that he would sense Nana's presence.\At times I felt Ren was looking this way,\but in an instant his eyes would wander off elsewhere.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me response:	Nobody can save me
context: At times I felt Ren was looking this way,\but in an instant his eyes would wander off elsewhere.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me response:	God, I have only one request
context: but in an instant his eyes would wander off elsewhere.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request response:	Stop tearing apart my love
context: When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love response:	I need your love
context: With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love response:	I'm a broken rose
context: The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose response:	Sorrow tumbling down is your song
context: The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song response:	All alone with nowhere to go in my life
context: The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life response:	I need your love
context: Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love response:	I'm a broken rose
context: God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose response:	Oh baby, help me from frozen pain
context: Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain response:	With your smile, your eyes, and sing me, just for me
context: I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me response:	I wanna need your love
context: I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love response:	I'm a broken rose
context: Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose response:	I wanna need your love
context: All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love response:	Is he unreachable? After coming all the way here?
context: I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Is he unreachable? After coming all the way here? response:	Thank you very much.
context: I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Is he unreachable? After coming all the way here?\Thank you very much. response:	Encore! Encore! Encore! Encore!
context: Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Is he unreachable? After coming all the way here?\Thank you very much.\Encore! Encore! Encore! Encore! response:	The fans were great today. They were really into our performance.
context: With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Is he unreachable? After coming all the way here?\Thank you very much.\Encore! Encore! Encore! Encore!\The fans were great today. They were really into our performance. response:	Is this their national identity?
context: I wanna need your love\I'm a broken rose\I wanna need your love\Is he unreachable? After coming all the way here?\Thank you very much.\Encore! Encore! Encore! Encore!\The fans were great today. They were really into our performance.\Is this their national identity? response:	You mean prefectural identity. We're not on a world tour.
context: I'm a broken rose\I wanna need your love\Is he unreachable? After coming all the way here?\Thank you very much.\Encore! Encore! Encore! Encore!\The fans were great today. They were really into our performance.\Is this their national identity?\You mean prefectural identity. We're not on a world tour. response:	Please, don't bother talking to the audience on stage, Naoki.
context: I wanna need your love\Is he unreachable? After coming all the way here?\Thank you very much.\Encore! Encore! Encore! Encore!\The fans were great today. They were really into our performance.\Is this their national identity?\You mean prefectural identity. We're not on a world tour.\Please, don't bother talking to the audience on stage, Naoki. response:	It exposes your lack of intelligence.
context: Is he unreachable? After coming all the way here?\Thank you very much.\Encore! Encore! Encore! Encore!\The fans were great today. They were really into our performance.\Is this their national identity?\You mean prefectural identity. We're not on a world tour.\Please, don't bother talking to the audience on stage, Naoki.\It exposes your lack of intelligence. response:	Let's add songs to our encore.
context: Thank you very much.\Encore! Encore! Encore! Encore!\The fans were great today. They were really into our performance.\Is this their national identity?\You mean prefectural identity. We're not on a world tour.\Please, don't bother talking to the audience on stage, Naoki.\It exposes your lack of intelligence.\Let's add songs to our encore. response:	Two more songs don't feel like enough.
context: Encore! Encore! Encore! Encore!\The fans were great today. They were really into our performance.\Is this their national identity?\You mean prefectural identity. We're not on a world tour.\Please, don't bother talking to the audience on stage, Naoki.\It exposes your lack of intelligence.\Let's add songs to our encore.\Two more songs don't feel like enough. response:	But we haven't rehearsed any others. Don't be ridiculous.
context: The fans were great today. They were really into our performance.\Is this their national identity?\You mean prefectural identity. We're not on a world tour.\Please, don't bother talking to the audience on stage, Naoki.\It exposes your lack of intelligence.\Let's add songs to our encore.\Two more songs don't feel like enough.\But we haven't rehearsed any others. Don't be ridiculous. response:	That'll be impossible. We're approaching our time limit here.
context: Is this their national identity?\You mean prefectural identity. We're not on a world tour.\Please, don't bother talking to the audience on stage, Naoki.\It exposes your lack of intelligence.\Let's add songs to our encore.\Two more songs don't feel like enough.\But we haven't rehearsed any others. Don't be ridiculous.\That'll be impossible. We're approaching our time limit here. response:	We're not renting this hall for free, you know.
context: You mean prefectural identity. We're not on a world tour.\Please, don't bother talking to the audience on stage, Naoki.\It exposes your lack of intelligence.\Let's add songs to our encore.\Two more songs don't feel like enough.\But we haven't rehearsed any others. Don't be ridiculous.\That'll be impossible. We're approaching our time limit here.\We're not renting this hall for free, you know. response:	For a manager, you can be real stingy, Take.
