context: I wonder if I'll get to see the fall next year. response:	The sun is the light for the early sleepers.
context: I wonder if I'll get to see the fall next year.\The sun is the light for the early sleepers. response:	The moon and stars are light for the night owls.
context: I wonder if I'll get to see the fall next year.\The sun is the light for the early sleepers.\The moon and stars are light for the night owls. response:	Complete all the rituals by night.
context: I wonder if I'll get to see the fall next year.\The sun is the light for the early sleepers.\The moon and stars are light for the night owls.\Complete all the rituals by night. response:	The night of Yule comes!
context: I wonder if I'll get to see the fall next year.\The sun is the light for the early sleepers.\The moon and stars are light for the night owls.\Complete all the rituals by night.\The night of Yule comes! response:	Hey, beloved child of the night.
context: I wonder if I'll get to see the fall next year.\The sun is the light for the early sleepers.\The moon and stars are light for the night owls.\Complete all the rituals by night.\The night of Yule comes!\Hey, beloved child of the night. response:	Human child.
context: I wonder if I'll get to see the fall next year.\The sun is the light for the early sleepers.\The moon and stars are light for the night owls.\Complete all the rituals by night.\The night of Yule comes!\Hey, beloved child of the night.\Human child. response:	Do you think you'll be done preparing for Yule?
context: I wonder if I'll get to see the fall next year.\The sun is the light for the early sleepers.\The moon and stars are light for the night owls.\Complete all the rituals by night.\The night of Yule comes!\Hey, beloved child of the night.\Human child.\Do you think you'll be done preparing for Yule? response:	Yule?
context: The sun is the light for the early sleepers.\The moon and stars are light for the night owls.\Complete all the rituals by night.\The night of Yule comes!\Hey, beloved child of the night.\Human child.\Do you think you'll be done preparing for Yule?\Yule? response:	We're preparing for Yule soon.
context: The moon and stars are light for the night owls.\Complete all the rituals by night.\The night of Yule comes!\Hey, beloved child of the night.\Human child.\Do you think you'll be done preparing for Yule?\Yule?\We're preparing for Yule soon. response:	Elias.
context: Complete all the rituals by night.\The night of Yule comes!\Hey, beloved child of the night.\Human child.\Do you think you'll be done preparing for Yule?\Yule?\We're preparing for Yule soon.\Elias. response:	You sleepy-head, the night will be here before you know it.
context: The night of Yule comes!\Hey, beloved child of the night.\Human child.\Do you think you'll be done preparing for Yule?\Yule?\We're preparing for Yule soon.\Elias.\You sleepy-head, the night will be here before you know it. response:	Set the Yule Log ablaze in your hearth...
context: Hey, beloved child of the night.\Human child.\Do you think you'll be done preparing for Yule?\Yule?\We're preparing for Yule soon.\Elias.\You sleepy-head, the night will be here before you know it.\Set the Yule Log ablaze in your hearth... response:	Before the Horned God and his Dark Lady walk the earth.
context: Human child.\Do you think you'll be done preparing for Yule?\Yule?\We're preparing for Yule soon.\Elias.\You sleepy-head, the night will be here before you know it.\Set the Yule Log ablaze in your hearth...\Before the Horned God and his Dark Lady walk the earth. response:	Thank you.
context: Do you think you'll be done preparing for Yule?\Yule?\We're preparing for Yule soon.\Elias.\You sleepy-head, the night will be here before you know it.\Set the Yule Log ablaze in your hearth...\Before the Horned God and his Dark Lady walk the earth.\Thank you. response:	Take care.
context: Yule?\We're preparing for Yule soon.\Elias.\You sleepy-head, the night will be here before you know it.\Set the Yule Log ablaze in your hearth...\Before the Horned God and his Dark Lady walk the earth.\Thank you.\Take care. response:	Good morning, Elias.
context: We're preparing for Yule soon.\Elias.\You sleepy-head, the night will be here before you know it.\Set the Yule Log ablaze in your hearth...\Before the Horned God and his Dark Lady walk the earth.\Thank you.\Take care.\Good morning, Elias. response:	Who were they?
context: Elias.\You sleepy-head, the night will be here before you know it.\Set the Yule Log ablaze in your hearth...\Before the Horned God and his Dark Lady walk the earth.\Thank you.\Take care.\Good morning, Elias.\Who were they? response:	Yule.
context: You sleepy-head, the night will be here before you know it.\Set the Yule Log ablaze in your hearth...\Before the Horned God and his Dark Lady walk the earth.\Thank you.\Take care.\Good morning, Elias.\Who were they?\Yule. response:	I call them the Yule twins because they always come on the day of the winter solstice,
context: Set the Yule Log ablaze in your hearth...\Before the Horned God and his Dark Lady walk the earth.\Thank you.\Take care.\Good morning, Elias.\Who were they?\Yule.\I call them the Yule twins because they always come on the day of the winter solstice, response:	but I don't really know their names.
context: Before the Horned God and his Dark Lady walk the earth.\Thank you.\Take care.\Good morning, Elias.\Who were they?\Yule.\I call them the Yule twins because they always come on the day of the winter solstice,\but I don't really know their names. response:	We're going to be busy today.
context: Thank you.\Take care.\Good morning, Elias.\Who were they?\Yule.\I call them the Yule twins because they always come on the day of the winter solstice,\but I don't really know their names.\We're going to be busy today. response:	Okay.
context: Take care.\Good morning, Elias.\Who were they?\Yule.\I call them the Yule twins because they always come on the day of the winter solstice,\but I don't really know their names.\We're going to be busy today.\Okay. response:	You have to tell me if you get tired.
