context: It's the start of fall. response:	Things got a little hectic in central Flognarde,
context: It's the start of fall.\Things got a little hectic in central Flognarde, response:	but now it's all back to normal.
context: It's the start of fall.\Things got a little hectic in central Flognarde,\but now it's all back to normal. response:	The demon incident that occurred in the south at the Dragon's Forest
context: It's the start of fall.\Things got a little hectic in central Flognarde,\but now it's all back to normal.\The demon incident that occurred in the south at the Dragon's Forest response:	was safely resolved by the Heroes,
context: It's the start of fall.\Things got a little hectic in central Flognarde,\but now it's all back to normal.\The demon incident that occurred in the south at the Dragon's Forest\was safely resolved by the Heroes, response:	who'd happened to be there at the time, and an expedition by the three-country alliance.
context: It's the start of fall.\Things got a little hectic in central Flognarde,\but now it's all back to normal.\The demon incident that occurred in the south at the Dragon's Forest\was safely resolved by the Heroes,\who'd happened to be there at the time, and an expedition by the three-country alliance. response:	Peace returned to the forest
context: It's the start of fall.\Things got a little hectic in central Flognarde,\but now it's all back to normal.\The demon incident that occurred in the south at the Dragon's Forest\was safely resolved by the Heroes,\who'd happened to be there at the time, and an expedition by the three-country alliance.\Peace returned to the forest response:	and the hero Shinku was able to
context: It's the start of fall.\Things got a little hectic in central Flognarde,\but now it's all back to normal.\The demon incident that occurred in the south at the Dragon's Forest\was safely resolved by the Heroes,\who'd happened to be there at the time, and an expedition by the three-country alliance.\Peace returned to the forest\and the hero Shinku was able to response:	come back with the rest of us.
context: Things got a little hectic in central Flognarde,\but now it's all back to normal.\The demon incident that occurred in the south at the Dragon's Forest\was safely resolved by the Heroes,\who'd happened to be there at the time, and an expedition by the three-country alliance.\Peace returned to the forest\and the hero Shinku was able to\come back with the rest of us. response:	The folks at Galette went back with Hero Nanami.
context: but now it's all back to normal.\The demon incident that occurred in the south at the Dragon's Forest\was safely resolved by the Heroes,\who'd happened to be there at the time, and an expedition by the three-country alliance.\Peace returned to the forest\and the hero Shinku was able to\come back with the rest of us.\The folks at Galette went back with Hero Nanami. response:	Leo-sama and Prince Gaul were worried about Nanami-san,
context: The demon incident that occurred in the south at the Dragon's Forest\was safely resolved by the Heroes,\who'd happened to be there at the time, and an expedition by the three-country alliance.\Peace returned to the forest\and the hero Shinku was able to\come back with the rest of us.\The folks at Galette went back with Hero Nanami.\Leo-sama and Prince Gaul were worried about Nanami-san, response:	so now they're relieved.
context: was safely resolved by the Heroes,\who'd happened to be there at the time, and an expedition by the three-country alliance.\Peace returned to the forest\and the hero Shinku was able to\come back with the rest of us.\The folks at Galette went back with Hero Nanami.\Leo-sama and Prince Gaul were worried about Nanami-san,\so now they're relieved. response:	The folks at Pastillage are flying home.
context: who'd happened to be there at the time, and an expedition by the three-country alliance.\Peace returned to the forest\and the hero Shinku was able to\come back with the rest of us.\The folks at Galette went back with Hero Nanami.\Leo-sama and Prince Gaul were worried about Nanami-san,\so now they're relieved.\The folks at Pastillage are flying home. response:	Cou-sama and Rebecca-san are
context: Peace returned to the forest\and the hero Shinku was able to\come back with the rest of us.\The folks at Galette went back with Hero Nanami.\Leo-sama and Prince Gaul were worried about Nanami-san,\so now they're relieved.\The folks at Pastillage are flying home.\Cou-sama and Rebecca-san are response:	both happy they can relax.
context: and the hero Shinku was able to\come back with the rest of us.\The folks at Galette went back with Hero Nanami.\Leo-sama and Prince Gaul were worried about Nanami-san,\so now they're relieved.\The folks at Pastillage are flying home.\Cou-sama and Rebecca-san are\both happy they can relax. response:	They've got plans for their vacation, they say.
context: come back with the rest of us.\The folks at Galette went back with Hero Nanami.\Leo-sama and Prince Gaul were worried about Nanami-san,\so now they're relieved.\The folks at Pastillage are flying home.\Cou-sama and Rebecca-san are\both happy they can relax.\They've got plans for their vacation, they say. response:	What's Passed On
context: The folks at Galette went back with Hero Nanami.\Leo-sama and Prince Gaul were worried about Nanami-san,\so now they're relieved.\The folks at Pastillage are flying home.\Cou-sama and Rebecca-san are\both happy they can relax.\They've got plans for their vacation, they say.\What's Passed On response:	Princess...
context: Leo-sama and Prince Gaul were worried about Nanami-san,\so now they're relieved.\The folks at Pastillage are flying home.\Cou-sama and Rebecca-san are\both happy they can relax.\They've got plans for their vacation, they say.\What's Passed On\Princess... response:	Good morning, Princess.
context: so now they're relieved.\The folks at Pastillage are flying home.\Cou-sama and Rebecca-san are\both happy they can relax.\They've got plans for their vacation, they say.\What's Passed On\Princess...\Good morning, Princess. response:	It's time for our morning walk.
context: The folks at Pastillage are flying home.\Cou-sama and Rebecca-san are\both happy they can relax.\They've got plans for their vacation, they say.\What's Passed On\Princess...\Good morning, Princess.\It's time for our morning walk. response:	Princess!
context: Cou-sama and Rebecca-san are\both happy they can relax.\They've got plans for their vacation, they say.\What's Passed On\Princess...\Good morning, Princess.\It's time for our morning walk.\Princess! response:	I'm all ready for our walk!
context: both happy they can relax.\They've got plans for their vacation, they say.\What's Passed On\Princess...\Good morning, Princess.\It's time for our morning walk.\Princess!\I'm all ready for our walk! response:	You scared me, Princess!
context: They've got plans for their vacation, they say.\What's Passed On\Princess...\Good morning, Princess.\It's time for our morning walk.\Princess!\I'm all ready for our walk!\You scared me, Princess! response:	I'm sorry.
context: What's Passed On\Princess...\Good morning, Princess.\It's time for our morning walk.\Princess!\I'm all ready for our walk!\You scared me, Princess!\I'm sorry. response:	I got up early because I was looking forward to our walk so much, so...
context: Princess...\Good morning, Princess.\It's time for our morning walk.\Princess!\I'm all ready for our walk!\You scared me, Princess!\I'm sorry.\I got up early because I was looking forward to our walk so much, so... response:	Okay, let's head out on our walk.
context: Good morning, Princess.\It's time for our morning walk.\Princess!\I'm all ready for our walk!\You scared me, Princess!\I'm sorry.\I got up early because I was looking forward to our walk so much, so...\Okay, let's head out on our walk. response:	Yes!
context: It's time for our morning walk.\Princess!\I'm all ready for our walk!\You scared me, Princess!\I'm sorry.\I got up early because I was looking forward to our walk so much, so...\Okay, let's head out on our walk.\Yes! response:	Is Nanami already...
context: Princess!\I'm all ready for our walk!\You scared me, Princess!\I'm sorry.\I got up early because I was looking forward to our walk so much, so...\Okay, let's head out on our walk.\Yes!\Is Nanami already... response:	Yes, she's already in.
context: I'm all ready for our walk!\You scared me, Princess!\I'm sorry.\I got up early because I was looking forward to our walk so much, so...\Okay, let's head out on our walk.\Yes!\Is Nanami already...\Yes, she's already in. response:	She's all set.
context: You scared me, Princess!\I'm sorry.\I got up early because I was looking forward to our walk so much, so...\Okay, let's head out on our walk.\Yes!\Is Nanami already...\Yes, she's already in.\She's all set. response:	Okay!
context: I'm sorry.\I got up early because I was looking forward to our walk so much, so...\Okay, let's head out on our walk.\Yes!\Is Nanami already...\Yes, she's already in.\She's all set.\Okay! response:	So this is it?
context: I got up early because I was looking forward to our walk so much, so...\Okay, let's head out on our walk.\Yes!\Is Nanami already...\Yes, she's already in.\She's all set.\Okay!\So this is it? response:	Yeah.
