context: BETA release of Ep 5 response:	It's done!
context: BETA release of Ep 5\It's done! response:	Nodame, it's time to go to school!
context: BETA release of Ep 5\It's done!\Nodame, it's time to go to school! response:	Hai!
context: BETA release of Ep 5\It's done!\Nodame, it's time to go to school!\Hai! response:	Don't use other people's internet since morning
context: BETA release of Ep 5\It's done!\Nodame, it's time to go to school!\Hai!\Don't use other people's internet since morning response:	But Senpai's connection is using Hikari (Hikari=fiber-optic)
context: BETA release of Ep 5\It's done!\Nodame, it's time to go to school!\Hai!\Don't use other people's internet since morning\But Senpai's connection is using Hikari (Hikari=fiber-optic) response:	and at the moment, they disconnected my phone line...
context: BETA release of Ep 5\It's done!\Nodame, it's time to go to school!\Hai!\Don't use other people's internet since morning\But Senpai's connection is using Hikari (Hikari=fiber-optic)\and at the moment, they disconnected my phone line... response:	Again?!
context: BETA release of Ep 5\It's done!\Nodame, it's time to go to school!\Hai!\Don't use other people's internet since morning\But Senpai's connection is using Hikari (Hikari=fiber-optic)\and at the moment, they disconnected my phone line...\Again?! response:	Wah, it's pouring, isn't it?
context: It's done!\Nodame, it's time to go to school!\Hai!\Don't use other people's internet since morning\But Senpai's connection is using Hikari (Hikari=fiber-optic)\and at the moment, they disconnected my phone line...\Again?!\Wah, it's pouring, isn't it? response:	Eh?
context: Nodame, it's time to go to school!\Hai!\Don't use other people's internet since morning\But Senpai's connection is using Hikari (Hikari=fiber-optic)\and at the moment, they disconnected my phone line...\Again?!\Wah, it's pouring, isn't it?\Eh? response:	Senpai, let's share an umbrella!
context: Hai!\Don't use other people's internet since morning\But Senpai's connection is using Hikari (Hikari=fiber-optic)\and at the moment, they disconnected my phone line...\Again?!\Wah, it's pouring, isn't it?\Eh?\Senpai, let's share an umbrella! response:	No!
context: Don't use other people's internet since morning\But Senpai's connection is using Hikari (Hikari=fiber-optic)\and at the moment, they disconnected my phone line...\Again?!\Wah, it's pouring, isn't it?\Eh?\Senpai, let's share an umbrella!\No! response:	Don't say such thing...
context: But Senpai's connection is using Hikari (Hikari=fiber-optic)\and at the moment, they disconnected my phone line...\Again?!\Wah, it's pouring, isn't it?\Eh?\Senpai, let's share an umbrella!\No!\Don't say such thing... response:	No!!
context: and at the moment, they disconnected my phone line...\Again?!\Wah, it's pouring, isn't it?\Eh?\Senpai, let's share an umbrella!\No!\Don't say such thing...\No!! response:	Senpai!
context: Again?!\Wah, it's pouring, isn't it?\Eh?\Senpai, let's share an umbrella!\No!\Don't say such thing...\No!!\Senpai! response:	It's been a week since S-Oke's first performance Stop it!!
context: Wah, it's pouring, isn't it?\Eh?\Senpai, let's share an umbrella!\No!\Don't say such thing...\No!!\Senpai!\It's been a week since S-Oke's first performance Stop it!! response:	It's been a week since S-Oke's first performance
context: Eh?\Senpai, let's share an umbrella!\No!\Don't say such thing...\No!!\Senpai!\It's been a week since S-Oke's first performance Stop it!!\It's been a week since S-Oke's first performance response:	As usual Nodame is leeching on me
context: Senpai, let's share an umbrella!\No!\Don't say such thing...\No!!\Senpai!\It's been a week since S-Oke's first performance Stop it!!\It's been a week since S-Oke's first performance\As usual Nodame is leeching on me response:	Then, the season for School Festival came to Momogaoka Music Academy
context: No!\Don't say such thing...\No!!\Senpai!\It's been a week since S-Oke's first performance Stop it!!\It's been a week since S-Oke's first performance\As usual Nodame is leeching on me\Then, the season for School Festival came to Momogaoka Music Academy response:	Costume Orchestra?
context: Don't say such thing...\No!!\Senpai!\It's been a week since S-Oke's first performance Stop it!!\It's been a week since S-Oke's first performance\As usual Nodame is leeching on me\Then, the season for School Festival came to Momogaoka Music Academy\Costume Orchestra? response:	There's still some opening in the Hall for next week's School Festival,
context: No!!\Senpai!\It's been a week since S-Oke's first performance Stop it!!\It's been a week since S-Oke's first performance\As usual Nodame is leeching on me\Then, the season for School Festival came to Momogaoka Music Academy\Costume Orchestra?\There's still some opening in the Hall for next week's School Festival, response:	let's participate!
context: Senpai!\It's been a week since S-Oke's first performance Stop it!!\It's been a week since S-Oke's first performance\As usual Nodame is leeching on me\Then, the season for School Festival came to Momogaoka Music Academy\Costume Orchestra?\There's still some opening in the Hall for next week's School Festival,\let's participate! response:	Then...
context: It's been a week since S-Oke's first performance Stop it!!\It's been a week since S-Oke's first performance\As usual Nodame is leeching on me\Then, the season for School Festival came to Momogaoka Music Academy\Costume Orchestra?\There's still some opening in the Hall for next week's School Festival,\let's participate!\Then... response:	Then why must it be Costume Orchestra?
context: It's been a week since S-Oke's first performance\As usual Nodame is leeching on me\Then, the season for School Festival came to Momogaoka Music Academy\Costume Orchestra?\There's still some opening in the Hall for next week's School Festival,\let's participate!\Then...\Then why must it be Costume Orchestra? response:	Let me answer!!
context: As usual Nodame is leeching on me\Then, the season for School Festival came to Momogaoka Music Academy\Costume Orchestra?\There's still some opening in the Hall for next week's School Festival,\let's participate!\Then...\Then why must it be Costume Orchestra?\Let me answer!! response:	I want to wear a dress! A Princess dress!
context: Then, the season for School Festival came to Momogaoka Music Academy\Costume Orchestra?\There's still some opening in the Hall for next week's School Festival,\let's participate!\Then...\Then why must it be Costume Orchestra?\Let me answer!!\I want to wear a dress! A Princess dress! response:	I'll make a stuffed animal, stuffed animal...
context: Costume Orchestra?\There's still some opening in the Hall for next week's School Festival,\let's participate!\Then...\Then why must it be Costume Orchestra?\Let me answer!!\I want to wear a dress! A Princess dress!\I'll make a stuffed animal, stuffed animal... response:	I'll make a stuffed animal costume!
context: There's still some opening in the Hall for next week's School Festival,\let's participate!\Then...\Then why must it be Costume Orchestra?\Let me answer!!\I want to wear a dress! A Princess dress!\I'll make a stuffed animal, stuffed animal...\I'll make a stuffed animal costume! response:	You may wear anything, you may make anything!!
context: let's participate!\Then...\Then why must it be Costume Orchestra?\Let me answer!!\I want to wear a dress! A Princess dress!\I'll make a stuffed animal, stuffed animal...\I'll make a stuffed animal costume!\You may wear anything, you may make anything!! response:	Umm I also want to participate
context: Then...\Then why must it be Costume Orchestra?\Let me answer!!\I want to wear a dress! A Princess dress!\I'll make a stuffed animal, stuffed animal...\I'll make a stuffed animal costume!\You may wear anything, you may make anything!!\Umm I also want to participate response:	Sakura-chan!
context: Then why must it be Costume Orchestra?\Let me answer!!\I want to wear a dress! A Princess dress!\I'll make a stuffed animal, stuffed animal...\I'll make a stuffed animal costume!\You may wear anything, you may make anything!!\Umm I also want to participate\Sakura-chan! response:	S-Oke members going to do it?
context: Let me answer!!\I want to wear a dress! A Princess dress!\I'll make a stuffed animal, stuffed animal...\I'll make a stuffed animal costume!\You may wear anything, you may make anything!!\Umm I also want to participate\Sakura-chan!\S-Oke members going to do it? response:	I want to do it too!
context: I want to wear a dress! A Princess dress!\I'll make a stuffed animal, stuffed animal...\I'll make a stuffed animal costume!\You may wear anything, you may make anything!!\Umm I also want to participate\Sakura-chan!\S-Oke members going to do it?\I want to do it too! response:	Me too!! Me too!!
context: I'll make a stuffed animal, stuffed animal...\I'll make a stuffed animal costume!\You may wear anything, you may make anything!!\Umm I also want to participate\Sakura-chan!\S-Oke members going to do it?\I want to do it too!\Me too!! Me too!! response:	Alright!! Let's gather the members of S-Oke!
context: I'll make a stuffed animal costume!\You may wear anything, you may make anything!!\Umm I also want to participate\Sakura-chan!\S-Oke members going to do it?\I want to do it too!\Me too!! Me too!!\Alright!! Let's gather the members of S-Oke! response:	It'll be Costume Orchestra!
context: You may wear anything, you may make anything!!\Umm I also want to participate\Sakura-chan!\S-Oke members going to do it?\I want to do it too!\Me too!! Me too!!\Alright!! Let's gather the members of S-Oke!\It'll be Costume Orchestra! response:	So why must it be Costume Orchestra, I asked you!!
context: Umm I also want to participate\Sakura-chan!\S-Oke members going to do it?\I want to do it too!\Me too!! Me too!!\Alright!! Let's gather the members of S-Oke!\It'll be Costume Orchestra!\So why must it be Costume Orchestra, I asked you!! response:	Wow! Wow! Wow!!
context: Sakura-chan!\S-Oke members going to do it?\I want to do it too!\Me too!! Me too!!\Alright!! Let's gather the members of S-Oke!\It'll be Costume Orchestra!\So why must it be Costume Orchestra, I asked you!!\Wow! Wow! Wow!! response:	Everybody, you're all in uplifting spirit, aren't you!!
context: S-Oke members going to do it?\I want to do it too!\Me too!! Me too!!\Alright!! Let's gather the members of S-Oke!\It'll be Costume Orchestra!\So why must it be Costume Orchestra, I asked you!!\Wow! Wow! Wow!!\Everybody, you're all in uplifting spirit, aren't you!! response:	That being the case, let's all have a Gokon!
context: I want to do it too!\Me too!! Me too!!\Alright!! Let's gather the members of S-Oke!\It'll be Costume Orchestra!\So why must it be Costume Orchestra, I asked you!!\Wow! Wow! Wow!!\Everybody, you're all in uplifting spirit, aren't you!!\That being the case, let's all have a Gokon! response:	Master deserted S-Oke, didn't you?
context: Me too!! Me too!!\Alright!! Let's gather the members of S-Oke!\It'll be Costume Orchestra!\So why must it be Costume Orchestra, I asked you!!\Wow! Wow! Wow!!\Everybody, you're all in uplifting spirit, aren't you!!\That being the case, let's all have a Gokon!\Master deserted S-Oke, didn't you? response:	Right, right!! You're a betraying Master!
context: Alright!! Let's gather the members of S-Oke!\It'll be Costume Orchestra!\So why must it be Costume Orchestra, I asked you!!\Wow! Wow! Wow!!\Everybody, you're all in uplifting spirit, aren't you!!\That being the case, let's all have a Gokon!\Master deserted S-Oke, didn't you?\Right, right!! You're a betraying Master! response:	You'll only do sekuhara again, right? (sekuhara=sexual harassment)
context: It'll be Costume Orchestra!\So why must it be Costume Orchestra, I asked you!!\Wow! Wow! Wow!!\Everybody, you're all in uplifting spirit, aren't you!!\That being the case, let's all have a Gokon!\Master deserted S-Oke, didn't you?\Right, right!! You're a betraying Master!\You'll only do sekuhara again, right? (sekuhara=sexual harassment) response:	Who wants to go with you, Ero-JiiJii!! (dirty old man)
context: So why must it be Costume Orchestra, I asked you!!\Wow! Wow! Wow!!\Everybody, you're all in uplifting spirit, aren't you!!\That being the case, let's all have a Gokon!\Master deserted S-Oke, didn't you?\Right, right!! You're a betraying Master!\You'll only do sekuhara again, right? (sekuhara=sexual harassment)\Who wants to go with you, Ero-JiiJii!! (dirty old man) response:	Right, right!! Go home! Go home!
context: Wow! Wow! Wow!!\Everybody, you're all in uplifting spirit, aren't you!!\That being the case, let's all have a Gokon!\Master deserted S-Oke, didn't you?\Right, right!! You're a betraying Master!\You'll only do sekuhara again, right? (sekuhara=sexual harassment)\Who wants to go with you, Ero-JiiJii!! (dirty old man)\Right, right!! Go home! Go home! response:	I see
context: Everybody, you're all in uplifting spirit, aren't you!!\That being the case, let's all have a Gokon!\Master deserted S-Oke, didn't you?\Right, right!! You're a betraying Master!\You'll only do sekuhara again, right? (sekuhara=sexual harassment)\Who wants to go with you, Ero-JiiJii!! (dirty old man)\Right, right!! Go home! Go home!\I see response:	I feel very hurt...
context: That being the case, let's all have a Gokon!\Master deserted S-Oke, didn't you?\Right, right!! You're a betraying Master!\You'll only do sekuhara again, right? (sekuhara=sexual harassment)\Who wants to go with you, Ero-JiiJii!! (dirty old man)\Right, right!! Go home! Go home!\I see\I feel very hurt... response:	okay I'll go home...
context: Master deserted S-Oke, didn't you?\Right, right!! You're a betraying Master!\You'll only do sekuhara again, right? (sekuhara=sexual harassment)\Who wants to go with you, Ero-JiiJii!! (dirty old man)\Right, right!! Go home! Go home!\I see\I feel very hurt...\okay I'll go home... response:	Whoever wants to go to Gokon!!
context: Right, right!! You're a betraying Master!\You'll only do sekuhara again, right? (sekuhara=sexual harassment)\Who wants to go with you, Ero-JiiJii!! (dirty old man)\Right, right!! Go home! Go home!\I see\I feel very hurt...\okay I'll go home...\Whoever wants to go to Gokon!! response:	Come here and grab this chest!!
context: You'll only do sekuhara again, right? (sekuhara=sexual harassment)\Who wants to go with you, Ero-JiiJii!! (dirty old man)\Right, right!! Go home! Go home!\I see\I feel very hurt...\okay I'll go home...\Whoever wants to go to Gokon!!\Come here and grab this chest!! response:	I'll GOOO!!!
context: Who wants to go with you, Ero-JiiJii!! (dirty old man)\Right, right!! Go home! Go home!\I see\I feel very hurt...\okay I'll go home...\Whoever wants to go to Gokon!!\Come here and grab this chest!!\I'll GOOO!!! response:	Me too..
context: Right, right!! Go home! Go home!\I see\I feel very hurt...\okay I'll go home...\Whoever wants to go to Gokon!!\Come here and grab this chest!!\I'll GOOO!!!\Me too.. response:	Eh!
context: I see\I feel very hurt...\okay I'll go home...\Whoever wants to go to Gokon!!\Come here and grab this chest!!\I'll GOOO!!!\Me too..\Eh! response:	Thinking again about it...
context: I feel very hurt...\okay I'll go home...\Whoever wants to go to Gokon!!\Come here and grab this chest!!\I'll GOOO!!!\Me too..\Eh!\Thinking again about it... response:	Is he really Stresemann?
context: okay I'll go home...\Whoever wants to go to Gokon!!\Come here and grab this chest!!\I'll GOOO!!!\Me too..\Eh!\Thinking again about it...\Is he really Stresemann? response:	Chiaki-Senpai!! Where are you???
context: Whoever wants to go to Gokon!!\Come here and grab this chest!!\I'll GOOO!!!\Me too..\Eh!\Thinking again about it...\Is he really Stresemann?\Chiaki-Senpai!! Where are you??? response:	He's real! I can tell when I watched him conduct!
context: Come here and grab this chest!!\I'll GOOO!!!\Me too..\Eh!\Thinking again about it...\Is he really Stresemann?\Chiaki-Senpai!! Where are you???\He's real! I can tell when I watched him conduct! response:	Are you sure?
context: I'll GOOO!!!\Me too..\Eh!\Thinking again about it...\Is he really Stresemann?\Chiaki-Senpai!! Where are you???\He's real! I can tell when I watched him conduct!\Are you sure? response:	We just saw him conduct once, and it was only a practice
context: Me too..\Eh!\Thinking again about it...\Is he really Stresemann?\Chiaki-Senpai!! Where are you???\He's real! I can tell when I watched him conduct!\Are you sure?\We just saw him conduct once, and it was only a practice response:	I know it
context: Eh!\Thinking again about it...\Is he really Stresemann?\Chiaki-Senpai!! Where are you???\He's real! I can tell when I watched him conduct!\Are you sure?\We just saw him conduct once, and it was only a practice\I know it response:	otherwise who would have wanted to be his pupil?
context: Thinking again about it...\Is he really Stresemann?\Chiaki-Senpai!! Where are you???\He's real! I can tell when I watched him conduct!\Are you sure?\We just saw him conduct once, and it was only a practice\I know it\otherwise who would have wanted to be his pupil? response:	That's the real Stresemann
