context: Oh, man! Oh, man! response:	Taking off in the middle of the night is pretty exciting!
context: Oh, man! Oh, man!\Taking off in the middle of the night is pretty exciting! response:	Well, you guys were late last time.
context: Oh, man! Oh, man!\Taking off in the middle of the night is pretty exciting!\Well, you guys were late last time. response:	Being an idiot must be nice.
context: Oh, man! Oh, man!\Taking off in the middle of the night is pretty exciting!\Well, you guys were late last time.\Being an idiot must be nice. response:	You can even sleep on a bus.
context: Oh, man! Oh, man!\Taking off in the middle of the night is pretty exciting!\Well, you guys were late last time.\Being an idiot must be nice.\You can even sleep on a bus. response:	What'd you say?!
context: Oh, man! Oh, man!\Taking off in the middle of the night is pretty exciting!\Well, you guys were late last time.\Being an idiot must be nice.\You can even sleep on a bus.\What'd you say?! response:	We'll be arriving at our destination early in the morning once again.
context: Oh, man! Oh, man!\Taking off in the middle of the night is pretty exciting!\Well, you guys were late last time.\Being an idiot must be nice.\You can even sleep on a bus.\What'd you say?!\We'll be arriving at our destination early in the morning once again. response:	Ukai-kun and I will take turns driving.
context: Oh, man! Oh, man!\Taking off in the middle of the night is pretty exciting!\Well, you guys were late last time.\Being an idiot must be nice.\You can even sleep on a bus.\What'd you say?!\We'll be arriving at our destination early in the morning once again.\Ukai-kun and I will take turns driving. response:	Sorry if I nod off.
context: Taking off in the middle of the night is pretty exciting!\Well, you guys were late last time.\Being an idiot must be nice.\You can even sleep on a bus.\What'd you say?!\We'll be arriving at our destination early in the morning once again.\Ukai-kun and I will take turns driving.\Sorry if I nod off. response:	Thank you!
context: Well, you guys were late last time.\Being an idiot must be nice.\You can even sleep on a bus.\What'd you say?!\We'll be arriving at our destination early in the morning once again.\Ukai-kun and I will take turns driving.\Sorry if I nod off.\Thank you! response:	Thank you!
context: Being an idiot must be nice.\You can even sleep on a bus.\What'd you say?!\We'll be arriving at our destination early in the morning once again.\Ukai-kun and I will take turns driving.\Sorry if I nod off.\Thank you!\Thank you! response:	It's the middle of the night, so not so loud.
context: You can even sleep on a bus.\What'd you say?!\We'll be arriving at our destination early in the morning once again.\Ukai-kun and I will take turns driving.\Sorry if I nod off.\Thank you!\Thank you!\It's the middle of the night, so not so loud. response:	Oh, sorry... Habit.
context: What'd you say?!\We'll be arriving at our destination early in the morning once again.\Ukai-kun and I will take turns driving.\Sorry if I nod off.\Thank you!\Thank you!\It's the middle of the night, so not so loud.\Oh, sorry... Habit. response:	Do you guys have everything?
context: We'll be arriving at our destination early in the morning once again.\Ukai-kun and I will take turns driving.\Sorry if I nod off.\Thank you!\Thank you!\It's the middle of the night, so not so loud.\Oh, sorry... Habit.\Do you guys have everything? response:	Make sure you double-check.
context: Ukai-kun and I will take turns driving.\Sorry if I nod off.\Thank you!\Thank you!\It's the middle of the night, so not so loud.\Oh, sorry... Habit.\Do you guys have everything?\Make sure you double-check. response:	It'll go quickly if you fall asleep.
context: Sorry if I nod off.\Thank you!\Thank you!\It's the middle of the night, so not so loud.\Oh, sorry... Habit.\Do you guys have everything?\Make sure you double-check.\It'll go quickly if you fall asleep. response:	Hinata and Kageyama haven't really talked to each other lately...
context: Thank you!\Thank you!\It's the middle of the night, so not so loud.\Oh, sorry... Habit.\Do you guys have everything?\Make sure you double-check.\It'll go quickly if you fall asleep.\Hinata and Kageyama haven't really talked to each other lately... response:	I wonder if I can...
context: Thank you!\It's the middle of the night, so not so loud.\Oh, sorry... Habit.\Do you guys have everything?\Make sure you double-check.\It'll go quickly if you fall asleep.\Hinata and Kageyama haven't really talked to each other lately...\I wonder if I can... response:	I wonder if they'll be okay.
context: It's the middle of the night, so not so loud.\Oh, sorry... Habit.\Do you guys have everything?\Make sure you double-check.\It'll go quickly if you fall asleep.\Hinata and Kageyama haven't really talked to each other lately...\I wonder if I can...\I wonder if they'll be okay. response:	All right, Ryu!
context: Oh, sorry... Habit.\Do you guys have everything?\Make sure you double-check.\It'll go quickly if you fall asleep.\Hinata and Kageyama haven't really talked to each other lately...\I wonder if I can...\I wonder if they'll be okay.\All right, Ryu! response:	All right, we're heading out.
context: Do you guys have everything?\Make sure you double-check.\It'll go quickly if you fall asleep.\Hinata and Kageyama haven't really talked to each other lately...\I wonder if I can...\I wonder if they'll be okay.\All right, Ryu!\All right, we're heading out. response:	Let's show'em what we're made of!
context: Make sure you double-check.\It'll go quickly if you fall asleep.\Hinata and Kageyama haven't really talked to each other lately...\I wonder if I can...\I wonder if they'll be okay.\All right, Ryu!\All right, we're heading out.\Let's show'em what we're made of! response:	Heck yeah, Noya-san! Let's do this!
context: It'll go quickly if you fall asleep.\Hinata and Kageyama haven't really talked to each other lately...\I wonder if I can...\I wonder if they'll be okay.\All right, Ryu!\All right, we're heading out.\Let's show'em what we're made of!\Heck yeah, Noya-san! Let's do this! response:	Just shut up and get on.
context: Hinata and Kageyama haven't really talked to each other lately...\I wonder if I can...\I wonder if they'll be okay.\All right, Ryu!\All right, we're heading out.\Let's show'em what we're made of!\Heck yeah, Noya-san! Let's do this!\Just shut up and get on. response:	Haikyu!!
