context: The Third Plate response:	Nine
context: The Third Plate\Nine response:	The dining hall side needs reinforcements!
context: The Third Plate\Nine\The dining hall side needs reinforcements! response:	We won't let you lay a finger on this dorm until Yukihira's Shokugeki is over!
context: The Third Plate\Nine\The dining hall side needs reinforcements!\We won't let you lay a finger on this dorm until Yukihira's Shokugeki is over! response:	They got through our barricades?!
context: The Third Plate\Nine\The dining hall side needs reinforcements!\We won't let you lay a finger on this dorm until Yukihira's Shokugeki is over!\They got through our barricades?! response:	Shit! We're done for if they get inside!
context: The Third Plate\Nine\The dining hall side needs reinforcements!\We won't let you lay a finger on this dorm until Yukihira's Shokugeki is over!\They got through our barricades?!\Shit! We're done for if they get inside! response:	Wait.
context: The Third Plate\Nine\The dining hall side needs reinforcements!\We won't let you lay a finger on this dorm until Yukihira's Shokugeki is over!\They got through our barricades?!\Shit! We're done for if they get inside!\Wait. response:	Something's off.
context: The Third Plate\Nine\The dining hall side needs reinforcements!\We won't let you lay a finger on this dorm until Yukihira's Shokugeki is over!\They got through our barricades?!\Shit! We're done for if they get inside!\Wait.\Something's off. response:	They're not rushing in?
context: Nine\The dining hall side needs reinforcements!\We won't let you lay a finger on this dorm until Yukihira's Shokugeki is over!\They got through our barricades?!\Shit! We're done for if they get inside!\Wait.\Something's off.\They're not rushing in? response:	I can't believe my glasses broke now of all times!
context: The dining hall side needs reinforcements!\We won't let you lay a finger on this dorm until Yukihira's Shokugeki is over!\They got through our barricades?!\Shit! We're done for if they get inside!\Wait.\Something's off.\They're not rushing in?\I can't believe my glasses broke now of all times! response:	What's wrong, Marui?!
context: We won't let you lay a finger on this dorm until Yukihira's Shokugeki is over!\They got through our barricades?!\Shit! We're done for if they get inside!\Wait.\Something's off.\They're not rushing in?\I can't believe my glasses broke now of all times!\What's wrong, Marui?! response:	Wh-What's going on?!
context: They got through our barricades?!\Shit! We're done for if they get inside!\Wait.\Something's off.\They're not rushing in?\I can't believe my glasses broke now of all times!\What's wrong, Marui?!\Wh-What's going on?! response:	Yukihira Soma
context: Shit! We're done for if they get inside!\Wait.\Something's off.\They're not rushing in?\I can't believe my glasses broke now of all times!\What's wrong, Marui?!\Wh-What's going on?!\Yukihira Soma response:	Eizan Etsuya
context: Wait.\Something's off.\They're not rushing in?\I can't believe my glasses broke now of all times!\What's wrong, Marui?!\Wh-What's going on?!\Yukihira Soma\Eizan Etsuya response:	In the Shokugeki between Yukihira Soma and Eizan Etsuya,
context: Something's off.\They're not rushing in?\I can't believe my glasses broke now of all times!\What's wrong, Marui?!\Wh-What's going on?!\Yukihira Soma\Eizan Etsuya\In the Shokugeki between Yukihira Soma and Eizan Etsuya, response:	Yukihira Soma won with a score of 3 to 0.
context: They're not rushing in?\I can't believe my glasses broke now of all times!\What's wrong, Marui?!\Wh-What's going on?!\Yukihira Soma\Eizan Etsuya\In the Shokugeki between Yukihira Soma and Eizan Etsuya,\Yukihira Soma won with a score of 3 to 0. response:	Eizan Etsuya
context: I can't believe my glasses broke now of all times!\What's wrong, Marui?!\Wh-What's going on?!\Yukihira Soma\Eizan Etsuya\In the Shokugeki between Yukihira Soma and Eizan Etsuya,\Yukihira Soma won with a score of 3 to 0.\Eizan Etsuya response:	Soma-kun won...
