context: Bellows! response:	You've got a delivery!
context: Bellows!\You've got a delivery! response:	Hey, thanks.
context: Bellows!\You've got a delivery!\Hey, thanks. response:	Good work.
context: Bellows!\You've got a delivery!\Hey, thanks.\Good work. response:	Thank you!
context: Bellows!\You've got a delivery!\Hey, thanks.\Good work.\Thank you! response:	It looks like you've cheered up some.
context: Bellows!\You've got a delivery!\Hey, thanks.\Good work.\Thank you!\It looks like you've cheered up some. response:	I can't stay sad forever.
context: Bellows!\You've got a delivery!\Hey, thanks.\Good work.\Thank you!\It looks like you've cheered up some.\I can't stay sad forever. response:	Apparently, Flange and the others are staying in the Sea of Mist.
context: Bellows!\You've got a delivery!\Hey, thanks.\Good work.\Thank you!\It looks like you've cheered up some.\I can't stay sad forever.\Apparently, Flange and the others are staying in the Sea of Mist. response:	The Milky Way winds that direction, so if we stay on this course, we'll pass close by.
context: You've got a delivery!\Hey, thanks.\Good work.\Thank you!\It looks like you've cheered up some.\I can't stay sad forever.\Apparently, Flange and the others are staying in the Sea of Mist.\The Milky Way winds that direction, so if we stay on this course, we'll pass close by. response:	We might find out how they're doing, too.
context: Hey, thanks.\Good work.\Thank you!\It looks like you've cheered up some.\I can't stay sad forever.\Apparently, Flange and the others are staying in the Sea of Mist.\The Milky Way winds that direction, so if we stay on this course, we'll pass close by.\We might find out how they're doing, too. response:	I just hope Pinion doesn't mess things up.
context: Good work.\Thank you!\It looks like you've cheered up some.\I can't stay sad forever.\Apparently, Flange and the others are staying in the Sea of Mist.\The Milky Way winds that direction, so if we stay on this course, we'll pass close by.\We might find out how they're doing, too.\I just hope Pinion doesn't mess things up. response:	If everyone's safe, I don't care about the rest.
context: Thank you!\It looks like you've cheered up some.\I can't stay sad forever.\Apparently, Flange and the others are staying in the Sea of Mist.\The Milky Way winds that direction, so if we stay on this course, we'll pass close by.\We might find out how they're doing, too.\I just hope Pinion doesn't mess things up.\If everyone's safe, I don't care about the rest. response:	See you!
context: It looks like you've cheered up some.\I can't stay sad forever.\Apparently, Flange and the others are staying in the Sea of Mist.\The Milky Way winds that direction, so if we stay on this course, we'll pass close by.\We might find out how they're doing, too.\I just hope Pinion doesn't mess things up.\If everyone's safe, I don't care about the rest.\See you! response:	Hey! What is that?!
context: I can't stay sad forever.\Apparently, Flange and the others are staying in the Sea of Mist.\The Milky Way winds that direction, so if we stay on this course, we'll pass close by.\We might find out how they're doing, too.\I just hope Pinion doesn't mess things up.\If everyone's safe, I don't care about the rest.\See you!\Hey! What is that?! response:	It's huge! Don't tell me they're pirates?!
context: Apparently, Flange and the others are staying in the Sea of Mist.\The Milky Way winds that direction, so if we stay on this course, we'll pass close by.\We might find out how they're doing, too.\I just hope Pinion doesn't mess things up.\If everyone's safe, I don't care about the rest.\See you!\Hey! What is that?!\It's huge! Don't tell me they're pirates?! response:	Fleet Commander!
context: The Milky Way winds that direction, so if we stay on this course, we'll pass close by.\We might find out how they're doing, too.\I just hope Pinion doesn't mess things up.\If everyone's safe, I don't care about the rest.\See you!\Hey! What is that?!\It's huge! Don't tell me they're pirates?!\Fleet Commander! response:	Sound the alarm to all ships in the fleet!
context: We might find out how they're doing, too.\I just hope Pinion doesn't mess things up.\If everyone's safe, I don't care about the rest.\See you!\Hey! What is that?!\It's huge! Don't tell me they're pirates?!\Fleet Commander!\Sound the alarm to all ships in the fleet! response:	However, don't act carelessly.
context: I just hope Pinion doesn't mess things up.\If everyone's safe, I don't care about the rest.\See you!\Hey! What is that?!\It's huge! Don't tell me they're pirates?!\Fleet Commander!\Sound the alarm to all ships in the fleet!\However, don't act carelessly. response:	Order Pinion to...
context: If everyone's safe, I don't care about the rest.\See you!\Hey! What is that?!\It's huge! Don't tell me they're pirates?!\Fleet Commander!\Sound the alarm to all ships in the fleet!\However, don't act carelessly.\Order Pinion to... response:	Never mind, I'll tell him.
context: See you!\Hey! What is that?!\It's huge! Don't tell me they're pirates?!\Fleet Commander!\Sound the alarm to all ships in the fleet!\However, don't act carelessly.\Order Pinion to...\Never mind, I'll tell him. response:	Ledo!
context: Hey! What is that?!\It's huge! Don't tell me they're pirates?!\Fleet Commander!\Sound the alarm to all ships in the fleet!\However, don't act carelessly.\Order Pinion to...\Never mind, I'll tell him.\Ledo! response:	Commander Kugel... Commander, is that you?!
context: It's huge! Don't tell me they're pirates?!\Fleet Commander!\Sound the alarm to all ships in the fleet!\However, don't act carelessly.\Order Pinion to...\Never mind, I'll tell him.\Ledo!\Commander Kugel... Commander, is that you?! response:	Long time no see, Ledo.
context: Fleet Commander!\Sound the alarm to all ships in the fleet!\However, don't act carelessly.\Order Pinion to...\Never mind, I'll tell him.\Ledo!\Commander Kugel... Commander, is that you?!\Long time no see, Ledo. response:	It's great to see you alive and well.
context: Sound the alarm to all ships in the fleet!\However, don't act carelessly.\Order Pinion to...\Never mind, I'll tell him.\Ledo!\Commander Kugel... Commander, is that you?!\Long time no see, Ledo.\It's great to see you alive and well. response:	You too, Commander...
context: However, don't act carelessly.\Order Pinion to...\Never mind, I'll tell him.\Ledo!\Commander Kugel... Commander, is that you?!\Long time no see, Ledo.\It's great to see you alive and well.\You too, Commander... response:	I picked up your distress signal,
context: Order Pinion to...\Never mind, I'll tell him.\Ledo!\Commander Kugel... Commander, is that you?!\Long time no see, Ledo.\It's great to see you alive and well.\You too, Commander...\I picked up your distress signal, response:	but I was on the other side of the planet, you see.
context: Never mind, I'll tell him.\Ledo!\Commander Kugel... Commander, is that you?!\Long time no see, Ledo.\It's great to see you alive and well.\You too, Commander...\I picked up your distress signal,\but I was on the other side of the planet, you see. response:	If you'd sent out a transmission, I would have gone to you.
context: Ledo!\Commander Kugel... Commander, is that you?!\Long time no see, Ledo.\It's great to see you alive and well.\You too, Commander...\I picked up your distress signal,\but I was on the other side of the planet, you see.\If you'd sent out a transmission, I would have gone to you. response:	It was necessary to stay radio silent.
context: Commander Kugel... Commander, is that you?!\Long time no see, Ledo.\It's great to see you alive and well.\You too, Commander...\I picked up your distress signal,\but I was on the other side of the planet, you see.\If you'd sent out a transmission, I would have gone to you.\It was necessary to stay radio silent. response:	Can you come over here?
context: Long time no see, Ledo.\It's great to see you alive and well.\You too, Commander...\I picked up your distress signal,\but I was on the other side of the planet, you see.\If you'd sent out a transmission, I would have gone to you.\It was necessary to stay radio silent.\Can you come over here? response:	Yes, sir. Ensign Ledo is setting out to rejoin your command.
context: It's great to see you alive and well.\You too, Commander...\I picked up your distress signal,\but I was on the other side of the planet, you see.\If you'd sent out a transmission, I would have gone to you.\It was necessary to stay radio silent.\Can you come over here?\Yes, sir. Ensign Ledo is setting out to rejoin your command. response:	What is that?
context: You too, Commander...\I picked up your distress signal,\but I was on the other side of the planet, you see.\If you'd sent out a transmission, I would have gone to you.\It was necessary to stay radio silent.\Can you come over here?\Yes, sir. Ensign Ledo is setting out to rejoin your command.\What is that? response:	Are they pirates?
context: I picked up your distress signal,\but I was on the other side of the planet, you see.\If you'd sent out a transmission, I would have gone to you.\It was necessary to stay radio silent.\Can you come over here?\Yes, sir. Ensign Ledo is setting out to rejoin your command.\What is that?\Are they pirates? response:	It's gigantic! We could be in deep shit!
context: but I was on the other side of the planet, you see.\If you'd sent out a transmission, I would have gone to you.\It was necessary to stay radio silent.\Can you come over here?\Yes, sir. Ensign Ledo is setting out to rejoin your command.\What is that?\Are they pirates?\It's gigantic! We could be in deep shit! response:	Pinion, wouldn't we be better off just escaping?
context: If you'd sent out a transmission, I would have gone to you.\It was necessary to stay radio silent.\Can you come over here?\Yes, sir. Ensign Ledo is setting out to rejoin your command.\What is that?\Are they pirates?\It's gigantic! We could be in deep shit!\Pinion, wouldn't we be better off just escaping? response:	Escape? Escape where?!
context: It was necessary to stay radio silent.\Can you come over here?\Yes, sir. Ensign Ledo is setting out to rejoin your command.\What is that?\Are they pirates?\It's gigantic! We could be in deep shit!\Pinion, wouldn't we be better off just escaping?\Escape? Escape where?! response:	Come on, we got the cannon and the tin can on our side.
context: Can you come over here?\Yes, sir. Ensign Ledo is setting out to rejoin your command.\What is that?\Are they pirates?\It's gigantic! We could be in deep shit!\Pinion, wouldn't we be better off just escaping?\Escape? Escape where?!\Come on, we got the cannon and the tin can on our side. response:	Let's fire a shot off their port bow by way of greeting.
context: Yes, sir. Ensign Ledo is setting out to rejoin your command.\What is that?\Are they pirates?\It's gigantic! We could be in deep shit!\Pinion, wouldn't we be better off just escaping?\Escape? Escape where?!\Come on, we got the cannon and the tin can on our side.\Let's fire a shot off their port bow by way of greeting. response:	Yeah!
