context: Here she comes, Reiner. response:	Right.
context: Here she comes, Reiner.\Right. response:	Oh no...
context: Here she comes, Reiner.\Right.\Oh no... response:	Eren's being taken away!
context: Here she comes, Reiner.\Right.\Oh no...\Eren's being taken away! response:	All squads! Let the Titans chase after you!
context: Here she comes, Reiner.\Right.\Oh no...\Eren's being taken away!\All squads! Let the Titans chase after you! response:	Follow my lead!
context: Here she comes, Reiner.\Right.\Oh no...\Eren's being taken away!\All squads! Let the Titans chase after you!\Follow my lead! response:	Erwin...
context: Here she comes, Reiner.\Right.\Oh no...\Eren's being taken away!\All squads! Let the Titans chase after you!\Follow my lead!\Erwin... response:	You demon! Are you trying to use us as bait again?!
context: Here she comes, Reiner.\Right.\Oh no...\Eren's being taken away!\All squads! Let the Titans chase after you!\Follow my lead!\Erwin...\You demon! Are you trying to use us as bait again?! response:	That's not my intention!
context: Right.\Oh no...\Eren's being taken away!\All squads! Let the Titans chase after you!\Follow my lead!\Erwin...\You demon! Are you trying to use us as bait again?!\That's not my intention! response:	The Military Police have fought well!
context: Oh no...\Eren's being taken away!\All squads! Let the Titans chase after you!\Follow my lead!\Erwin...\You demon! Are you trying to use us as bait again?!\That's not my intention!\The Military Police have fought well! response:	Now serve your duty as soldiers!
context: Eren's being taken away!\All squads! Let the Titans chase after you!\Follow my lead!\Erwin...\You demon! Are you trying to use us as bait again?!\That's not my intention!\The Military Police have fought well!\Now serve your duty as soldiers! response:	The Armored Titan plans to escape with Eren!
context: All squads! Let the Titans chase after you!\Follow my lead!\Erwin...\You demon! Are you trying to use us as bait again?!\That's not my intention!\The Military Police have fought well!\Now serve your duty as soldiers!\The Armored Titan plans to escape with Eren! response:	We have to stop him no matter what!
context: Follow my lead!\Erwin...\You demon! Are you trying to use us as bait again?!\That's not my intention!\The Military Police have fought well!\Now serve your duty as soldiers!\The Armored Titan plans to escape with Eren!\We have to stop him no matter what! response:	Charge
context: Erwin...\You demon! Are you trying to use us as bait again?!\That's not my intention!\The Military Police have fought well!\Now serve your duty as soldiers!\The Armored Titan plans to escape with Eren!\We have to stop him no matter what!\Charge response:	He's not fast enough to escape! We'll catch up!
context: You demon! Are you trying to use us as bait again?!\That's not my intention!\The Military Police have fought well!\Now serve your duty as soldiers!\The Armored Titan plans to escape with Eren!\We have to stop him no matter what!\Charge\He's not fast enough to escape! We'll catch up! response:	This time, I won't hesitate. I'll kill them both, I swear!
context: That's not my intention!\The Military Police have fought well!\Now serve your duty as soldiers!\The Armored Titan plans to escape with Eren!\We have to stop him no matter what!\Charge\He's not fast enough to escape! We'll catch up!\This time, I won't hesitate. I'll kill them both, I swear! response:	And if Ymir gets in my way, she's asking for it, too.
context: The Military Police have fought well!\Now serve your duty as soldiers!\The Armored Titan plans to escape with Eren!\We have to stop him no matter what!\Charge\He's not fast enough to escape! We'll catch up!\This time, I won't hesitate. I'll kill them both, I swear!\And if Ymir gets in my way, she's asking for it, too. response:	No matter what it takes... I will!
context: Now serve your duty as soldiers!\The Armored Titan plans to escape with Eren!\We have to stop him no matter what!\Charge\He's not fast enough to escape! We'll catch up!\This time, I won't hesitate. I'll kill them both, I swear!\And if Ymir gets in my way, she's asking for it, too.\No matter what it takes... I will! response:	Christa!
context: The Armored Titan plans to escape with Eren!\We have to stop him no matter what!\Charge\He's not fast enough to escape! We'll catch up!\This time, I won't hesitate. I'll kill them both, I swear!\And if Ymir gets in my way, she's asking for it, too.\No matter what it takes... I will!\Christa! response:	Ymir...
context: We have to stop him no matter what!\Charge\He's not fast enough to escape! We'll catch up!\This time, I won't hesitate. I'll kill them both, I swear!\And if Ymir gets in my way, she's asking for it, too.\No matter what it takes... I will!\Christa!\Ymir... response:	Ymir!
context: Charge\He's not fast enough to escape! We'll catch up!\This time, I won't hesitate. I'll kill them both, I swear!\And if Ymir gets in my way, she's asking for it, too.\No matter what it takes... I will!\Christa!\Ymir...\Ymir! response:	Chris-
context: He's not fast enough to escape! We'll catch up!\This time, I won't hesitate. I'll kill them both, I swear!\And if Ymir gets in my way, she's asking for it, too.\No matter what it takes... I will!\Christa!\Ymir...\Ymir!\Chris- response:	No... Historia. Sorry... for eating you... like that.
context: This time, I won't hesitate. I'll kill them both, I swear!\And if Ymir gets in my way, she's asking for it, too.\No matter what it takes... I will!\Christa!\Ymir...\Ymir!\Chris-\No... Historia. Sorry... for eating you... like that. response:	I bet... you're mad at me.
context: And if Ymir gets in my way, she's asking for it, too.\No matter what it takes... I will!\Christa!\Ymir...\Ymir!\Chris-\No... Historia. Sorry... for eating you... like that.\I bet... you're mad at me. response:	Ymir...
context: No matter what it takes... I will!\Christa!\Ymir...\Ymir!\Chris-\No... Historia. Sorry... for eating you... like that.\I bet... you're mad at me.\Ymir... response:	What is this? What are you doing?
context: Christa!\Ymir...\Ymir!\Chris-\No... Historia. Sorry... for eating you... like that.\I bet... you're mad at me.\Ymir...\What is this? What are you doing? response:	We came here to rescue you and Er-
context: Ymir...\Ymir!\Chris-\No... Historia. Sorry... for eating you... like that.\I bet... you're mad at me.\Ymir...\What is this? What are you doing?\We came here to rescue you and Er- response:	I don't need rescuing!
context: Ymir!\Chris-\No... Historia. Sorry... for eating you... like that.\I bet... you're mad at me.\Ymir...\What is this? What are you doing?\We came here to rescue you and Er-\I don't need rescuing! response:	Just stay right there.
context: Chris-\No... Historia. Sorry... for eating you... like that.\I bet... you're mad at me.\Ymir...\What is this? What are you doing?\We came here to rescue you and Er-\I don't need rescuing!\Just stay right there. response:	I'm following Reiner and Bertholdt now.
context: No... Historia. Sorry... for eating you... like that.\I bet... you're mad at me.\Ymir...\What is this? What are you doing?\We came here to rescue you and Er-\I don't need rescuing!\Just stay right there.\I'm following Reiner and Bertholdt now. response:	You, too. Come with me.
context: I bet... you're mad at me.\Ymir...\What is this? What are you doing?\We came here to rescue you and Er-\I don't need rescuing!\Just stay right there.\I'm following Reiner and Bertholdt now.\You, too. Come with me. response:	There's no future within the walls!
context: Ymir...\What is this? What are you doing?\We came here to rescue you and Er-\I don't need rescuing!\Just stay right there.\I'm following Reiner and Bertholdt now.\You, too. Come with me.\There's no future within the walls! response:	Listen to me, Historia...
context: What is this? What are you doing?\We came here to rescue you and Er-\I don't need rescuing!\Just stay right there.\I'm following Reiner and Bertholdt now.\You, too. Come with me.\There's no future within the walls!\Listen to me, Historia... response:	Outside the walls isn't as bad as you think.
context: We came here to rescue you and Er-\I don't need rescuing!\Just stay right there.\I'm following Reiner and Bertholdt now.\You, too. Come with me.\There's no future within the walls!\Listen to me, Historia...\Outside the walls isn't as bad as you think. response:	Especially... because there won't be anyone saying that
context: I don't need rescuing!\Just stay right there.\I'm following Reiner and Bertholdt now.\You, too. Come with me.\There's no future within the walls!\Listen to me, Historia...\Outside the walls isn't as bad as you think.\Especially... because there won't be anyone saying that response:	you're better off not being born.
context: Just stay right there.\I'm following Reiner and Bertholdt now.\You, too. Come with me.\There's no future within the walls!\Listen to me, Historia...\Outside the walls isn't as bad as you think.\Especially... because there won't be anyone saying that\you're better off not being born. response:	I'm pretty sure Titans won't be saying that to me...
context: I'm following Reiner and Bertholdt now.\You, too. Come with me.\There's no future within the walls!\Listen to me, Historia...\Outside the walls isn't as bad as you think.\Especially... because there won't be anyone saying that\you're better off not being born.\I'm pretty sure Titans won't be saying that to me... response:	Everyone has at least one or two faults!
context: You, too. Come with me.\There's no future within the walls!\Listen to me, Historia...\Outside the walls isn't as bad as you think.\Especially... because there won't be anyone saying that\you're better off not being born.\I'm pretty sure Titans won't be saying that to me...\Everyone has at least one or two faults! response:	If you can just overlook that, they're not so bad after all!
context: There's no future within the walls!\Listen to me, Historia...\Outside the walls isn't as bad as you think.\Especially... because there won't be anyone saying that\you're better off not being born.\I'm pretty sure Titans won't be saying that to me...\Everyone has at least one or two faults!\If you can just overlook that, they're not so bad after all! response:	Ymir! Everything you're saying and doing isn't making any sense!
context: Listen to me, Historia...\Outside the walls isn't as bad as you think.\Especially... because there won't be anyone saying that\you're better off not being born.\I'm pretty sure Titans won't be saying that to me...\Everyone has at least one or two faults!\If you can just overlook that, they're not so bad after all!\Ymir! Everything you're saying and doing isn't making any sense! response:	Could it be... that Reiner and Bertholdt threatened you?
context: Outside the walls isn't as bad as you think.\Especially... because there won't be anyone saying that\you're better off not being born.\I'm pretty sure Titans won't be saying that to me...\Everyone has at least one or two faults!\If you can just overlook that, they're not so bad after all!\Ymir! Everything you're saying and doing isn't making any sense!\Could it be... that Reiner and Bertholdt threatened you? response:	It's... the reverse.
context: Especially... because there won't be anyone saying that\you're better off not being born.\I'm pretty sure Titans won't be saying that to me...\Everyone has at least one or two faults!\If you can just overlook that, they're not so bad after all!\Ymir! Everything you're saying and doing isn't making any sense!\Could it be... that Reiner and Bertholdt threatened you?\It's... the reverse. response:	Am I right, Ymir?!
context: you're better off not being born.\I'm pretty sure Titans won't be saying that to me...\Everyone has at least one or two faults!\If you can just overlook that, they're not so bad after all!\Ymir! Everything you're saying and doing isn't making any sense!\Could it be... that Reiner and Bertholdt threatened you?\It's... the reverse.\Am I right, Ymir?! response:	I'll fight them with you, so let me out of your hand!
context: I'm pretty sure Titans won't be saying that to me...\Everyone has at least one or two faults!\If you can just overlook that, they're not so bad after all!\Ymir! Everything you're saying and doing isn't making any sense!\Could it be... that Reiner and Bertholdt threatened you?\It's... the reverse.\Am I right, Ymir?!\I'll fight them with you, so let me out of your hand! response:	I don't care if there's something you can't tell me.
context: Everyone has at least one or two faults!\If you can just overlook that, they're not so bad after all!\Ymir! Everything you're saying and doing isn't making any sense!\Could it be... that Reiner and Bertholdt threatened you?\It's... the reverse.\Am I right, Ymir?!\I'll fight them with you, so let me out of your hand!\I don't care if there's something you can't tell me. response:	No matter what happens...
context: If you can just overlook that, they're not so bad after all!\Ymir! Everything you're saying and doing isn't making any sense!\Could it be... that Reiner and Bertholdt threatened you?\It's... the reverse.\Am I right, Ymir?!\I'll fight them with you, so let me out of your hand!\I don't care if there's something you can't tell me.\No matter what happens... response:	Ymir!
context: Ymir! Everything you're saying and doing isn't making any sense!\Could it be... that Reiner and Bertholdt threatened you?\It's... the reverse.\Am I right, Ymir?!\I'll fight them with you, so let me out of your hand!\I don't care if there's something you can't tell me.\No matter what happens...\Ymir! response:	Look...
context: Could it be... that Reiner and Bertholdt threatened you?\It's... the reverse.\Am I right, Ymir?!\I'll fight them with you, so let me out of your hand!\I don't care if there's something you can't tell me.\No matter what happens...\Ymir!\Look... response:	The Scouts have already gotten this close.
context: It's... the reverse.\Am I right, Ymir?!\I'll fight them with you, so let me out of your hand!\I don't care if there's something you can't tell me.\No matter what happens...\Ymir!\Look...\The Scouts have already gotten this close. response:	If only we had run right away, we probably would've been able to escape.
