context: We'll pass Hosu City... response:	I wonder how Iida's doing...
context: We'll pass Hosu City...\I wonder how Iida's doing... response:	Nomu!
context: We'll pass Hosu City...\I wonder how Iida's doing...\Nomu! response:	Kid, sit down!
context: We'll pass Hosu City...\I wonder how Iida's doing...\Nomu!\Kid, sit down! response:	Grand Torino!
context: We'll pass Hosu City...\I wonder how Iida's doing...\Nomu!\Kid, sit down!\Grand Torino! response:	Everyone, please calm down!
context: We'll pass Hosu City...\I wonder how Iida's doing...\Nomu!\Kid, sit down!\Grand Torino!\Everyone, please calm down! response:	Please return to your seats for now!
context: We'll pass Hosu City...\I wonder how Iida's doing...\Nomu!\Kid, sit down!\Grand Torino!\Everyone, please calm down!\Please return to your seats for now! response:	The villain is not here anymore.
context: We'll pass Hosu City...\I wonder how Iida's doing...\Nomu!\Kid, sit down!\Grand Torino!\Everyone, please calm down!\Please return to your seats for now!\The villain is not here anymore. response:	Please wait calmly for the heroes...
context: I wonder how Iida's doing...\Nomu!\Kid, sit down!\Grand Torino!\Everyone, please calm down!\Please return to your seats for now!\The villain is not here anymore.\Please wait calmly for the heroes... response:	Excuse me!
context: Nomu!\Kid, sit down!\Grand Torino!\Everyone, please calm down!\Please return to your seats for now!\The villain is not here anymore.\Please wait calmly for the heroes...\Excuse me! response:	I'm getting out!
context: Kid, sit down!\Grand Torino!\Everyone, please calm down!\Please return to your seats for now!\The villain is not here anymore.\Please wait calmly for the heroes...\Excuse me!\I'm getting out! response:	Hey, you! Wait, it's dangerous!
context: Grand Torino!\Everyone, please calm down!\Please return to your seats for now!\The villain is not here anymore.\Please wait calmly for the heroes...\Excuse me!\I'm getting out!\Hey, you! Wait, it's dangerous! response:	Izuku Midoriya - Quirk: One For All
context: Everyone, please calm down!\Please return to your seats for now!\The villain is not here anymore.\Please wait calmly for the heroes...\Excuse me!\I'm getting out!\Hey, you! Wait, it's dangerous!\Izuku Midoriya - Quirk: One For All response:	They look different, but there can't be that many with their brains spilling out like that.
context: Please return to your seats for now!\The villain is not here anymore.\Please wait calmly for the heroes...\Excuse me!\I'm getting out!\Hey, you! Wait, it's dangerous!\Izuku Midoriya - Quirk: One For All\They look different, but there can't be that many with their brains spilling out like that. response:	Could it be Nomu's brother? Why here...?
context: The villain is not here anymore.\Please wait calmly for the heroes...\Excuse me!\I'm getting out!\Hey, you! Wait, it's dangerous!\Izuku Midoriya - Quirk: One For All\They look different, but there can't be that many with their brains spilling out like that.\Could it be Nomu's brother? Why here...? response:	I don't have time for any detours.
context: Please wait calmly for the heroes...\Excuse me!\I'm getting out!\Hey, you! Wait, it's dangerous!\Izuku Midoriya - Quirk: One For All\They look different, but there can't be that many with their brains spilling out like that.\Could it be Nomu's brother? Why here...?\I don't have time for any detours. response:	I need to show the fruits of my training...
context: Excuse me!\I'm getting out!\Hey, you! Wait, it's dangerous!\Izuku Midoriya - Quirk: One For All\They look different, but there can't be that many with their brains spilling out like that.\Could it be Nomu's brother? Why here...?\I don't have time for any detours.\I need to show the fruits of my training... response:	One For All-
context: I'm getting out!\Hey, you! Wait, it's dangerous!\Izuku Midoriya - Quirk: One For All\They look different, but there can't be that many with their brains spilling out like that.\Could it be Nomu's brother? Why here...?\I don't have time for any detours.\I need to show the fruits of my training...\One For All- response:	Full Cowling!
context: Hey, you! Wait, it's dangerous!\Izuku Midoriya - Quirk: One For All\They look different, but there can't be that many with their brains spilling out like that.\Could it be Nomu's brother? Why here...?\I don't have time for any detours.\I need to show the fruits of my training...\One For All-\Full Cowling! response:	It's okay, I can do it!
context: Izuku Midoriya - Quirk: One For All\They look different, but there can't be that many with their brains spilling out like that.\Could it be Nomu's brother? Why here...?\I don't have time for any detours.\I need to show the fruits of my training...\One For All-\Full Cowling!\It's okay, I can do it! response:	Gran Torino, please be okay!
context: They look different, but there can't be that many with their brains spilling out like that.\Could it be Nomu's brother? Why here...?\I don't have time for any detours.\I need to show the fruits of my training...\One For All-\Full Cowling!\It's okay, I can do it!\Gran Torino, please be okay! response:	Hero Killer: Stain vs U.A. Students
