context: Say, Nana Komatsu. response:	Do you remember the first time we met?
context: Say, Nana Komatsu.\Do you remember the first time we met? response:	I'm the type who doesn't believe in fate one bit.
context: Say, Nana Komatsu.\Do you remember the first time we met?\I'm the type who doesn't believe in fate one bit. response:	I think this was all a coincidence.
context: Say, Nana Komatsu.\Do you remember the first time we met?\I'm the type who doesn't believe in fate one bit.\I think this was all a coincidence. response:	When I was darkness at that time
context: Say, Nana Komatsu.\Do you remember the first time we met?\I'm the type who doesn't believe in fate one bit.\I think this was all a coincidence.\When I was darkness at that time response:	With trembling lips
context: Say, Nana Komatsu.\Do you remember the first time we met?\I'm the type who doesn't believe in fate one bit.\I think this was all a coincidence.\When I was darkness at that time\With trembling lips response:	The more I struggle
context: Say, Nana Komatsu.\Do you remember the first time we met?\I'm the type who doesn't believe in fate one bit.\I think this was all a coincidence.\When I was darkness at that time\With trembling lips\The more I struggle response:	The more this wound deepens
context: Say, Nana Komatsu.\Do you remember the first time we met?\I'm the type who doesn't believe in fate one bit.\I think this was all a coincidence.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens response:	The broken promise hurt me
context: Do you remember the first time we met?\I'm the type who doesn't believe in fate one bit.\I think this was all a coincidence.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me response:	Nobody can save me
context: I'm the type who doesn't believe in fate one bit.\I think this was all a coincidence.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me response:	God, I have only one request
context: I think this was all a coincidence.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request response:	Stop tearing apart my love
context: When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love response:	I need your love
context: With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love response:	I'm a broken rose
context: The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose response:	Sorrow tumbling down is your song
context: The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song response:	All alone with nowhere to go in my life
