context: Nana! response:	Shoji!
context: Nana!\Shoji! response:	Hold... me!
context: Nana!\Shoji!\Hold... me! response:	What's with that face?
context: Nana!\Shoji!\Hold... me!\What's with that face? response:	I'm sorry about earlier. I said stuff I shouldn't have.
context: Nana!\Shoji!\Hold... me!\What's with that face?\I'm sorry about earlier. I said stuff I shouldn't have. response:	Don't worry about it.
context: Nana!\Shoji!\Hold... me!\What's with that face?\I'm sorry about earlier. I said stuff I shouldn't have.\Don't worry about it. response:	That killed the mood!
context: Nana!\Shoji!\Hold... me!\What's with that face?\I'm sorry about earlier. I said stuff I shouldn't have.\Don't worry about it.\That killed the mood! response:	When I was darkness at that time
context: Nana!\Shoji!\Hold... me!\What's with that face?\I'm sorry about earlier. I said stuff I shouldn't have.\Don't worry about it.\That killed the mood!\When I was darkness at that time response:	With trembling lips
context: Shoji!\Hold... me!\What's with that face?\I'm sorry about earlier. I said stuff I shouldn't have.\Don't worry about it.\That killed the mood!\When I was darkness at that time\With trembling lips response:	The more I struggle
context: Hold... me!\What's with that face?\I'm sorry about earlier. I said stuff I shouldn't have.\Don't worry about it.\That killed the mood!\When I was darkness at that time\With trembling lips\The more I struggle response:	The more this wound deepens
context: What's with that face?\I'm sorry about earlier. I said stuff I shouldn't have.\Don't worry about it.\That killed the mood!\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens response:	The broken promise hurt me
context: I'm sorry about earlier. I said stuff I shouldn't have.\Don't worry about it.\That killed the mood!\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me response:	Nobody can save me
context: Don't worry about it.\That killed the mood!\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me response:	God, I have only one request
context: That killed the mood!\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request response:	Stop tearing apart my love
context: When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love response:	I need your love
context: With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love response:	I'm a broken rose
context: The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose response:	Sorrow tumbling down is your song
context: The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song response:	All alone with nowhere to go in my life
context: The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life response:	I need your love
context: Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love response:	I'm a broken rose
context: God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose response:	Oh baby, help me from frozen pain
context: Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain response:	With your smile, your eyes, and sing me, just for me
context: I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me response:	I wanna need your love
context: I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love response:	I'm a broken rose
context: Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose response:	I wanna need your love
context: All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love response:	Jun-chan, you've gotta hear this. You know what Shoji!
context: I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Jun-chan, you've gotta hear this. You know what Shoji! response:	Good night.
context: I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Jun-chan, you've gotta hear this. You know what Shoji!\Good night. response:	Room 707? Give me a break!
context: Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Jun-chan, you've gotta hear this. You know what Shoji!\Good night.\Room 707? Give me a break! response:	What are you talking to yourself for?
context: With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Jun-chan, you've gotta hear this. You know what Shoji!\Good night.\Room 707? Give me a break!\What are you talking to yourself for? response:	That's scary.
context: I wanna need your love\I'm a broken rose\I wanna need your love\Jun-chan, you've gotta hear this. You know what Shoji!\Good night.\Room 707? Give me a break!\What are you talking to yourself for?\That's scary. response:	I'm not talking to myself. I'm talking to Demon Lord.
context: I'm a broken rose\I wanna need your love\Jun-chan, you've gotta hear this. You know what Shoji!\Good night.\Room 707? Give me a break!\What are you talking to yourself for?\That's scary.\I'm not talking to myself. I'm talking to Demon Lord. response:	That's even scarier!
context: I wanna need your love\Jun-chan, you've gotta hear this. You know what Shoji!\Good night.\Room 707? Give me a break!\What are you talking to yourself for?\That's scary.\I'm not talking to myself. I'm talking to Demon Lord.\That's even scarier! response:	Damn, I'm tired from running around.
context: Jun-chan, you've gotta hear this. You know what Shoji!\Good night.\Room 707? Give me a break!\What are you talking to yourself for?\That's scary.\I'm not talking to myself. I'm talking to Demon Lord.\That's even scarier!\Damn, I'm tired from running around. response:	You really are troublesome.
context: Good night.\Room 707? Give me a break!\What are you talking to yourself for?\That's scary.\I'm not talking to myself. I'm talking to Demon Lord.\That's even scarier!\Damn, I'm tired from running around.\You really are troublesome. response:	It's your fault for leaving me all alone!
context: Room 707? Give me a break!\What are you talking to yourself for?\That's scary.\I'm not talking to myself. I'm talking to Demon Lord.\That's even scarier!\Damn, I'm tired from running around.\You really are troublesome.\It's your fault for leaving me all alone! response:	Why, at a time like this, must I speak like a bitch?
context: What are you talking to yourself for?\That's scary.\I'm not talking to myself. I'm talking to Demon Lord.\That's even scarier!\Damn, I'm tired from running around.\You really are troublesome.\It's your fault for leaving me all alone!\Why, at a time like this, must I speak like a bitch? response:	I wanna always be the cute girl when with the man I like.
context: That's scary.\I'm not talking to myself. I'm talking to Demon Lord.\That's even scarier!\Damn, I'm tired from running around.\You really are troublesome.\It's your fault for leaving me all alone!\Why, at a time like this, must I speak like a bitch?\I wanna always be the cute girl when with the man I like. response:	I can't stand this.
context: I'm not talking to myself. I'm talking to Demon Lord.\That's even scarier!\Damn, I'm tired from running around.\You really are troublesome.\It's your fault for leaving me all alone!\Why, at a time like this, must I speak like a bitch?\I wanna always be the cute girl when with the man I like.\I can't stand this. response:	Perhaps it's too late now.
context: That's even scarier!\Damn, I'm tired from running around.\You really are troublesome.\It's your fault for leaving me all alone!\Why, at a time like this, must I speak like a bitch?\I wanna always be the cute girl when with the man I like.\I can't stand this.\Perhaps it's too late now. response:	I've shown Shoji things about me that are less attractive,
context: Damn, I'm tired from running around.\You really are troublesome.\It's your fault for leaving me all alone!\Why, at a time like this, must I speak like a bitch?\I wanna always be the cute girl when with the man I like.\I can't stand this.\Perhaps it's too late now.\I've shown Shoji things about me that are less attractive, response:	and here we're in a room together and there's no longer that sense of nervousness.
context: You really are troublesome.\It's your fault for leaving me all alone!\Why, at a time like this, must I speak like a bitch?\I wanna always be the cute girl when with the man I like.\I can't stand this.\Perhaps it's too late now.\I've shown Shoji things about me that are less attractive,\and here we're in a room together and there's no longer that sense of nervousness. response:	He's just gone right off to sleep.
context: It's your fault for leaving me all alone!\Why, at a time like this, must I speak like a bitch?\I wanna always be the cute girl when with the man I like.\I can't stand this.\Perhaps it's too late now.\I've shown Shoji things about me that are less attractive,\and here we're in a room together and there's no longer that sense of nervousness.\He's just gone right off to sleep. response:	You know, Nana...
context: Why, at a time like this, must I speak like a bitch?\I wanna always be the cute girl when with the man I like.\I can't stand this.\Perhaps it's too late now.\I've shown Shoji things about me that are less attractive,\and here we're in a room together and there's no longer that sense of nervousness.\He's just gone right off to sleep.\You know, Nana... response:	The truth is, I really want to bring you to Tokyo with me.
context: I wanna always be the cute girl when with the man I like.\I can't stand this.\Perhaps it's too late now.\I've shown Shoji things about me that are less attractive,\and here we're in a room together and there's no longer that sense of nervousness.\He's just gone right off to sleep.\You know, Nana...\The truth is, I really want to bring you to Tokyo with me. response:	But, you know, I don't have a job.
context: I can't stand this.\Perhaps it's too late now.\I've shown Shoji things about me that are less attractive,\and here we're in a room together and there's no longer that sense of nervousness.\He's just gone right off to sleep.\You know, Nana...\The truth is, I really want to bring you to Tokyo with me.\But, you know, I don't have a job. response:	I'm not even a University student, just studying to enter one.
context: Perhaps it's too late now.\I've shown Shoji things about me that are less attractive,\and here we're in a room together and there's no longer that sense of nervousness.\He's just gone right off to sleep.\You know, Nana...\The truth is, I really want to bring you to Tokyo with me.\But, you know, I don't have a job.\I'm not even a University student, just studying to enter one. response:	If you were on the verge of life and death,
context: I've shown Shoji things about me that are less attractive,\and here we're in a room together and there's no longer that sense of nervousness.\He's just gone right off to sleep.\You know, Nana...\The truth is, I really want to bring you to Tokyo with me.\But, you know, I don't have a job.\I'm not even a University student, just studying to enter one.\If you were on the verge of life and death, response:	I could do nothing to help you.
context: and here we're in a room together and there's no longer that sense of nervousness.\He's just gone right off to sleep.\You know, Nana...\The truth is, I really want to bring you to Tokyo with me.\But, you know, I don't have a job.\I'm not even a University student, just studying to enter one.\If you were on the verge of life and death,\I could do nothing to help you. response:	That's hard for a man.
context: He's just gone right off to sleep.\You know, Nana...\The truth is, I really want to bring you to Tokyo with me.\But, you know, I don't have a job.\I'm not even a University student, just studying to enter one.\If you were on the verge of life and death,\I could do nothing to help you.\That's hard for a man. response:	I want you to understand that.
context: You know, Nana...\The truth is, I really want to bring you to Tokyo with me.\But, you know, I don't have a job.\I'm not even a University student, just studying to enter one.\If you were on the verge of life and death,\I could do nothing to help you.\That's hard for a man.\I want you to understand that. response:	Then...
context: The truth is, I really want to bring you to Tokyo with me.\But, you know, I don't have a job.\I'm not even a University student, just studying to enter one.\If you were on the verge of life and death,\I could do nothing to help you.\That's hard for a man.\I want you to understand that.\Then... response:	Then I'll stay back home,
context: But, you know, I don't have a job.\I'm not even a University student, just studying to enter one.\If you were on the verge of life and death,\I could do nothing to help you.\That's hard for a man.\I want you to understand that.\Then...\Then I'll stay back home, response:	find a job and save up money to come to Tokyo!
context: I'm not even a University student, just studying to enter one.\If you were on the verge of life and death,\I could do nothing to help you.\That's hard for a man.\I want you to understand that.\Then...\Then I'll stay back home,\find a job and save up money to come to Tokyo! response:	Then, after one year, you pass the University entrance exam,
context: If you were on the verge of life and death,\I could do nothing to help you.\That's hard for a man.\I want you to understand that.\Then...\Then I'll stay back home,\find a job and save up money to come to Tokyo!\Then, after one year, you pass the University entrance exam, response:	I'll come to Tokyo too.
context: I could do nothing to help you.\That's hard for a man.\I want you to understand that.\Then...\Then I'll stay back home,\find a job and save up money to come to Tokyo!\Then, after one year, you pass the University entrance exam,\I'll come to Tokyo too. response:	Then I'll find a job here and work hard so that I can make it on my own!
context: That's hard for a man.\I want you to understand that.\Then...\Then I'll stay back home,\find a job and save up money to come to Tokyo!\Then, after one year, you pass the University entrance exam,\I'll come to Tokyo too.\Then I'll find a job here and work hard so that I can make it on my own! response:	Would it be okay then?
context: I want you to understand that.\Then...\Then I'll stay back home,\find a job and save up money to come to Tokyo!\Then, after one year, you pass the University entrance exam,\I'll come to Tokyo too.\Then I'll find a job here and work hard so that I can make it on my own!\Would it be okay then? response:	Then I must pass next year, no matter what.
context: Then...\Then I'll stay back home,\find a job and save up money to come to Tokyo!\Then, after one year, you pass the University entrance exam,\I'll come to Tokyo too.\Then I'll find a job here and work hard so that I can make it on my own!\Would it be okay then?\Then I must pass next year, no matter what. response:	Just watch me, Demon Lord!
context: Then I'll stay back home,\find a job and save up money to come to Tokyo!\Then, after one year, you pass the University entrance exam,\I'll come to Tokyo too.\Then I'll find a job here and work hard so that I can make it on my own!\Would it be okay then?\Then I must pass next year, no matter what.\Just watch me, Demon Lord! response:	All right!
context: find a job and save up money to come to Tokyo!\Then, after one year, you pass the University entrance exam,\I'll come to Tokyo too.\Then I'll find a job here and work hard so that I can make it on my own!\Would it be okay then?\Then I must pass next year, no matter what.\Just watch me, Demon Lord!\All right! response:	Now that we've made up, why don't we sleep together for a change?
context: Then, after one year, you pass the University entrance exam,\I'll come to Tokyo too.\Then I'll find a job here and work hard so that I can make it on my own!\Would it be okay then?\Then I must pass next year, no matter what.\Just watch me, Demon Lord!\All right!\Now that we've made up, why don't we sleep together for a change? response:	What do you mean by that?!
context: I'll come to Tokyo too.\Then I'll find a job here and work hard so that I can make it on my own!\Would it be okay then?\Then I must pass next year, no matter what.\Just watch me, Demon Lord!\All right!\Now that we've made up, why don't we sleep together for a change?\What do you mean by that?! response:	For a change suggests we've done this in the past!
context: Then I'll find a job here and work hard so that I can make it on my own!\Would it be okay then?\Then I must pass next year, no matter what.\Just watch me, Demon Lord!\All right!\Now that we've made up, why don't we sleep together for a change?\What do you mean by that?!\For a change suggests we've done this in the past! response:	We haven't even kissed yet!
context: Would it be okay then?\Then I must pass next year, no matter what.\Just watch me, Demon Lord!\All right!\Now that we've made up, why don't we sleep together for a change?\What do you mean by that?!\For a change suggests we've done this in the past!\We haven't even kissed yet! response:	It's okay if you don't want to. I've become used to holding back.
context: Then I must pass next year, no matter what.\Just watch me, Demon Lord!\All right!\Now that we've made up, why don't we sleep together for a change?\What do you mean by that?!\For a change suggests we've done this in the past!\We haven't even kissed yet!\It's okay if you don't want to. I've become used to holding back. response:	Doesn't it cross his mind that it might be nice to build the mood?
context: Just watch me, Demon Lord!\All right!\Now that we've made up, why don't we sleep together for a change?\What do you mean by that?!\For a change suggests we've done this in the past!\We haven't even kissed yet!\It's okay if you don't want to. I've become used to holding back.\Doesn't it cross his mind that it might be nice to build the mood? response:	Never mind.
context: All right!\Now that we've made up, why don't we sleep together for a change?\What do you mean by that?!\For a change suggests we've done this in the past!\We haven't even kissed yet!\It's okay if you don't want to. I've become used to holding back.\Doesn't it cross his mind that it might be nice to build the mood?\Never mind. response:	Don't jump to conclusions on your own!
context: Now that we've made up, why don't we sleep together for a change?\What do you mean by that?!\For a change suggests we've done this in the past!\We haven't even kissed yet!\It's okay if you don't want to. I've become used to holding back.\Doesn't it cross his mind that it might be nice to build the mood?\Never mind.\Don't jump to conclusions on your own! response:	Oh? Then why don't you share your opinion on this subject?
context: What do you mean by that?!\For a change suggests we've done this in the past!\We haven't even kissed yet!\It's okay if you don't want to. I've become used to holding back.\Doesn't it cross his mind that it might be nice to build the mood?\Never mind.\Don't jump to conclusions on your own!\Oh? Then why don't you share your opinion on this subject? response:	Huh? Well...
context: For a change suggests we've done this in the past!\We haven't even kissed yet!\It's okay if you don't want to. I've become used to holding back.\Doesn't it cross his mind that it might be nice to build the mood?\Never mind.\Don't jump to conclusions on your own!\Oh? Then why don't you share your opinion on this subject?\Huh? Well... response:	Then, if you tell me that you love me,
context: We haven't even kissed yet!\It's okay if you don't want to. I've become used to holding back.\Doesn't it cross his mind that it might be nice to build the mood?\Never mind.\Don't jump to conclusions on your own!\Oh? Then why don't you share your opinion on this subject?\Huh? Well...\Then, if you tell me that you love me, response:	I'll sleep with you.
context: It's okay if you don't want to. I've become used to holding back.\Doesn't it cross his mind that it might be nice to build the mood?\Never mind.\Don't jump to conclusions on your own!\Oh? Then why don't you share your opinion on this subject?\Huh? Well...\Then, if you tell me that you love me,\I'll sleep with you. response:	Love?
context: Doesn't it cross his mind that it might be nice to build the mood?\Never mind.\Don't jump to conclusions on your own!\Oh? Then why don't you share your opinion on this subject?\Huh? Well...\Then, if you tell me that you love me,\I'll sleep with you.\Love? response:	You've gotta realize this isn't about who says what!
context: Never mind.\Don't jump to conclusions on your own!\Oh? Then why don't you share your opinion on this subject?\Huh? Well...\Then, if you tell me that you love me,\I'll sleep with you.\Love?\You've gotta realize this isn't about who says what! response:	You can't expect a Japanese man to say that!
context: Don't jump to conclusions on your own!\Oh? Then why don't you share your opinion on this subject?\Huh? Well...\Then, if you tell me that you love me,\I'll sleep with you.\Love?\You've gotta realize this isn't about who says what!\You can't expect a Japanese man to say that! response:	But I have never had anyone say those words to me in my life.
context: Oh? Then why don't you share your opinion on this subject?\Huh? Well...\Then, if you tell me that you love me,\I'll sleep with you.\Love?\You've gotta realize this isn't about who says what!\You can't expect a Japanese man to say that!\But I have never had anyone say those words to me in my life. response:	I'd be happy to hear it just once.
context: Huh? Well...\Then, if you tell me that you love me,\I'll sleep with you.\Love?\You've gotta realize this isn't about who says what!\You can't expect a Japanese man to say that!\But I have never had anyone say those words to me in my life.\I'd be happy to hear it just once. response:	What's the point if it's said because you asked?
