context: The time is upon us. response:	Our long-held wish shall be fulfilled.
context: The time is upon us.\Our long-held wish shall be fulfilled. response:	Thank you for bringing us this far, Fitoria-san.
context: The time is upon us.\Our long-held wish shall be fulfilled.\Thank you for bringing us this far, Fitoria-san. response:	And for the new wagon.
context: The time is upon us.\Our long-held wish shall be fulfilled.\Thank you for bringing us this far, Fitoria-san.\And for the new wagon. response:	Filo really loves pulling one.
context: The time is upon us.\Our long-held wish shall be fulfilled.\Thank you for bringing us this far, Fitoria-san.\And for the new wagon.\Filo really loves pulling one. response:	It's mine now, okay?
context: The time is upon us.\Our long-held wish shall be fulfilled.\Thank you for bringing us this far, Fitoria-san.\And for the new wagon.\Filo really loves pulling one.\It's mine now, okay? response:	No, it's not.
context: The time is upon us.\Our long-held wish shall be fulfilled.\Thank you for bringing us this far, Fitoria-san.\And for the new wagon.\Filo really loves pulling one.\It's mine now, okay?\No, it's not. response:	Fitoria...
context: The time is upon us.\Our long-held wish shall be fulfilled.\Thank you for bringing us this far, Fitoria-san.\And for the new wagon.\Filo really loves pulling one.\It's mine now, okay?\No, it's not.\Fitoria... response:	Is another hero nearby?
context: Our long-held wish shall be fulfilled.\Thank you for bringing us this far, Fitoria-san.\And for the new wagon.\Filo really loves pulling one.\It's mine now, okay?\No, it's not.\Fitoria...\Is another hero nearby? response:	Yeah. I sense one.
context: Thank you for bringing us this far, Fitoria-san.\And for the new wagon.\Filo really loves pulling one.\It's mine now, okay?\No, it's not.\Fitoria...\Is another hero nearby?\Yeah. I sense one. response:	I see.
context: And for the new wagon.\Filo really loves pulling one.\It's mine now, okay?\No, it's not.\Fitoria...\Is another hero nearby?\Yeah. I sense one.\I see. response:	Shield Hero...
context: Filo really loves pulling one.\It's mine now, okay?\No, it's not.\Fitoria...\Is another hero nearby?\Yeah. I sense one.\I see.\Shield Hero... response:	Take care of her.
context: It's mine now, okay?\No, it's not.\Fitoria...\Is another hero nearby?\Yeah. I sense one.\I see.\Shield Hero...\Take care of her. response:	And keep your promise.
context: No, it's not.\Fitoria...\Is another hero nearby?\Yeah. I sense one.\I see.\Shield Hero...\Take care of her.\And keep your promise. response:	Yeah, I'll do what I can.
context: Fitoria...\Is another hero nearby?\Yeah. I sense one.\I see.\Shield Hero...\Take care of her.\And keep your promise.\Yeah, I'll do what I can. response:	The Rising of the Shield Hero
context: Is another hero nearby?\Yeah. I sense one.\I see.\Shield Hero...\Take care of her.\And keep your promise.\Yeah, I'll do what I can.\The Rising of the Shield Hero response:	A Conspiracy Linked
context: Yeah. I sense one.\I see.\Shield Hero...\Take care of her.\And keep your promise.\Yeah, I'll do what I can.\The Rising of the Shield Hero\A Conspiracy Linked response:	If only we could get past that wall, we could cross the border.
context: I see.\Shield Hero...\Take care of her.\And keep your promise.\Yeah, I'll do what I can.\The Rising of the Shield Hero\A Conspiracy Linked\If only we could get past that wall, we could cross the border. response:	Any other routes we could take, Raphtalia-san?
context: Shield Hero...\Take care of her.\And keep your promise.\Yeah, I'll do what I can.\The Rising of the Shield Hero\A Conspiracy Linked\If only we could get past that wall, we could cross the border.\Any other routes we could take, Raphtalia-san? response:	Taking a detour would cost us a few more days.
context: Take care of her.\And keep your promise.\Yeah, I'll do what I can.\The Rising of the Shield Hero\A Conspiracy Linked\If only we could get past that wall, we could cross the border.\Any other routes we could take, Raphtalia-san?\Taking a detour would cost us a few more days. response:	Fitoria-san said there was another hero nearby, right?
