context: OP response:	Episode
context: OP\Episode response:	ED
context: OP\Episode\ED response:	C Part
context: OP\Episode\ED\C Part response:	Hateful feelings.
context: OP\Episode\ED\C Part\Hateful feelings. response:	Hurtful feelings.
context: OP\Episode\ED\C Part\Hateful feelings.\Hurtful feelings. response:	Unforgivable feelings.
context: OP\Episode\ED\C Part\Hateful feelings.\Hurtful feelings.\Unforgivable feelings. response:	To face ones own feelings is akin to throwing oneself into a bottomless pit,
context: OP\Episode\ED\C Part\Hateful feelings.\Hurtful feelings.\Unforgivable feelings.\To face ones own feelings is akin to throwing oneself into a bottomless pit, response:	or setting sail on an endless sea.
context: Episode\ED\C Part\Hateful feelings.\Hurtful feelings.\Unforgivable feelings.\To face ones own feelings is akin to throwing oneself into a bottomless pit,\or setting sail on an endless sea. response:	You must not look there.
context: ED\C Part\Hateful feelings.\Hurtful feelings.\Unforgivable feelings.\To face ones own feelings is akin to throwing oneself into a bottomless pit,\or setting sail on an endless sea.\You must not look there. response:	You must not think about it.
context: C Part\Hateful feelings.\Hurtful feelings.\Unforgivable feelings.\To face ones own feelings is akin to throwing oneself into a bottomless pit,\or setting sail on an endless sea.\You must not look there.\You must not think about it. response:	Though you search your soul on the dark, heaving waves, you must never look in that place.
context: Hateful feelings.\Hurtful feelings.\Unforgivable feelings.\To face ones own feelings is akin to throwing oneself into a bottomless pit,\or setting sail on an endless sea.\You must not look there.\You must not think about it.\Though you search your soul on the dark, heaving waves, you must never look in that place. response:	The blue moon illuminated
context: Hurtful feelings.\Unforgivable feelings.\To face ones own feelings is akin to throwing oneself into a bottomless pit,\or setting sail on an endless sea.\You must not look there.\You must not think about it.\Though you search your soul on the dark, heaving waves, you must never look in that place.\The blue moon illuminated response:	your wandering shadow.
context: Unforgivable feelings.\To face ones own feelings is akin to throwing oneself into a bottomless pit,\or setting sail on an endless sea.\You must not look there.\You must not think about it.\Though you search your soul on the dark, heaving waves, you must never look in that place.\The blue moon illuminated\your wandering shadow. response:	I could never tell you all I wanted to say.
context: To face ones own feelings is akin to throwing oneself into a bottomless pit,\or setting sail on an endless sea.\You must not look there.\You must not think about it.\Though you search your soul on the dark, heaving waves, you must never look in that place.\The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say. response:	It was so very frustrating.
context: or setting sail on an endless sea.\You must not look there.\You must not think about it.\Though you search your soul on the dark, heaving waves, you must never look in that place.\The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating. response:	I think about your faked smile,
context: You must not look there.\You must not think about it.\Though you search your soul on the dark, heaving waves, you must never look in that place.\The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile, response:	and forget all the hot tears we shed.
context: You must not think about it.\Though you search your soul on the dark, heaving waves, you must never look in that place.\The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile,\and forget all the hot tears we shed. response:	What do these empty husks,
context: Though you search your soul on the dark, heaving waves, you must never look in that place.\The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile,\and forget all the hot tears we shed.\What do these empty husks, response:	those empty eyes of yours, reflect, my dear?
