context: Child of God (Part One) response:	Without thinking, it came out of my mouth...
context: Child of God (Part One)\Without thinking, it came out of my mouth... response:	I want to go somewhere.
context: Child of God (Part One)\Without thinking, it came out of my mouth...\I want to go somewhere. response:	Where, where?
context: Child of God (Part One)\Without thinking, it came out of my mouth...\I want to go somewhere.\Where, where? response:	Where do you want to go, Rei?
context: Child of God (Part One)\Without thinking, it came out of my mouth...\I want to go somewhere.\Where, where?\Where do you want to go, Rei? response:	What is that? Would you let me nibble a bit?
context: Child of God (Part One)\Without thinking, it came out of my mouth...\I want to go somewhere.\Where, where?\Where do you want to go, Rei?\What is that? Would you let me nibble a bit? response:	Um, as for me...
context: Child of God (Part One)\Without thinking, it came out of my mouth...\I want to go somewhere.\Where, where?\Where do you want to go, Rei?\What is that? Would you let me nibble a bit?\Um, as for me... response:	There's Milkyland, right?
context: Child of God (Part One)\Without thinking, it came out of my mouth...\I want to go somewhere.\Where, where?\Where do you want to go, Rei?\What is that? Would you let me nibble a bit?\Um, as for me...\There's Milkyland, right? response:	And Enoshima, right?
context: Without thinking, it came out of my mouth...\I want to go somewhere.\Where, where?\Where do you want to go, Rei?\What is that? Would you let me nibble a bit?\Um, as for me...\There's Milkyland, right?\And Enoshima, right? response:	And Chinatown in Yokohama!
context: I want to go somewhere.\Where, where?\Where do you want to go, Rei?\What is that? Would you let me nibble a bit?\Um, as for me...\There's Milkyland, right?\And Enoshima, right?\And Chinatown in Yokohama! response:	With meat dumplings, shrimp in chili sauce, and almond jelly!
context: Where, where?\Where do you want to go, Rei?\What is that? Would you let me nibble a bit?\Um, as for me...\There's Milkyland, right?\And Enoshima, right?\And Chinatown in Yokohama!\With meat dumplings, shrimp in chili sauce, and almond jelly! response:	Yahoo-ey!
context: Where do you want to go, Rei?\What is that? Would you let me nibble a bit?\Um, as for me...\There's Milkyland, right?\And Enoshima, right?\And Chinatown in Yokohama!\With meat dumplings, shrimp in chili sauce, and almond jelly!\Yahoo-ey! response:	Momo! Momo wants to dig for potatoes!
context: What is that? Would you let me nibble a bit?\Um, as for me...\There's Milkyland, right?\And Enoshima, right?\And Chinatown in Yokohama!\With meat dumplings, shrimp in chili sauce, and almond jelly!\Yahoo-ey!\Momo! Momo wants to dig for potatoes! response:	And then, a soy sauce factory!
context: Um, as for me...\There's Milkyland, right?\And Enoshima, right?\And Chinatown in Yokohama!\With meat dumplings, shrimp in chili sauce, and almond jelly!\Yahoo-ey!\Momo! Momo wants to dig for potatoes!\And then, a soy sauce factory! response:	Why, Momo? You already went there on a field trip, didn't you?
context: There's Milkyland, right?\And Enoshima, right?\And Chinatown in Yokohama!\With meat dumplings, shrimp in chili sauce, and almond jelly!\Yahoo-ey!\Momo! Momo wants to dig for potatoes!\And then, a soy sauce factory!\Why, Momo? You already went there on a field trip, didn't you? response:	You have to say the places you want to go.
context: And Enoshima, right?\And Chinatown in Yokohama!\With meat dumplings, shrimp in chili sauce, and almond jelly!\Yahoo-ey!\Momo! Momo wants to dig for potatoes!\And then, a soy sauce factory!\Why, Momo? You already went there on a field trip, didn't you?\You have to say the places you want to go. response:	Looks like she had a lot of fun digging up potatoes.
context: And Chinatown in Yokohama!\With meat dumplings, shrimp in chili sauce, and almond jelly!\Yahoo-ey!\Momo! Momo wants to dig for potatoes!\And then, a soy sauce factory!\Why, Momo? You already went there on a field trip, didn't you?\You have to say the places you want to go.\Looks like she had a lot of fun digging up potatoes. response:	She's been talking about it ever since.
context: With meat dumplings, shrimp in chili sauce, and almond jelly!\Yahoo-ey!\Momo! Momo wants to dig for potatoes!\And then, a soy sauce factory!\Why, Momo? You already went there on a field trip, didn't you?\You have to say the places you want to go.\Looks like she had a lot of fun digging up potatoes.\She's been talking about it ever since. response:	Where do you want to go, Sis?
context: Yahoo-ey!\Momo! Momo wants to dig for potatoes!\And then, a soy sauce factory!\Why, Momo? You already went there on a field trip, didn't you?\You have to say the places you want to go.\Looks like she had a lot of fun digging up potatoes.\She's been talking about it ever since.\Where do you want to go, Sis? response:	Let's see...
context: Momo! Momo wants to dig for potatoes!\And then, a soy sauce factory!\Why, Momo? You already went there on a field trip, didn't you?\You have to say the places you want to go.\Looks like she had a lot of fun digging up potatoes.\She's been talking about it ever since.\Where do you want to go, Sis?\Let's see... response:	Maybe somewhere with a beautiful beach where I can just relax.
context: And then, a soy sauce factory!\Why, Momo? You already went there on a field trip, didn't you?\You have to say the places you want to go.\Looks like she had a lot of fun digging up potatoes.\She's been talking about it ever since.\Where do you want to go, Sis?\Let's see...\Maybe somewhere with a beautiful beach where I can just relax. response:	I'd take a nap, see an esthetician, or maybe get an aromatherapy massage.
context: Why, Momo? You already went there on a field trip, didn't you?\You have to say the places you want to go.\Looks like she had a lot of fun digging up potatoes.\She's been talking about it ever since.\Where do you want to go, Sis?\Let's see...\Maybe somewhere with a beautiful beach where I can just relax.\I'd take a nap, see an esthetician, or maybe get an aromatherapy massage. response:	But I'd be happy if the meals come out without saying anything.
context: You have to say the places you want to go.\Looks like she had a lot of fun digging up potatoes.\She's been talking about it ever since.\Where do you want to go, Sis?\Let's see...\Maybe somewhere with a beautiful beach where I can just relax.\I'd take a nap, see an esthetician, or maybe get an aromatherapy massage.\But I'd be happy if the meals come out without saying anything. response:	Thank you for always taking care of us!
context: Looks like she had a lot of fun digging up potatoes.\She's been talking about it ever since.\Where do you want to go, Sis?\Let's see...\Maybe somewhere with a beautiful beach where I can just relax.\I'd take a nap, see an esthetician, or maybe get an aromatherapy massage.\But I'd be happy if the meals come out without saying anything.\Thank you for always taking care of us! response:	As for me, well...
context: She's been talking about it ever since.\Where do you want to go, Sis?\Let's see...\Maybe somewhere with a beautiful beach where I can just relax.\I'd take a nap, see an esthetician, or maybe get an aromatherapy massage.\But I'd be happy if the meals come out without saying anything.\Thank you for always taking care of us!\As for me, well... response:	I suppose the Ise Grand Shrine. Your grandmother wanted to go there, too.
context: Where do you want to go, Sis?\Let's see...\Maybe somewhere with a beautiful beach where I can just relax.\I'd take a nap, see an esthetician, or maybe get an aromatherapy massage.\But I'd be happy if the meals come out without saying anything.\Thank you for always taking care of us!\As for me, well...\I suppose the Ise Grand Shrine. Your grandmother wanted to go there, too. response:	So, kid...
context: Let's see...\Maybe somewhere with a beautiful beach where I can just relax.\I'd take a nap, see an esthetician, or maybe get an aromatherapy massage.\But I'd be happy if the meals come out without saying anything.\Thank you for always taking care of us!\As for me, well...\I suppose the Ise Grand Shrine. Your grandmother wanted to go there, too.\So, kid... response:	I finally realized after being asked.
context: Maybe somewhere with a beautiful beach where I can just relax.\I'd take a nap, see an esthetician, or maybe get an aromatherapy massage.\But I'd be happy if the meals come out without saying anything.\Thank you for always taking care of us!\As for me, well...\I suppose the Ise Grand Shrine. Your grandmother wanted to go there, too.\So, kid...\I finally realized after being asked. response:	That I didn't have a place I wanted to go.
context: I'd take a nap, see an esthetician, or maybe get an aromatherapy massage.\But I'd be happy if the meals come out without saying anything.\Thank you for always taking care of us!\As for me, well...\I suppose the Ise Grand Shrine. Your grandmother wanted to go there, too.\So, kid...\I finally realized after being asked.\That I didn't have a place I wanted to go. response:	It seems that I didn't want to go to a particular place.
context: But I'd be happy if the meals come out without saying anything.\Thank you for always taking care of us!\As for me, well...\I suppose the Ise Grand Shrine. Your grandmother wanted to go there, too.\So, kid...\I finally realized after being asked.\That I didn't have a place I wanted to go.\It seems that I didn't want to go to a particular place. response:	I just wanted to go somewhere else.
context: Thank you for always taking care of us!\As for me, well...\I suppose the Ise Grand Shrine. Your grandmother wanted to go there, too.\So, kid...\I finally realized after being asked.\That I didn't have a place I wanted to go.\It seems that I didn't want to go to a particular place.\I just wanted to go somewhere else. response:	I guess that's what it was.
context: As for me, well...\I suppose the Ise Grand Shrine. Your grandmother wanted to go there, too.\So, kid...\I finally realized after being asked.\That I didn't have a place I wanted to go.\It seems that I didn't want to go to a particular place.\I just wanted to go somewhere else.\I guess that's what it was. response:	So for the study camp, Kiriyama will be marked as absent.
context: I suppose the Ise Grand Shrine. Your grandmother wanted to go there, too.\So, kid...\I finally realized after being asked.\That I didn't have a place I wanted to go.\It seems that I didn't want to go to a particular place.\I just wanted to go somewhere else.\I guess that's what it was.\So for the study camp, Kiriyama will be marked as absent. response:	Staff Room
context: So, kid...\I finally realized after being asked.\That I didn't have a place I wanted to go.\It seems that I didn't want to go to a particular place.\I just wanted to go somewhere else.\I guess that's what it was.\So for the study camp, Kiriyama will be marked as absent.\Staff Room response:	I guess it can't be helped since it's your rank-deciding competition.
context: I finally realized after being asked.\That I didn't have a place I wanted to go.\It seems that I didn't want to go to a particular place.\I just wanted to go somewhere else.\I guess that's what it was.\So for the study camp, Kiriyama will be marked as absent.\Staff Room\I guess it can't be helped since it's your rank-deciding competition. response:	You're already a professional, so it's work after all.
context: That I didn't have a place I wanted to go.\It seems that I didn't want to go to a particular place.\I just wanted to go somewhere else.\I guess that's what it was.\So for the study camp, Kiriyama will be marked as absent.\Staff Room\I guess it can't be helped since it's your rank-deciding competition.\You're already a professional, so it's work after all. response:	Matches are absolute,
context: It seems that I didn't want to go to a particular place.\I just wanted to go somewhere else.\I guess that's what it was.\So for the study camp, Kiriyama will be marked as absent.\Staff Room\I guess it can't be helped since it's your rank-deciding competition.\You're already a professional, so it's work after all.\Matches are absolute, response:	so forfeiting a match is not acceptable, except for the funeral of one's parents.
context: I just wanted to go somewhere else.\I guess that's what it was.\So for the study camp, Kiriyama will be marked as absent.\Staff Room\I guess it can't be helped since it's your rank-deciding competition.\You're already a professional, so it's work after all.\Matches are absolute,\so forfeiting a match is not acceptable, except for the funeral of one's parents. response:	But it's too bad.
context: I guess that's what it was.\So for the study camp, Kiriyama will be marked as absent.\Staff Room\I guess it can't be helped since it's your rank-deciding competition.\You're already a professional, so it's work after all.\Matches are absolute,\so forfeiting a match is not acceptable, except for the funeral of one's parents.\But it's too bad. response:	Study camps are a major event in a student's life.
context: So for the study camp, Kiriyama will be marked as absent.\Staff Room\I guess it can't be helped since it's your rank-deciding competition.\You're already a professional, so it's work after all.\Matches are absolute,\so forfeiting a match is not acceptable, except for the funeral of one's parents.\But it's too bad.\Study camps are a major event in a student's life. response:	Yeah.
context: Staff Room\I guess it can't be helped since it's your rank-deciding competition.\You're already a professional, so it's work after all.\Matches are absolute,\so forfeiting a match is not acceptable, except for the funeral of one's parents.\But it's too bad.\Study camps are a major event in a student's life.\Yeah. response:	True, I was a little disappointed.
context: I guess it can't be helped since it's your rank-deciding competition.\You're already a professional, so it's work after all.\Matches are absolute,\so forfeiting a match is not acceptable, except for the funeral of one's parents.\But it's too bad.\Study camps are a major event in a student's life.\Yeah.\True, I was a little disappointed. response:	I wasn't disappointed that I couldn't go,
context: You're already a professional, so it's work after all.\Matches are absolute,\so forfeiting a match is not acceptable, except for the funeral of one's parents.\But it's too bad.\Study camps are a major event in a student's life.\Yeah.\True, I was a little disappointed.\I wasn't disappointed that I couldn't go, response:	but disappointed in myself for being secretly relieved at getting out of going.
