context: It's Misa-chan in glasses! response:	So nice
context: It's Misa-chan in glasses!\So nice response:	Pardon us.
context: It's Misa-chan in glasses!\So nice\Pardon us. response:	I'm sorry.
context: It's Misa-chan in glasses!\So nice\Pardon us.\I'm sorry. response:	I'm sorry, Subaru-san.
context: It's Misa-chan in glasses!\So nice\Pardon us.\I'm sorry.\I'm sorry, Subaru-san. response:	Relax.
context: It's Misa-chan in glasses!\So nice\Pardon us.\I'm sorry.\I'm sorry, Subaru-san.\Relax. response:	Yes.
context: It's Misa-chan in glasses!\So nice\Pardon us.\I'm sorry.\I'm sorry, Subaru-san.\Relax.\Yes. response:	Keep it up, Misa-chan.
context: It's Misa-chan in glasses!\So nice\Pardon us.\I'm sorry.\I'm sorry, Subaru-san.\Relax.\Yes.\Keep it up, Misa-chan. response:	We're here to support you.
context: So nice\Pardon us.\I'm sorry.\I'm sorry, Subaru-san.\Relax.\Yes.\Keep it up, Misa-chan.\We're here to support you. response:	Oh, yeah!
context: Pardon us.\I'm sorry.\I'm sorry, Subaru-san.\Relax.\Yes.\Keep it up, Misa-chan.\We're here to support you.\Oh, yeah! response:	What am I doing... I've got to concentrate.
context: I'm sorry.\I'm sorry, Subaru-san.\Relax.\Yes.\Keep it up, Misa-chan.\We're here to support you.\Oh, yeah!\What am I doing... I've got to concentrate. response:	Are you okay, Misa-chan?
context: I'm sorry, Subaru-san.\Relax.\Yes.\Keep it up, Misa-chan.\We're here to support you.\Oh, yeah!\What am I doing... I've got to concentrate.\Are you okay, Misa-chan? response:	Chief. I'm sorry.
context: Relax.\Yes.\Keep it up, Misa-chan.\We're here to support you.\Oh, yeah!\What am I doing... I've got to concentrate.\Are you okay, Misa-chan?\Chief. I'm sorry. response:	If something's bothering you, let me know.
context: Yes.\Keep it up, Misa-chan.\We're here to support you.\Oh, yeah!\What am I doing... I've got to concentrate.\Are you okay, Misa-chan?\Chief. I'm sorry.\If something's bothering you, let me know. response:	Ask me anything.
context: Keep it up, Misa-chan.\We're here to support you.\Oh, yeah!\What am I doing... I've got to concentrate.\Are you okay, Misa-chan?\Chief. I'm sorry.\If something's bothering you, let me know.\Ask me anything. response:	Later.
context: We're here to support you.\Oh, yeah!\What am I doing... I've got to concentrate.\Are you okay, Misa-chan?\Chief. I'm sorry.\If something's bothering you, let me know.\Ask me anything.\Later. response:	I'm sorry.
context: Oh, yeah!\What am I doing... I've got to concentrate.\Are you okay, Misa-chan?\Chief. I'm sorry.\If something's bothering you, let me know.\Ask me anything.\Later.\I'm sorry. response:	Don't worry. I always trust you.
context: What am I doing... I've got to concentrate.\Are you okay, Misa-chan?\Chief. I'm sorry.\If something's bothering you, let me know.\Ask me anything.\Later.\I'm sorry.\Don't worry. I always trust you. response:	How about me?
context: Are you okay, Misa-chan?\Chief. I'm sorry.\If something's bothering you, let me know.\Ask me anything.\Later.\I'm sorry.\Don't worry. I always trust you.\How about me? response:	Of course I trust you.
