context: I'm Kurihara Osamu, a first-year in high school. response:	The candle we both lit in our hearts on a holy night
context: I'm Kurihara Osamu, a first-year in high school.\The candle we both lit in our hearts on a holy night response:	can never be extinguished.
context: I'm Kurihara Osamu, a first-year in high school.\The candle we both lit in our hearts on a holy night\can never be extinguished. response:	You kissed Nanako-san on Christmas?!
context: I'm Kurihara Osamu, a first-year in high school.\The candle we both lit in our hearts on a holy night\can never be extinguished.\You kissed Nanako-san on Christmas?! response:	The very first day you started dating?
context: I'm Kurihara Osamu, a first-year in high school.\The candle we both lit in our hearts on a holy night\can never be extinguished.\You kissed Nanako-san on Christmas?!\The very first day you started dating? response:	Yeah.
context: I'm Kurihara Osamu, a first-year in high school.\The candle we both lit in our hearts on a holy night\can never be extinguished.\You kissed Nanako-san on Christmas?!\The very first day you started dating?\Yeah. response:	Isn't that too fast?
context: I'm Kurihara Osamu, a first-year in high school.\The candle we both lit in our hearts on a holy night\can never be extinguished.\You kissed Nanako-san on Christmas?!\The very first day you started dating?\Yeah.\Isn't that too fast? response:	There aren't any rules for that
context: I'm Kurihara Osamu, a first-year in high school.\The candle we both lit in our hearts on a holy night\can never be extinguished.\You kissed Nanako-san on Christmas?!\The very first day you started dating?\Yeah.\Isn't that too fast?\There aren't any rules for that response:	It's too fast!
context: The candle we both lit in our hearts on a holy night\can never be extinguished.\You kissed Nanako-san on Christmas?!\The very first day you started dating?\Yeah.\Isn't that too fast?\There aren't any rules for that\It's too fast! response:	Huh?
context: can never be extinguished.\You kissed Nanako-san on Christmas?!\The very first day you started dating?\Yeah.\Isn't that too fast?\There aren't any rules for that\It's too fast!\Huh? response:	Then when is it okay for you, Takeo?
context: You kissed Nanako-san on Christmas?!\The very first day you started dating?\Yeah.\Isn't that too fast?\There aren't any rules for that\It's too fast!\Huh?\Then when is it okay for you, Takeo? response:	The autumn of my third year in high school!
context: The very first day you started dating?\Yeah.\Isn't that too fast?\There aren't any rules for that\It's too fast!\Huh?\Then when is it okay for you, Takeo?\The autumn of my third year in high school! response:	Why autumn?
context: Yeah.\Isn't that too fast?\There aren't any rules for that\It's too fast!\Huh?\Then when is it okay for you, Takeo?\The autumn of my third year in high school!\Why autumn? response:	My Birthday
context: Isn't that too fast?\There aren't any rules for that\It's too fast!\Huh?\Then when is it okay for you, Takeo?\The autumn of my third year in high school!\Why autumn?\My Birthday response:	Okay, I'm off to a date with Nanako.
context: There aren't any rules for that\It's too fast!\Huh?\Then when is it okay for you, Takeo?\The autumn of my third year in high school!\Why autumn?\My Birthday\Okay, I'm off to a date with Nanako. response:	Hey, you do well by her.
