context: Yow! response:	Science
context: Yow!\Science response:	Gohan- chan, you're goin' to catch up with everythin' that you've fallen behind on.
context: Yow!\Science\Gohan- chan, you're goin' to catch up with everythin' that you've fallen behind on. response:	Anything but that!
context: Yow!\Science\Gohan- chan, you're goin' to catch up with everythin' that you've fallen behind on.\Anything but that! response:	What's the matter, Kuririn? You're trembling.
context: Yow!\Science\Gohan- chan, you're goin' to catch up with everythin' that you've fallen behind on.\Anything but that!\What's the matter, Kuririn? You're trembling. response:	I- it's nothing.
context: Yow!\Science\Gohan- chan, you're goin' to catch up with everythin' that you've fallen behind on.\Anything but that!\What's the matter, Kuririn? You're trembling.\I- it's nothing. response:	Oww!
context: Yow!\Science\Gohan- chan, you're goin' to catch up with everythin' that you've fallen behind on.\Anything but that!\What's the matter, Kuririn? You're trembling.\I- it's nothing.\Oww! response:	All we're doing is changing his bandages. What a loud patient this is.
context: Yow!\Science\Gohan- chan, you're goin' to catch up with everythin' that you've fallen behind on.\Anything but that!\What's the matter, Kuririn? You're trembling.\I- it's nothing.\Oww!\All we're doing is changing his bandages. What a loud patient this is. response:	On second thought, I shouldn't be here. We have to find that Saiyan spaceship quickly.
context: Science\Gohan- chan, you're goin' to catch up with everythin' that you've fallen behind on.\Anything but that!\What's the matter, Kuririn? You're trembling.\I- it's nothing.\Oww!\All we're doing is changing his bandages. What a loud patient this is.\On second thought, I shouldn't be here. We have to find that Saiyan spaceship quickly. response:	Let Bulma handle that. You need to hurry and recover from your injuries.
context: Gohan- chan, you're goin' to catch up with everythin' that you've fallen behind on.\Anything but that!\What's the matter, Kuririn? You're trembling.\I- it's nothing.\Oww!\All we're doing is changing his bandages. What a loud patient this is.\On second thought, I shouldn't be here. We have to find that Saiyan spaceship quickly.\Let Bulma handle that. You need to hurry and recover from your injuries. response:	B- but...
context: Anything but that!\What's the matter, Kuririn? You're trembling.\I- it's nothing.\Oww!\All we're doing is changing his bandages. What a loud patient this is.\On second thought, I shouldn't be here. We have to find that Saiyan spaceship quickly.\Let Bulma handle that. You need to hurry and recover from your injuries.\B- but... response:	We never know when that Saiyan is going to attack again.
context: What's the matter, Kuririn? You're trembling.\I- it's nothing.\Oww!\All we're doing is changing his bandages. What a loud patient this is.\On second thought, I shouldn't be here. We have to find that Saiyan spaceship quickly.\Let Bulma handle that. You need to hurry and recover from your injuries.\B- but...\We never know when that Saiyan is going to attack again. response:	You need to completely recover before that happens.
context: I- it's nothing.\Oww!\All we're doing is changing his bandages. What a loud patient this is.\On second thought, I shouldn't be here. We have to find that Saiyan spaceship quickly.\Let Bulma handle that. You need to hurry and recover from your injuries.\B- but...\We never know when that Saiyan is going to attack again.\You need to completely recover before that happens. response:	Gohan- chan is not havin' anythin' to do with that anymore!
context: Oww!\All we're doing is changing his bandages. What a loud patient this is.\On second thought, I shouldn't be here. We have to find that Saiyan spaceship quickly.\Let Bulma handle that. You need to hurry and recover from your injuries.\B- but...\We never know when that Saiyan is going to attack again.\You need to completely recover before that happens.\Gohan- chan is not havin' anythin' to do with that anymore! response:	I'm not lettin' him get into any more dangerous situations like that again!
context: All we're doing is changing his bandages. What a loud patient this is.\On second thought, I shouldn't be here. We have to find that Saiyan spaceship quickly.\Let Bulma handle that. You need to hurry and recover from your injuries.\B- but...\We never know when that Saiyan is going to attack again.\You need to completely recover before that happens.\Gohan- chan is not havin' anythin' to do with that anymore!\I'm not lettin' him get into any more dangerous situations like that again! response:	Next, please.
context: On second thought, I shouldn't be here. We have to find that Saiyan spaceship quickly.\Let Bulma handle that. You need to hurry and recover from your injuries.\B- but...\We never know when that Saiyan is going to attack again.\You need to completely recover before that happens.\Gohan- chan is not havin' anythin' to do with that anymore!\I'm not lettin' him get into any more dangerous situations like that again!\Next, please. response:	M- my injuries aren't all that serious, so...
context: Let Bulma handle that. You need to hurry and recover from your injuries.\B- but...\We never know when that Saiyan is going to attack again.\You need to completely recover before that happens.\Gohan- chan is not havin' anythin' to do with that anymore!\I'm not lettin' him get into any more dangerous situations like that again!\Next, please.\M- my injuries aren't all that serious, so... response:	Neither are mine!
context: B- but...\We never know when that Saiyan is going to attack again.\You need to completely recover before that happens.\Gohan- chan is not havin' anythin' to do with that anymore!\I'm not lettin' him get into any more dangerous situations like that again!\Next, please.\M- my injuries aren't all that serious, so...\Neither are mine! response:	Now, look here!
context: We never know when that Saiyan is going to attack again.\You need to completely recover before that happens.\Gohan- chan is not havin' anythin' to do with that anymore!\I'm not lettin' him get into any more dangerous situations like that again!\Next, please.\M- my injuries aren't all that serious, so...\Neither are mine!\Now, look here! response:	You've got to get treated properly, or you're not goin' to get any better!
context: You need to completely recover before that happens.\Gohan- chan is not havin' anythin' to do with that anymore!\I'm not lettin' him get into any more dangerous situations like that again!\Next, please.\M- my injuries aren't all that serious, so...\Neither are mine!\Now, look here!\You've got to get treated properly, or you're not goin' to get any better! response:	Come on, Gohan- chan!
context: Gohan- chan is not havin' anythin' to do with that anymore!\I'm not lettin' him get into any more dangerous situations like that again!\Next, please.\M- my injuries aren't all that serious, so...\Neither are mine!\Now, look here!\You've got to get treated properly, or you're not goin' to get any better!\Come on, Gohan- chan! response:	No, anything but this!
context: I'm not lettin' him get into any more dangerous situations like that again!\Next, please.\M- my injuries aren't all that serious, so...\Neither are mine!\Now, look here!\You've got to get treated properly, or you're not goin' to get any better!\Come on, Gohan- chan!\No, anything but this! response:	Wow, we're lucky.
context: Next, please.\M- my injuries aren't all that serious, so...\Neither are mine!\Now, look here!\You've got to get treated properly, or you're not goin' to get any better!\Come on, Gohan- chan!\No, anything but this!\Wow, we're lucky. response:	They said that after Gohan and I spend three days in the hospital, we'll be fine.
context: M- my injuries aren't all that serious, so...\Neither are mine!\Now, look here!\You've got to get treated properly, or you're not goin' to get any better!\Come on, Gohan- chan!\No, anything but this!\Wow, we're lucky.\They said that after Gohan and I spend three days in the hospital, we'll be fine. response:	You've got me beat. They said it would be four months before my injuries heal.
context: Neither are mine!\Now, look here!\You've got to get treated properly, or you're not goin' to get any better!\Come on, Gohan- chan!\No, anything but this!\Wow, we're lucky.\They said that after Gohan and I spend three days in the hospital, we'll be fine.\You've got me beat. They said it would be four months before my injuries heal. response:	They also said I might not be back to my former self.
context: Now, look here!\You've got to get treated properly, or you're not goin' to get any better!\Come on, Gohan- chan!\No, anything but this!\Wow, we're lucky.\They said that after Gohan and I spend three days in the hospital, we'll be fine.\You've got me beat. They said it would be four months before my injuries heal.\They also said I might not be back to my former self. response:	Hey, not to worry. In another month, I'll have some new Senzu beans.
