context: I have a girlfriend. response:	But then another girl confessed her feelings to me.
context: I have a girlfriend.\But then another girl confessed her feelings to me. response:	What do I do?
context: I have a girlfriend.\But then another girl confessed her feelings to me.\What do I do? response:	I started going out with a girl recently.
context: I have a girlfriend.\But then another girl confessed her feelings to me.\What do I do?\I started going out with a girl recently. response:	I confessed my feelings to Saki-chan, who I've been close to since we were kids.
context: I have a girlfriend.\But then another girl confessed her feelings to me.\What do I do?\I started going out with a girl recently.\I confessed my feelings to Saki-chan, who I've been close to since we were kids. response:	She accepted, and now we're going steady.
context: I have a girlfriend.\But then another girl confessed her feelings to me.\What do I do?\I started going out with a girl recently.\I confessed my feelings to Saki-chan, who I've been close to since we were kids.\She accepted, and now we're going steady. response:	Bam!
context: I have a girlfriend.\But then another girl confessed her feelings to me.\What do I do?\I started going out with a girl recently.\I confessed my feelings to Saki-chan, who I've been close to since we were kids.\She accepted, and now we're going steady.\Bam! response:	I'm the happiest person on Earth.
context: I have a girlfriend.\But then another girl confessed her feelings to me.\What do I do?\I started going out with a girl recently.\I confessed my feelings to Saki-chan, who I've been close to since we were kids.\She accepted, and now we're going steady.\Bam!\I'm the happiest person on Earth. response:	Sakisaki!
context: But then another girl confessed her feelings to me.\What do I do?\I started going out with a girl recently.\I confessed my feelings to Saki-chan, who I've been close to since we were kids.\She accepted, and now we're going steady.\Bam!\I'm the happiest person on Earth.\Sakisaki! response:	Come on, let's go.
context: What do I do?\I started going out with a girl recently.\I confessed my feelings to Saki-chan, who I've been close to since we were kids.\She accepted, and now we're going steady.\Bam!\I'm the happiest person on Earth.\Sakisaki!\Come on, let's go. response:	Okay.
context: I started going out with a girl recently.\I confessed my feelings to Saki-chan, who I've been close to since we were kids.\She accepted, and now we're going steady.\Bam!\I'm the happiest person on Earth.\Sakisaki!\Come on, let's go.\Okay. response:	I'm headed off to my club.
context: I confessed my feelings to Saki-chan, who I've been close to since we were kids.\She accepted, and now we're going steady.\Bam!\I'm the happiest person on Earth.\Sakisaki!\Come on, let's go.\Okay.\I'm headed off to my club. response:	Okay.
context: She accepted, and now we're going steady.\Bam!\I'm the happiest person on Earth.\Sakisaki!\Come on, let's go.\Okay.\I'm headed off to my club.\Okay. response:	I'll wait until you're done, Saki-chan.
context: Bam!\I'm the happiest person on Earth.\Sakisaki!\Come on, let's go.\Okay.\I'm headed off to my club.\Okay.\I'll wait until you're done, Saki-chan. response:	You can go on ahead for once.
context: I'm the happiest person on Earth.\Sakisaki!\Come on, let's go.\Okay.\I'm headed off to my club.\Okay.\I'll wait until you're done, Saki-chan.\You can go on ahead for once. response:	But no cheating on me.
