context: Do you really think he'll chase you forever? response:	Mizu-chin's words keep echoing in my head...
context: Do you really think he'll chase you forever?\Mizu-chin's words keep echoing in my head... response:	If you disconnect from Yano's feelings now, it'll be too late.
context: Do you really think he'll chase you forever?\Mizu-chin's words keep echoing in my head...\If you disconnect from Yano's feelings now, it'll be too late. response:	It'll be too late.
context: Do you really think he'll chase you forever?\Mizu-chin's words keep echoing in my head...\If you disconnect from Yano's feelings now, it'll be too late.\It'll be too late. response:	Usotsuki na anata nakimushi no atashi
context: Do you really think he'll chase you forever?\Mizu-chin's words keep echoing in my head...\If you disconnect from Yano's feelings now, it'll be too late.\It'll be too late.\Usotsuki na anata nakimushi no atashi response:	Doushite umaku ikanai wa
context: Do you really think he'll chase you forever?\Mizu-chin's words keep echoing in my head...\If you disconnect from Yano's feelings now, it'll be too late.\It'll be too late.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa response:	Oshare shita kami mo rain suton no tsume mo
context: Do you really think he'll chase you forever?\Mizu-chin's words keep echoing in my head...\If you disconnect from Yano's feelings now, it'll be too late.\It'll be too late.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo response:	Anata wa kidzuki mo shinai ne
context: Do you really think he'll chase you forever?\Mizu-chin's words keep echoing in my head...\If you disconnect from Yano's feelings now, it'll be too late.\It'll be too late.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne response:	Love kanashii namida nanka ja nai yo
context: Mizu-chin's words keep echoing in my head...\If you disconnect from Yano's feelings now, it'll be too late.\It'll be too late.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo response:	Me ga kawaite hirihiri suru dake
context: If you disconnect from Yano's feelings now, it'll be too late.\It'll be too late.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake response:	Kono unmei bakari I love
context: It'll be too late.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love response:	Kimi dake wo atashi dake wo
context: Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo response:	Atsui omoi wo uketomete
context: Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete response:	Doko made mo tsunagattetai
context: Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai response:	Kawaikunai nakigao mo se mo aishiteru
context: Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru response:	Why can't things go well between
context: Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between response:	the liar, you, and the crybaby, me?
context: Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me? response:	You don't notice my styled hair
context: Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair response:	or my nice set of press-on nails.
context: Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails. response:	Love isn't about the unhappy tears that go along with it.
context: Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it. response:	Those tears only leave my eyes dry and hurt me.
context: Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me. response:	I love this destiny
context: Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny response:	between only you and only me.
context: Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me. response:	I want to accept your hot feelings
context: the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings response:	and be taken by you forever.
context: You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever. response:	Despite your uncute, tearful face and your shortness, I still love you.
context: or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you. response:	Episode 24 ...
context: Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 24 ... response:	Now that I think about it, there aren't many days left in the year.
context: Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 24 ...\Now that I think about it, there aren't many days left in the year. response:	Nana, if you don't hurry and make up with Yano, you know...
context: I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 24 ...\Now that I think about it, there aren't many days left in the year.\Nana, if you don't hurry and make up with Yano, you know... response:	What?
context: between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 24 ...\Now that I think about it, there aren't many days left in the year.\Nana, if you don't hurry and make up with Yano, you know...\What? response:	It's Christmas next month!
context: I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 24 ...\Now that I think about it, there aren't many days left in the year.\Nana, if you don't hurry and make up with Yano, you know...\What?\It's Christmas next month! response:	Hey, what are you gonna get for him this year?
context: and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 24 ...\Now that I think about it, there aren't many days left in the year.\Nana, if you don't hurry and make up with Yano, you know...\What?\It's Christmas next month!\Hey, what are you gonna get for him this year? response:	That's right... I need to start spending less and save up for a present.
context: Despite your uncute, tearful face and your shortness, I still love you.\Episode 24 ...\Now that I think about it, there aren't many days left in the year.\Nana, if you don't hurry and make up with Yano, you know...\What?\It's Christmas next month!\Hey, what are you gonna get for him this year?\That's right... I need to start spending less and save up for a present. response:	Even though we're in the middle of a fight, Christmas is still stuck in my mind...
context: Episode 24 ...\Now that I think about it, there aren't many days left in the year.\Nana, if you don't hurry and make up with Yano, you know...\What?\It's Christmas next month!\Hey, what are you gonna get for him this year?\That's right... I need to start spending less and save up for a present.\Even though we're in the middle of a fight, Christmas is still stuck in my mind... response:	Results from the Cancer Screening Examination We noticed that you had hemorrhaging from your colon Please have a more thorough examination at the nearest general hospital immediately.
context: Now that I think about it, there aren't many days left in the year.\Nana, if you don't hurry and make up with Yano, you know...\What?\It's Christmas next month!\Hey, what are you gonna get for him this year?\That's right... I need to start spending less and save up for a present.\Even though we're in the middle of a fight, Christmas is still stuck in my mind...\Results from the Cancer Screening Examination We noticed that you had hemorrhaging from your colon Please have a more thorough examination at the nearest general hospital immediately. response:	City Cancer Center
context: Nana, if you don't hurry and make up with Yano, you know...\What?\It's Christmas next month!\Hey, what are you gonna get for him this year?\That's right... I need to start spending less and save up for a present.\Even though we're in the middle of a fight, Christmas is still stuck in my mind...\Results from the Cancer Screening Examination We noticed that you had hemorrhaging from your colon Please have a more thorough examination at the nearest general hospital immediately.\City Cancer Center response:	hemorrhaging from your colon
context: What?\It's Christmas next month!\Hey, what are you gonna get for him this year?\That's right... I need to start spending less and save up for a present.\Even though we're in the middle of a fight, Christmas is still stuck in my mind...\Results from the Cancer Screening Examination We noticed that you had hemorrhaging from your colon Please have a more thorough examination at the nearest general hospital immediately.\City Cancer Center\hemorrhaging from your colon response:	Mom... a notice from the hospital. Did you see it?
context: It's Christmas next month!\Hey, what are you gonna get for him this year?\That's right... I need to start spending less and save up for a present.\Even though we're in the middle of a fight, Christmas is still stuck in my mind...\Results from the Cancer Screening Examination We noticed that you had hemorrhaging from your colon Please have a more thorough examination at the nearest general hospital immediately.\City Cancer Center\hemorrhaging from your colon\Mom... a notice from the hospital. Did you see it? response:	Ah, just another one like they sent last year.
