context: It's now August, response:	and Arima has gone to the Interhigh.
context: It's now August,\and Arima has gone to the Interhigh. response:	Ah! It's a letter from Arima!
context: It's now August,\and Arima has gone to the Interhigh.\Ah! It's a letter from Arima! response:	When most business can be done over the phone these days,
context: It's now August,\and Arima has gone to the Interhigh.\Ah! It's a letter from Arima!\When most business can be done over the phone these days, response:	letters are unusual.
context: It's now August,\and Arima has gone to the Interhigh.\Ah! It's a letter from Arima!\When most business can be done over the phone these days,\letters are unusual. response:	What's it say, what's it say?
context: It's now August,\and Arima has gone to the Interhigh.\Ah! It's a letter from Arima!\When most business can be done over the phone these days,\letters are unusual.\What's it say, what's it say? response:	This is a souvenier from the training camp in Nagano.
context: It's now August,\and Arima has gone to the Interhigh.\Ah! It's a letter from Arima!\When most business can be done over the phone these days,\letters are unusual.\What's it say, what's it say?\This is a souvenier from the training camp in Nagano. response:	I'll be back on August 5th.
context: It's now August,\and Arima has gone to the Interhigh.\Ah! It's a letter from Arima!\When most business can be done over the phone these days,\letters are unusual.\What's it say, what's it say?\This is a souvenier from the training camp in Nagano.\I'll be back on August 5th. response:	So concise...
context: and Arima has gone to the Interhigh.\Ah! It's a letter from Arima!\When most business can be done over the phone these days,\letters are unusual.\What's it say, what's it say?\This is a souvenier from the training camp in Nagano.\I'll be back on August 5th.\So concise... response:	But when I opened the envelope,
context: Ah! It's a letter from Arima!\When most business can be done over the phone these days,\letters are unusual.\What's it say, what's it say?\This is a souvenier from the training camp in Nagano.\I'll be back on August 5th.\So concise...\But when I opened the envelope, response:	it smelled ever so faintly of Arima.
context: When most business can be done over the phone these days,\letters are unusual.\What's it say, what's it say?\This is a souvenier from the training camp in Nagano.\I'll be back on August 5th.\So concise...\But when I opened the envelope,\it smelled ever so faintly of Arima. response:	It gave me a painful reminder of how much I missed him.
context: letters are unusual.\What's it say, what's it say?\This is a souvenier from the training camp in Nagano.\I'll be back on August 5th.\So concise...\But when I opened the envelope,\it smelled ever so faintly of Arima.\It gave me a painful reminder of how much I missed him. response:	Oh, Arima? I saw him.
