context: Nana! response:	I thought I might find you here.
context: Nana!\I thought I might find you here. response:	He's so cool. Matsushida the DJ!
context: Nana!\I thought I might find you here.\He's so cool. Matsushida the DJ! response:	Super cool! Super nice!
context: Nana!\I thought I might find you here.\He's so cool. Matsushida the DJ!\Super cool! Super nice! response:	If you like him, just tell him so.
context: Nana!\I thought I might find you here.\He's so cool. Matsushida the DJ!\Super cool! Super nice!\If you like him, just tell him so. response:	If you're lucky, he may make you his girlfriend.
context: Nana!\I thought I might find you here.\He's so cool. Matsushida the DJ!\Super cool! Super nice!\If you like him, just tell him so.\If you're lucky, he may make you his girlfriend. response:	No way. Matsushida is very popular with the ladies
context: Nana!\I thought I might find you here.\He's so cool. Matsushida the DJ!\Super cool! Super nice!\If you like him, just tell him so.\If you're lucky, he may make you his girlfriend.\No way. Matsushida is very popular with the ladies response:	and I'll bet he fools around a lot.
context: Nana!\I thought I might find you here.\He's so cool. Matsushida the DJ!\Super cool! Super nice!\If you like him, just tell him so.\If you're lucky, he may make you his girlfriend.\No way. Matsushida is very popular with the ladies\and I'll bet he fools around a lot. response:	Rumors are that he changes women all the time.
context: I thought I might find you here.\He's so cool. Matsushida the DJ!\Super cool! Super nice!\If you like him, just tell him so.\If you're lucky, he may make you his girlfriend.\No way. Matsushida is very popular with the ladies\and I'll bet he fools around a lot.\Rumors are that he changes women all the time. response:	He's so full of himself. I'm sure of it. An enemy of women.
context: He's so cool. Matsushida the DJ!\Super cool! Super nice!\If you like him, just tell him so.\If you're lucky, he may make you his girlfriend.\No way. Matsushida is very popular with the ladies\and I'll bet he fools around a lot.\Rumors are that he changes women all the time.\He's so full of himself. I'm sure of it. An enemy of women. response:	Then don't fall in love with him.
context: Super cool! Super nice!\If you like him, just tell him so.\If you're lucky, he may make you his girlfriend.\No way. Matsushida is very popular with the ladies\and I'll bet he fools around a lot.\Rumors are that he changes women all the time.\He's so full of himself. I'm sure of it. An enemy of women.\Then don't fall in love with him. response:	I like the way you said that. Your comeback line.
context: If you like him, just tell him so.\If you're lucky, he may make you his girlfriend.\No way. Matsushida is very popular with the ladies\and I'll bet he fools around a lot.\Rumors are that he changes women all the time.\He's so full of himself. I'm sure of it. An enemy of women.\Then don't fall in love with him.\I like the way you said that. Your comeback line. response:	You're starting to sound a lot like Jun-chan.
context: If you're lucky, he may make you his girlfriend.\No way. Matsushida is very popular with the ladies\and I'll bet he fools around a lot.\Rumors are that he changes women all the time.\He's so full of himself. I'm sure of it. An enemy of women.\Then don't fall in love with him.\I like the way you said that. Your comeback line.\You're starting to sound a lot like Jun-chan. response:	Should I call you Sho-chan?
context: No way. Matsushida is very popular with the ladies\and I'll bet he fools around a lot.\Rumors are that he changes women all the time.\He's so full of himself. I'm sure of it. An enemy of women.\Then don't fall in love with him.\I like the way you said that. Your comeback line.\You're starting to sound a lot like Jun-chan.\Should I call you Sho-chan? response:	Everyone would become like this after hanging out with you!
context: and I'll bet he fools around a lot.\Rumors are that he changes women all the time.\He's so full of himself. I'm sure of it. An enemy of women.\Then don't fall in love with him.\I like the way you said that. Your comeback line.\You're starting to sound a lot like Jun-chan.\Should I call you Sho-chan?\Everyone would become like this after hanging out with you! response:	But Jun-chan doesn't talk to me the same way now.
context: Rumors are that he changes women all the time.\He's so full of himself. I'm sure of it. An enemy of women.\Then don't fall in love with him.\I like the way you said that. Your comeback line.\You're starting to sound a lot like Jun-chan.\Should I call you Sho-chan?\Everyone would become like this after hanging out with you!\But Jun-chan doesn't talk to me the same way now. response:	She's been so preoccupied with Kyosuke, her personality is softening.
context: He's so full of himself. I'm sure of it. An enemy of women.\Then don't fall in love with him.\I like the way you said that. Your comeback line.\You're starting to sound a lot like Jun-chan.\Should I call you Sho-chan?\Everyone would become like this after hanging out with you!\But Jun-chan doesn't talk to me the same way now.\She's been so preoccupied with Kyosuke, her personality is softening. response:	Like she's boneless. She lacks something now.
