context: Do I smell... miso soup? response:	Do I smell... miso soup?
context: Do I smell... miso soup?\Do I smell... miso soup? response:	Good morning.
context: Do I smell... miso soup?\Do I smell... miso soup?\Good morning. response:	What?
context: Do I smell... miso soup?\Do I smell... miso soup?\Good morning.\What? response:	I wasn't told we were going to be roommates!
context: Do I smell... miso soup?\Do I smell... miso soup?\Good morning.\What?\I wasn't told we were going to be roommates! response:	We don't have enough rooms, you see.
context: Do I smell... miso soup?\Do I smell... miso soup?\Good morning.\What?\I wasn't told we were going to be roommates!\We don't have enough rooms, you see. response:	But...
context: Do I smell... miso soup?\Do I smell... miso soup?\Good morning.\What?\I wasn't told we were going to be roommates!\We don't have enough rooms, you see.\But... response:	She agreed.
context: Do I smell... miso soup?\Do I smell... miso soup?\Good morning.\What?\I wasn't told we were going to be roommates!\We don't have enough rooms, you see.\But...\She agreed. response:	It was an order.
context: Do I smell... miso soup?\Good morning.\What?\I wasn't told we were going to be roommates!\We don't have enough rooms, you see.\But...\She agreed.\It was an order. response:	Don't you get it, Atsushi-kun?
context: Good morning.\What?\I wasn't told we were going to be roommates!\We don't have enough rooms, you see.\But...\She agreed.\It was an order.\Don't you get it, Atsushi-kun? response:	Get what?
context: What?\I wasn't told we were going to be roommates!\We don't have enough rooms, you see.\But...\She agreed.\It was an order.\Don't you get it, Atsushi-kun?\Get what? response:	Without any kin, she is as alone as can be.
context: I wasn't told we were going to be roommates!\We don't have enough rooms, you see.\But...\She agreed.\It was an order.\Don't you get it, Atsushi-kun?\Get what?\Without any kin, she is as alone as can be. response:	Besides, the Port Mafia may send assassins after her.
context: We don't have enough rooms, you see.\But...\She agreed.\It was an order.\Don't you get it, Atsushi-kun?\Get what?\Without any kin, she is as alone as can be.\Besides, the Port Mafia may send assassins after her. response:	That's true.
context: But...\She agreed.\It was an order.\Don't you get it, Atsushi-kun?\Get what?\Without any kin, she is as alone as can be.\Besides, the Port Mafia may send assassins after her.\That's true. response:	You should protect her.
context: She agreed.\It was an order.\Don't you get it, Atsushi-kun?\Get what?\Without any kin, she is as alone as can be.\Besides, the Port Mafia may send assassins after her.\That's true.\You should protect her. response:	Okay, I'll do my best!
context: It was an order.\Don't you get it, Atsushi-kun?\Get what?\Without any kin, she is as alone as can be.\Besides, the Port Mafia may send assassins after her.\That's true.\You should protect her.\Okay, I'll do my best! response:	If you have the time to mess with Atsushi,
context: Don't you get it, Atsushi-kun?\Get what?\Without any kin, she is as alone as can be.\Besides, the Port Mafia may send assassins after her.\That's true.\You should protect her.\Okay, I'll do my best!\If you have the time to mess with Atsushi, response:	write up the report about your capture by the Port Mafia!
context: Get what?\Without any kin, she is as alone as can be.\Besides, the Port Mafia may send assassins after her.\That's true.\You should protect her.\Okay, I'll do my best!\If you have the time to mess with Atsushi,\write up the report about your capture by the Port Mafia! response:	Atsushi-kun...
context: Without any kin, she is as alone as can be.\Besides, the Port Mafia may send assassins after her.\That's true.\You should protect her.\Okay, I'll do my best!\If you have the time to mess with Atsushi,\write up the report about your capture by the Port Mafia!\Atsushi-kun... response:	Yes?
context: Besides, the Port Mafia may send assassins after her.\That's true.\You should protect her.\Okay, I'll do my best!\If you have the time to mess with Atsushi,\write up the report about your capture by the Port Mafia!\Atsushi-kun...\Yes? response:	Write the report for me.
context: That's true.\You should protect her.\Okay, I'll do my best!\If you have the time to mess with Atsushi,\write up the report about your capture by the Port Mafia!\Atsushi-kun...\Yes?\Write the report for me. response:	What?
context: You should protect her.\Okay, I'll do my best!\If you have the time to mess with Atsushi,\write up the report about your capture by the Port Mafia!\Atsushi-kun...\Yes?\Write the report for me.\What? response:	It'll be about the person who placed a bounty on your head.
context: Okay, I'll do my best!\If you have the time to mess with Atsushi,\write up the report about your capture by the Port Mafia!\Atsushi-kun...\Yes?\Write the report for me.\What?\It'll be about the person who placed a bounty on your head. response:	You found out who?
context: If you have the time to mess with Atsushi,\write up the report about your capture by the Port Mafia!\Atsushi-kun...\Yes?\Write the report for me.\What?\It'll be about the person who placed a bounty on your head.\You found out who? response:	According to the Port Mafia's communication records,
context: write up the report about your capture by the Port Mafia!\Atsushi-kun...\Yes?\Write the report for me.\What?\It'll be about the person who placed a bounty on your head.\You found out who?\According to the Port Mafia's communication records, response:	the bounty was funded by the leader of The Guild,
context: Atsushi-kun...\Yes?\Write the report for me.\What?\It'll be about the person who placed a bounty on your head.\You found out who?\According to the Port Mafia's communication records,\the bounty was funded by the leader of The Guild, response:	a North American organization of the gifted.
context: Yes?\Write the report for me.\What?\It'll be about the person who placed a bounty on your head.\You found out who?\According to the Port Mafia's communication records,\the bounty was funded by the leader of The Guild,\a North American organization of the gifted. response:	The Guild is considered an urban legend.
context: Write the report for me.\What?\It'll be about the person who placed a bounty on your head.\You found out who?\According to the Port Mafia's communication records,\the bounty was funded by the leader of The Guild,\a North American organization of the gifted.\The Guild is considered an urban legend. response:	Their agents are said to hold key positions in finance,
context: What?\It'll be about the person who placed a bounty on your head.\You found out who?\According to the Port Mafia's communication records,\the bounty was funded by the leader of The Guild,\a North American organization of the gifted.\The Guild is considered an urban legend.\Their agents are said to hold key positions in finance, response:	politics, and the military.
context: It'll be about the person who placed a bounty on your head.\You found out who?\According to the Port Mafia's communication records,\the bounty was funded by the leader of The Guild,\a North American organization of the gifted.\The Guild is considered an urban legend.\Their agents are said to hold key positions in finance,\politics, and the military. response:	They are a secret society who use their limitless funds
context: You found out who?\According to the Port Mafia's communication records,\the bounty was funded by the leader of The Guild,\a North American organization of the gifted.\The Guild is considered an urban legend.\Their agents are said to hold key positions in finance,\politics, and the military.\They are a secret society who use their limitless funds response:	and abilities to plot countless schemes.
context: According to the Port Mafia's communication records,\the bounty was funded by the leader of The Guild,\a North American organization of the gifted.\The Guild is considered an urban legend.\Their agents are said to hold key positions in finance,\politics, and the military.\They are a secret society who use their limitless funds\and abilities to plot countless schemes. response:	Why would such a group want Atsushi?
