context: This will be the last day of your training. response:	Your joke studies might have been a little lacking,
context: This will be the last day of your training.\Your joke studies might have been a little lacking, response:	but I think I've taught you the gist of it.
context: This will be the last day of your training.\Your joke studies might have been a little lacking,\but I think I've taught you the gist of it. response:	Let's review everything up to now. Try it all out.
context: This will be the last day of your training.\Your joke studies might have been a little lacking,\but I think I've taught you the gist of it.\Let's review everything up to now. Try it all out. response:	First up, Bubbles...
context: This will be the last day of your training.\Your joke studies might have been a little lacking,\but I think I've taught you the gist of it.\Let's review everything up to now. Try it all out.\First up, Bubbles... response:	Ready!
context: This will be the last day of your training.\Your joke studies might have been a little lacking,\but I think I've taught you the gist of it.\Let's review everything up to now. Try it all out.\First up, Bubbles...\Ready! response:	Start!
context: This will be the last day of your training.\Your joke studies might have been a little lacking,\but I think I've taught you the gist of it.\Let's review everything up to now. Try it all out.\First up, Bubbles...\Ready!\Start! response:	Next up, Gregory...
context: This will be the last day of your training.\Your joke studies might have been a little lacking,\but I think I've taught you the gist of it.\Let's review everything up to now. Try it all out.\First up, Bubbles...\Ready!\Start!\Next up, Gregory... response:	Right!
context: Your joke studies might have been a little lacking,\but I think I've taught you the gist of it.\Let's review everything up to now. Try it all out.\First up, Bubbles...\Ready!\Start!\Next up, Gregory...\Right! response:	Ready!
context: but I think I've taught you the gist of it.\Let's review everything up to now. Try it all out.\First up, Bubbles...\Ready!\Start!\Next up, Gregory...\Right!\Ready! response:	Start!
context: Let's review everything up to now. Try it all out.\First up, Bubbles...\Ready!\Start!\Next up, Gregory...\Right!\Ready!\Start! response:	Here I go!
context: First up, Bubbles...\Ready!\Start!\Next up, Gregory...\Right!\Ready!\Start!\Here I go! response:	Huh?
context: Ready!\Start!\Next up, Gregory...\Right!\Ready!\Start!\Here I go!\Huh? response:	Unbelievable!
context: Start!\Next up, Gregory...\Right!\Ready!\Start!\Here I go!\Huh?\Unbelievable! response:	Okay, what's next?
context: Next up, Gregory...\Right!\Ready!\Start!\Here I go!\Huh?\Unbelievable!\Okay, what's next? response:	All right! Last up, the Genki Dama check.
context: Right!\Ready!\Start!\Here I go!\Huh?\Unbelievable!\Okay, what's next?\All right! Last up, the Genki Dama check. response:	I've been waiting for this!
context: Ready!\Start!\Here I go!\Huh?\Unbelievable!\Okay, what's next?\All right! Last up, the Genki Dama check.\I've been waiting for this! response:	All right, ready, Kaio- sama!
context: Start!\Here I go!\Huh?\Unbelievable!\Okay, what's next?\All right! Last up, the Genki Dama check.\I've been waiting for this!\All right, ready, Kaio- sama! response:	Okay then, here goes!
context: Here I go!\Huh?\Unbelievable!\Okay, what's next?\All right! Last up, the Genki Dama check.\I've been waiting for this!\All right, ready, Kaio- sama!\Okay then, here goes! response:	Try locking onto this giant brick at super-speed.
context: Huh?\Unbelievable!\Okay, what's next?\All right! Last up, the Genki Dama check.\I've been waiting for this!\All right, ready, Kaio- sama!\Okay then, here goes!\Try locking onto this giant brick at super-speed. response:	Okay! Super-speed!
context: Unbelievable!\Okay, what's next?\All right! Last up, the Genki Dama check.\I've been waiting for this!\All right, ready, Kaio- sama!\Okay then, here goes!\Try locking onto this giant brick at super-speed.\Okay! Super-speed! response:	No trouble at all!
context: Okay, what's next?\All right! Last up, the Genki Dama check.\I've been waiting for this!\All right, ready, Kaio- sama!\Okay then, here goes!\Try locking onto this giant brick at super-speed.\Okay! Super-speed!\No trouble at all! response:	Nicely done, Son Goku.
context: All right! Last up, the Genki Dama check.\I've been waiting for this!\All right, ready, Kaio- sama!\Okay then, here goes!\Try locking onto this giant brick at super-speed.\Okay! Super-speed!\No trouble at all!\Nicely done, Son Goku. response:	I honestly didn't think you'd be able to handle the Genki Dama as well as this.
context: I've been waiting for this!\All right, ready, Kaio- sama!\Okay then, here goes!\Try locking onto this giant brick at super-speed.\Okay! Super-speed!\No trouble at all!\Nicely done, Son Goku.\I honestly didn't think you'd be able to handle the Genki Dama as well as this. response:	I really worked hard at it!
context: All right, ready, Kaio- sama!\Okay then, here goes!\Try locking onto this giant brick at super-speed.\Okay! Super-speed!\No trouble at all!\Nicely done, Son Goku.\I honestly didn't think you'd be able to handle the Genki Dama as well as this.\I really worked hard at it! response:	I know it's tedious hearing this so many times,
context: Okay then, here goes!\Try locking onto this giant brick at super-speed.\Okay! Super-speed!\No trouble at all!\Nicely done, Son Goku.\I honestly didn't think you'd be able to handle the Genki Dama as well as this.\I really worked hard at it!\I know it's tedious hearing this so many times, response:	but the Genki Dama is a technique that takes
context: Try locking onto this giant brick at super-speed.\Okay! Super-speed!\No trouble at all!\Nicely done, Son Goku.\I honestly didn't think you'd be able to handle the Genki Dama as well as this.\I really worked hard at it!\I know it's tedious hearing this so many times,\but the Genki Dama is a technique that takes response:	all of the Genki energy from grass and trees,
context: Okay! Super-speed!\No trouble at all!\Nicely done, Son Goku.\I honestly didn't think you'd be able to handle the Genki Dama as well as this.\I really worked hard at it!\I know it's tedious hearing this so many times,\but the Genki Dama is a technique that takes\all of the Genki energy from grass and trees, response:	from people and animals,
context: No trouble at all!\Nicely done, Son Goku.\I honestly didn't think you'd be able to handle the Genki Dama as well as this.\I really worked hard at it!\I know it's tedious hearing this so many times,\but the Genki Dama is a technique that takes\all of the Genki energy from grass and trees,\from people and animals, response:	and even things and the atmosphere, and allocates a little bit
context: Nicely done, Son Goku.\I honestly didn't think you'd be able to handle the Genki Dama as well as this.\I really worked hard at it!\I know it's tedious hearing this so many times,\but the Genki Dama is a technique that takes\all of the Genki energy from grass and trees,\from people and animals,\and even things and the atmosphere, and allocates a little bit response:	from each of their energies, concentrates it, and shoots it.
context: I honestly didn't think you'd be able to handle the Genki Dama as well as this.\I really worked hard at it!\I know it's tedious hearing this so many times,\but the Genki Dama is a technique that takes\all of the Genki energy from grass and trees,\from people and animals,\and even things and the atmosphere, and allocates a little bit\from each of their energies, concentrates it, and shoots it. response:	Even a Genki Dama from a planet as small as this
context: I really worked hard at it!\I know it's tedious hearing this so many times,\but the Genki Dama is a technique that takes\all of the Genki energy from grass and trees,\from people and animals,\and even things and the atmosphere, and allocates a little bit\from each of their energies, concentrates it, and shoots it.\Even a Genki Dama from a planet as small as this response:	had that kind of destructive force.
context: I know it's tedious hearing this so many times,\but the Genki Dama is a technique that takes\all of the Genki energy from grass and trees,\from people and animals,\and even things and the atmosphere, and allocates a little bit\from each of their energies, concentrates it, and shoots it.\Even a Genki Dama from a planet as small as this\had that kind of destructive force. response:	The earth, where you'll be fighting,
context: but the Genki Dama is a technique that takes\all of the Genki energy from grass and trees,\from people and animals,\and even things and the atmosphere, and allocates a little bit\from each of their energies, concentrates it, and shoots it.\Even a Genki Dama from a planet as small as this\had that kind of destructive force.\The earth, where you'll be fighting, response:	is so much larger than this planet, it doesn't even compare.
context: all of the Genki energy from grass and trees,\from people and animals,\and even things and the atmosphere, and allocates a little bit\from each of their energies, concentrates it, and shoots it.\Even a Genki Dama from a planet as small as this\had that kind of destructive force.\The earth, where you'll be fighting,\is so much larger than this planet, it doesn't even compare. response:	You can also harness the support of the sun's enormous energy.
context: from people and animals,\and even things and the atmosphere, and allocates a little bit\from each of their energies, concentrates it, and shoots it.\Even a Genki Dama from a planet as small as this\had that kind of destructive force.\The earth, where you'll be fighting,\is so much larger than this planet, it doesn't even compare.\You can also harness the support of the sun's enormous energy. response:	It will be a Genki Dama of incredible power.
context: and even things and the atmosphere, and allocates a little bit\from each of their energies, concentrates it, and shoots it.\Even a Genki Dama from a planet as small as this\had that kind of destructive force.\The earth, where you'll be fighting,\is so much larger than this planet, it doesn't even compare.\You can also harness the support of the sun's enormous energy.\It will be a Genki Dama of incredible power. response:	If you slip up,
context: from each of their energies, concentrates it, and shoots it.\Even a Genki Dama from a planet as small as this\had that kind of destructive force.\The earth, where you'll be fighting,\is so much larger than this planet, it doesn't even compare.\You can also harness the support of the sun's enormous energy.\It will be a Genki Dama of incredible power.\If you slip up, response:	it wouldn't be too hard to destroy the very planet you're trying to protect.
context: Even a Genki Dama from a planet as small as this\had that kind of destructive force.\The earth, where you'll be fighting,\is so much larger than this planet, it doesn't even compare.\You can also harness the support of the sun's enormous energy.\It will be a Genki Dama of incredible power.\If you slip up,\it wouldn't be too hard to destroy the very planet you're trying to protect. response:	If you can help it, don't use it at all, although I will permit you
context: had that kind of destructive force.\The earth, where you'll be fighting,\is so much larger than this planet, it doesn't even compare.\You can also harness the support of the sun's enormous energy.\It will be a Genki Dama of incredible power.\If you slip up,\it wouldn't be too hard to destroy the very planet you're trying to protect.\If you can help it, don't use it at all, although I will permit you response:	to use it one time, if there's nothing else you can do. Got it?
context: The earth, where you'll be fighting,\is so much larger than this planet, it doesn't even compare.\You can also harness the support of the sun's enormous energy.\It will be a Genki Dama of incredible power.\If you slip up,\it wouldn't be too hard to destroy the very planet you're trying to protect.\If you can help it, don't use it at all, although I will permit you\to use it one time, if there's nothing else you can do. Got it? response:	Got it! I'm sure I can manage using just the Kaio-ken technique!
context: is so much larger than this planet, it doesn't even compare.\You can also harness the support of the sun's enormous energy.\It will be a Genki Dama of incredible power.\If you slip up,\it wouldn't be too hard to destroy the very planet you're trying to protect.\If you can help it, don't use it at all, although I will permit you\to use it one time, if there's nothing else you can do. Got it?\Got it! I'm sure I can manage using just the Kaio-ken technique! response:	That's it! The day of battle is nearly at hand.
context: You can also harness the support of the sun's enormous energy.\It will be a Genki Dama of incredible power.\If you slip up,\it wouldn't be too hard to destroy the very planet you're trying to protect.\If you can help it, don't use it at all, although I will permit you\to use it one time, if there's nothing else you can do. Got it?\Got it! I'm sure I can manage using just the Kaio-ken technique!\That's it! The day of battle is nearly at hand. response:	The Saiyans will land on Earth tomorrow.
context: It will be a Genki Dama of incredible power.\If you slip up,\it wouldn't be too hard to destroy the very planet you're trying to protect.\If you can help it, don't use it at all, although I will permit you\to use it one time, if there's nothing else you can do. Got it?\Got it! I'm sure I can manage using just the Kaio-ken technique!\That's it! The day of battle is nearly at hand.\The Saiyans will land on Earth tomorrow. response:	Oh, hell!
context: If you slip up,\it wouldn't be too hard to destroy the very planet you're trying to protect.\If you can help it, don't use it at all, although I will permit you\to use it one time, if there's nothing else you can do. Got it?\Got it! I'm sure I can manage using just the Kaio-ken technique!\That's it! The day of battle is nearly at hand.\The Saiyans will land on Earth tomorrow.\Oh, hell! response:	W-what!? What's wrong!?
context: it wouldn't be too hard to destroy the very planet you're trying to protect.\If you can help it, don't use it at all, although I will permit you\to use it one time, if there's nothing else you can do. Got it?\Got it! I'm sure I can manage using just the Kaio-ken technique!\That's it! The day of battle is nearly at hand.\The Saiyans will land on Earth tomorrow.\Oh, hell!\W-what!? What's wrong!? response:	Well, it's just that- I didn't figure the time it would take
context: If you can help it, don't use it at all, although I will permit you\to use it one time, if there's nothing else you can do. Got it?\Got it! I'm sure I can manage using just the Kaio-ken technique!\That's it! The day of battle is nearly at hand.\The Saiyans will land on Earth tomorrow.\Oh, hell!\W-what!? What's wrong!?\Well, it's just that- I didn't figure the time it would take response:	for you to go down the Serpentine Road again into my calculations.
context: to use it one time, if there's nothing else you can do. Got it?\Got it! I'm sure I can manage using just the Kaio-ken technique!\That's it! The day of battle is nearly at hand.\The Saiyans will land on Earth tomorrow.\Oh, hell!\W-what!? What's wrong!?\Well, it's just that- I didn't figure the time it would take\for you to go down the Serpentine Road again into my calculations. response:	K- Kaio- sama, you mean you can't send me whooshing back to the Lower Realm!?
context: Got it! I'm sure I can manage using just the Kaio-ken technique!\That's it! The day of battle is nearly at hand.\The Saiyans will land on Earth tomorrow.\Oh, hell!\W-what!? What's wrong!?\Well, it's just that- I didn't figure the time it would take\for you to go down the Serpentine Road again into my calculations.\K- Kaio- sama, you mean you can't send me whooshing back to the Lower Realm!? response:	No...
context: That's it! The day of battle is nearly at hand.\The Saiyans will land on Earth tomorrow.\Oh, hell!\W-what!? What's wrong!?\Well, it's just that- I didn't figure the time it would take\for you to go down the Serpentine Road again into my calculations.\K- Kaio- sama, you mean you can't send me whooshing back to the Lower Realm!?\No... response:	I- I have to travel back down that road again!?
