context: Kiss Him, Not Me response:	The Beach! Bathing Suits! Time to Get Serious!
context: Kiss Him, Not Me\The Beach! Bathing Suits! Time to Get Serious! response:	It's gorgeous!
context: Kiss Him, Not Me\The Beach! Bathing Suits! Time to Get Serious!\It's gorgeous! response:	It's summer vacation.
context: Kiss Him, Not Me\The Beach! Bathing Suits! Time to Get Serious!\It's gorgeous!\It's summer vacation. response:	We were all invited to Shima-chan's holiday home.
context: Kiss Him, Not Me\The Beach! Bathing Suits! Time to Get Serious!\It's gorgeous!\It's summer vacation.\We were all invited to Shima-chan's holiday home. response:	It's a bit far from the beach,
context: Kiss Him, Not Me\The Beach! Bathing Suits! Time to Get Serious!\It's gorgeous!\It's summer vacation.\We were all invited to Shima-chan's holiday home.\It's a bit far from the beach, response:	but that's what makes it so quiet.
context: Kiss Him, Not Me\The Beach! Bathing Suits! Time to Get Serious!\It's gorgeous!\It's summer vacation.\We were all invited to Shima-chan's holiday home.\It's a bit far from the beach,\but that's what makes it so quiet. response:	Amazing! It's so pretty!
context: Kiss Him, Not Me\The Beach! Bathing Suits! Time to Get Serious!\It's gorgeous!\It's summer vacation.\We were all invited to Shima-chan's holiday home.\It's a bit far from the beach,\but that's what makes it so quiet.\Amazing! It's so pretty! response:	It's really okay for me to have a room with such a great view all to myself?
context: The Beach! Bathing Suits! Time to Get Serious!\It's gorgeous!\It's summer vacation.\We were all invited to Shima-chan's holiday home.\It's a bit far from the beach,\but that's what makes it so quiet.\Amazing! It's so pretty!\It's really okay for me to have a room with such a great view all to myself? response:	Yup. We've got plenty of rooms left over.
context: It's gorgeous!\It's summer vacation.\We were all invited to Shima-chan's holiday home.\It's a bit far from the beach,\but that's what makes it so quiet.\Amazing! It's so pretty!\It's really okay for me to have a room with such a great view all to myself?\Yup. We've got plenty of rooms left over. response:	Thank you, Shima-chan!
context: It's summer vacation.\We were all invited to Shima-chan's holiday home.\It's a bit far from the beach,\but that's what makes it so quiet.\Amazing! It's so pretty!\It's really okay for me to have a room with such a great view all to myself?\Yup. We've got plenty of rooms left over.\Thank you, Shima-chan! response:	How about we get ready and head for the beach?
context: We were all invited to Shima-chan's holiday home.\It's a bit far from the beach,\but that's what makes it so quiet.\Amazing! It's so pretty!\It's really okay for me to have a room with such a great view all to myself?\Yup. We've got plenty of rooms left over.\Thank you, Shima-chan!\How about we get ready and head for the beach? response:	Yeah, I can't wait!
context: It's a bit far from the beach,\but that's what makes it so quiet.\Amazing! It's so pretty!\It's really okay for me to have a room with such a great view all to myself?\Yup. We've got plenty of rooms left over.\Thank you, Shima-chan!\How about we get ready and head for the beach?\Yeah, I can't wait! response:	So...
context: but that's what makes it so quiet.\Amazing! It's so pretty!\It's really okay for me to have a room with such a great view all to myself?\Yup. We've got plenty of rooms left over.\Thank you, Shima-chan!\How about we get ready and head for the beach?\Yeah, I can't wait!\So... response:	How come we're all in the same room?!
context: Amazing! It's so pretty!\It's really okay for me to have a room with such a great view all to myself?\Yup. We've got plenty of rooms left over.\Thank you, Shima-chan!\How about we get ready and head for the beach?\Yeah, I can't wait!\So...\How come we're all in the same room?! response:	Now, now.
context: It's really okay for me to have a room with such a great view all to myself?\Yup. We've got plenty of rooms left over.\Thank you, Shima-chan!\How about we get ready and head for the beach?\Yeah, I can't wait!\So...\How come we're all in the same room?!\Now, now. response:	It was nice of her to give us a room. Don't complain.
context: Yup. We've got plenty of rooms left over.\Thank you, Shima-chan!\How about we get ready and head for the beach?\Yeah, I can't wait!\So...\How come we're all in the same room?!\Now, now.\It was nice of her to give us a room. Don't complain. response:	This is summer vacation,
context: Thank you, Shima-chan!\How about we get ready and head for the beach?\Yeah, I can't wait!\So...\How come we're all in the same room?!\Now, now.\It was nice of her to give us a room. Don't complain.\This is summer vacation, response:	not some holy pilgrimage.
context: How about we get ready and head for the beach?\Yeah, I can't wait!\So...\How come we're all in the same room?!\Now, now.\It was nice of her to give us a room. Don't complain.\This is summer vacation,\not some holy pilgrimage. response:	It's a purer trip,
context: Yeah, I can't wait!\So...\How come we're all in the same room?!\Now, now.\It was nice of her to give us a room. Don't complain.\This is summer vacation,\not some holy pilgrimage.\It's a purer trip, response:	and I get to spend my nights under the same roof as the girl I like.
context: So...\How come we're all in the same room?!\Now, now.\It was nice of her to give us a room. Don't complain.\This is summer vacation,\not some holy pilgrimage.\It's a purer trip,\and I get to spend my nights under the same roof as the girl I like. response:	This is my big chance to get even closer to her
context: How come we're all in the same room?!\Now, now.\It was nice of her to give us a room. Don't complain.\This is summer vacation,\not some holy pilgrimage.\It's a purer trip,\and I get to spend my nights under the same roof as the girl I like.\This is my big chance to get even closer to her response:	after closing the gap during our Puri Puri Moon event!
context: Now, now.\It was nice of her to give us a room. Don't complain.\This is summer vacation,\not some holy pilgrimage.\It's a purer trip,\and I get to spend my nights under the same roof as the girl I like.\This is my big chance to get even closer to her\after closing the gap during our Puri Puri Moon event! response:	Or so it should be! But I can't steal that chance with you guys around!
context: It was nice of her to give us a room. Don't complain.\This is summer vacation,\not some holy pilgrimage.\It's a purer trip,\and I get to spend my nights under the same roof as the girl I like.\This is my big chance to get even closer to her\after closing the gap during our Puri Puri Moon event!\Or so it should be! But I can't steal that chance with you guys around! response:	Well, I think that's exactly why we're all in the same room.
context: This is summer vacation,\not some holy pilgrimage.\It's a purer trip,\and I get to spend my nights under the same roof as the girl I like.\This is my big chance to get even closer to her\after closing the gap during our Puri Puri Moon event!\Or so it should be! But I can't steal that chance with you guys around!\Well, I think that's exactly why we're all in the same room. response:	Damn it!
context: not some holy pilgrimage.\It's a purer trip,\and I get to spend my nights under the same roof as the girl I like.\This is my big chance to get even closer to her\after closing the gap during our Puri Puri Moon event!\Or so it should be! But I can't steal that chance with you guys around!\Well, I think that's exactly why we're all in the same room.\Damn it! response:	Don't say that, silly.
context: It's a purer trip,\and I get to spend my nights under the same roof as the girl I like.\This is my big chance to get even closer to her\after closing the gap during our Puri Puri Moon event!\Or so it should be! But I can't steal that chance with you guys around!\Well, I think that's exactly why we're all in the same room.\Damn it!\Don't say that, silly. response:	Why not?
context: and I get to spend my nights under the same roof as the girl I like.\This is my big chance to get even closer to her\after closing the gap during our Puri Puri Moon event!\Or so it should be! But I can't steal that chance with you guys around!\Well, I think that's exactly why we're all in the same room.\Damn it!\Don't say that, silly.\Why not? response:	Scrawny
context: This is my big chance to get even closer to her\after closing the gap during our Puri Puri Moon event!\Or so it should be! But I can't steal that chance with you guys around!\Well, I think that's exactly why we're all in the same room.\Damn it!\Don't say that, silly.\Why not?\Scrawny response:	Scrawny
context: after closing the gap during our Puri Puri Moon event!\Or so it should be! But I can't steal that chance with you guys around!\Well, I think that's exactly why we're all in the same room.\Damn it!\Don't say that, silly.\Why not?\Scrawny\Scrawny response:	Gloom
context: Or so it should be! But I can't steal that chance with you guys around!\Well, I think that's exactly why we're all in the same room.\Damn it!\Don't say that, silly.\Why not?\Scrawny\Scrawny\Gloom response:	This isn't working.
context: Well, I think that's exactly why we're all in the same room.\Damn it!\Don't say that, silly.\Why not?\Scrawny\Scrawny\Gloom\This isn't working. response:	I'm pasty and scrawny,
context: Damn it!\Don't say that, silly.\Why not?\Scrawny\Scrawny\Gloom\This isn't working.\I'm pasty and scrawny, response:	and honestly, I'm not even the outdoors type.
context: Don't say that, silly.\Why not?\Scrawny\Scrawny\Gloom\This isn't working.\I'm pasty and scrawny,\and honestly, I'm not even the outdoors type. response:	I'm not a fan of the ocean.
context: Why not?\Scrawny\Scrawny\Gloom\This isn't working.\I'm pasty and scrawny,\and honestly, I'm not even the outdoors type.\I'm not a fan of the ocean. response:	I'd rather stay home in the summer!
context: Scrawny\Scrawny\Gloom\This isn't working.\I'm pasty and scrawny,\and honestly, I'm not even the outdoors type.\I'm not a fan of the ocean.\I'd rather stay home in the summer! response:	Maybe I shouldn't have come.
context: Scrawny\Gloom\This isn't working.\I'm pasty and scrawny,\and honestly, I'm not even the outdoors type.\I'm not a fan of the ocean.\I'd rather stay home in the summer!\Maybe I shouldn't have come. response:	Shinomiya-kun?
context: Gloom\This isn't working.\I'm pasty and scrawny,\and honestly, I'm not even the outdoors type.\I'm not a fan of the ocean.\I'd rather stay home in the summer!\Maybe I shouldn't have come.\Shinomiya-kun? response:	Are you okay? You've been in there a while. Do you have a stomachache?
context: This isn't working.\I'm pasty and scrawny,\and honestly, I'm not even the outdoors type.\I'm not a fan of the ocean.\I'd rather stay home in the summer!\Maybe I shouldn't have come.\Shinomiya-kun?\Are you okay? You've been in there a while. Do you have a stomachache? response:	I-I'm okay, no need to worry.
