context: Wendy and Carla joined our guild, response:	and things have gotten lively again!
context: Wendy and Carla joined our guild,\and things have gotten lively again! response:	Gildarts came back, too... I'm all fired up!
context: Wendy and Carla joined our guild,\and things have gotten lively again!\Gildarts came back, too... I'm all fired up! response:	There's one thing that I wonder about, though...
context: Wendy and Carla joined our guild,\and things have gotten lively again!\Gildarts came back, too... I'm all fired up!\There's one thing that I wonder about, though... response:	There's Mystogan too, right? What is he...
context: Wendy and Carla joined our guild,\and things have gotten lively again!\Gildarts came back, too... I'm all fired up!\There's one thing that I wonder about, though...\There's Mystogan too, right? What is he... response:	Whoops, time's up!
context: Wendy and Carla joined our guild,\and things have gotten lively again!\Gildarts came back, too... I'm all fired up!\There's one thing that I wonder about, though...\There's Mystogan too, right? What is he...\Whoops, time's up! response:	Let's get a move on!
context: Wendy and Carla joined our guild,\and things have gotten lively again!\Gildarts came back, too... I'm all fired up!\There's one thing that I wonder about, though...\There's Mystogan too, right? What is he...\Whoops, time's up!\Let's get a move on! response:	This isn't it!
context: Wendy and Carla joined our guild,\and things have gotten lively again!\Gildarts came back, too... I'm all fired up!\There's one thing that I wonder about, though...\There's Mystogan too, right? What is he...\Whoops, time's up!\Let's get a move on!\This isn't it! response:	Neither is this one!
context: and things have gotten lively again!\Gildarts came back, too... I'm all fired up!\There's one thing that I wonder about, though...\There's Mystogan too, right? What is he...\Whoops, time's up!\Let's get a move on!\This isn't it!\Neither is this one! response:	Or this one!
context: Gildarts came back, too... I'm all fired up!\There's one thing that I wonder about, though...\There's Mystogan too, right? What is he...\Whoops, time's up!\Let's get a move on!\This isn't it!\Neither is this one!\Or this one! response:	Salamander and that new brat both have one...
context: There's one thing that I wonder about, though...\There's Mystogan too, right? What is he...\Whoops, time's up!\Let's get a move on!\This isn't it!\Neither is this one!\Or this one!\Salamander and that new brat both have one... response:	So why am I the only Dragon Slayer without a cat!?
context: There's Mystogan too, right? What is he...\Whoops, time's up!\Let's get a move on!\This isn't it!\Neither is this one!\Or this one!\Salamander and that new brat both have one...\So why am I the only Dragon Slayer without a cat!? response:	Earthland!
context: Whoops, time's up!\Let's get a move on!\This isn't it!\Neither is this one!\Or this one!\Salamander and that new brat both have one...\So why am I the only Dragon Slayer without a cat!?\Earthland! response:	Do you still have any figures of Gajeel left?
context: Let's get a move on!\This isn't it!\Neither is this one!\Or this one!\Salamander and that new brat both have one...\So why am I the only Dragon Slayer without a cat!?\Earthland!\Do you still have any figures of Gajeel left? response:	Oh, you must be a real hard-core fan...
context: This isn't it!\Neither is this one!\Or this one!\Salamander and that new brat both have one...\So why am I the only Dragon Slayer without a cat!?\Earthland!\Do you still have any figures of Gajeel left?\Oh, you must be a real hard-core fan... response:	Yes, we have some, most definitely...
context: Neither is this one!\Or this one!\Salamander and that new brat both have one...\So why am I the only Dragon Slayer without a cat!?\Earthland!\Do you still have any figures of Gajeel left?\Oh, you must be a real hard-core fan...\Yes, we have some, most definitely... response:	It's even got a stand for the cat, just in case!
context: Or this one!\Salamander and that new brat both have one...\So why am I the only Dragon Slayer without a cat!?\Earthland!\Do you still have any figures of Gajeel left?\Oh, you must be a real hard-core fan...\Yes, we have some, most definitely...\It's even got a stand for the cat, just in case! response:	Whoa! Totally gnarly!
