context: You are what you eat! response:	Home Delivery Vegetables Tanaka Farms Fresh Vegetables Set Veggies Good Enough to Be the Main Dish!
context: You are what you eat!\Home Delivery Vegetables Tanaka Farms Fresh Vegetables Set Veggies Good Enough to Be the Main Dish! response:	We Support Your New Life Campaign
context: You are what you eat!\Home Delivery Vegetables Tanaka Farms Fresh Vegetables Set Veggies Good Enough to Be the Main Dish!\We Support Your New Life Campaign response:	Super Special Price
context: You are what you eat!\Home Delivery Vegetables Tanaka Farms Fresh Vegetables Set Veggies Good Enough to Be the Main Dish!\We Support Your New Life Campaign\Super Special Price response:	Original Model Washing Machine
context: You are what you eat!\Home Delivery Vegetables Tanaka Farms Fresh Vegetables Set Veggies Good Enough to Be the Main Dish!\We Support Your New Life Campaign\Super Special Price\Original Model Washing Machine response:	in Hachioji
context: You are what you eat!\Home Delivery Vegetables Tanaka Farms Fresh Vegetables Set Veggies Good Enough to Be the Main Dish!\We Support Your New Life Campaign\Super Special Price\Original Model Washing Machine\in Hachioji response:	Eco-Friendly Home
context: You are what you eat!\Home Delivery Vegetables Tanaka Farms Fresh Vegetables Set Veggies Good Enough to Be the Main Dish!\We Support Your New Life Campaign\Super Special Price\Original Model Washing Machine\in Hachioji\Eco-Friendly Home response:	New Building
context: You are what you eat!\Home Delivery Vegetables Tanaka Farms Fresh Vegetables Set Veggies Good Enough to Be the Main Dish!\We Support Your New Life Campaign\Super Special Price\Original Model Washing Machine\in Hachioji\Eco-Friendly Home\New Building response:	Private Viewing of Site
context: Home Delivery Vegetables Tanaka Farms Fresh Vegetables Set Veggies Good Enough to Be the Main Dish!\We Support Your New Life Campaign\Super Special Price\Original Model Washing Machine\in Hachioji\Eco-Friendly Home\New Building\Private Viewing of Site response:	Episode 11 Umaru's Days
context: We Support Your New Life Campaign\Super Special Price\Original Model Washing Machine\in Hachioji\Eco-Friendly Home\New Building\Private Viewing of Site\Episode 11 Umaru's Days response:	Hey, Onii-chan! Let's get pizza for lunch!
context: Super Special Price\Original Model Washing Machine\in Hachioji\Eco-Friendly Home\New Building\Private Viewing of Site\Episode 11 Umaru's Days\Hey, Onii-chan! Let's get pizza for lunch! response:	What? We just had pizza the other day.
context: Original Model Washing Machine\in Hachioji\Eco-Friendly Home\New Building\Private Viewing of Site\Episode 11 Umaru's Days\Hey, Onii-chan! Let's get pizza for lunch!\What? We just had pizza the other day. response:	You need to eat more veg
context: in Hachioji\Eco-Friendly Home\New Building\Private Viewing of Site\Episode 11 Umaru's Days\Hey, Onii-chan! Let's get pizza for lunch!\What? We just had pizza the other day.\You need to eat more veg response:	Who could that be?
context: Eco-Friendly Home\New Building\Private Viewing of Site\Episode 11 Umaru's Days\Hey, Onii-chan! Let's get pizza for lunch!\What? We just had pizza the other day.\You need to eat more veg\Who could that be? response:	H-Hello, Onii-san.
context: New Building\Private Viewing of Site\Episode 11 Umaru's Days\Hey, Onii-chan! Let's get pizza for lunch!\What? We just had pizza the other day.\You need to eat more veg\Who could that be?\H-Hello, Onii-san. response:	Hello.
context: Private Viewing of Site\Episode 11 Umaru's Days\Hey, Onii-chan! Let's get pizza for lunch!\What? We just had pizza the other day.\You need to eat more veg\Who could that be?\H-Hello, Onii-san.\Hello. response:	Umaru un
context: Episode 11 Umaru's Days\Hey, Onii-chan! Let's get pizza for lunch!\What? We just had pizza the other day.\You need to eat more veg\Who could that be?\H-Hello, Onii-san.\Hello.\Umaru un response:	Hi, Ebina-chan.
context: Hey, Onii-chan! Let's get pizza for lunch!\What? We just had pizza the other day.\You need to eat more veg\Who could that be?\H-Hello, Onii-san.\Hello.\Umaru un\Hi, Ebina-chan. response:	Oh, Umaru-chan. Hi.
context: What? We just had pizza the other day.\You need to eat more veg\Who could that be?\H-Hello, Onii-san.\Hello.\Umaru un\Hi, Ebina-chan.\Oh, Umaru-chan. Hi. response:	You came to visit?
context: You need to eat more veg\Who could that be?\H-Hello, Onii-san.\Hello.\Umaru un\Hi, Ebina-chan.\Oh, Umaru-chan. Hi.\You came to visit? response:	No... I, uh...
context: Who could that be?\H-Hello, Onii-san.\Hello.\Umaru un\Hi, Ebina-chan.\Oh, Umaru-chan. Hi.\You came to visit?\No... I, uh... response:	A-Actually, my parents sent me some Akita Komachi...
context: H-Hello, Onii-san.\Hello.\Umaru un\Hi, Ebina-chan.\Oh, Umaru-chan. Hi.\You came to visit?\No... I, uh...\A-Actually, my parents sent me some Akita Komachi... response:	Please have some!
context: Hello.\Umaru un\Hi, Ebina-chan.\Oh, Umaru-chan. Hi.\You came to visit?\No... I, uh...\A-Actually, my parents sent me some Akita Komachi...\Please have some! response:	What? Rice?
context: Umaru un\Hi, Ebina-chan.\Oh, Umaru-chan. Hi.\You came to visit?\No... I, uh...\A-Actually, my parents sent me some Akita Komachi...\Please have some!\What? Rice? response:	Thanks! That'll help out a lot.
context: Hi, Ebina-chan.\Oh, Umaru-chan. Hi.\You came to visit?\No... I, uh...\A-Actually, my parents sent me some Akita Komachi...\Please have some!\What? Rice?\Thanks! That'll help out a lot. response:	N-No problem.
context: Oh, Umaru-chan. Hi.\You came to visit?\No... I, uh...\A-Actually, my parents sent me some Akita Komachi...\Please have some!\What? Rice?\Thanks! That'll help out a lot.\N-No problem. response:	I-I'm so sorry! My tummy just...
context: You came to visit?\No... I, uh...\A-Actually, my parents sent me some Akita Komachi...\Please have some!\What? Rice?\Thanks! That'll help out a lot.\N-No problem.\I-I'm so sorry! My tummy just... response:	Why don't you stay for lunch?
context: No... I, uh...\A-Actually, my parents sent me some Akita Komachi...\Please have some!\What? Rice?\Thanks! That'll help out a lot.\N-No problem.\I-I'm so sorry! My tummy just...\Why don't you stay for lunch? response:	Huh?
context: A-Actually, my parents sent me some Akita Komachi...\Please have some!\What? Rice?\Thanks! That'll help out a lot.\N-No problem.\I-I'm so sorry! My tummy just...\Why don't you stay for lunch?\Huh? response:	You did give us rice from Akita, after all.
context: Please have some!\What? Rice?\Thanks! That'll help out a lot.\N-No problem.\I-I'm so sorry! My tummy just...\Why don't you stay for lunch?\Huh?\You did give us rice from Akita, after all. response:	Akita Akita Komachi
context: What? Rice?\Thanks! That'll help out a lot.\N-No problem.\I-I'm so sorry! My tummy just...\Why don't you stay for lunch?\Huh?\You did give us rice from Akita, after all.\Akita Akita Komachi response:	What a great opportunity.
context: Thanks! That'll help out a lot.\N-No problem.\I-I'm so sorry! My tummy just...\Why don't you stay for lunch?\Huh?\You did give us rice from Akita, after all.\Akita Akita Komachi\What a great opportunity. response:	Since junk food is all Umaru ever eats,
context: N-No problem.\I-I'm so sorry! My tummy just...\Why don't you stay for lunch?\Huh?\You did give us rice from Akita, after all.\Akita Akita Komachi\What a great opportunity.\Since junk food is all Umaru ever eats, response:	I'll show her how delicious Japanese food can be.
context: I-I'm so sorry! My tummy just...\Why don't you stay for lunch?\Huh?\You did give us rice from Akita, after all.\Akita Akita Komachi\What a great opportunity.\Since junk food is all Umaru ever eats,\I'll show her how delicious Japanese food can be. response:	All right. I'm gonna go all-out and use an earthenware pot.
context: Why don't you stay for lunch?\Huh?\You did give us rice from Akita, after all.\Akita Akita Komachi\What a great opportunity.\Since junk food is all Umaru ever eats,\I'll show her how delicious Japanese food can be.\All right. I'm gonna go all-out and use an earthenware pot. response:	S-So your brother cooks, too.
context: Huh?\You did give us rice from Akita, after all.\Akita Akita Komachi\What a great opportunity.\Since junk food is all Umaru ever eats,\I'll show her how delicious Japanese food can be.\All right. I'm gonna go all-out and use an earthenware pot.\S-So your brother cooks, too. response:	Yeah, sorry about that. He's all hyped up now.
context: You did give us rice from Akita, after all.\Akita Akita Komachi\What a great opportunity.\Since junk food is all Umaru ever eats,\I'll show her how delicious Japanese food can be.\All right. I'm gonna go all-out and use an earthenware pot.\S-So your brother cooks, too.\Yeah, sorry about that. He's all hyped up now. response:	No, it's no problem at all.
context: Akita Akita Komachi\What a great opportunity.\Since junk food is all Umaru ever eats,\I'll show her how delicious Japanese food can be.\All right. I'm gonna go all-out and use an earthenware pot.\S-So your brother cooks, too.\Yeah, sorry about that. He's all hyped up now.\No, it's no problem at all. response:	Since you're with us, we should have gone out to eat.
context: What a great opportunity.\Since junk food is all Umaru ever eats,\I'll show her how delicious Japanese food can be.\All right. I'm gonna go all-out and use an earthenware pot.\S-So your brother cooks, too.\Yeah, sorry about that. He's all hyped up now.\No, it's no problem at all.\Since you're with us, we should have gone out to eat. response:	Like pizza...
context: Since junk food is all Umaru ever eats,\I'll show her how delicious Japanese food can be.\All right. I'm gonna go all-out and use an earthenware pot.\S-So your brother cooks, too.\Yeah, sorry about that. He's all hyped up now.\No, it's no problem at all.\Since you're with us, we should have gone out to eat.\Like pizza... response:	Oh, but I'm always by myself,
context: I'll show her how delicious Japanese food can be.\All right. I'm gonna go all-out and use an earthenware pot.\S-So your brother cooks, too.\Yeah, sorry about that. He's all hyped up now.\No, it's no problem at all.\Since you're with us, we should have gone out to eat.\Like pizza...\Oh, but I'm always by myself, response:	so it makes me happy to be able to eat a home-cooked meal with others like this.
context: All right. I'm gonna go all-out and use an earthenware pot.\S-So your brother cooks, too.\Yeah, sorry about that. He's all hyped up now.\No, it's no problem at all.\Since you're with us, we should have gone out to eat.\Like pizza...\Oh, but I'm always by myself,\so it makes me happy to be able to eat a home-cooked meal with others like this. response:	Ebina-chan...
context: S-So your brother cooks, too.\Yeah, sorry about that. He's all hyped up now.\No, it's no problem at all.\Since you're with us, we should have gone out to eat.\Like pizza...\Oh, but I'm always by myself,\so it makes me happy to be able to eat a home-cooked meal with others like this.\Ebina-chan... response:	It's finished!
