context: Kakarrot... response:	Yow-ow-ow-ow!
context: Kakarrot...\Yow-ow-ow-ow! response:	Okay, let's find the remaining Dragon Balls quickly, and go back to Earth!
context: Kakarrot...\Yow-ow-ow-ow!\Okay, let's find the remaining Dragon Balls quickly, and go back to Earth! response:	Saying do it quickly is one thing, but as spread-out as this place is...
context: Kakarrot...\Yow-ow-ow-ow!\Okay, let's find the remaining Dragon Balls quickly, and go back to Earth!\Saying do it quickly is one thing, but as spread-out as this place is... response:	We'll find them for sure, you'll see.
context: Kakarrot...\Yow-ow-ow-ow!\Okay, let's find the remaining Dragon Balls quickly, and go back to Earth!\Saying do it quickly is one thing, but as spread-out as this place is...\We'll find them for sure, you'll see. response:	Thank you very much, Zarkuro- san.
context: Kakarrot...\Yow-ow-ow-ow!\Okay, let's find the remaining Dragon Balls quickly, and go back to Earth!\Saying do it quickly is one thing, but as spread-out as this place is...\We'll find them for sure, you'll see.\Thank you very much, Zarkuro- san. response:	Come to mention it, where is Lychee- san today?
context: Kakarrot...\Yow-ow-ow-ow!\Okay, let's find the remaining Dragon Balls quickly, and go back to Earth!\Saying do it quickly is one thing, but as spread-out as this place is...\We'll find them for sure, you'll see.\Thank you very much, Zarkuro- san.\Come to mention it, where is Lychee- san today? response:	He said he was staying home because he had some work to do.
context: Kakarrot...\Yow-ow-ow-ow!\Okay, let's find the remaining Dragon Balls quickly, and go back to Earth!\Saying do it quickly is one thing, but as spread-out as this place is...\We'll find them for sure, you'll see.\Thank you very much, Zarkuro- san.\Come to mention it, where is Lychee- san today?\He said he was staying home because he had some work to do. response:	That's strange. One of the Dragon Balls is moving toward us rapidly.
context: Yow-ow-ow-ow!\Okay, let's find the remaining Dragon Balls quickly, and go back to Earth!\Saying do it quickly is one thing, but as spread-out as this place is...\We'll find them for sure, you'll see.\Thank you very much, Zarkuro- san.\Come to mention it, where is Lychee- san today?\He said he was staying home because he had some work to do.\That's strange. One of the Dragon Balls is moving toward us rapidly. response:	What is that?
context: Okay, let's find the remaining Dragon Balls quickly, and go back to Earth!\Saying do it quickly is one thing, but as spread-out as this place is...\We'll find them for sure, you'll see.\Thank you very much, Zarkuro- san.\Come to mention it, where is Lychee- san today?\He said he was staying home because he had some work to do.\That's strange. One of the Dragon Balls is moving toward us rapidly.\What is that? response:	What are you doing!? The Dragon Ball is inside that thing!
context: Saying do it quickly is one thing, but as spread-out as this place is...\We'll find them for sure, you'll see.\Thank you very much, Zarkuro- san.\Come to mention it, where is Lychee- san today?\He said he was staying home because he had some work to do.\That's strange. One of the Dragon Balls is moving toward us rapidly.\What is that?\What are you doing!? The Dragon Ball is inside that thing! response:	Hurry up and go get the Dragon Ball!
context: We'll find them for sure, you'll see.\Thank you very much, Zarkuro- san.\Come to mention it, where is Lychee- san today?\He said he was staying home because he had some work to do.\That's strange. One of the Dragon Balls is moving toward us rapidly.\What is that?\What are you doing!? The Dragon Ball is inside that thing!\Hurry up and go get the Dragon Ball! response:	Y- you can't mean that. Let's just wait until the tornado disperses.
context: Thank you very much, Zarkuro- san.\Come to mention it, where is Lychee- san today?\He said he was staying home because he had some work to do.\That's strange. One of the Dragon Balls is moving toward us rapidly.\What is that?\What are you doing!? The Dragon Ball is inside that thing!\Hurry up and go get the Dragon Ball!\Y- you can't mean that. Let's just wait until the tornado disperses. response:	That tornado isn't going to disperse.
context: Come to mention it, where is Lychee- san today?\He said he was staying home because he had some work to do.\That's strange. One of the Dragon Balls is moving toward us rapidly.\What is that?\What are you doing!? The Dragon Ball is inside that thing!\Hurry up and go get the Dragon Ball!\Y- you can't mean that. Let's just wait until the tornado disperses.\That tornado isn't going to disperse. response:	On this planet, tornados roam around the desert forever.
context: He said he was staying home because he had some work to do.\That's strange. One of the Dragon Balls is moving toward us rapidly.\What is that?\What are you doing!? The Dragon Ball is inside that thing!\Hurry up and go get the Dragon Ball!\Y- you can't mean that. Let's just wait until the tornado disperses.\That tornado isn't going to disperse.\On this planet, tornados roam around the desert forever. response:	Snap to it. I'm going to be taking shelter, okay?
context: That's strange. One of the Dragon Balls is moving toward us rapidly.\What is that?\What are you doing!? The Dragon Ball is inside that thing!\Hurry up and go get the Dragon Ball!\Y- you can't mean that. Let's just wait until the tornado disperses.\That tornado isn't going to disperse.\On this planet, tornados roam around the desert forever.\Snap to it. I'm going to be taking shelter, okay? response:	What are you doing!?
context: What is that?\What are you doing!? The Dragon Ball is inside that thing!\Hurry up and go get the Dragon Ball!\Y- you can't mean that. Let's just wait until the tornado disperses.\That tornado isn't going to disperse.\On this planet, tornados roam around the desert forever.\Snap to it. I'm going to be taking shelter, okay?\What are you doing!? response:	Hurry up!
context: What are you doing!? The Dragon Ball is inside that thing!\Hurry up and go get the Dragon Ball!\Y- you can't mean that. Let's just wait until the tornado disperses.\That tornado isn't going to disperse.\On this planet, tornados roam around the desert forever.\Snap to it. I'm going to be taking shelter, okay?\What are you doing!?\Hurry up! response:	A- all right.
context: Hurry up and go get the Dragon Ball!\Y- you can't mean that. Let's just wait until the tornado disperses.\That tornado isn't going to disperse.\On this planet, tornados roam around the desert forever.\Snap to it. I'm going to be taking shelter, okay?\What are you doing!?\Hurry up!\A- all right. response:	Gohan, we're going to release our Ki toward that thing.
context: Y- you can't mean that. Let's just wait until the tornado disperses.\That tornado isn't going to disperse.\On this planet, tornados roam around the desert forever.\Snap to it. I'm going to be taking shelter, okay?\What are you doing!?\Hurry up!\A- all right.\Gohan, we're going to release our Ki toward that thing. response:	Right.
context: That tornado isn't going to disperse.\On this planet, tornados roam around the desert forever.\Snap to it. I'm going to be taking shelter, okay?\What are you doing!?\Hurry up!\A- all right.\Gohan, we're going to release our Ki toward that thing.\Right. response:	All right...
context: On this planet, tornados roam around the desert forever.\Snap to it. I'm going to be taking shelter, okay?\What are you doing!?\Hurry up!\A- all right.\Gohan, we're going to release our Ki toward that thing.\Right.\All right... response:	Kienzan!!
context: Snap to it. I'm going to be taking shelter, okay?\What are you doing!?\Hurry up!\A- all right.\Gohan, we're going to release our Ki toward that thing.\Right.\All right...\Kienzan!! response:	Masenko!!
context: What are you doing!?\Hurry up!\A- all right.\Gohan, we're going to release our Ki toward that thing.\Right.\All right...\Kienzan!!\Masenko!! response:	Stop that! If you do that, you're going to destroy the Dragon Ball!
context: Hurry up!\A- all right.\Gohan, we're going to release our Ki toward that thing.\Right.\All right...\Kienzan!!\Masenko!!\Stop that! If you do that, you're going to destroy the Dragon Ball! response:	B- but...
