context: Hey, part-timer! response:	Take care of the front.
context: Hey, part-timer!\Take care of the front. response:	Okay!
context: Hey, part-timer!\Take care of the front.\Okay! response:	Stop saying that.
context: Hey, part-timer!\Take care of the front.\Okay!\Stop saying that. response:	You said it would be
context: Hey, part-timer!\Take care of the front.\Okay!\Stop saying that.\You said it would be response:	be more efficient if we took breaks...
context: Hey, part-timer!\Take care of the front.\Okay!\Stop saying that.\You said it would be\be more efficient if we took breaks... response:	Well, you're the one who needs to rest
context: Hey, part-timer!\Take care of the front.\Okay!\Stop saying that.\You said it would be\be more efficient if we took breaks...\Well, you're the one who needs to rest response:	every few steps.
context: Hey, part-timer!\Take care of the front.\Okay!\Stop saying that.\You said it would be\be more efficient if we took breaks...\Well, you're the one who needs to rest\every few steps. response:	We need to hide from Organization pursuit.
context: Take care of the front.\Okay!\Stop saying that.\You said it would be\be more efficient if we took breaks...\Well, you're the one who needs to rest\every few steps.\We need to hide from Organization pursuit. response:	No one's chasing us.
context: Okay!\Stop saying that.\You said it would be\be more efficient if we took breaks...\Well, you're the one who needs to rest\every few steps.\We need to hide from Organization pursuit.\No one's chasing us. response:	Okabe Rintarou!
context: Stop saying that.\You said it would be\be more efficient if we took breaks...\Well, you're the one who needs to rest\every few steps.\We need to hide from Organization pursuit.\No one's chasing us.\Okabe Rintarou! response:	What's this?
context: You said it would be\be more efficient if we took breaks...\Well, you're the one who needs to rest\every few steps.\We need to hide from Organization pursuit.\No one's chasing us.\Okabe Rintarou!\What's this? response:	You want to know?
context: be more efficient if we took breaks...\Well, you're the one who needs to rest\every few steps.\We need to hide from Organization pursuit.\No one's chasing us.\Okabe Rintarou!\What's this?\You want to know? response:	Normally, it would be top-secret,
context: Well, you're the one who needs to rest\every few steps.\We need to hide from Organization pursuit.\No one's chasing us.\Okabe Rintarou!\What's this?\You want to know?\Normally, it would be top-secret, response:	and I wouldn't be able to just tell you.
context: every few steps.\We need to hide from Organization pursuit.\No one's chasing us.\Okabe Rintarou!\What's this?\You want to know?\Normally, it would be top-secret,\and I wouldn't be able to just tell you. response:	If you're going to take a while, then put it down!
context: We need to hide from Organization pursuit.\No one's chasing us.\Okabe Rintarou!\What's this?\You want to know?\Normally, it would be top-secret,\and I wouldn't be able to just tell you.\If you're going to take a while, then put it down! response:	Endure, assistant.
context: No one's chasing us.\Okabe Rintarou!\What's this?\You want to know?\Normally, it would be top-secret,\and I wouldn't be able to just tell you.\If you're going to take a while, then put it down!\Endure, assistant. response:	Then stop making it into a big deal, and just tell her!
context: Okabe Rintarou!\What's this?\You want to know?\Normally, it would be top-secret,\and I wouldn't be able to just tell you.\If you're going to take a while, then put it down!\Endure, assistant.\Then stop making it into a big deal, and just tell her! response:	Don't be stupid.
context: What's this?\You want to know?\Normally, it would be top-secret,\and I wouldn't be able to just tell you.\If you're going to take a while, then put it down!\Endure, assistant.\Then stop making it into a big deal, and just tell her!\Don't be stupid. response:	This item is of the utmost importance.
context: You want to know?\Normally, it would be top-secret,\and I wouldn't be able to just tell you.\If you're going to take a while, then put it down!\Endure, assistant.\Then stop making it into a big deal, and just tell her!\Don't be stupid.\This item is of the utmost importance. response:	If we don't make a big deal out of it here,
context: Normally, it would be top-secret,\and I wouldn't be able to just tell you.\If you're going to take a while, then put it down!\Endure, assistant.\Then stop making it into a big deal, and just tell her!\Don't be stupid.\This item is of the utmost importance.\If we don't make a big deal out of it here, response:	then where should we make a big deal out of it?
context: and I wouldn't be able to just tell you.\If you're going to take a while, then put it down!\Endure, assistant.\Then stop making it into a big deal, and just tell her!\Don't be stupid.\This item is of the utmost importance.\If we don't make a big deal out of it here,\then where should we make a big deal out of it? response:	Is it an IBN 5100?
context: If you're going to take a while, then put it down!\Endure, assistant.\Then stop making it into a big deal, and just tell her!\Don't be stupid.\This item is of the utmost importance.\If we don't make a big deal out of it here,\then where should we make a big deal out of it?\Is it an IBN 5100? response:	She found out, Christina!
context: Endure, assistant.\Then stop making it into a big deal, and just tell her!\Don't be stupid.\This item is of the utmost importance.\If we don't make a big deal out of it here,\then where should we make a big deal out of it?\Is it an IBN 5100?\She found out, Christina! response:	Where'd you find one?
context: Then stop making it into a big deal, and just tell her!\Don't be stupid.\This item is of the utmost importance.\If we don't make a big deal out of it here,\then where should we make a big deal out of it?\Is it an IBN 5100?\She found out, Christina!\Where'd you find one? response:	It was kept in Yanabayashi Shrine,
context: Don't be stupid.\This item is of the utmost importance.\If we don't make a big deal out of it here,\then where should we make a big deal out of it?\Is it an IBN 5100?\She found out, Christina!\Where'd you find one?\It was kept in Yanabayashi Shrine, response:	where I, the mad scientist chosen by God...
context: This item is of the utmost importance.\If we don't make a big deal out of it here,\then where should we make a big deal out of it?\Is it an IBN 5100?\She found out, Christina!\Where'd you find one?\It was kept in Yanabayashi Shrine,\where I, the mad scientist chosen by God... response:	I said put it down!
context: If we don't make a big deal out of it here,\then where should we make a big deal out of it?\Is it an IBN 5100?\She found out, Christina!\Where'd you find one?\It was kept in Yanabayashi Shrine,\where I, the mad scientist chosen by God...\I said put it down! response:	Makise Kurisu...
context: then where should we make a big deal out of it?\Is it an IBN 5100?\She found out, Christina!\Where'd you find one?\It was kept in Yanabayashi Shrine,\where I, the mad scientist chosen by God...\I said put it down!\Makise Kurisu... response:	Y-Yes.
context: Is it an IBN 5100?\She found out, Christina!\Where'd you find one?\It was kept in Yanabayashi Shrine,\where I, the mad scientist chosen by God...\I said put it down!\Makise Kurisu...\Y-Yes. response:	Who is this?
context: She found out, Christina!\Where'd you find one?\It was kept in Yanabayashi Shrine,\where I, the mad scientist chosen by God...\I said put it down!\Makise Kurisu...\Y-Yes.\Who is this? response:	A part-timer at the CRT TV Workshop...
context: Where'd you find one?\It was kept in Yanabayashi Shrine,\where I, the mad scientist chosen by God...\I said put it down!\Makise Kurisu...\Y-Yes.\Who is this?\A part-timer at the CRT TV Workshop... response:	Um...
context: It was kept in Yanabayashi Shrine,\where I, the mad scientist chosen by God...\I said put it down!\Makise Kurisu...\Y-Yes.\Who is this?\A part-timer at the CRT TV Workshop...\Um... response:	Hey! Part-timer!
context: where I, the mad scientist chosen by God...\I said put it down!\Makise Kurisu...\Y-Yes.\Who is this?\A part-timer at the CRT TV Workshop...\Um...\Hey! Part-timer! response:	What are you doing, talking on the job?
context: I said put it down!\Makise Kurisu...\Y-Yes.\Who is this?\A part-timer at the CRT TV Workshop...\Um...\Hey! Part-timer!\What are you doing, talking on the job? response:	Why was she glaring at me?
context: Makise Kurisu...\Y-Yes.\Who is this?\A part-timer at the CRT TV Workshop...\Um...\Hey! Part-timer!\What are you doing, talking on the job?\Why was she glaring at me? response:	Because you look like a thug.
context: Y-Yes.\Who is this?\A part-timer at the CRT TV Workshop...\Um...\Hey! Part-timer!\What are you doing, talking on the job?\Why was she glaring at me?\Because you look like a thug. response:	OP
context: Who is this?\A part-timer at the CRT TV Workshop...\Um...\Hey! Part-timer!\What are you doing, talking on the job?\Why was she glaring at me?\Because you look like a thug.\OP response:	suujuuoku mono kodou no kazu sae
context: A part-timer at the CRT TV Workshop...\Um...\Hey! Part-timer!\What are you doing, talking on the job?\Why was she glaring at me?\Because you look like a thug.\OP\suujuuoku mono kodou no kazu sae response:	Even the world's billions of heartbeats
context: Um...\Hey! Part-timer!\What are you doing, talking on the job?\Why was she glaring at me?\Because you look like a thug.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats response:	anata ni wa matataki teido no saji na toukyuu
context: Hey! Part-timer!\What are you doing, talking on the job?\Why was she glaring at me?\Because you look like a thug.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu response:	Are nothing to you but a fleeting and insignificant question
context: What are you doing, talking on the job?\Why was she glaring at me?\Because you look like a thug.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question response:	kako ni torawarete mirai wo nageku mo
context: Why was she glaring at me?\Because you look like a thug.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo response:	We may be trapped in the past or lament the future
context: Because you look like a thug.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future response:	chiri hitotsu gosan wo yurusanu hitsuzen
context: OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen response:	But predetermination does not allow the slightest mistake
context: suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake response:	mugen ni hirogaru yume mo egaku mirai mo
context: Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo response:	The infinite dreams and imagined futures before us
context: anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us response:	bokutachi ni yurusareta kyoei no genri
context: Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri response:	Are naught but vain theories we may hold
context: kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold response:	yuugen sore wa futatsu no hari ga shimesu
context: We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu response:	Finitude is what the two clock hands show
context: chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show response:	zankoku na yakujou to sentaku e
context: But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e response:	As they point toward a cruel destiny and choice
context: mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice response:	Hacking to the Gate
context: The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate response:	dakara ima ichibyou goto ni sekaisen wo koete
context: bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete response:	And now I cross the boundary between worlds each second
context: Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second response:	kimi no sono egao mamoritai no sa
context: yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa response:	Because I want to protect that smile of yours
context: Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours response:	soshite mata kanashimi no nai jikan no ruupu e to
context: zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to response:	And a loop in time without sadness will once again
context: As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again response:	nomikomarete yuku kodoku no kansokusha
context: Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha response:	Engulf me, a lonely observer
context: dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer response:	Starmine
context: And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Starmine response:	Rendezvous
context: kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Starmine\Rendezvous response:	Starmine
context: Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Starmine\Rendezvous\Starmine response:	Starmine
context: soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Starmine\Rendezvous\Starmine\Starmine response:	Starmine
context: And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Starmine\Rendezvous\Starmine\Starmine\Starmine response:	Starmine
context: nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Starmine\Rendezvous\Starmine\Starmine\Starmine\Starmine response:	Starmine
context: Engulf me, a lonely observer\Starmine\Rendezvous\Starmine\Starmine\Starmine\Starmine\Starmine response:	Starmine
context: Starmine\Rendezvous\Starmine\Starmine\Starmine\Starmine\Starmine\Starmine response:	Starmine
context: Rendezvous\Starmine\Starmine\Starmine\Starmine\Starmine\Starmine\Starmine response:	Rendezvous
context: Starmine\Starmine\Starmine\Starmine\Starmine\Starmine\Starmine\Rendezvous response:	Rendezvous
context: Starmine\Starmine\Starmine\Starmine\Starmine\Starmine\Rendezvous\Rendezvous response:	Rendezvous
context: Starmine\Starmine\Starmine\Starmine\Starmine\Rendezvous\Rendezvous\Rendezvous response:	Rendezvous
context: Starmine\Starmine\Starmine\Starmine\Rendezvous\Rendezvous\Rendezvous\Rendezvous response:	Rendezvous
context: Starmine\Starmine\Starmine\Rendezvous\Rendezvous\Rendezvous\Rendezvous\Rendezvous response:	Rendezvous
context: Starmine\Starmine\Rendezvous\Rendezvous\Rendezvous\Rendezvous\Rendezvous\Rendezvous response:	Rendezvous
context: Starmine\Rendezvous\Rendezvous\Rendezvous\Rendezvous\Rendezvous\Rendezvous\Rendezvous response:	Rendezvous
context: Rendezvous\Rendezvous\Rendezvous\Rendezvous\Rendezvous\Rendezvous\Rendezvous\Rendezvous response:	It really is big!
context: Rendezvous\Rendezvous\Rendezvous\Rendezvous\Rendezvous\Rendezvous\Rendezvous\It really is big! response:	It's like a tiger rug!
context: Rendezvous\Rendezvous\Rendezvous\Rendezvous\Rendezvous\Rendezvous\It really is big!\It's like a tiger rug! response:	It's like a futon.
context: Rendezvous\Rendezvous\Rendezvous\Rendezvous\Rendezvous\It really is big!\It's like a tiger rug!\It's like a futon. response:	Mayushii is lying on my shirt.
context: Rendezvous\Rendezvous\Rendezvous\Rendezvous\It really is big!\It's like a tiger rug!\It's like a futon.\Mayushii is lying on my shirt. response:	The sight warms my heart!
context: Rendezvous\Rendezvous\Rendezvous\It really is big!\It's like a tiger rug!\It's like a futon.\Mayushii is lying on my shirt.\The sight warms my heart! response:	Okay, let it down slowly.
context: Rendezvous\Rendezvous\It really is big!\It's like a tiger rug!\It's like a futon.\Mayushii is lying on my shirt.\The sight warms my heart!\Okay, let it down slowly. response:	I know.
context: Rendezvous\It really is big!\It's like a tiger rug!\It's like a futon.\Mayushii is lying on my shirt.\The sight warms my heart!\Okay, let it down slowly.\I know. response:	Kurisu-chan!
context: It really is big!\It's like a tiger rug!\It's like a futon.\Mayushii is lying on my shirt.\The sight warms my heart!\Okay, let it down slowly.\I know.\Kurisu-chan! response:	Sorry to come by so suddenly again.
context: It's like a tiger rug!\It's like a futon.\Mayushii is lying on my shirt.\The sight warms my heart!\Okay, let it down slowly.\I know.\Kurisu-chan!\Sorry to come by so suddenly again. response:	You can come whenever you want.
context: It's like a futon.\Mayushii is lying on my shirt.\The sight warms my heart!\Okay, let it down slowly.\I know.\Kurisu-chan!\Sorry to come by so suddenly again.\You can come whenever you want. response:	You're a lab member.
context: Mayushii is lying on my shirt.\The sight warms my heart!\Okay, let it down slowly.\I know.\Kurisu-chan!\Sorry to come by so suddenly again.\You can come whenever you want.\You're a lab member. response:	Yesterday, she was saying she'd never come back.
context: The sight warms my heart!\Okay, let it down slowly.\I know.\Kurisu-chan!\Sorry to come by so suddenly again.\You can come whenever you want.\You're a lab member.\Yesterday, she was saying she'd never come back. response:	You change your mind quite easily, don't you?
