context: Jintan. response:	Please grant...
context: Jintan.\Please grant... response:	My wish.
context: Jintan.\Please grant...\My wish. response:	It sounds like she's been resurrected!
context: Jintan.\Please grant...\My wish.\It sounds like she's been resurrected! response:	Huh?
context: Jintan.\Please grant...\My wish.\It sounds like she's been resurrected!\Huh? response:	That's awesome!
context: Jintan.\Please grant...\My wish.\It sounds like she's been resurrected!\Huh?\That's awesome! response:	So Menma's come back to have her wish granted.
context: Jintan.\Please grant...\My wish.\It sounds like she's been resurrected!\Huh?\That's awesome!\So Menma's come back to have her wish granted. response:	Actually...
context: Jintan.\Please grant...\My wish.\It sounds like she's been resurrected!\Huh?\That's awesome!\So Menma's come back to have her wish granted.\Actually... response:	I think she's just my hallucination.
context: Please grant...\My wish.\It sounds like she's been resurrected!\Huh?\That's awesome!\So Menma's come back to have her wish granted.\Actually...\I think she's just my hallucination. response:	A hallucination? Like a fantasy?
context: My wish.\It sounds like she's been resurrected!\Huh?\That's awesome!\So Menma's come back to have her wish granted.\Actually...\I think she's just my hallucination.\A hallucination? Like a fantasy? response:	That's so cool!
context: It sounds like she's been resurrected!\Huh?\That's awesome!\So Menma's come back to have her wish granted.\Actually...\I think she's just my hallucination.\A hallucination? Like a fantasy?\That's so cool! response:	So, is she here now?
context: Huh?\That's awesome!\So Menma's come back to have her wish granted.\Actually...\I think she's just my hallucination.\A hallucination? Like a fantasy?\That's so cool!\So, is she here now? response:	No, right now she's...
context: That's awesome!\So Menma's come back to have her wish granted.\Actually...\I think she's just my hallucination.\A hallucination? Like a fantasy?\That's so cool!\So, is she here now?\No, right now she's... response:	Menma! It's me!
context: So Menma's come back to have her wish granted.\Actually...\I think she's just my hallucination.\A hallucination? Like a fantasy?\That's so cool!\So, is she here now?\No, right now she's...\Menma! It's me! response:	Are you here?
context: Actually...\I think she's just my hallucination.\A hallucination? Like a fantasy?\That's so cool!\So, is she here now?\No, right now she's...\Menma! It's me!\Are you here? response:	Or in here?
context: I think she's just my hallucination.\A hallucination? Like a fantasy?\That's so cool!\So, is she here now?\No, right now she's...\Menma! It's me!\Are you here?\Or in here? response:	Where are you? Let me see you.
context: A hallucination? Like a fantasy?\That's so cool!\So, is she here now?\No, right now she's...\Menma! It's me!\Are you here?\Or in here?\Where are you? Let me see you. response:	I blurted out everything about Menma in the heat of the moment,
context: That's so cool!\So, is she here now?\No, right now she's...\Menma! It's me!\Are you here?\Or in here?\Where are you? Let me see you.\I blurted out everything about Menma in the heat of the moment, response:	but I didn't expect him to accept everything so easily.
context: So, is she here now?\No, right now she's...\Menma! It's me!\Are you here?\Or in here?\Where are you? Let me see you.\I blurted out everything about Menma in the heat of the moment,\but I didn't expect him to accept everything so easily. response:	Are you over there?
context: No, right now she's...\Menma! It's me!\Are you here?\Or in here?\Where are you? Let me see you.\I blurted out everything about Menma in the heat of the moment,\but I didn't expect him to accept everything so easily.\Are you over there? response:	Menma.
context: Menma! It's me!\Are you here?\Or in here?\Where are you? Let me see you.\I blurted out everything about Menma in the heat of the moment,\but I didn't expect him to accept everything so easily.\Are you over there?\Menma. response:	Menma!
