context: Back in those days, to travel meant to risk your life. response:	You could get lost or robbed.
context: Back in those days, to travel meant to risk your life.\You could get lost or robbed. response:	Injuries or illnesses could easily prove fatal.
context: Back in those days, to travel meant to risk your life.\You could get lost or robbed.\Injuries or illnesses could easily prove fatal. response:	So it was not uncommon for travelers to vanish without trace.
context: Back in those days, to travel meant to risk your life.\You could get lost or robbed.\Injuries or illnesses could easily prove fatal.\So it was not uncommon for travelers to vanish without trace. response:	You want...?
context: Back in those days, to travel meant to risk your life.\You could get lost or robbed.\Injuries or illnesses could easily prove fatal.\So it was not uncommon for travelers to vanish without trace.\You want...? response:	You want...?
context: Back in those days, to travel meant to risk your life.\You could get lost or robbed.\Injuries or illnesses could easily prove fatal.\So it was not uncommon for travelers to vanish without trace.\You want...?\You want...? response:	Oh? My, my.
context: Back in those days, to travel meant to risk your life.\You could get lost or robbed.\Injuries or illnesses could easily prove fatal.\So it was not uncommon for travelers to vanish without trace.\You want...?\You want...?\Oh? My, my. response:	Party is over
context: Back in those days, to travel meant to risk your life.\You could get lost or robbed.\Injuries or illnesses could easily prove fatal.\So it was not uncommon for travelers to vanish without trace.\You want...?\You want...?\Oh? My, my.\Party is over response:	But I still wanna dance
context: You could get lost or robbed.\Injuries or illnesses could easily prove fatal.\So it was not uncommon for travelers to vanish without trace.\You want...?\You want...?\Oh? My, my.\Party is over\But I still wanna dance response:	I can't even sleep
context: Injuries or illnesses could easily prove fatal.\So it was not uncommon for travelers to vanish without trace.\You want...?\You want...?\Oh? My, my.\Party is over\But I still wanna dance\I can't even sleep response:	Someday, one day my passion's fire will
context: So it was not uncommon for travelers to vanish without trace.\You want...?\You want...?\Oh? My, my.\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will response:	From the beginning I knew
context: You want...?\You want...?\Oh? My, my.\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew response:	One day the flames would die out
context: You want...?\Oh? My, my.\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out response:	Hey, I thought I didn't need anything
