context: What is this, my lord? response:	Evans/Person of the Land Pursall/Person of the Land
context: What is this, my lord?\Evans/Person of the Land Pursall/Person of the Land response:	They're all People of the Land.
context: What is this, my lord?\Evans/Person of the Land Pursall/Person of the Land\They're all People of the Land. response:	Jessica/Person of the Land Belna/Person of the Land
context: What is this, my lord?\Evans/Person of the Land Pursall/Person of the Land\They're all People of the Land.\Jessica/Person of the Land Belna/Person of the Land response:	Sleeping?
context: What is this, my lord?\Evans/Person of the Land Pursall/Person of the Land\They're all People of the Land.\Jessica/Person of the Land Belna/Person of the Land\Sleeping? response:	They're all asleep!
context: What is this, my lord?\Evans/Person of the Land Pursall/Person of the Land\They're all People of the Land.\Jessica/Person of the Land Belna/Person of the Land\Sleeping?\They're all asleep! response:	Are you okay?
context: What is this, my lord?\Evans/Person of the Land Pursall/Person of the Land\They're all People of the Land.\Jessica/Person of the Land Belna/Person of the Land\Sleeping?\They're all asleep!\Are you okay? response:	What happened?
context: What is this, my lord?\Evans/Person of the Land Pursall/Person of the Land\They're all People of the Land.\Jessica/Person of the Land Belna/Person of the Land\Sleeping?\They're all asleep!\Are you okay?\What happened? response:	Sh-Shining wings...
context: Evans/Person of the Land Pursall/Person of the Land\They're all People of the Land.\Jessica/Person of the Land Belna/Person of the Land\Sleeping?\They're all asleep!\Are you okay?\What happened?\Sh-Shining wings... response:	Shining wings?
context: They're all People of the Land.\Jessica/Person of the Land Belna/Person of the Land\Sleeping?\They're all asleep!\Are you okay?\What happened?\Sh-Shining wings...\Shining wings? response:	Guild Hall/ Cafeteria B Japan Server Akihabara City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None
context: Jessica/Person of the Land Belna/Person of the Land\Sleeping?\They're all asleep!\Are you okay?\What happened?\Sh-Shining wings...\Shining wings?\Guild Hall/ Cafeteria B Japan Server Akihabara City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None response:	The fifty-four People of the Land who fell asleep are being kept at the guild hall.
context: Sleeping?\They're all asleep!\Are you okay?\What happened?\Sh-Shining wings...\Shining wings?\Guild Hall/ Cafeteria B Japan Server Akihabara City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\The fifty-four People of the Land who fell asleep are being kept at the guild hall. response:	The same phenomenon occurred in Maihama.
context: They're all asleep!\Are you okay?\What happened?\Sh-Shining wings...\Shining wings?\Guild Hall/ Cafeteria B Japan Server Akihabara City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\The fifty-four People of the Land who fell asleep are being kept at the guild hall.\The same phenomenon occurred in Maihama. response:	Lord Sergiatte is still asleep and won't wake up.
context: Are you okay?\What happened?\Sh-Shining wings...\Shining wings?\Guild Hall/ Cafeteria B Japan Server Akihabara City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\The fifty-four People of the Land who fell asleep are being kept at the guild hall.\The same phenomenon occurred in Maihama.\Lord Sergiatte is still asleep and won't wake up. response:	Silver Sword says Susukino is safe.
context: What happened?\Sh-Shining wings...\Shining wings?\Guild Hall/ Cafeteria B Japan Server Akihabara City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\The fifty-four People of the Land who fell asleep are being kept at the guild hall.\The same phenomenon occurred in Maihama.\Lord Sergiatte is still asleep and won't wake up.\Silver Sword says Susukino is safe. response:	Then only People of the Land fall asleep?
context: Sh-Shining wings...\Shining wings?\Guild Hall/ Cafeteria B Japan Server Akihabara City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\The fifty-four People of the Land who fell asleep are being kept at the guild hall.\The same phenomenon occurred in Maihama.\Lord Sergiatte is still asleep and won't wake up.\Silver Sword says Susukino is safe.\Then only People of the Land fall asleep? response:	Yes.
context: Shining wings?\Guild Hall/ Cafeteria B Japan Server Akihabara City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\The fifty-four People of the Land who fell asleep are being kept at the guild hall.\The same phenomenon occurred in Maihama.\Lord Sergiatte is still asleep and won't wake up.\Silver Sword says Susukino is safe.\Then only People of the Land fall asleep?\Yes. response:	Belna/Person of the Land
context: Guild Hall/ Cafeteria B Japan Server Akihabara City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\The fifty-four People of the Land who fell asleep are being kept at the guild hall.\The same phenomenon occurred in Maihama.\Lord Sergiatte is still asleep and won't wake up.\Silver Sword says Susukino is safe.\Then only People of the Land fall asleep?\Yes.\Belna/Person of the Land response:	Their MP falls to zero and doesn't recover fast enough naturally.
