context: Oni? response:	Something's coming oni.
context: Oni?\Something's coming oni. response:	Watch out oni! Stop oni!
context: Oni?\Something's coming oni.\Watch out oni! Stop oni! response:	I thought he had fallen off the Serpentine Road earlier oni.
context: Oni?\Something's coming oni.\Watch out oni! Stop oni!\I thought he had fallen off the Serpentine Road earlier oni. response:	Be that as it may, it looks like he's a lot faster this time oni -
context: Oni?\Something's coming oni.\Watch out oni! Stop oni!\I thought he had fallen off the Serpentine Road earlier oni.\Be that as it may, it looks like he's a lot faster this time oni - response:	Aaa oni!!
context: Oni?\Something's coming oni.\Watch out oni! Stop oni!\I thought he had fallen off the Serpentine Road earlier oni.\Be that as it may, it looks like he's a lot faster this time oni -\Aaa oni!! response:	Uncle Piccolo is awesome!
context: Oni?\Something's coming oni.\Watch out oni! Stop oni!\I thought he had fallen off the Serpentine Road earlier oni.\Be that as it may, it looks like he's a lot faster this time oni -\Aaa oni!!\Uncle Piccolo is awesome! response:	Well, with this many of us members here, I'm not at all afraid of those Saiyans.
context: Oni?\Something's coming oni.\Watch out oni! Stop oni!\I thought he had fallen off the Serpentine Road earlier oni.\Be that as it may, it looks like he's a lot faster this time oni -\Aaa oni!!\Uncle Piccolo is awesome!\Well, with this many of us members here, I'm not at all afraid of those Saiyans. response:	I can't wait to see what kind of training Kami- sama puts us through.
context: Something's coming oni.\Watch out oni! Stop oni!\I thought he had fallen off the Serpentine Road earlier oni.\Be that as it may, it looks like he's a lot faster this time oni -\Aaa oni!!\Uncle Piccolo is awesome!\Well, with this many of us members here, I'm not at all afraid of those Saiyans.\I can't wait to see what kind of training Kami- sama puts us through. response:	Thanks to my eating that fruit, I've already come this far in a flash.
context: Watch out oni! Stop oni!\I thought he had fallen off the Serpentine Road earlier oni.\Be that as it may, it looks like he's a lot faster this time oni -\Aaa oni!!\Uncle Piccolo is awesome!\Well, with this many of us members here, I'm not at all afraid of those Saiyans.\I can't wait to see what kind of training Kami- sama puts us through.\Thanks to my eating that fruit, I've already come this far in a flash. response:	What's that?
context: I thought he had fallen off the Serpentine Road earlier oni.\Be that as it may, it looks like he's a lot faster this time oni -\Aaa oni!!\Uncle Piccolo is awesome!\Well, with this many of us members here, I'm not at all afraid of those Saiyans.\I can't wait to see what kind of training Kami- sama puts us through.\Thanks to my eating that fruit, I've already come this far in a flash.\What's that? response:	I wonder if this is Kaio- sama's residence.
