context: What unbelievable luck! response:	If that coffee hadn't spilled this morning...
context: What unbelievable luck!\If that coffee hadn't spilled this morning... response:	How... How is that possible? I...
context: What unbelievable luck!\If that coffee hadn't spilled this morning...\How... How is that possible? I... response:	You brat...
context: What unbelievable luck!\If that coffee hadn't spilled this morning...\How... How is that possible? I...\You brat... response:	To think that you knew about Stray Cat, as well!
context: What unbelievable luck!\If that coffee hadn't spilled this morning...\How... How is that possible? I...\You brat...\To think that you knew about Stray Cat, as well! response:	I guess it's futile.
context: What unbelievable luck!\If that coffee hadn't spilled this morning...\How... How is that possible? I...\You brat...\To think that you knew about Stray Cat, as well!\I guess it's futile. response:	So long as I don't undo Bites the Dust, it'll keep automatically protecting you.
context: What unbelievable luck!\If that coffee hadn't spilled this morning...\How... How is that possible? I...\You brat...\To think that you knew about Stray Cat, as well!\I guess it's futile.\So long as I don't undo Bites the Dust, it'll keep automatically protecting you. response:	I-It's almost time!
context: What unbelievable luck!\If that coffee hadn't spilled this morning...\How... How is that possible? I...\You brat...\To think that you knew about Stray Cat, as well!\I guess it's futile.\So long as I don't undo Bites the Dust, it'll keep automatically protecting you.\I-It's almost time! response:	The fact that you tried to kill me using Stray Cat's air bullets...
context: If that coffee hadn't spilled this morning...\How... How is that possible? I...\You brat...\To think that you knew about Stray Cat, as well!\I guess it's futile.\So long as I don't undo Bites the Dust, it'll keep automatically protecting you.\I-It's almost time!\The fact that you tried to kill me using Stray Cat's air bullets... response:	Hayato, you wouldn't have come up with that idea
context: How... How is that possible? I...\You brat...\To think that you knew about Stray Cat, as well!\I guess it's futile.\So long as I don't undo Bites the Dust, it'll keep automatically protecting you.\I-It's almost time!\The fact that you tried to kill me using Stray Cat's air bullets...\Hayato, you wouldn't have come up with that idea response:	if you hadn't repeated this morning three, no, four times.
context: You brat...\To think that you knew about Stray Cat, as well!\I guess it's futile.\So long as I don't undo Bites the Dust, it'll keep automatically protecting you.\I-It's almost time!\The fact that you tried to kill me using Stray Cat's air bullets...\Hayato, you wouldn't have come up with that idea\if you hadn't repeated this morning three, no, four times. response:	And the fact that you've returned for the fourth time...
context: To think that you knew about Stray Cat, as well!\I guess it's futile.\So long as I don't undo Bites the Dust, it'll keep automatically protecting you.\I-It's almost time!\The fact that you tried to kill me using Stray Cat's air bullets...\Hayato, you wouldn't have come up with that idea\if you hadn't repeated this morning three, no, four times.\And the fact that you've returned for the fourth time... response:	It means that Bites the Dust's fate
context: I guess it's futile.\So long as I don't undo Bites the Dust, it'll keep automatically protecting you.\I-It's almost time!\The fact that you tried to kill me using Stray Cat's air bullets...\Hayato, you wouldn't have come up with that idea\if you hadn't repeated this morning three, no, four times.\And the fact that you've returned for the fourth time...\It means that Bites the Dust's fate response:	is to blow up not only Rohan,
context: So long as I don't undo Bites the Dust, it'll keep automatically protecting you.\I-It's almost time!\The fact that you tried to kill me using Stray Cat's air bullets...\Hayato, you wouldn't have come up with that idea\if you hadn't repeated this morning three, no, four times.\And the fact that you've returned for the fourth time...\It means that Bites the Dust's fate\is to blow up not only Rohan, response:	but another one of his friends, as well.
context: I-It's almost time!\The fact that you tried to kill me using Stray Cat's air bullets...\Hayato, you wouldn't have come up with that idea\if you hadn't repeated this morning three, no, four times.\And the fact that you've returned for the fourth time...\It means that Bites the Dust's fate\is to blow up not only Rohan,\but another one of his friends, as well. response:	That means you must have told people other than Rohan about me.
context: The fact that you tried to kill me using Stray Cat's air bullets...\Hayato, you wouldn't have come up with that idea\if you hadn't repeated this morning three, no, four times.\And the fact that you've returned for the fourth time...\It means that Bites the Dust's fate\is to blow up not only Rohan,\but another one of his friends, as well.\That means you must have told people other than Rohan about me. response:	No... Perhaps you were just asked about me.
context: Hayato, you wouldn't have come up with that idea\if you hadn't repeated this morning three, no, four times.\And the fact that you've returned for the fourth time...\It means that Bites the Dust's fate\is to blow up not only Rohan,\but another one of his friends, as well.\That means you must have told people other than Rohan about me.\No... Perhaps you were just asked about me. response:	Who did you kill?
context: if you hadn't repeated this morning three, no, four times.\And the fact that you've returned for the fourth time...\It means that Bites the Dust's fate\is to blow up not only Rohan,\but another one of his friends, as well.\That means you must have told people other than Rohan about me.\No... Perhaps you were just asked about me.\Who did you kill? response:	Hm? Was there a shrimp named Koichi?
context: And the fact that you've returned for the fourth time...\It means that Bites the Dust's fate\is to blow up not only Rohan,\but another one of his friends, as well.\That means you must have told people other than Rohan about me.\No... Perhaps you were just asked about me.\Who did you kill?\Hm? Was there a shrimp named Koichi? response:	What about Jotaro Kujo?
context: It means that Bites the Dust's fate\is to blow up not only Rohan,\but another one of his friends, as well.\That means you must have told people other than Rohan about me.\No... Perhaps you were just asked about me.\Who did you kill?\Hm? Was there a shrimp named Koichi?\What about Jotaro Kujo? response:	I'd be very happy if he were to die.
context: is to blow up not only Rohan,\but another one of his friends, as well.\That means you must have told people other than Rohan about me.\No... Perhaps you were just asked about me.\Who did you kill?\Hm? Was there a shrimp named Koichi?\What about Jotaro Kujo?\I'd be very happy if he were to die. response:	E-Everything's over...
context: but another one of his friends, as well.\That means you must have told people other than Rohan about me.\No... Perhaps you were just asked about me.\Who did you kill?\Hm? Was there a shrimp named Koichi?\What about Jotaro Kujo?\I'd be very happy if he were to die.\E-Everything's over... response:	Letting you return to this morning again is dangerous.
context: That means you must have told people other than Rohan about me.\No... Perhaps you were just asked about me.\Who did you kill?\Hm? Was there a shrimp named Koichi?\What about Jotaro Kujo?\I'd be very happy if he were to die.\E-Everything's over...\Letting you return to this morning again is dangerous. response:	Because I'll be attacked again.
context: No... Perhaps you were just asked about me.\Who did you kill?\Hm? Was there a shrimp named Koichi?\What about Jotaro Kujo?\I'd be very happy if he were to die.\E-Everything's over...\Letting you return to this morning again is dangerous.\Because I'll be attacked again. response:	Once the others die, I'll undo Bites the Dust for a short while.
context: Who did you kill?\Hm? Was there a shrimp named Koichi?\What about Jotaro Kujo?\I'd be very happy if he were to die.\E-Everything's over...\Letting you return to this morning again is dangerous.\Because I'll be attacked again.\Once the others die, I'll undo Bites the Dust for a short while. response:	Bites the Dust is invincible!
context: Hm? Was there a shrimp named Koichi?\What about Jotaro Kujo?\I'd be very happy if he were to die.\E-Everything's over...\Letting you return to this morning again is dangerous.\Because I'll be attacked again.\Once the others die, I'll undo Bites the Dust for a short while.\Bites the Dust is invincible! response:	Luck is on the side of Yoshikage Kira!
context: What about Jotaro Kujo?\I'd be very happy if he were to die.\E-Everything's over...\Letting you return to this morning again is dangerous.\Because I'll be attacked again.\Once the others die, I'll undo Bites the Dust for a short while.\Bites the Dust is invincible!\Luck is on the side of Yoshikage Kira! response:	That name... The name you said just now...
context: I'd be very happy if he were to die.\E-Everything's over...\Letting you return to this morning again is dangerous.\Because I'll be attacked again.\Once the others die, I'll undo Bites the Dust for a short while.\Bites the Dust is invincible!\Luck is on the side of Yoshikage Kira!\That name... The name you said just now... response:	Oh, did I just say my real name?
context: E-Everything's over...\Letting you return to this morning again is dangerous.\Because I'll be attacked again.\Once the others die, I'll undo Bites the Dust for a short while.\Bites the Dust is invincible!\Luck is on the side of Yoshikage Kira!\That name... The name you said just now...\Oh, did I just say my real name? response:	Yes, my name is Yoshikage Kira.
context: Letting you return to this morning again is dangerous.\Because I'll be attacked again.\Once the others die, I'll undo Bites the Dust for a short while.\Bites the Dust is invincible!\Luck is on the side of Yoshikage Kira!\That name... The name you said just now...\Oh, did I just say my real name?\Yes, my name is Yoshikage Kira. response:	I don't care if you tell that to anyone.
context: Because I'll be attacked again.\Once the others die, I'll undo Bites the Dust for a short while.\Bites the Dust is invincible!\Luck is on the side of Yoshikage Kira!\That name... The name you said just now...\Oh, did I just say my real name?\Yes, my name is Yoshikage Kira.\I don't care if you tell that to anyone. response:	By the way, what time is it?
context: Once the others die, I'll undo Bites the Dust for a short while.\Bites the Dust is invincible!\Luck is on the side of Yoshikage Kira!\That name... The name you said just now...\Oh, did I just say my real name?\Yes, my name is Yoshikage Kira.\I don't care if you tell that to anyone.\By the way, what time is it? response:	I didn't tell anyone.
context: Bites the Dust is invincible!\Luck is on the side of Yoshikage Kira!\That name... The name you said just now...\Oh, did I just say my real name?\Yes, my name is Yoshikage Kira.\I don't care if you tell that to anyone.\By the way, what time is it?\I didn't tell anyone. response:	I never said a single word to anyone about you in the first place.
context: Luck is on the side of Yoshikage Kira!\That name... The name you said just now...\Oh, did I just say my real name?\Yes, my name is Yoshikage Kira.\I don't care if you tell that to anyone.\By the way, what time is it?\I didn't tell anyone.\I never said a single word to anyone about you in the first place. response:	I only made a phone call.
context: That name... The name you said just now...\Oh, did I just say my real name?\Yes, my name is Yoshikage Kira.\I don't care if you tell that to anyone.\By the way, what time is it?\I didn't tell anyone.\I never said a single word to anyone about you in the first place.\I only made a phone call. response:	He said that he overslept and was late,
context: Oh, did I just say my real name?\Yes, my name is Yoshikage Kira.\I don't care if you tell that to anyone.\By the way, what time is it?\I didn't tell anyone.\I never said a single word to anyone about you in the first place.\I only made a phone call.\He said that he overslept and was late, response:	so I found his number and woke him up.
context: Yes, my name is Yoshikage Kira.\I don't care if you tell that to anyone.\By the way, what time is it?\I didn't tell anyone.\I never said a single word to anyone about you in the first place.\I only made a phone call.\He said that he overslept and was late,\so I found his number and woke him up. response:	I made a call from the house this morning. That's all!
context: I don't care if you tell that to anyone.\By the way, what time is it?\I didn't tell anyone.\I never said a single word to anyone about you in the first place.\I only made a phone call.\He said that he overslept and was late,\so I found his number and woke him up.\I made a call from the house this morning. That's all! response:	You're the one who said it.
context: By the way, what time is it?\I didn't tell anyone.\I never said a single word to anyone about you in the first place.\I only made a phone call.\He said that he overslept and was late,\so I found his number and woke him up.\I made a call from the house this morning. That's all!\You're the one who said it. response:	You're the one who said it yourself!
context: I didn't tell anyone.\I never said a single word to anyone about you in the first place.\I only made a phone call.\He said that he overslept and was late,\so I found his number and woke him up.\I made a call from the house this morning. That's all!\You're the one who said it.\You're the one who said it yourself! response:	I was just waiting.
context: I never said a single word to anyone about you in the first place.\I only made a phone call.\He said that he overslept and was late,\so I found his number and woke him up.\I made a call from the house this morning. That's all!\You're the one who said it.\You're the one who said it yourself!\I was just waiting. response:	I was just waiting for him to hurry up and get here without oversleeping!
context: I only made a phone call.\He said that he overslept and was late,\so I found his number and woke him up.\I made a call from the house this morning. That's all!\You're the one who said it.\You're the one who said it yourself!\I was just waiting.\I was just waiting for him to hurry up and get here without oversleeping! response:	Jojo's Bizarre Adventure
context: He said that he overslept and was late,\so I found his number and woke him up.\I made a call from the house this morning. That's all!\You're the one who said it.\You're the one who said it yourself!\I was just waiting.\I was just waiting for him to hurry up and get here without oversleeping!\Jojo's Bizarre Adventure response:	Diamond is Unbreakable
context: so I found his number and woke him up.\I made a call from the house this morning. That's all!\You're the one who said it.\You're the one who said it yourself!\I was just waiting.\I was just waiting for him to hurry up and get here without oversleeping!\Jojo's Bizarre Adventure\Diamond is Unbreakable response:	Episode 37 Shining D (Diamond) is Unbreakable, Part 1
context: I made a call from the house this morning. That's all!\You're the one who said it.\You're the one who said it yourself!\I was just waiting.\I was just waiting for him to hurry up and get here without oversleeping!\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 37 Shining D (Diamond) is Unbreakable, Part 1 response:	Hey, Josuke.
context: You're the one who said it.\You're the one who said it yourself!\I was just waiting.\I was just waiting for him to hurry up and get here without oversleeping!\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 37 Shining D (Diamond) is Unbreakable, Part 1\Hey, Josuke. response:	We're gonna be on time to meet up with everyone.
context: You're the one who said it yourself!\I was just waiting.\I was just waiting for him to hurry up and get here without oversleeping!\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 37 Shining D (Diamond) is Unbreakable, Part 1\Hey, Josuke.\We're gonna be on time to meet up with everyone. response:	Hold it, Okuyasu!
context: I was just waiting.\I was just waiting for him to hurry up and get here without oversleeping!\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 37 Shining D (Diamond) is Unbreakable, Part 1\Hey, Josuke.\We're gonna be on time to meet up with everyone.\Hold it, Okuyasu! response:	I'm not sure if it's coincidence or fate,
context: I was just waiting for him to hurry up and get here without oversleeping!\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 37 Shining D (Diamond) is Unbreakable, Part 1\Hey, Josuke.\We're gonna be on time to meet up with everyone.\Hold it, Okuyasu!\I'm not sure if it's coincidence or fate, response:	but this guy just said a name that I can't believe I heard.
context: Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 37 Shining D (Diamond) is Unbreakable, Part 1\Hey, Josuke.\We're gonna be on time to meet up with everyone.\Hold it, Okuyasu!\I'm not sure if it's coincidence or fate,\but this guy just said a name that I can't believe I heard. response:	I-I-Impossible!
context: Diamond is Unbreakable\Episode 37 Shining D (Diamond) is Unbreakable, Part 1\Hey, Josuke.\We're gonna be on time to meet up with everyone.\Hold it, Okuyasu!\I'm not sure if it's coincidence or fate,\but this guy just said a name that I can't believe I heard.\I-I-Impossible! response:	You said Yoshikage Kira just now, didn't you?
context: Episode 37 Shining D (Diamond) is Unbreakable, Part 1\Hey, Josuke.\We're gonna be on time to meet up with everyone.\Hold it, Okuyasu!\I'm not sure if it's coincidence or fate,\but this guy just said a name that I can't believe I heard.\I-I-Impossible!\You said Yoshikage Kira just now, didn't you? response:	Huh? What?!
context: Hey, Josuke.\We're gonna be on time to meet up with everyone.\Hold it, Okuyasu!\I'm not sure if it's coincidence or fate,\but this guy just said a name that I can't believe I heard.\I-I-Impossible!\You said Yoshikage Kira just now, didn't you?\Huh? What?! response:	H-How could such a coincidence...
context: We're gonna be on time to meet up with everyone.\Hold it, Okuyasu!\I'm not sure if it's coincidence or fate,\but this guy just said a name that I can't believe I heard.\I-I-Impossible!\You said Yoshikage Kira just now, didn't you?\Huh? What?!\H-How could such a coincidence... response:	It's no coincidence!
context: Hold it, Okuyasu!\I'm not sure if it's coincidence or fate,\but this guy just said a name that I can't believe I heard.\I-I-Impossible!\You said Yoshikage Kira just now, didn't you?\Huh? What?!\H-How could such a coincidence...\It's no coincidence! response:	It's not fate, either! This was a gamble!
context: I'm not sure if it's coincidence or fate,\but this guy just said a name that I can't believe I heard.\I-I-Impossible!\You said Yoshikage Kira just now, didn't you?\Huh? What?!\H-How could such a coincidence...\It's no coincidence!\It's not fate, either! This was a gamble! response:	I made a gamble!
context: but this guy just said a name that I can't believe I heard.\I-I-Impossible!\You said Yoshikage Kira just now, didn't you?\Huh? What?!\H-How could such a coincidence...\It's no coincidence!\It's not fate, either! This was a gamble!\I made a gamble! response:	And he came!
context: I-I-Impossible!\You said Yoshikage Kira just now, didn't you?\Huh? What?!\H-How could such a coincidence...\It's no coincidence!\It's not fate, either! This was a gamble!\I made a gamble!\And he came! response:	I know I heard you say it!
context: You said Yoshikage Kira just now, didn't you?\Huh? What?!\H-How could such a coincidence...\It's no coincidence!\It's not fate, either! This was a gamble!\I made a gamble!\And he came!\I know I heard you say it! response:	You definitely just said that name!
context: Huh? What?!\H-How could such a coincidence...\It's no coincidence!\It's not fate, either! This was a gamble!\I made a gamble!\And he came!\I know I heard you say it!\You definitely just said that name! response:	It can't be...
context: H-How could such a coincidence...\It's no coincidence!\It's not fate, either! This was a gamble!\I made a gamble!\And he came!\I know I heard you say it!\You definitely just said that name!\It can't be... response:	You bastard!
context: It's no coincidence!\It's not fate, either! This was a gamble!\I made a gamble!\And he came!\I know I heard you say it!\You definitely just said that name!\It can't be...\You bastard! response:	If you just coincidentally have the same name as him,
context: It's not fate, either! This was a gamble!\I made a gamble!\And he came!\I know I heard you say it!\You definitely just said that name!\It can't be...\You bastard!\If you just coincidentally have the same name as him, response:	I can fix your wounds at any time.
context: I made a gamble!\And he came!\I know I heard you say it!\You definitely just said that name!\It can't be...\You bastard!\If you just coincidentally have the same name as him,\I can fix your wounds at any time. response:	H-He's Yoshikage Kira?
context: And he came!\I know I heard you say it!\You definitely just said that name!\It can't be...\You bastard!\If you just coincidentally have the same name as him,\I can fix your wounds at any time.\H-He's Yoshikage Kira? response:	Th-That's impossible... You brat!
context: I know I heard you say it!\You definitely just said that name!\It can't be...\You bastard!\If you just coincidentally have the same name as him,\I can fix your wounds at any time.\H-He's Yoshikage Kira?\Th-That's impossible... You brat! response:	H-How could this be?
context: You definitely just said that name!\It can't be...\You bastard!\If you just coincidentally have the same name as him,\I can fix your wounds at any time.\H-He's Yoshikage Kira?\Th-That's impossible... You brat!\H-How could this be? response:	I need to undo Bites the Dust and protect myself!
