context: The Kingdom of Fiore... response:	A neutral country of 17 million people.
context: The Kingdom of Fiore...\A neutral country of 17 million people. response:	It is a world of magic.
context: The Kingdom of Fiore...\A neutral country of 17 million people.\It is a world of magic. response:	Magic is bought and sold there every day.
context: The Kingdom of Fiore...\A neutral country of 17 million people.\It is a world of magic.\Magic is bought and sold there every day. response:	It is an integral part of people's lives.
context: The Kingdom of Fiore...\A neutral country of 17 million people.\It is a world of magic.\Magic is bought and sold there every day.\It is an integral part of people's lives. response:	And there are those who use magic as their occupation.
context: The Kingdom of Fiore...\A neutral country of 17 million people.\It is a world of magic.\Magic is bought and sold there every day.\It is an integral part of people's lives.\And there are those who use magic as their occupation. response:	Those people are referred to as wizards.
context: The Kingdom of Fiore...\A neutral country of 17 million people.\It is a world of magic.\Magic is bought and sold there every day.\It is an integral part of people's lives.\And there are those who use magic as their occupation.\Those people are referred to as wizards. response:	The wizards belong to various guilds, and perform jobs on commission.
context: The Kingdom of Fiore...\A neutral country of 17 million people.\It is a world of magic.\Magic is bought and sold there every day.\It is an integral part of people's lives.\And there are those who use magic as their occupation.\Those people are referred to as wizards.\The wizards belong to various guilds, and perform jobs on commission. response:	There are a large number of guilds within the country.
context: A neutral country of 17 million people.\It is a world of magic.\Magic is bought and sold there every day.\It is an integral part of people's lives.\And there are those who use magic as their occupation.\Those people are referred to as wizards.\The wizards belong to various guilds, and perform jobs on commission.\There are a large number of guilds within the country. response:	And in a certain city there lies a certain guild.
context: It is a world of magic.\Magic is bought and sold there every day.\It is an integral part of people's lives.\And there are those who use magic as their occupation.\Those people are referred to as wizards.\The wizards belong to various guilds, and perform jobs on commission.\There are a large number of guilds within the country.\And in a certain city there lies a certain guild. response:	A guild from which various legends were once born... Or rather, will continue to be born long into the future...
context: Magic is bought and sold there every day.\It is an integral part of people's lives.\And there are those who use magic as their occupation.\Those people are referred to as wizards.\The wizards belong to various guilds, and perform jobs on commission.\There are a large number of guilds within the country.\And in a certain city there lies a certain guild.\A guild from which various legends were once born... Or rather, will continue to be born long into the future... response:	Fairy Tail!
context: It is an integral part of people's lives.\And there are those who use magic as their occupation.\Those people are referred to as wizards.\The wizards belong to various guilds, and perform jobs on commission.\There are a large number of guilds within the country.\And in a certain city there lies a certain guild.\A guild from which various legends were once born... Or rather, will continue to be born long into the future...\Fairy Tail! response:	The port town, Hargeon.
context: And there are those who use magic as their occupation.\Those people are referred to as wizards.\The wizards belong to various guilds, and perform jobs on commission.\There are a large number of guilds within the country.\And in a certain city there lies a certain guild.\A guild from which various legends were once born... Or rather, will continue to be born long into the future...\Fairy Tail!\The port town, Hargeon. response:	Um, sir?
context: Those people are referred to as wizards.\The wizards belong to various guilds, and perform jobs on commission.\There are a large number of guilds within the country.\And in a certain city there lies a certain guild.\A guild from which various legends were once born... Or rather, will continue to be born long into the future...\Fairy Tail!\The port town, Hargeon.\Um, sir? response:	Natsu, we're here! Hargeon!
