context: Over a hundred years ago, response:	humanity suddenly found itself faced with a new predator.
context: Over a hundred years ago,\humanity suddenly found itself faced with a new predator. response:	They were far more powerful than humans.
context: Over a hundred years ago,\humanity suddenly found itself faced with a new predator.\They were far more powerful than humans. response:	Humanity was immediately pushed to the brink of extinction.
context: Over a hundred years ago,\humanity suddenly found itself faced with a new predator.\They were far more powerful than humans.\Humanity was immediately pushed to the brink of extinction. response:	Maria, Rose, and Sina.
context: Over a hundred years ago,\humanity suddenly found itself faced with a new predator.\They were far more powerful than humans.\Humanity was immediately pushed to the brink of extinction.\Maria, Rose, and Sina. response:	There, they enjoyed a century of peace.
context: Over a hundred years ago,\humanity suddenly found itself faced with a new predator.\They were far more powerful than humans.\Humanity was immediately pushed to the brink of extinction.\Maria, Rose, and Sina.\There, they enjoyed a century of peace. response:	However...
context: Over a hundred years ago,\humanity suddenly found itself faced with a new predator.\They were far more powerful than humans.\Humanity was immediately pushed to the brink of extinction.\Maria, Rose, and Sina.\There, they enjoyed a century of peace.\However... response:	That Day The Fall of Zhiganshina (2)
context: Over a hundred years ago,\humanity suddenly found itself faced with a new predator.\They were far more powerful than humans.\Humanity was immediately pushed to the brink of extinction.\Maria, Rose, and Sina.\There, they enjoyed a century of peace.\However...\That Day The Fall of Zhiganshina (2) response:	For till then I was a soul in misery, alienate
context: humanity suddenly found itself faced with a new predator.\They were far more powerful than humans.\Humanity was immediately pushed to the brink of extinction.\Maria, Rose, and Sina.\There, they enjoyed a century of peace.\However...\That Day The Fall of Zhiganshina (2)\For till then I was a soul in misery, alienate response:	From God, and covetous of all earthly things;
context: They were far more powerful than humans.\Humanity was immediately pushed to the brink of extinction.\Maria, Rose, and Sina.\There, they enjoyed a century of peace.\However...\That Day The Fall of Zhiganshina (2)\For till then I was a soul in misery, alienate\From God, and covetous of all earthly things; response:	Now, as thou seest,
context: Humanity was immediately pushed to the brink of extinction.\Maria, Rose, and Sina.\There, they enjoyed a century of peace.\However...\That Day The Fall of Zhiganshina (2)\For till then I was a soul in misery, alienate\From God, and covetous of all earthly things;\Now, as thou seest, response:	here punish'd for my doting.
context: Maria, Rose, and Sina.\There, they enjoyed a century of peace.\However...\That Day The Fall of Zhiganshina (2)\For till then I was a soul in misery, alienate\From God, and covetous of all earthly things;\Now, as thou seest,\here punish'd for my doting. response:	Such cleansing from the taint of avarice
