context: Hey, all you viewers out there! response:	When you're watchin' Fairy Tail, make sure to keep the room nice and bright,
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright, response:	and sit back from the screen,'kay?
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay? response:	Previously on Fairy Tail!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail! response:	Phantom's Magical Giant has activated and is trying to cast Abyss Break to destroy all of Magnolia!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\Phantom's Magical Giant has activated and is trying to cast Abyss Break to destroy all of Magnolia! response:	And fierce battles with the Element 4 have begun, as they wait to ambush us after we broke inside!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\Phantom's Magical Giant has activated and is trying to cast Abyss Break to destroy all of Magnolia!\And fierce battles with the Element 4 have begun, as they wait to ambush us after we broke inside! response:	In one battle, Mira has been taken hostage, and when Elfman sees her...
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\Phantom's Magical Giant has activated and is trying to cast Abyss Break to destroy all of Magnolia!\And fierce battles with the Element 4 have begun, as they wait to ambush us after we broke inside!\In one battle, Mira has been taken hostage, and when Elfman sees her... response:	Let my sister go!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\Phantom's Magical Giant has activated and is trying to cast Abyss Break to destroy all of Magnolia!\And fierce battles with the Element 4 have begun, as they wait to ambush us after we broke inside!\In one battle, Mira has been taken hostage, and when Elfman sees her...\Let my sister go! response:	It'll be all right! I'll yell it out countless times.
context: When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\Phantom's Magical Giant has activated and is trying to cast Abyss Break to destroy all of Magnolia!\And fierce battles with the Element 4 have begun, as they wait to ambush us after we broke inside!\In one battle, Mira has been taken hostage, and when Elfman sees her...\Let my sister go!\It'll be all right! I'll yell it out countless times. response:	I believe your every tomorrow will be shining.
context: and sit back from the screen,'kay?\Previously on Fairy Tail!\Phantom's Magical Giant has activated and is trying to cast Abyss Break to destroy all of Magnolia!\And fierce battles with the Element 4 have begun, as they wait to ambush us after we broke inside!\In one battle, Mira has been taken hostage, and when Elfman sees her...\Let my sister go!\It'll be all right! I'll yell it out countless times.\I believe your every tomorrow will be shining. response:	The intersection of all people
context: Previously on Fairy Tail!\Phantom's Magical Giant has activated and is trying to cast Abyss Break to destroy all of Magnolia!\And fierce battles with the Element 4 have begun, as they wait to ambush us after we broke inside!\In one battle, Mira has been taken hostage, and when Elfman sees her...\Let my sister go!\It'll be all right! I'll yell it out countless times.\I believe your every tomorrow will be shining.\The intersection of all people response:	Never giving up. And that's why we're not gonna lose!
