context: Ilulu. response:	Ilulu.
context: Ilulu.\Ilulu. response:	Were you playing with humans again?
context: Ilulu.\Ilulu.\Were you playing with humans again? response:	Yeah.
context: Ilulu.\Ilulu.\Were you playing with humans again?\Yeah. response:	Humans are nice, so I love them!
context: Ilulu.\Ilulu.\Were you playing with humans again?\Yeah.\Humans are nice, so I love them! response:	I see.
context: Ilulu.\Ilulu.\Were you playing with humans again?\Yeah.\Humans are nice, so I love them!\I see. response:	Perhaps it is time we consider coexisting, then.
context: Ilulu.\Ilulu.\Were you playing with humans again?\Yeah.\Humans are nice, so I love them!\I see.\Perhaps it is time we consider coexisting, then. response:	Bad news!
context: Ilulu.\Ilulu.\Were you playing with humans again?\Yeah.\Humans are nice, so I love them!\I see.\Perhaps it is time we consider coexisting, then.\Bad news! response:	The humans are attacking the dragon village!
context: Ilulu.\Were you playing with humans again?\Yeah.\Humans are nice, so I love them!\I see.\Perhaps it is time we consider coexisting, then.\Bad news!\The humans are attacking the dragon village! response:	This always happens when we stay quiet.
context: Were you playing with humans again?\Yeah.\Humans are nice, so I love them!\I see.\Perhaps it is time we consider coexisting, then.\Bad news!\The humans are attacking the dragon village!\This always happens when we stay quiet. response:	Damn humans!
context: Yeah.\Humans are nice, so I love them!\I see.\Perhaps it is time we consider coexisting, then.\Bad news!\The humans are attacking the dragon village!\This always happens when we stay quiet.\Damn humans! response:	They will pay!
context: Humans are nice, so I love them!\I see.\Perhaps it is time we consider coexisting, then.\Bad news!\The humans are attacking the dragon village!\This always happens when we stay quiet.\Damn humans!\They will pay! response:	Where's Mom and Dad?
context: I see.\Perhaps it is time we consider coexisting, then.\Bad news!\The humans are attacking the dragon village!\This always happens when we stay quiet.\Damn humans!\They will pay!\Where's Mom and Dad? response:	I'm sorry, dear.
context: Perhaps it is time we consider coexisting, then.\Bad news!\The humans are attacking the dragon village!\This always happens when we stay quiet.\Damn humans!\They will pay!\Where's Mom and Dad?\I'm sorry, dear. response:	Does this mean I can't play with humans anymore?
context: Bad news!\The humans are attacking the dragon village!\This always happens when we stay quiet.\Damn humans!\They will pay!\Where's Mom and Dad?\I'm sorry, dear.\Does this mean I can't play with humans anymore? response:	Of course it does!
context: The humans are attacking the dragon village!\This always happens when we stay quiet.\Damn humans!\They will pay!\Where's Mom and Dad?\I'm sorry, dear.\Does this mean I can't play with humans anymore?\Of course it does! response:	The humans are the ones who took your parents from you!
context: This always happens when we stay quiet.\Damn humans!\They will pay!\Where's Mom and Dad?\I'm sorry, dear.\Does this mean I can't play with humans anymore?\Of course it does!\The humans are the ones who took your parents from you! response:	Humans are our enemy!
context: Damn humans!\They will pay!\Where's Mom and Dad?\I'm sorry, dear.\Does this mean I can't play with humans anymore?\Of course it does!\The humans are the ones who took your parents from you!\Humans are our enemy! response:	There will never be understanding between us!
context: They will pay!\Where's Mom and Dad?\I'm sorry, dear.\Does this mean I can't play with humans anymore?\Of course it does!\The humans are the ones who took your parents from you!\Humans are our enemy!\There will never be understanding between us! response:	Good.
context: Where's Mom and Dad?\I'm sorry, dear.\Does this mean I can't play with humans anymore?\Of course it does!\The humans are the ones who took your parents from you!\Humans are our enemy!\There will never be understanding between us!\Good. response:	Everyone's asleep.
context: I'm sorry, dear.\Does this mean I can't play with humans anymore?\Of course it does!\The humans are the ones who took your parents from you!\Humans are our enemy!\There will never be understanding between us!\Good.\Everyone's asleep. response:	I can't believe the first one I'd see aside from my father's would be my own...
context: Does this mean I can't play with humans anymore?\Of course it does!\The humans are the ones who took your parents from you!\Humans are our enemy!\There will never be understanding between us!\Good.\Everyone's asleep.\I can't believe the first one I'd see aside from my father's would be my own... response:	Jeez, please say something if you're going to be late.
context: Of course it does!\The humans are the ones who took your parents from you!\Humans are our enemy!\There will never be understanding between us!\Good.\Everyone's asleep.\I can't believe the first one I'd see aside from my father's would be my own...\Jeez, please say something if you're going to be late. response:	Oh, yeah. Sorry.
context: The humans are the ones who took your parents from you!\Humans are our enemy!\There will never be understanding between us!\Good.\Everyone's asleep.\I can't believe the first one I'd see aside from my father's would be my own...\Jeez, please say something if you're going to be late.\Oh, yeah. Sorry. response:	What's the matter, Miss Kobayashi?
context: Humans are our enemy!\There will never be understanding between us!\Good.\Everyone's asleep.\I can't believe the first one I'd see aside from my father's would be my own...\Jeez, please say something if you're going to be late.\Oh, yeah. Sorry.\What's the matter, Miss Kobayashi? response:	Your face is bright red.
context: There will never be understanding between us!\Good.\Everyone's asleep.\I can't believe the first one I'd see aside from my father's would be my own...\Jeez, please say something if you're going to be late.\Oh, yeah. Sorry.\What's the matter, Miss Kobayashi?\Your face is bright red. response:	Huh?
context: Good.\Everyone's asleep.\I can't believe the first one I'd see aside from my father's would be my own...\Jeez, please say something if you're going to be late.\Oh, yeah. Sorry.\What's the matter, Miss Kobayashi?\Your face is bright red.\Huh? response:	Do you have a cold?
context: Everyone's asleep.\I can't believe the first one I'd see aside from my father's would be my own...\Jeez, please say something if you're going to be late.\Oh, yeah. Sorry.\What's the matter, Miss Kobayashi?\Your face is bright red.\Huh?\Do you have a cold? response:	I-I'm fine!
context: I can't believe the first one I'd see aside from my father's would be my own...\Jeez, please say something if you're going to be late.\Oh, yeah. Sorry.\What's the matter, Miss Kobayashi?\Your face is bright red.\Huh?\Do you have a cold?\I-I'm fine! response:	Huh? Why?!
context: Jeez, please say something if you're going to be late.\Oh, yeah. Sorry.\What's the matter, Miss Kobayashi?\Your face is bright red.\Huh?\Do you have a cold?\I-I'm fine!\Huh? Why?! response:	Why is my heart racing because Tohru looks like this?!
context: Oh, yeah. Sorry.\What's the matter, Miss Kobayashi?\Your face is bright red.\Huh?\Do you have a cold?\I-I'm fine!\Huh? Why?!\Why is my heart racing because Tohru looks like this?! response:	Does this mean I'm lusting after Tohru?
context: What's the matter, Miss Kobayashi?\Your face is bright red.\Huh?\Do you have a cold?\I-I'm fine!\Huh? Why?!\Why is my heart racing because Tohru looks like this?!\Does this mean I'm lusting after Tohru? response:	Just put your clothes on.
context: Your face is bright red.\Huh?\Do you have a cold?\I-I'm fine!\Huh? Why?!\Why is my heart racing because Tohru looks like this?!\Does this mean I'm lusting after Tohru?\Just put your clothes on. response:	Okay.
context: Huh?\Do you have a cold?\I-I'm fine!\Huh? Why?!\Why is my heart racing because Tohru looks like this?!\Does this mean I'm lusting after Tohru?\Just put your clothes on.\Okay. response:	Kobayashi,
context: Do you have a cold?\I-I'm fine!\Huh? Why?!\Why is my heart racing because Tohru looks like this?!\Does this mean I'm lusting after Tohru?\Just put your clothes on.\Okay.\Kobayashi, response:	now that you've become a man,
context: I-I'm fine!\Huh? Why?!\Why is my heart racing because Tohru looks like this?!\Does this mean I'm lusting after Tohru?\Just put your clothes on.\Okay.\Kobayashi,\now that you've become a man, response:	you'll show your true colors in no time!
context: Huh? Why?!\Why is my heart racing because Tohru looks like this?!\Does this mean I'm lusting after Tohru?\Just put your clothes on.\Okay.\Kobayashi,\now that you've become a man,\you'll show your true colors in no time! response:	Now, show me!
context: Why is my heart racing because Tohru looks like this?!\Does this mean I'm lusting after Tohru?\Just put your clothes on.\Okay.\Kobayashi,\now that you've become a man,\you'll show your true colors in no time!\Now, show me! response:	Show me how shallow humans are!
context: Does this mean I'm lusting after Tohru?\Just put your clothes on.\Okay.\Kobayashi,\now that you've become a man,\you'll show your true colors in no time!\Now, show me!\Show me how shallow humans are! response:	I bet that's what she's thinking.
context: Just put your clothes on.\Okay.\Kobayashi,\now that you've become a man,\you'll show your true colors in no time!\Now, show me!\Show me how shallow humans are!\I bet that's what she's thinking. response:	I'm betting Ilulu used magic to turn me into a guy.
context: Okay.\Kobayashi,\now that you've become a man,\you'll show your true colors in no time!\Now, show me!\Show me how shallow humans are!\I bet that's what she's thinking.\I'm betting Ilulu used magic to turn me into a guy. response:	I just hope I go back to normal with time.
context: Kobayashi,\now that you've become a man,\you'll show your true colors in no time!\Now, show me!\Show me how shallow humans are!\I bet that's what she's thinking.\I'm betting Ilulu used magic to turn me into a guy.\I just hope I go back to normal with time. response:	I don't know what Ilulu hopes to get out of me,
context: now that you've become a man,\you'll show your true colors in no time!\Now, show me!\Show me how shallow humans are!\I bet that's what she's thinking.\I'm betting Ilulu used magic to turn me into a guy.\I just hope I go back to normal with time.\I don't know what Ilulu hopes to get out of me, response:	but I need to keep a clear head.
context: you'll show your true colors in no time!\Now, show me!\Show me how shallow humans are!\I bet that's what she's thinking.\I'm betting Ilulu used magic to turn me into a guy.\I just hope I go back to normal with time.\I don't know what Ilulu hopes to get out of me,\but I need to keep a clear head. response:	K-Kanna-chan?!
context: Now, show me!\Show me how shallow humans are!\I bet that's what she's thinking.\I'm betting Ilulu used magic to turn me into a guy.\I just hope I go back to normal with time.\I don't know what Ilulu hopes to get out of me,\but I need to keep a clear head.\K-Kanna-chan?! response:	Good morning, Kobayashi.
context: Show me how shallow humans are!\I bet that's what she's thinking.\I'm betting Ilulu used magic to turn me into a guy.\I just hope I go back to normal with time.\I don't know what Ilulu hopes to get out of me,\but I need to keep a clear head.\K-Kanna-chan?!\Good morning, Kobayashi. response:	What's wrong?
context: I bet that's what she's thinking.\I'm betting Ilulu used magic to turn me into a guy.\I just hope I go back to normal with time.\I don't know what Ilulu hopes to get out of me,\but I need to keep a clear head.\K-Kanna-chan?!\Good morning, Kobayashi.\What's wrong? response:	I thought you'd be cold in the morning.
context: I'm betting Ilulu used magic to turn me into a guy.\I just hope I go back to normal with time.\I don't know what Ilulu hopes to get out of me,\but I need to keep a clear head.\K-Kanna-chan?!\Good morning, Kobayashi.\What's wrong?\I thought you'd be cold in the morning. response:	I-I'm awake already, okay?
context: I just hope I go back to normal with time.\I don't know what Ilulu hopes to get out of me,\but I need to keep a clear head.\K-Kanna-chan?!\Good morning, Kobayashi.\What's wrong?\I thought you'd be cold in the morning.\I-I'm awake already, okay? response:	At this point, I have no idea what might happen.
