context: Vivian, the Sex Pistols, Seven Star cigarettes, response:	coffee with milk, cake with a strawberry on top.
context: Vivian, the Sex Pistols, Seven Star cigarettes,\coffee with milk, cake with a strawberry on top. response:	And the lotus flower.
context: Vivian, the Sex Pistols, Seven Star cigarettes,\coffee with milk, cake with a strawberry on top.\And the lotus flower. response:	The things Nana liked were always the same.
context: Vivian, the Sex Pistols, Seven Star cigarettes,\coffee with milk, cake with a strawberry on top.\And the lotus flower.\The things Nana liked were always the same. response:	I used to think that was cool because I could never stick to one thing.
context: Vivian, the Sex Pistols, Seven Star cigarettes,\coffee with milk, cake with a strawberry on top.\And the lotus flower.\The things Nana liked were always the same.\I used to think that was cool because I could never stick to one thing. response:	When I was darkness at that time
context: Vivian, the Sex Pistols, Seven Star cigarettes,\coffee with milk, cake with a strawberry on top.\And the lotus flower.\The things Nana liked were always the same.\I used to think that was cool because I could never stick to one thing.\When I was darkness at that time response:	With trembling lips
context: Vivian, the Sex Pistols, Seven Star cigarettes,\coffee with milk, cake with a strawberry on top.\And the lotus flower.\The things Nana liked were always the same.\I used to think that was cool because I could never stick to one thing.\When I was darkness at that time\With trembling lips response:	The more I struggle
context: Vivian, the Sex Pistols, Seven Star cigarettes,\coffee with milk, cake with a strawberry on top.\And the lotus flower.\The things Nana liked were always the same.\I used to think that was cool because I could never stick to one thing.\When I was darkness at that time\With trembling lips\The more I struggle response:	The more this wound deepens
context: coffee with milk, cake with a strawberry on top.\And the lotus flower.\The things Nana liked were always the same.\I used to think that was cool because I could never stick to one thing.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens response:	The broken promise hurt me
context: And the lotus flower.\The things Nana liked were always the same.\I used to think that was cool because I could never stick to one thing.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me response:	Nobody can save me
context: The things Nana liked were always the same.\I used to think that was cool because I could never stick to one thing.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me response:	God, I have only one request
context: I used to think that was cool because I could never stick to one thing.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request response:	Stop tearing apart my love
context: When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love response:	I need your love
context: With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love response:	I'm a broken rose
context: The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose response:	Sorrow tumbling down is your song
context: The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song response:	All alone with nowhere to go in my life
context: The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life response:	I need your love
context: Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love response:	I'm a broken rose
context: God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose response:	Oh baby, help me from frozen pain
context: Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain response:	With your smile, your eyes, and sing me, just for me
context: I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me response:	I wanna need your love
context: I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love response:	I'm a broken rose
context: Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose response:	I wanna need your love
context: All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love response:	Is that all you got?
context: I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Is that all you got? response:	Yup. I've asked my Mom to send the rest of my stuff for me by courier.
context: I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Is that all you got?\Yup. I've asked my Mom to send the rest of my stuff for me by courier. response:	I'm going to buy new furniture and anything else I need.
context: Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Is that all you got?\Yup. I've asked my Mom to send the rest of my stuff for me by courier.\I'm going to buy new furniture and anything else I need. response:	How about you, Nana?
context: With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Is that all you got?\Yup. I've asked my Mom to send the rest of my stuff for me by courier.\I'm going to buy new furniture and anything else I need.\How about you, Nana? response:	I got my guitar and this. That's it.
context: I wanna need your love\I'm a broken rose\I wanna need your love\Is that all you got?\Yup. I've asked my Mom to send the rest of my stuff for me by courier.\I'm going to buy new furniture and anything else I need.\How about you, Nana?\I got my guitar and this. That's it. response:	What about your other stuff?
context: I'm a broken rose\I wanna need your love\Is that all you got?\Yup. I've asked my Mom to send the rest of my stuff for me by courier.\I'm going to buy new furniture and anything else I need.\How about you, Nana?\I got my guitar and this. That's it.\What about your other stuff? response:	Let's see...
context: I wanna need your love\Is that all you got?\Yup. I've asked my Mom to send the rest of my stuff for me by courier.\I'm going to buy new furniture and anything else I need.\How about you, Nana?\I got my guitar and this. That's it.\What about your other stuff?\Let's see... response:	Write everything you need on a piece of paper.
context: Is that all you got?\Yup. I've asked my Mom to send the rest of my stuff for me by courier.\I'm going to buy new furniture and anything else I need.\How about you, Nana?\I got my guitar and this. That's it.\What about your other stuff?\Let's see...\Write everything you need on a piece of paper. response:	I'll send them to you when I get back.
context: Yup. I've asked my Mom to send the rest of my stuff for me by courier.\I'm going to buy new furniture and anything else I need.\How about you, Nana?\I got my guitar and this. That's it.\What about your other stuff?\Let's see...\Write everything you need on a piece of paper.\I'll send them to you when I get back. response:	Get back?
context: I'm going to buy new furniture and anything else I need.\How about you, Nana?\I got my guitar and this. That's it.\What about your other stuff?\Let's see...\Write everything you need on a piece of paper.\I'll send them to you when I get back.\Get back? response:	Yasu just came up to sign the papers for me.
context: How about you, Nana?\I got my guitar and this. That's it.\What about your other stuff?\Let's see...\Write everything you need on a piece of paper.\I'll send them to you when I get back.\Get back?\Yasu just came up to sign the papers for me. response:	He lives back home.
context: I got my guitar and this. That's it.\What about your other stuff?\Let's see...\Write everything you need on a piece of paper.\I'll send them to you when I get back.\Get back?\Yasu just came up to sign the papers for me.\He lives back home. response:	Huh? He's your guarantor?
context: What about your other stuff?\Let's see...\Write everything you need on a piece of paper.\I'll send them to you when I get back.\Get back?\Yasu just came up to sign the papers for me.\He lives back home.\Huh? He's your guarantor? response:	What about your parents?
context: Let's see...\Write everything you need on a piece of paper.\I'll send them to you when I get back.\Get back?\Yasu just came up to sign the papers for me.\He lives back home.\Huh? He's your guarantor?\What about your parents? response:	- Here's the list, Yasu. - That was fast.
context: Write everything you need on a piece of paper.\I'll send them to you when I get back.\Get back?\Yasu just came up to sign the papers for me.\He lives back home.\Huh? He's your guarantor?\What about your parents?\- Here's the list, Yasu. - That was fast. response:	Oh, I get it! You ran away from home!
context: I'll send them to you when I get back.\Get back?\Yasu just came up to sign the papers for me.\He lives back home.\Huh? He's your guarantor?\What about your parents?\- Here's the list, Yasu. - That was fast.\Oh, I get it! You ran away from home! response:	You seem like the type.
context: Get back?\Yasu just came up to sign the papers for me.\He lives back home.\Huh? He's your guarantor?\What about your parents?\- Here's the list, Yasu. - That was fast.\Oh, I get it! You ran away from home!\You seem like the type. response:	And what type is that?
context: Yasu just came up to sign the papers for me.\He lives back home.\Huh? He's your guarantor?\What about your parents?\- Here's the list, Yasu. - That was fast.\Oh, I get it! You ran away from home!\You seem like the type.\And what type is that? response:	You're really from a posh family
context: He lives back home.\Huh? He's your guarantor?\What about your parents?\- Here's the list, Yasu. - That was fast.\Oh, I get it! You ran away from home!\You seem like the type.\And what type is that?\You're really from a posh family response:	and your parents were against you being in a rock band!
