context: You're kidding... response:	Was this designed to be impossible?
context: You're kidding...\Was this designed to be impossible? response:	I lost.
context: You're kidding...\Was this designed to be impossible?\I lost. response:	We lost.
context: You're kidding...\Was this designed to be impossible?\I lost.\We lost. response:	Guild Master
context: You're kidding...\Was this designed to be impossible?\I lost.\We lost.\Guild Master response:	Guild Master.
context: You're kidding...\Was this designed to be impossible?\I lost.\We lost.\Guild Master\Guild Master. response:	Is that even right?
context: You're kidding...\Was this designed to be impossible?\I lost.\We lost.\Guild Master\Guild Master.\Is that even right? response:	Three raid bosses at once?
context: You're kidding...\Was this designed to be impossible?\I lost.\We lost.\Guild Master\Guild Master.\Is that even right?\Three raid bosses at once? response:	It's not fair.
context: Was this designed to be impossible?\I lost.\We lost.\Guild Master\Guild Master.\Is that even right?\Three raid bosses at once?\It's not fair. response:	What was that thing?
context: I lost.\We lost.\Guild Master\Guild Master.\Is that even right?\Three raid bosses at once?\It's not fair.\What was that thing? response:	I-Is this the only place like this?
context: We lost.\Guild Master\Guild Master.\Is that even right?\Three raid bosses at once?\It's not fair.\What was that thing?\I-Is this the only place like this? response:	You're right.
context: Guild Master\Guild Master.\Is that even right?\Three raid bosses at once?\It's not fair.\What was that thing?\I-Is this the only place like this?\You're right. response:	If all the other raid zones are like this now...
context: Guild Master.\Is that even right?\Three raid bosses at once?\It's not fair.\What was that thing?\I-Is this the only place like this?\You're right.\If all the other raid zones are like this now... response:	They'll be impossible.
context: Is that even right?\Three raid bosses at once?\It's not fair.\What was that thing?\I-Is this the only place like this?\You're right.\If all the other raid zones are like this now...\They'll be impossible. response:	Winning a raid will become impossible.
context: Three raid bosses at once?\It's not fair.\What was that thing?\I-Is this the only place like this?\You're right.\If all the other raid zones are like this now...\They'll be impossible.\Winning a raid will become impossible. response:	What were we working so hard for?
context: It's not fair.\What was that thing?\I-Is this the only place like this?\You're right.\If all the other raid zones are like this now...\They'll be impossible.\Winning a raid will become impossible.\What were we working so hard for? response:	We trained, got good equipment, and worked together.
context: What was that thing?\I-Is this the only place like this?\You're right.\If all the other raid zones are like this now...\They'll be impossible.\Winning a raid will become impossible.\What were we working so hard for?\We trained, got good equipment, and worked together. response:	We failed and tried again...
context: I-Is this the only place like this?\You're right.\If all the other raid zones are like this now...\They'll be impossible.\Winning a raid will become impossible.\What were we working so hard for?\We trained, got good equipment, and worked together.\We failed and tried again... response:	When it worked, it felt great.
context: You're right.\If all the other raid zones are like this now...\They'll be impossible.\Winning a raid will become impossible.\What were we working so hard for?\We trained, got good equipment, and worked together.\We failed and tried again...\When it worked, it felt great. response:	I felt like I'd grown.
context: If all the other raid zones are like this now...\They'll be impossible.\Winning a raid will become impossible.\What were we working so hard for?\We trained, got good equipment, and worked together.\We failed and tried again...\When it worked, it felt great.\I felt like I'd grown. response:	That's all gone now.
