context: (yeah that's worded pretty much like a cliche, edit as you want) response:	I'm sorry.
context: (yeah that's worded pretty much like a cliche, edit as you want)\I'm sorry. response:	But... then why...
context: (yeah that's worded pretty much like a cliche, edit as you want)\I'm sorry.\But... then why... response:	But... I think Isurugi-san is amazing.
context: (yeah that's worded pretty much like a cliche, edit as you want)\I'm sorry.\But... then why...\But... I think Isurugi-san is amazing. response:	Since she saw through me.
context: (yeah that's worded pretty much like a cliche, edit as you want)\I'm sorry.\But... then why...\But... I think Isurugi-san is amazing.\Since she saw through me. response:	What does she mean, she saw through her?
context: (yeah that's worded pretty much like a cliche, edit as you want)\I'm sorry.\But... then why...\But... I think Isurugi-san is amazing.\Since she saw through me.\What does she mean, she saw through her? response:	Chicken feed...
context: (yeah that's worded pretty much like a cliche, edit as you want)\I'm sorry.\But... then why...\But... I think Isurugi-san is amazing.\Since she saw through me.\What does she mean, she saw through her?\Chicken feed... response:	Yo, Shinichirou!
context: (yeah that's worded pretty much like a cliche, edit as you want)\I'm sorry.\But... then why...\But... I think Isurugi-san is amazing.\Since she saw through me.\What does she mean, she saw through her?\Chicken feed...\Yo, Shinichirou! response:	Yo!
context: I'm sorry.\But... then why...\But... I think Isurugi-san is amazing.\Since she saw through me.\What does she mean, she saw through her?\Chicken feed...\Yo, Shinichirou!\Yo! response:	Tomoyo, you're being weird!
context: But... then why...\But... I think Isurugi-san is amazing.\Since she saw through me.\What does she mean, she saw through her?\Chicken feed...\Yo, Shinichirou!\Yo!\Tomoyo, you're being weird! response:	Today, we are stopping by Ai-chan's as well!
context: But... I think Isurugi-san is amazing.\Since she saw through me.\What does she mean, she saw through her?\Chicken feed...\Yo, Shinichirou!\Yo!\Tomoyo, you're being weird!\Today, we are stopping by Ai-chan's as well! response:	Alright, let's go then.
context: Since she saw through me.\What does she mean, she saw through her?\Chicken feed...\Yo, Shinichirou!\Yo!\Tomoyo, you're being weird!\Today, we are stopping by Ai-chan's as well!\Alright, let's go then. response:	Honestly...
context: What does she mean, she saw through her?\Chicken feed...\Yo, Shinichirou!\Yo!\Tomoyo, you're being weird!\Today, we are stopping by Ai-chan's as well!\Alright, let's go then.\Honestly... response:	Shinichirou, lend me your English dictionary.
context: Chicken feed...\Yo, Shinichirou!\Yo!\Tomoyo, you're being weird!\Today, we are stopping by Ai-chan's as well!\Alright, let's go then.\Honestly...\Shinichirou, lend me your English dictionary. response:	Alright, it's in my locker.
context: Yo, Shinichirou!\Yo!\Tomoyo, you're being weird!\Today, we are stopping by Ai-chan's as well!\Alright, let's go then.\Honestly...\Shinichirou, lend me your English dictionary.\Alright, it's in my locker. response:	Then I'm taking it.
context: Yo!\Tomoyo, you're being weird!\Today, we are stopping by Ai-chan's as well!\Alright, let's go then.\Honestly...\Shinichirou, lend me your English dictionary.\Alright, it's in my locker.\Then I'm taking it. response:	Wa-Wait a second, Nobuse!
context: Tomoyo, you're being weird!\Today, we are stopping by Ai-chan's as well!\Alright, let's go then.\Honestly...\Shinichirou, lend me your English dictionary.\Alright, it's in my locker.\Then I'm taking it.\Wa-Wait a second, Nobuse! response:	What the hell's this?
