context: Lisanna was good friends with Natsu since they were children, response:	but during one incident, it was thought that she died.
context: Lisanna was good friends with Natsu since they were children,\but during one incident, it was thought that she died. response:	We eventually overcame our sadness and somehow moved on...
context: Lisanna was good friends with Natsu since they were children,\but during one incident, it was thought that she died.\We eventually overcame our sadness and somehow moved on... response:	But then we were reunited with Lisanna in Edolas.
context: Lisanna was good friends with Natsu since they were children,\but during one incident, it was thought that she died.\We eventually overcame our sadness and somehow moved on...\But then we were reunited with Lisanna in Edolas. response:	And moreover, she was really our Lisanna!
context: Lisanna was good friends with Natsu since they were children,\but during one incident, it was thought that she died.\We eventually overcame our sadness and somehow moved on...\But then we were reunited with Lisanna in Edolas.\And moreover, she was really our Lisanna! response:	Natsu and the others were tackling the S Class Wizard Advancement Exam
context: Lisanna was good friends with Natsu since they were children,\but during one incident, it was thought that she died.\We eventually overcame our sadness and somehow moved on...\But then we were reunited with Lisanna in Edolas.\And moreover, she was really our Lisanna!\Natsu and the others were tackling the S Class Wizard Advancement Exam response:	when the powerful Dark Guild, Grimoire Heart, appeared before them.
context: Lisanna was good friends with Natsu since they were children,\but during one incident, it was thought that she died.\We eventually overcame our sadness and somehow moved on...\But then we were reunited with Lisanna in Edolas.\And moreover, she was really our Lisanna!\Natsu and the others were tackling the S Class Wizard Advancement Exam\when the powerful Dark Guild, Grimoire Heart, appeared before them. response:	While the Fairy Tail wizards were fighting a desperate battle
context: Lisanna was good friends with Natsu since they were children,\but during one incident, it was thought that she died.\We eventually overcame our sadness and somehow moved on...\But then we were reunited with Lisanna in Edolas.\And moreover, she was really our Lisanna!\Natsu and the others were tackling the S Class Wizard Advancement Exam\when the powerful Dark Guild, Grimoire Heart, appeared before them.\While the Fairy Tail wizards were fighting a desperate battle response:	against the Lost Magic-wielding Seven Kin of Purgatory,
context: but during one incident, it was thought that she died.\We eventually overcame our sadness and somehow moved on...\But then we were reunited with Lisanna in Edolas.\And moreover, she was really our Lisanna!\Natsu and the others were tackling the S Class Wizard Advancement Exam\when the powerful Dark Guild, Grimoire Heart, appeared before them.\While the Fairy Tail wizards were fighting a desperate battle\against the Lost Magic-wielding Seven Kin of Purgatory, response:	Makarov was defeated by Master Hades.
context: We eventually overcame our sadness and somehow moved on...\But then we were reunited with Lisanna in Edolas.\And moreover, she was really our Lisanna!\Natsu and the others were tackling the S Class Wizard Advancement Exam\when the powerful Dark Guild, Grimoire Heart, appeared before them.\While the Fairy Tail wizards were fighting a desperate battle\against the Lost Magic-wielding Seven Kin of Purgatory,\Makarov was defeated by Master Hades. response:	I will never forgive you!
context: But then we were reunited with Lisanna in Edolas.\And moreover, she was really our Lisanna!\Natsu and the others were tackling the S Class Wizard Advancement Exam\when the powerful Dark Guild, Grimoire Heart, appeared before them.\While the Fairy Tail wizards were fighting a desperate battle\against the Lost Magic-wielding Seven Kin of Purgatory,\Makarov was defeated by Master Hades.\I will never forgive you! response:	Don't underestimate the power... of family!!
context: And moreover, she was really our Lisanna!\Natsu and the others were tackling the S Class Wizard Advancement Exam\when the powerful Dark Guild, Grimoire Heart, appeared before them.\While the Fairy Tail wizards were fighting a desperate battle\against the Lost Magic-wielding Seven Kin of Purgatory,\Makarov was defeated by Master Hades.\I will never forgive you!\Don't underestimate the power... of family!! response:	Somehow, Natsu beat the God Slayer, Zancrow. However...
context: Natsu and the others were tackling the S Class Wizard Advancement Exam\when the powerful Dark Guild, Grimoire Heart, appeared before them.\While the Fairy Tail wizards were fighting a desperate battle\against the Lost Magic-wielding Seven Kin of Purgatory,\Makarov was defeated by Master Hades.\I will never forgive you!\Don't underestimate the power... of family!!\Somehow, Natsu beat the God Slayer, Zancrow. However... response:	The World of Great Magic.
context: when the powerful Dark Guild, Grimoire Heart, appeared before them.\While the Fairy Tail wizards were fighting a desperate battle\against the Lost Magic-wielding Seven Kin of Purgatory,\Makarov was defeated by Master Hades.\I will never forgive you!\Don't underestimate the power... of family!!\Somehow, Natsu beat the God Slayer, Zancrow. However...\The World of Great Magic. response:	I-Impossible...
context: While the Fairy Tail wizards were fighting a desperate battle\against the Lost Magic-wielding Seven Kin of Purgatory,\Makarov was defeated by Master Hades.\I will never forgive you!\Don't underestimate the power... of family!!\Somehow, Natsu beat the God Slayer, Zancrow. However...\The World of Great Magic.\I-Impossible... response:	Some wannabe dragon hunter... beat me?
context: against the Lost Magic-wielding Seven Kin of Purgatory,\Makarov was defeated by Master Hades.\I will never forgive you!\Don't underestimate the power... of family!!\Somehow, Natsu beat the God Slayer, Zancrow. However...\The World of Great Magic.\I-Impossible...\Some wannabe dragon hunter... beat me? response:	Inside the enemy's magic power, he emptied out his own magic...
context: Makarov was defeated by Master Hades.\I will never forgive you!\Don't underestimate the power... of family!!\Somehow, Natsu beat the God Slayer, Zancrow. However...\The World of Great Magic.\I-Impossible...\Some wannabe dragon hunter... beat me?\Inside the enemy's magic power, he emptied out his own magic... response:	And he created a new vessel which lets him eat flames he couldn't eat before!
context: I will never forgive you!\Don't underestimate the power... of family!!\Somehow, Natsu beat the God Slayer, Zancrow. However...\The World of Great Magic.\I-Impossible...\Some wannabe dragon hunter... beat me?\Inside the enemy's magic power, he emptied out his own magic...\And he created a new vessel which lets him eat flames he couldn't eat before! response:	What manner of man is he...?
context: Don't underestimate the power... of family!!\Somehow, Natsu beat the God Slayer, Zancrow. However...\The World of Great Magic.\I-Impossible...\Some wannabe dragon hunter... beat me?\Inside the enemy's magic power, he emptied out his own magic...\And he created a new vessel which lets him eat flames he couldn't eat before!\What manner of man is he...? response:	I'll have to give him a good scolding for this later...
context: Somehow, Natsu beat the God Slayer, Zancrow. However...\The World of Great Magic.\I-Impossible...\Some wannabe dragon hunter... beat me?\Inside the enemy's magic power, he emptied out his own magic...\And he created a new vessel which lets him eat flames he couldn't eat before!\What manner of man is he...?\I'll have to give him a good scolding for this later... response:	Gramps...
context: The World of Great Magic.\I-Impossible...\Some wannabe dragon hunter... beat me?\Inside the enemy's magic power, he emptied out his own magic...\And he created a new vessel which lets him eat flames he couldn't eat before!\What manner of man is he...?\I'll have to give him a good scolding for this later...\Gramps... response:	Let's fight.
context: I-Impossible...\Some wannabe dragon hunter... beat me?\Inside the enemy's magic power, he emptied out his own magic...\And he created a new vessel which lets him eat flames he couldn't eat before!\What manner of man is he...?\I'll have to give him a good scolding for this later...\Gramps...\Let's fight. response:	I know there are times when you have to fall back.
context: Some wannabe dragon hunter... beat me?\Inside the enemy's magic power, he emptied out his own magic...\And he created a new vessel which lets him eat flames he couldn't eat before!\What manner of man is he...?\I'll have to give him a good scolding for this later...\Gramps...\Let's fight.\I know there are times when you have to fall back. response:	Gildarts taught me that.
context: Inside the enemy's magic power, he emptied out his own magic...\And he created a new vessel which lets him eat flames he couldn't eat before!\What manner of man is he...?\I'll have to give him a good scolding for this later...\Gramps...\Let's fight.\I know there are times when you have to fall back.\Gildarts taught me that. response:	But this ain't one of those times.
context: And he created a new vessel which lets him eat flames he couldn't eat before!\What manner of man is he...?\I'll have to give him a good scolding for this later...\Gramps...\Let's fight.\I know there are times when you have to fall back.\Gildarts taught me that.\But this ain't one of those times. response:	These bastards chose Fairy Tail as their enemy.
