context: This is Maison de Ayakashi. response:	Also known as Ayakashi Kan.
context: This is Maison de Ayakashi.\Also known as Ayakashi Kan. response:	Yes...
context: This is Maison de Ayakashi.\Also known as Ayakashi Kan.\Yes... response:	Yes. Is that so?
context: This is Maison de Ayakashi.\Also known as Ayakashi Kan.\Yes...\Yes. Is that so? response:	I understand.
context: This is Maison de Ayakashi.\Also known as Ayakashi Kan.\Yes...\Yes. Is that so?\I understand. response:	I'll say it one more time. This is...
context: This is Maison de Ayakashi.\Also known as Ayakashi Kan.\Yes...\Yes. Is that so?\I understand.\I'll say it one more time. This is... response:	Everything is fine.
context: This is Maison de Ayakashi.\Also known as Ayakashi Kan.\Yes...\Yes. Is that so?\I understand.\I'll say it one more time. This is...\Everything is fine. response:	Please do not worry.
context: This is Maison de Ayakashi.\Also known as Ayakashi Kan.\Yes...\Yes. Is that so?\I understand.\I'll say it one more time. This is...\Everything is fine.\Please do not worry. response:	I will do everything
context: Also known as Ayakashi Kan.\Yes...\Yes. Is that so?\I understand.\I'll say it one more time. This is...\Everything is fine.\Please do not worry.\I will do everything response:	in my power to protect you, Miss Ririchiyo.
context: Yes...\Yes. Is that so?\I understand.\I'll say it one more time. This is...\Everything is fine.\Please do not worry.\I will do everything\in my power to protect you, Miss Ririchiyo. response:	15 minutes earlier...
context: Yes. Is that so?\I understand.\I'll say it one more time. This is...\Everything is fine.\Please do not worry.\I will do everything\in my power to protect you, Miss Ririchiyo.\15 minutes earlier... response:	Thank you, Miss Ririchiyo.
context: I understand.\I'll say it one more time. This is...\Everything is fine.\Please do not worry.\I will do everything\in my power to protect you, Miss Ririchiyo.\15 minutes earlier...\Thank you, Miss Ririchiyo. response:	It was an honor to be allowed
context: I'll say it one more time. This is...\Everything is fine.\Please do not worry.\I will do everything\in my power to protect you, Miss Ririchiyo.\15 minutes earlier...\Thank you, Miss Ririchiyo.\It was an honor to be allowed response:	Their Night Alone
context: Everything is fine.\Please do not worry.\I will do everything\in my power to protect you, Miss Ririchiyo.\15 minutes earlier...\Thank you, Miss Ririchiyo.\It was an honor to be allowed\Their Night Alone response:	to receive you after school again today.
context: Please do not worry.\I will do everything\in my power to protect you, Miss Ririchiyo.\15 minutes earlier...\Thank you, Miss Ririchiyo.\It was an honor to be allowed\Their Night Alone\to receive you after school again today. response:	I shall come for you again, for the next meal.
context: I will do everything\in my power to protect you, Miss Ririchiyo.\15 minutes earlier...\Thank you, Miss Ririchiyo.\It was an honor to be allowed\Their Night Alone\to receive you after school again today.\I shall come for you again, for the next meal. response:	Today is the day
context: in my power to protect you, Miss Ririchiyo.\15 minutes earlier...\Thank you, Miss Ririchiyo.\It was an honor to be allowed\Their Night Alone\to receive you after school again today.\I shall come for you again, for the next meal.\Today is the day response:	I will tell Miketsukami how grateful I am!
context: 15 minutes earlier...\Thank you, Miss Ririchiyo.\It was an honor to be allowed\Their Night Alone\to receive you after school again today.\I shall come for you again, for the next meal.\Today is the day\I will tell Miketsukami how grateful I am! response:	You won that in a supermarket raffle?
context: Thank you, Miss Ririchiyo.\It was an honor to be allowed\Their Night Alone\to receive you after school again today.\I shall come for you again, for the next meal.\Today is the day\I will tell Miketsukami how grateful I am!\You won that in a supermarket raffle? response:	Yup, hit the jackpot!
context: It was an honor to be allowed\Their Night Alone\to receive you after school again today.\I shall come for you again, for the next meal.\Today is the day\I will tell Miketsukami how grateful I am!\You won that in a supermarket raffle?\Yup, hit the jackpot! response:	Not bad, huh?
context: Their Night Alone\to receive you after school again today.\I shall come for you again, for the next meal.\Today is the day\I will tell Miketsukami how grateful I am!\You won that in a supermarket raffle?\Yup, hit the jackpot!\Not bad, huh? response:	Chino is so cute,
context: to receive you after school again today.\I shall come for you again, for the next meal.\Today is the day\I will tell Miketsukami how grateful I am!\You won that in a supermarket raffle?\Yup, hit the jackpot!\Not bad, huh?\Chino is so cute, response:	with her maid costume and her smug little face!
context: I shall come for you again, for the next meal.\Today is the day\I will tell Miketsukami how grateful I am!\You won that in a supermarket raffle?\Yup, hit the jackpot!\Not bad, huh?\Chino is so cute,\with her maid costume and her smug little face! response:	Where should I put it?
context: Today is the day\I will tell Miketsukami how grateful I am!\You won that in a supermarket raffle?\Yup, hit the jackpot!\Not bad, huh?\Chino is so cute,\with her maid costume and her smug little face!\Where should I put it? response:	I'll help you find a place!
context: I will tell Miketsukami how grateful I am!\You won that in a supermarket raffle?\Yup, hit the jackpot!\Not bad, huh?\Chino is so cute,\with her maid costume and her smug little face!\Where should I put it?\I'll help you find a place! response:	I'm heading out.
context: You won that in a supermarket raffle?\Yup, hit the jackpot!\Not bad, huh?\Chino is so cute,\with her maid costume and her smug little face!\Where should I put it?\I'll help you find a place!\I'm heading out. response:	Chino, turn around.
context: Yup, hit the jackpot!\Not bad, huh?\Chino is so cute,\with her maid costume and her smug little face!\Where should I put it?\I'll help you find a place!\I'm heading out.\Chino, turn around. response:	Chino...
context: Not bad, huh?\Chino is so cute,\with her maid costume and her smug little face!\Where should I put it?\I'll help you find a place!\I'm heading out.\Chino, turn around.\Chino... response:	Maybe I should put it in the lounge...
context: Chino is so cute,\with her maid costume and her smug little face!\Where should I put it?\I'll help you find a place!\I'm heading out.\Chino, turn around.\Chino...\Maybe I should put it in the lounge... response:	Why don't we go together?
context: with her maid costume and her smug little face!\Where should I put it?\I'll help you find a place!\I'm heading out.\Chino, turn around.\Chino...\Maybe I should put it in the lounge...\Why don't we go together? response:	Hey.
context: Where should I put it?\I'll help you find a place!\I'm heading out.\Chino, turn around.\Chino...\Maybe I should put it in the lounge...\Why don't we go together?\Hey. response:	Is that...
context: I'll help you find a place!\I'm heading out.\Chino, turn around.\Chino...\Maybe I should put it in the lounge...\Why don't we go together?\Hey.\Is that... response:	This is a...
context: I'm heading out.\Chino, turn around.\Chino...\Maybe I should put it in the lounge...\Why don't we go together?\Hey.\Is that...\This is a... response:	Both of you, this way!
context: Chino, turn around.\Chino...\Maybe I should put it in the lounge...\Why don't we go together?\Hey.\Is that...\This is a...\Both of you, this way! response:	This is...
context: Chino...\Maybe I should put it in the lounge...\Why don't we go together?\Hey.\Is that...\This is a...\Both of you, this way!\This is... response:	Excuse me.
context: Maybe I should put it in the lounge...\Why don't we go together?\Hey.\Is that...\This is a...\Both of you, this way!\This is...\Excuse me. response:	Hurry, Chino.
context: Why don't we go together?\Hey.\Is that...\This is a...\Both of you, this way!\This is...\Excuse me.\Hurry, Chino. response:	Wait...
context: Hey.\Is that...\This is a...\Both of you, this way!\This is...\Excuse me.\Hurry, Chino.\Wait... response:	Hurry up, you idiot.
context: Is that...\This is a...\Both of you, this way!\This is...\Excuse me.\Hurry, Chino.\Wait...\Hurry up, you idiot. response:	Do I sense discrimination here?
context: This is a...\Both of you, this way!\This is...\Excuse me.\Hurry, Chino.\Wait...\Hurry up, you idiot.\Do I sense discrimination here? response:	I do apologize.
context: Both of you, this way!\This is...\Excuse me.\Hurry, Chino.\Wait...\Hurry up, you idiot.\Do I sense discrimination here?\I do apologize. response:	What was that?
context: This is...\Excuse me.\Hurry, Chino.\Wait...\Hurry up, you idiot.\Do I sense discrimination here?\I do apologize.\What was that? response:	Wh-What?
context: Excuse me.\Hurry, Chino.\Wait...\Hurry up, you idiot.\Do I sense discrimination here?\I do apologize.\What was that?\Wh-What? response:	Huh?
context: Hurry, Chino.\Wait...\Hurry up, you idiot.\Do I sense discrimination here?\I do apologize.\What was that?\Wh-What?\Huh? response:	Yes, you be careful, too.
context: Wait...\Hurry up, you idiot.\Do I sense discrimination here?\I do apologize.\What was that?\Wh-What?\Huh?\Yes, you be careful, too. response:	It appears that everyone is safe.
context: Hurry up, you idiot.\Do I sense discrimination here?\I do apologize.\What was that?\Wh-What?\Huh?\Yes, you be careful, too.\It appears that everyone is safe. response:	That's good.
context: Do I sense discrimination here?\I do apologize.\What was that?\Wh-What?\Huh?\Yes, you be careful, too.\It appears that everyone is safe.\That's good. response:	Seems like they're fine.
context: I do apologize.\What was that?\Wh-What?\Huh?\Yes, you be careful, too.\It appears that everyone is safe.\That's good.\Seems like they're fine. response:	Okay.
context: What was that?\Wh-What?\Huh?\Yes, you be careful, too.\It appears that everyone is safe.\That's good.\Seems like they're fine.\Okay. response:	Wh-What's going on?
context: Wh-What?\Huh?\Yes, you be careful, too.\It appears that everyone is safe.\That's good.\Seems like they're fine.\Okay.\Wh-What's going on? response:	It looks like Ayakashi Kan's security system has been activated.
context: Huh?\Yes, you be careful, too.\It appears that everyone is safe.\That's good.\Seems like they're fine.\Okay.\Wh-What's going on?\It looks like Ayakashi Kan's security system has been activated. response:	S-Security system?
context: Yes, you be careful, too.\It appears that everyone is safe.\That's good.\Seems like they're fine.\Okay.\Wh-What's going on?\It looks like Ayakashi Kan's security system has been activated.\S-Security system? response:	To put it simply,
context: It appears that everyone is safe.\That's good.\Seems like they're fine.\Okay.\Wh-What's going on?\It looks like Ayakashi Kan's security system has been activated.\S-Security system?\To put it simply, response:	a force field is activated to protect the occupants
context: That's good.\Seems like they're fine.\Okay.\Wh-What's going on?\It looks like Ayakashi Kan's security system has been activated.\S-Security system?\To put it simply,\a force field is activated to protect the occupants response:	whenever an enemy tries to enter the premises.
context: Seems like they're fine.\Okay.\Wh-What's going on?\It looks like Ayakashi Kan's security system has been activated.\S-Security system?\To put it simply,\a force field is activated to protect the occupants\whenever an enemy tries to enter the premises. response:	It's pretty amazing that it was in the flowerpot...
context: Okay.\Wh-What's going on?\It looks like Ayakashi Kan's security system has been activated.\S-Security system?\To put it simply,\a force field is activated to protect the occupants\whenever an enemy tries to enter the premises.\It's pretty amazing that it was in the flowerpot... response:	It was probably in a dormant state.
context: Wh-What's going on?\It looks like Ayakashi Kan's security system has been activated.\S-Security system?\To put it simply,\a force field is activated to protect the occupants\whenever an enemy tries to enter the premises.\It's pretty amazing that it was in the flowerpot...\It was probably in a dormant state. response:	A dormant state?
context: It looks like Ayakashi Kan's security system has been activated.\S-Security system?\To put it simply,\a force field is activated to protect the occupants\whenever an enemy tries to enter the premises.\It's pretty amazing that it was in the flowerpot...\It was probably in a dormant state.\A dormant state? response:	She really is too cute!
context: S-Security system?\To put it simply,\a force field is activated to protect the occupants\whenever an enemy tries to enter the premises.\It's pretty amazing that it was in the flowerpot...\It was probably in a dormant state.\A dormant state?\She really is too cute! response:	That's just another way of saying it was asleep.
context: To put it simply,\a force field is activated to protect the occupants\whenever an enemy tries to enter the premises.\It's pretty amazing that it was in the flowerpot...\It was probably in a dormant state.\A dormant state?\She really is too cute!\That's just another way of saying it was asleep. response:	That's why it could enter without any of us noticing.
context: a force field is activated to protect the occupants\whenever an enemy tries to enter the premises.\It's pretty amazing that it was in the flowerpot...\It was probably in a dormant state.\A dormant state?\She really is too cute!\That's just another way of saying it was asleep.\That's why it could enter without any of us noticing. response:	I don't really understand all that, but does that mean it's my fault?
