context: Another unusable batch retrieved from Vega. response:	The warp transport deteriorated the Rare Iguras. They're completely ruined.
context: Another unusable batch retrieved from Vega.\The warp transport deteriorated the Rare Iguras. They're completely ruined. response:	Our motherworld, Altair.
context: Another unusable batch retrieved from Vega.\The warp transport deteriorated the Rare Iguras. They're completely ruined.\Our motherworld, Altair. response:	It still refuses to accept them.
context: Another unusable batch retrieved from Vega.\The warp transport deteriorated the Rare Iguras. They're completely ruined.\Our motherworld, Altair.\It still refuses to accept them. response:	This is stupid...
context: Another unusable batch retrieved from Vega.\The warp transport deteriorated the Rare Iguras. They're completely ruined.\Our motherworld, Altair.\It still refuses to accept them.\This is stupid... response:	We will investigate the power Vega has at its disposal.
context: Another unusable batch retrieved from Vega.\The warp transport deteriorated the Rare Iguras. They're completely ruined.\Our motherworld, Altair.\It still refuses to accept them.\This is stupid...\We will investigate the power Vega has at its disposal. response:	Jin, you're in command.
context: Another unusable batch retrieved from Vega.\The warp transport deteriorated the Rare Iguras. They're completely ruined.\Our motherworld, Altair.\It still refuses to accept them.\This is stupid...\We will investigate the power Vega has at its disposal.\Jin, you're in command. response:	Me?
context: Another unusable batch retrieved from Vega.\The warp transport deteriorated the Rare Iguras. They're completely ruined.\Our motherworld, Altair.\It still refuses to accept them.\This is stupid...\We will investigate the power Vega has at its disposal.\Jin, you're in command.\Me? response:	Fine...
context: The warp transport deteriorated the Rare Iguras. They're completely ruined.\Our motherworld, Altair.\It still refuses to accept them.\This is stupid...\We will investigate the power Vega has at its disposal.\Jin, you're in command.\Me?\Fine... response:	Kagura's gonna be a pain, though.
context: Our motherworld, Altair.\It still refuses to accept them.\This is stupid...\We will investigate the power Vega has at its disposal.\Jin, you're in command.\Me?\Fine...\Kagura's gonna be a pain, though. response:	Control him!
context: It still refuses to accept them.\This is stupid...\We will investigate the power Vega has at its disposal.\Jin, you're in command.\Me?\Fine...\Kagura's gonna be a pain, though.\Control him! response:	It's his fault the Machine Angel's true power has been awakened.
context: This is stupid...\We will investigate the power Vega has at its disposal.\Jin, you're in command.\Me?\Fine...\Kagura's gonna be a pain, though.\Control him!\It's his fault the Machine Angel's true power has been awakened. response:	Where am I?
context: We will investigate the power Vega has at its disposal.\Jin, you're in command.\Me?\Fine...\Kagura's gonna be a pain, though.\Control him!\It's his fault the Machine Angel's true power has been awakened.\Where am I? response:	Mikono!
context: Jin, you're in command.\Me?\Fine...\Kagura's gonna be a pain, though.\Control him!\It's his fault the Machine Angel's true power has been awakened.\Where am I?\Mikono! response:	Sorry. Just Cayenne.
context: Me?\Fine...\Kagura's gonna be a pain, though.\Control him!\It's his fault the Machine Angel's true power has been awakened.\Where am I?\Mikono!\Sorry. Just Cayenne. response:	You!
context: Fine...\Kagura's gonna be a pain, though.\Control him!\It's his fault the Machine Angel's true power has been awakened.\Where am I?\Mikono!\Sorry. Just Cayenne.\You! response:	I'm supposed to show you around.
context: Kagura's gonna be a pain, though.\Control him!\It's his fault the Machine Angel's true power has been awakened.\Where am I?\Mikono!\Sorry. Just Cayenne.\You!\I'm supposed to show you around. response:	Follow me.
context: Control him!\It's his fault the Machine Angel's true power has been awakened.\Where am I?\Mikono!\Sorry. Just Cayenne.\You!\I'm supposed to show you around.\Follow me. response:	Hold on a minute!
context: It's his fault the Machine Angel's true power has been awakened.\Where am I?\Mikono!\Sorry. Just Cayenne.\You!\I'm supposed to show you around.\Follow me.\Hold on a minute! response:	What am I doing here?
context: Where am I?\Mikono!\Sorry. Just Cayenne.\You!\I'm supposed to show you around.\Follow me.\Hold on a minute!\What am I doing here? response:	Where's Mikono?
context: Mikono!\Sorry. Just Cayenne.\You!\I'm supposed to show you around.\Follow me.\Hold on a minute!\What am I doing here?\Where's Mikono? response:	I can simultaneously answer all those questions
context: Sorry. Just Cayenne.\You!\I'm supposed to show you around.\Follow me.\Hold on a minute!\What am I doing here?\Where's Mikono?\I can simultaneously answer all those questions response:	and explain what will happen to you.
context: You!\I'm supposed to show you around.\Follow me.\Hold on a minute!\What am I doing here?\Where's Mikono?\I can simultaneously answer all those questions\and explain what will happen to you. response:	This is Neo-Deava's Holy Angel Academy.
context: I'm supposed to show you around.\Follow me.\Hold on a minute!\What am I doing here?\Where's Mikono?\I can simultaneously answer all those questions\and explain what will happen to you.\This is Neo-Deava's Holy Angel Academy. response:	Here, we are trained as Elements to pilot the Aquarias.
context: Follow me.\Hold on a minute!\What am I doing here?\Where's Mikono?\I can simultaneously answer all those questions\and explain what will happen to you.\This is Neo-Deava's Holy Angel Academy.\Here, we are trained as Elements to pilot the Aquarias. response:	Mikono was telling me about this.
context: Hold on a minute!\What am I doing here?\Where's Mikono?\I can simultaneously answer all those questions\and explain what will happen to you.\This is Neo-Deava's Holy Angel Academy.\Here, we are trained as Elements to pilot the Aquarias.\Mikono was telling me about this. response:	People with the potential to be Elements come here from all over the world.
context: What am I doing here?\Where's Mikono?\I can simultaneously answer all those questions\and explain what will happen to you.\This is Neo-Deava's Holy Angel Academy.\Here, we are trained as Elements to pilot the Aquarias.\Mikono was telling me about this.\People with the potential to be Elements come here from all over the world. response:	Our mission is to destroy the Abductors as they attack from their homeworld.
context: Where's Mikono?\I can simultaneously answer all those questions\and explain what will happen to you.\This is Neo-Deava's Holy Angel Academy.\Here, we are trained as Elements to pilot the Aquarias.\Mikono was telling me about this.\People with the potential to be Elements come here from all over the world.\Our mission is to destroy the Abductors as they attack from their homeworld. response:	This is the hallway. The bathroom's right here.
context: I can simultaneously answer all those questions\and explain what will happen to you.\This is Neo-Deava's Holy Angel Academy.\Here, we are trained as Elements to pilot the Aquarias.\Mikono was telling me about this.\People with the potential to be Elements come here from all over the world.\Our mission is to destroy the Abductors as they attack from their homeworld.\This is the hallway. The bathroom's right here. response:	You're walking too fast!
context: and explain what will happen to you.\This is Neo-Deava's Holy Angel Academy.\Here, we are trained as Elements to pilot the Aquarias.\Mikono was telling me about this.\People with the potential to be Elements come here from all over the world.\Our mission is to destroy the Abductors as they attack from their homeworld.\This is the hallway. The bathroom's right here.\You're walking too fast! response:	And this is the classroom.
context: This is Neo-Deava's Holy Angel Academy.\Here, we are trained as Elements to pilot the Aquarias.\Mikono was telling me about this.\People with the potential to be Elements come here from all over the world.\Our mission is to destroy the Abductors as they attack from their homeworld.\This is the hallway. The bathroom's right here.\You're walking too fast!\And this is the classroom. response:	Huh?
context: Here, we are trained as Elements to pilot the Aquarias.\Mikono was telling me about this.\People with the potential to be Elements come here from all over the world.\Our mission is to destroy the Abductors as they attack from their homeworld.\This is the hallway. The bathroom's right here.\You're walking too fast!\And this is the classroom.\Huh? response:	Look, it's him!
context: Mikono was telling me about this.\People with the potential to be Elements come here from all over the world.\Our mission is to destroy the Abductors as they attack from their homeworld.\This is the hallway. The bathroom's right here.\You're walking too fast!\And this is the classroom.\Huh?\Look, it's him! response:	The civilian who hijacked an Aquaria!
context: People with the potential to be Elements come here from all over the world.\Our mission is to destroy the Abductors as they attack from their homeworld.\This is the hallway. The bathroom's right here.\You're walking too fast!\And this is the classroom.\Huh?\Look, it's him!\The civilian who hijacked an Aquaria! response:	So he's got an Element power?
context: Our mission is to destroy the Abductors as they attack from their homeworld.\This is the hallway. The bathroom's right here.\You're walking too fast!\And this is the classroom.\Huh?\Look, it's him!\The civilian who hijacked an Aquaria!\So he's got an Element power? response:	Dude, he did Union with a girl!
context: This is the hallway. The bathroom's right here.\You're walking too fast!\And this is the classroom.\Huh?\Look, it's him!\The civilian who hijacked an Aquaria!\So he's got an Element power?\Dude, he did Union with a girl! response:	Lucky bastard!
context: You're walking too fast!\And this is the classroom.\Huh?\Look, it's him!\The civilian who hijacked an Aquaria!\So he's got an Element power?\Dude, he did Union with a girl!\Lucky bastard! response:	Get used to it.
context: And this is the classroom.\Huh?\Look, it's him!\The civilian who hijacked an Aquaria!\So he's got an Element power?\Dude, he did Union with a girl!\Lucky bastard!\Get used to it. response:	You're a civilian who managed to pilot an Aquaria,
context: Huh?\Look, it's him!\The civilian who hijacked an Aquaria!\So he's got an Element power?\Dude, he did Union with a girl!\Lucky bastard!\Get used to it.\You're a civilian who managed to pilot an Aquaria, response:	and even did a mixed-gender Union.
context: Look, it's him!\The civilian who hijacked an Aquaria!\So he's got an Element power?\Dude, he did Union with a girl!\Lucky bastard!\Get used to it.\You're a civilian who managed to pilot an Aquaria,\and even did a mixed-gender Union. response:	Everyone's gonna be talking about you, even up in Neo-Deava.
context: The civilian who hijacked an Aquaria!\So he's got an Element power?\Dude, he did Union with a girl!\Lucky bastard!\Get used to it.\You're a civilian who managed to pilot an Aquaria,\and even did a mixed-gender Union.\Everyone's gonna be talking about you, even up in Neo-Deava. response:	And, of course, the girl who was with you.
context: So he's got an Element power?\Dude, he did Union with a girl!\Lucky bastard!\Get used to it.\You're a civilian who managed to pilot an Aquaria,\and even did a mixed-gender Union.\Everyone's gonna be talking about you, even up in Neo-Deava.\And, of course, the girl who was with you. response:	Mikono!
context: Dude, he did Union with a girl!\Lucky bastard!\Get used to it.\You're a civilian who managed to pilot an Aquaria,\and even did a mixed-gender Union.\Everyone's gonna be talking about you, even up in Neo-Deava.\And, of course, the girl who was with you.\Mikono! response:	That's the Berlin.
context: Lucky bastard!\Get used to it.\You're a civilian who managed to pilot an Aquaria,\and even did a mixed-gender Union.\Everyone's gonna be talking about you, even up in Neo-Deava.\And, of course, the girl who was with you.\Mikono!\That's the Berlin. response:	Unions between boys and girls are strictly forbidden,
context: Get used to it.\You're a civilian who managed to pilot an Aquaria,\and even did a mixed-gender Union.\Everyone's gonna be talking about you, even up in Neo-Deava.\And, of course, the girl who was with you.\Mikono!\That's the Berlin.\Unions between boys and girls are strictly forbidden, response:	so at Neo-Deava, male and female Elements are always kept apart.
context: You're a civilian who managed to pilot an Aquaria,\and even did a mixed-gender Union.\Everyone's gonna be talking about you, even up in Neo-Deava.\And, of course, the girl who was with you.\Mikono!\That's the Berlin.\Unions between boys and girls are strictly forbidden,\so at Neo-Deava, male and female Elements are always kept apart. response:	Mikono is being examined on the other side of the Berlin.
context: and even did a mixed-gender Union.\Everyone's gonna be talking about you, even up in Neo-Deava.\And, of course, the girl who was with you.\Mikono!\That's the Berlin.\Unions between boys and girls are strictly forbidden,\so at Neo-Deava, male and female Elements are always kept apart.\Mikono is being examined on the other side of the Berlin. response:	This is the cafeteria.
context: Everyone's gonna be talking about you, even up in Neo-Deava.\And, of course, the girl who was with you.\Mikono!\That's the Berlin.\Unions between boys and girls are strictly forbidden,\so at Neo-Deava, male and female Elements are always kept apart.\Mikono is being examined on the other side of the Berlin.\This is the cafeteria. response:	Hold on!
context: And, of course, the girl who was with you.\Mikono!\That's the Berlin.\Unions between boys and girls are strictly forbidden,\so at Neo-Deava, male and female Elements are always kept apart.\Mikono is being examined on the other side of the Berlin.\This is the cafeteria.\Hold on! response:	What do you mean by examined?
context: Mikono!\That's the Berlin.\Unions between boys and girls are strictly forbidden,\so at Neo-Deava, male and female Elements are always kept apart.\Mikono is being examined on the other side of the Berlin.\This is the cafeteria.\Hold on!\What do you mean by examined? response:	That's all I have to tell you.
context: That's the Berlin.\Unions between boys and girls are strictly forbidden,\so at Neo-Deava, male and female Elements are always kept apart.\Mikono is being examined on the other side of the Berlin.\This is the cafeteria.\Hold on!\What do you mean by examined?\That's all I have to tell you. response:	Now, how about you answer my question.
context: Unions between boys and girls are strictly forbidden,\so at Neo-Deava, male and female Elements are always kept apart.\Mikono is being examined on the other side of the Berlin.\This is the cafeteria.\Hold on!\What do you mean by examined?\That's all I have to tell you.\Now, how about you answer my question. response:	What?
context: so at Neo-Deava, male and female Elements are always kept apart.\Mikono is being examined on the other side of the Berlin.\This is the cafeteria.\Hold on!\What do you mean by examined?\That's all I have to tell you.\Now, how about you answer my question.\What? response:	What's going on between you and Mikono?
context: Mikono is being examined on the other side of the Berlin.\This is the cafeteria.\Hold on!\What do you mean by examined?\That's all I have to tell you.\Now, how about you answer my question.\What?\What's going on between you and Mikono? response:	Huh?
context: This is the cafeteria.\Hold on!\What do you mean by examined?\That's all I have to tell you.\Now, how about you answer my question.\What?\What's going on between you and Mikono?\Huh? response:	Between us?
context: Hold on!\What do you mean by examined?\That's all I have to tell you.\Now, how about you answer my question.\What?\What's going on between you and Mikono?\Huh?\Between us? response:	I mean, we just met yesterday, so we're not
context: What do you mean by examined?\That's all I have to tell you.\Now, how about you answer my question.\What?\What's going on between you and Mikono?\Huh?\Between us?\I mean, we just met yesterday, so we're not response:	If you just met yesterday, how come she was in there with you?
context: That's all I have to tell you.\Now, how about you answer my question.\What?\What's going on between you and Mikono?\Huh?\Between us?\I mean, we just met yesterday, so we're not\If you just met yesterday, how come she was in there with you? response:	What does that mean? You think you know how she thinks?
context: Now, how about you answer my question.\What?\What's going on between you and Mikono?\Huh?\Between us?\I mean, we just met yesterday, so we're not\If you just met yesterday, how come she was in there with you?\What does that mean? You think you know how she thinks? response:	Wait, are you and Mikono...
context: What?\What's going on between you and Mikono?\Huh?\Between us?\I mean, we just met yesterday, so we're not\If you just met yesterday, how come she was in there with you?\What does that mean? You think you know how she thinks?\Wait, are you and Mikono... response:	You bet we are!
context: What's going on between you and Mikono?\Huh?\Between us?\I mean, we just met yesterday, so we're not\If you just met yesterday, how come she was in there with you?\What does that mean? You think you know how she thinks?\Wait, are you and Mikono...\You bet we are! response:	Goodbye, my first love...
context: Huh?\Between us?\I mean, we just met yesterday, so we're not\If you just met yesterday, how come she was in there with you?\What does that mean? You think you know how she thinks?\Wait, are you and Mikono...\You bet we are!\Goodbye, my first love... response:	Of course she would...
context: Between us?\I mean, we just met yesterday, so we're not\If you just met yesterday, how come she was in there with you?\What does that mean? You think you know how she thinks?\Wait, are you and Mikono...\You bet we are!\Goodbye, my first love...\Of course she would... response:	She's so pretty, there's no way she'd be single.
context: I mean, we just met yesterday, so we're not\If you just met yesterday, how come she was in there with you?\What does that mean? You think you know how she thinks?\Wait, are you and Mikono...\You bet we are!\Goodbye, my first love...\Of course she would...\She's so pretty, there's no way she'd be single. response:	She's been timid since we were children.
context: If you just met yesterday, how come she was in there with you?\What does that mean? You think you know how she thinks?\Wait, are you and Mikono...\You bet we are!\Goodbye, my first love...\Of course she would...\She's so pretty, there's no way she'd be single.\She's been timid since we were children. response:	Since you were children.
